"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.329,1.329,-8.930,22.613,22.460
0.001,0.175,1.405,1.405,-9.040,22.574,22.590
0.003,0.346,1.482,1.482,-9.147,22.537,22.718
0.004,0.509,1.558,1.558,-9.246,22.507,22.844
0.006,0.660,1.634,1.634,-9.334,22.486,22.965
0.007,0.796,1.709,1.709,-9.406,22.479,23.080
0.009,0.917,1.784,1.784,-9.461,22.487,23.188
0.010,1.025,1.858,1.858,-9.492,22.516,23.287
0.011,1.127,1.931,1.931,-9.498,22.566,23.375
0.013,1.238,2.003,2.003,-9.473,22.643,23.452
0.014,1.369,2.075,2.075,-9.422,22.744,23.518
0.016,1.522,2.146,2.146,-9.350,22.867,23.573
0.017,1.693,2.217,2.217,-9.264,23.007,23.621
0.018,1.876,2.287,2.287,-9.172,23.160,23.661
0.020,2.067,2.356,2.356,-9.079,23.323,23.696
0.021,2.259,2.426,2.426,-8.993,23.491,23.727
0.023,2.446,2.495,2.495,-8.920,23.662,23.755
0.024,2.625,2.563,2.563,-8.867,23.830,23.783
0.026,2.794,2.630,2.630,-8.839,23.995,23.811
0.027,2.955,2.696,2.696,-8.830,24.153,23.837
0.028,3.110,2.760,2.760,-8.838,24.306,23.863
0.030,3.260,2.823,2.823,-8.857,24.453,23.885
0.031,3.405,2.883,2.883,-8.884,24.594,23.905
0.033,3.543,2.942,2.942,-8.914,24.727,23.921
0.034,3.673,2.997,2.997,-8.943,24.854,23.931
0.035,3.794,3.048,3.048,-8.967,24.972,23.936
0.037,3.905,3.095,3.095,-8.982,25.083,23.935
0.038,4.007,3.138,3.138,-8.988,25.184,23.928
0.040,4.100,3.175,3.175,-8.987,25.277,23.917
0.041,4.183,3.206,3.206,-8.981,25.359,23.904
0.043,4.256,3.231,3.231,-8.973,25.430,23.890
0.044,4.318,3.252,3.252,-8.964,25.490,23.877
0.045,4.367,3.268,3.268,-8.956,25.537,23.866
0.047,4.402,3.282,3.282,-8.951,25.571,23.860
0.048,4.423,3.293,3.293,-8.951,25.592,23.859
0.050,4.434,3.303,3.303,-8.957,25.600,23.863
0.051,4.446,3.313,3.313,-8.965,25.601,23.872
0.052,4.459,3.322,3.322,-8.973,25.597,23.881
0.054,4.470,3.332,3.332,-8.978,25.594,23.891
0.055,4.477,3.342,3.342,-8.979,25.597,23.898
0.057,4.491,3.352,3.352,-8.971,25.608,23.900
0.058,4.522,3.363,3.363,-8.953,25.632,23.896
0.060,4.576,3.373,3.373,-8.921,25.675,23.883
0.061,4.656,3.382,3.382,-8.876,25.737,23.861
0.062,4.758,3.392,3.392,-8.819,25.816,23.831
0.064,4.874,3.401,3.401,-8.756,25.907,23.796
0.065,4.998,3.408,3.408,-8.691,26.006,23.759
0.067,5.122,3.413,3.413,-8.628,26.106,23.723
0.068,5.239,3.415,3.415,-8.573,26.204,23.690
0.070,5.343,3.415,3.415,-8.529,26.294,23.663
0.071,5.427,3.410,3.410,-8.501,26.372,23.645
0.072,5.489,3.401,3.401,-8.494,26.432,23.639
0.074,5.534,3.390,3.390,-8.506,26.476,23.643
0.075,5.575,3.378,3.378,-8.534,26.503,23.656
0.077,5.623,3.366,3.366,-8.574,26.517,23.676
0.078,5.677,3.357,3.357,-8.623,26.520,23.700
0.079,5.737,3.350,3.350,-8.677,26.514,23.726
0.081,5.799,3.349,3.349,-8.731,26.501,23.752
0.082,5.858,3.353,3.353,-8.783,26.483,23.776
0.084,5.911,3.363,3.363,-8.827,26.462,23.795
0.085,5.955,3.377,3.378,-8.863,26.440,23.808
0.087,5.993,3.395,3.395,-8.892,26.417,23.817
0.088,6.026,3.414,3.414,-8.915,26.395,23.824
0.089,6.056,3.434,3.434,-8.934,26.372,23.831
0.091,6.085,3.453,3.453,-8.951,26.350,23.839
0.092,6.114,3.471,3.471,-8.968,26.330,23.850
0.094,6.145,3.483,3.482,-8.987,26.311,23.866
0.095,6.181,3.483,3.482,-9.009,26.294,23.889
0.096,6.226,3.465,3.465,-9.036,26.279,23.922
0.098,6.284,3.426,3.426,-9.069,26.267,23.969
0.099,6.362,3.359,3.359,-9.108,26.257,24.035
0.101,6.466,3.259,3.259,-9.153,26.249,24.128
0.102,6.601,3.123,3.123,-9.206,26.243,24.252
0.104,6.774,2.955,2.956,-9.267,26.239,24.414
0.105,6.990,2.767,2.769,-9.336,26.236,24.619
0.106,7.256,2.570,2.572,-9.413,26.234,24.874
0.108,7.578,2.375,2.376,-9.499,26.233,25.183
0.109,7.950,2.191,2.192,-9.593,26.233,25.544
0.111,8.359,2.031,2.031,-9.691,26.233,25.940
0.112,8.788,1.903,1.902,-9.791,26.230,26.358
0.113,9.223,1.808,1.806,-9.889,26.226,26.781
0.115,9.648,1.742,1.738,-9.983,26.217,27.196
0.116,10.047,1.697,1.692,-10.069,26.205,27.585
0.118,10.406,1.668,1.663,-10.144,26.186,27.936
0.119,10.708,1.650,1.647,-10.205,26.161,28.231
0.121,10.946,1.637,1.637,-10.251,26.130,28.462
0.122,11.125,1.623,1.628,-10.286,26.093,28.634
0.123,11.258,1.606,1.619,-10.315,26.053,28.757
0.125,11.356,1.587,1.608,-10.346,26.013,28.841
0.126,11.433,1.566,1.597,-10.383,25.974,28.896
0.128,11.503,1.544,1.584,-10.433,25.940,28.931
0.129,11.580,1.522,1.571,-10.500,25.911,28.955
0.130,11.677,1.501,1.556,-10.592,25.890,28.980
0.132,11.802,1.481,1.541,-10.712,25.880,29.012
0.133,11.953,1.464,1.525,-10.858,25.880,29.055
0.135,12.124,1.447,1.509,-11.021,25.887,29.105
0.136,12.304,1.433,1.493,-11.192,25.899,29.159
0.138,12.485,1.421,1.479,-11.364,25.914,29.214
0.139,12.658,1.410,1.467,-11.527,25.929,29.267
0.140,12.813,1.401,1.458,-11.674,25.943,29.315
0.142,12.941,1.393,1.451,-11.795,25.953,29.355
0.143,13.033,1.387,1.449,-11.883,25.957,29.384
0.145,13.087,1.383,1.449,-11.934,25.954,29.401
0.146,13.112,1.381,1.452,-11.957,25.947,29.409
0.148,13.121,1.381,1.457,-11.959,25.939,29.412
0.149,13.132,1.382,1.463,-11.951,25.932,29.412
0.150,13.144,1.386,1.470,-11.940,25.930,29.414
0.152,13.153,1.391,1.477,-11.935,25.936,29.420
0.153,13.177,1.399,1.484,-11.945,25.952,29.434
0.155,13.228,1.407,1.489,-11.978,25.981,29.460
0.156,13.316,1.415,1.493,-12.042,26.026,29.499
0.157,13.435,1.422,1.493,-12.132,26.084,29.551
0.159,13.576,1.426,1.489,-12.241,26.151,29.611
0.160,13.731,1.427,1.479,-12.361,26.222,29.678
0.162,13.890,1.423,1.464,-12.485,26.293,29.747
0.163,14.044,1.414,1.443,-12.606,26.360,29.816
0.165,14.184,1.400,1.417,-12.715,26.419,29.881
0.166,14.301,1.382,1.388,-12.806,26.465,29.939
0.167,14.387,1.361,1.359,-12.870,26.495,29.987
0.169,14.443,1.337,1.330,-12.907,26.510,30.026
0.170,14.480,1.312,1.305,-12.918,26.514,30.061
0.172,14.516,1.285,1.285,-12.908,26.512,30.097
0.173,14.566,1.259,1.272,-12.879,26.511,30.137
0.174,14.633,1.234,1.265,-12.836,26.517,30.187
0.176,14.719,1.212,1.264,-12.781,26.533,30.252
0.177,14.830,1.195,1.270,-12.718,26.567,30.337
0.179,14.969,1.185,1.280,-12.651,26.623,30.445
0.180,15.142,1.183,1.295,-12.582,26.704,30.581
0.182,15.342,1.191,1.313,-12.513,26.806,30.739
0.183,15.563,1.211,1.335,-12.448,26.923,30.916
0.184,15.797,1.241,1.360,-12.387,27.047,31.104
0.186,16.037,1.279,1.386,-12.334,27.174,31.301
0.187,16.275,1.321,1.414,-12.290,27.297,31.500
0.189,16.504,1.365,1.442,-12.258,27.410,31.696
0.190,16.716,1.408,1.470,-12.239,27.506,31.884
0.191,16.907,1.448,1.496,-12.236,27.581,32.060
0.193,17.078,1.482,1.521,-12.246,27.634,32.222
0.194,17.233,1.510,1.544,-12.267,27.668,32.371
0.196,17.373,1.533,1.566,-12.295,27.688,32.508
0.197,17.502,1.552,1.586,-12.326,27.695,32.632
0.199,17.619,1.569,1.607,-12.358,27.694,32.745
0.200,17.726,1.584,1.628,-12.386,27.688,32.848
0.201,17.821,1.599,1.650,-12.407,27.680,32.940
0.203,17.905,1.614,1.674,-12.418,27.673,33.024
0.204,17.980,1.631,1.698,-12.417,27.670,33.098
0.206,18.048,1.649,1.724,-12.407,27.670,33.165
0.207,18.110,1.667,1.748,-12.391,27.673,33.226
0.209,18.170,1.686,1.771,-12.370,27.679,33.281
0.210,18.226,1.705,1.792,-12.349,27.688,33.332
0.211,18.279,1.725,1.810,-12.328,27.699,33.380
0.213,18.329,1.744,1.823,-12.313,27.712,33.426
0.214,18.377,1.763,1.833,-12.303,27.727,33.470
0.216,18.425,1.780,1.837,-12.303,27.743,33.515
0.217,18.475,1.794,1.838,-12.309,27.763,33.561
0.218,18.528,1.804,1.834,-12.318,27.785,33.609
0.220,18.586,1.809,1.827,-12.326,27.812,33.659
0.221,18.648,1.809,1.815,-12.330,27.844,33.712
0.223,18.717,1.801,1.799,-12.326,27.882,33.770
0.224,18.796,1.787,1.780,-12.310,27.927,33.832
0.226,18.888,1.768,1.759,-12.279,27.980,33.901
0.227,18.996,1.748,1.739,-12.230,28.042,33.975
0.228,19.122,1.728,1.721,-12.164,28.112,34.055
0.230,19.259,1.712,1.707,-12.085,28.187,34.139
0.231,19.404,1.701,1.699,-11.998,28.266,34.223
0.233,19.549,1.699,1.699,-11.908,28.345,34.306
0.234,19.691,1.705,1.707,-11.820,28.422,34.386
0.235,19.822,1.719,1.722,-11.739,28.495,34.459
0.237,19.938,1.739,1.741,-11.669,28.561,34.523
0.238,20.033,1.761,1.763,-11.616,28.618,34.577
0.240,20.103,1.784,1.786,-11.582,28.664,34.619
0.241,20.154,1.806,1.807,-11.566,28.701,34.650
0.243,20.190,1.824,1.824,-11.562,28.729,34.671
0.244,20.216,1.836,1.836,-11.568,28.750,34.686
0.245,20.237,1.843,1.843,-11.579,28.765,34.695
0.247,20.255,1.845,1.845,-11.594,28.776,34.700
0.248,20.271,1.843,1.843,-11.607,28.783,34.703
0.250,20.281,1.837,1.837,-11.615,28.788,34.706
0.251,20.288,1.828,1.828,-11.615,28.792,34.711
0.252,20.301,1.816,1.816,-11.608,28.797,34.721
0.254,20.326,1.801,1.801,-11.593,28.804,34.740
0.255,20.365,1.785,1.785,-11.573,28.815,34.772
0.257,20.421,1.769,1.769,-11.549,28.831,34.820
0.258,20.499,1.753,1.753,-11.522,28.853,34.889
0.260,20.601,1.740,1.740,-11.493,28.883,34.982
0.261,20.732,1.730,1.730,-11.464,28.923,35.104
0.262,20.897,1.725,1.725,-11.436,28.974,35.258
0.264,21.093,1.724,1.724,-11.410,29.034,35.443
0.265,21.313,1.729,1.729,-11.386,29.101,35.651
0.267,21.545,1.737,1.736,-11.362,29.171,35.871
0.268,21.781,1.746,1.746,-11.338,29.238,36.096
0.270,22.010,1.757,1.757,-11.315,29.300,36.315
0.271,22.223,1.767,1.767,-11.291,29.352,36.520
0.272,22.410,1.776,1.776,-11.265,29.390,36.702
0.274,22.562,1.781,1.781,-11.238,29.411,36.851
0.275,22.675,1.784,1.784,-11.209,29.410,36.960
0.277,22.757,1.783,1.783,-11.179,29.393,37.033
0.278,22.820,1.780,1.781,-11.148,29.363,37.078
0.279,22.874,1.775,1.776,-11.116,29.326,37.102
0.281,22.925,1.769,1.769,-11.084,29.287,37.111
0.282,22.973,1.760,1.760,-11.052,29.250,37.113
0.284,23.015,1.751,1.751,-11.022,29.222,37.114
0.285,23.048,1.742,1.741,-10.993,29.207,37.122
0.287,23.082,1.733,1.732,-10.967,29.209,37.143
0.288,23.131,1.725,1.724,-10.942,29.230,37.180
0.289,23.198,1.721,1.719,-10.915,29.267,37.229
0.291,23.281,1.720,1.719,-10.886,29.317,37.289
0.292,23.378,1.724,1.723,-10.852,29.377,37.356
0.294,23.486,1.734,1.734,-10.811,29.446,37.430
0.295,23.604,1.749,1.751,-10.761,29.519,37.506
0.296,23.729,1.768,1.771,-10.699,29.596,37.583
0.298,23.860,1.789,1.793,-10.624,29.672,37.659
0.299,23.996,1.810,1.815,-10.536,29.746,37.732
0.301,24.137,1.831,1.835,-10.435,29.817,37.801
0.302,24.281,1.849,1.851,-10.326,29.885,37.866
0.304,24.427,1.862,1.861,-10.211,29.950,37.927
0.305,24.571,1.870,1.863,-10.094,30.011,37.985
0.306,24.713,1.873,1.861,-9.976,30.068,38.038
0.308,24.848,1.871,1.854,-9.861,30.120,38.088
0.309,24.976,1.865,1.846,-9.752,30.168,38.133
0.311,25.093,1.853,1.836,-9.651,30.211,38.173
0.312,25.199,1.837,1.828,-9.559,30.249,38.210
0.313,25.294,1.817,1.821,-9.476,30.284,38.242
0.315,25.379,1.793,1.818,-9.403,30.314,38.271
0.316,25.453,1.767,1.817,-9.338,30.342,38.295
0.318,25.518,1.740,1.819,-9.281,30.367,38.316
0.319,25.574,1.713,1.822,-9.234,30.390,38.333
0.321,25.621,1.688,1.826,-9.194,30.412,38.347
0.322,25.660,1.665,1.830,-9.163,30.433,38.358
0.323,25.691,1.647,1.834,-9.141,30.453,38.366
0.325,25.715,1.634,1.836,-9.125,30.470,38.371
0.326,25.730,1.627,1.838,-9.117,30.482,38.373
0.328,25.737,1.626,1.840,-9.116,30.489,38.374
0.329,25.742,1.630,1.840,-9.122,30.488,38.373
0.330,25.758,1.640,1.840,-9.133,30.478,38.370
0.332,25.785,1.657,1.840,-9.150,30.457,38.367
0.333,25.826,1.680,1.840,-9.172,30.423,38.363
0.335,25.879,1.708,1.839,-9.199,30.377,38.359
