"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.094,1.094,191.776,169.510,149.694
0.001,0.037,1.127,1.127,191.802,169.489,149.677
0.002,0.074,1.160,1.160,191.827,169.469,149.659
0.004,0.112,1.192,1.193,191.850,169.449,149.637
0.005,0.151,1.225,1.226,191.871,169.431,149.608
0.006,0.195,1.258,1.259,191.887,169.414,149.572
0.007,0.245,1.291,1.292,191.900,169.399,149.526
0.009,0.304,1.324,1.325,191.907,169.386,149.468
0.010,0.376,1.357,1.357,191.908,169.377,149.397
0.011,0.464,1.391,1.390,191.902,169.370,149.310
0.012,0.570,1.423,1.422,191.887,169.368,149.205
0.014,0.692,1.454,1.452,191.866,169.369,149.085
0.015,0.826,1.481,1.480,191.841,169.373,148.953
0.016,0.968,1.505,1.503,191.812,169.382,148.815
0.017,1.112,1.524,1.522,191.783,169.394,148.673
0.019,1.256,1.536,1.535,191.756,169.409,148.534
0.020,1.393,1.541,1.541,191.732,169.428,148.400
0.021,1.520,1.538,1.539,191.714,169.450,148.276
0.022,1.633,1.528,1.531,191.705,169.476,148.166
0.024,1.728,1.513,1.518,191.705,169.505,148.076
0.025,1.807,1.495,1.501,191.718,169.537,148.005
0.026,1.876,1.476,1.483,191.744,169.575,147.953
0.027,1.948,1.458,1.465,191.784,169.621,147.916
0.029,2.030,1.443,1.448,191.841,169.675,147.891
0.030,2.130,1.433,1.435,191.916,169.740,147.877
0.031,2.252,1.430,1.426,192.009,169.817,147.869
0.032,2.398,1.435,1.425,192.123,169.909,147.865
0.034,2.571,1.449,1.431,192.259,170.016,147.863
0.035,2.773,1.470,1.446,192.418,170.141,147.860
0.036,3.004,1.500,1.473,192.600,170.284,147.853
0.037,3.260,1.538,1.511,192.800,170.442,147.842
0.039,3.532,1.584,1.563,193.013,170.612,147.829
0.040,3.812,1.638,1.630,193.231,170.787,147.815
0.041,4.093,1.701,1.713,193.448,170.965,147.799
0.042,4.367,1.772,1.810,193.658,171.140,147.784
0.044,4.626,1.846,1.916,193.854,171.308,147.769
0.045,4.862,1.923,2.026,194.030,171.465,147.756
0.046,5.067,2.000,2.134,194.179,171.606,147.746
0.047,5.236,2.073,2.236,194.295,171.727,147.739
0.049,5.367,2.141,2.325,194.379,171.828,147.735
0.050,5.466,2.200,2.398,194.435,171.910,147.733
0.051,5.540,2.249,2.448,194.466,171.977,147.733
0.052,5.593,2.287,2.475,194.479,172.029,147.734
0.053,5.634,2.314,2.482,194.476,172.069,147.735
0.055,5.668,2.333,2.474,194.463,172.100,147.734
0.056,5.698,2.346,2.455,194.444,172.124,147.731
0.057,5.726,2.353,2.429,194.424,172.143,147.726
0.058,5.750,2.357,2.401,194.407,172.158,147.717
0.060,5.772,2.359,2.375,194.396,172.172,147.704
0.061,5.794,2.360,2.355,194.391,172.187,147.690
0.062,5.816,2.363,2.344,194.391,172.204,147.675
0.063,5.840,2.368,2.342,194.395,172.225,147.663
0.065,5.868,2.375,2.348,194.402,172.250,147.655
0.066,5.902,2.385,2.361,194.412,172.283,147.654
0.067,5.944,2.399,2.380,194.424,172.323,147.660
0.068,5.998,2.418,2.406,194.437,172.372,147.677
0.070,6.067,2.442,2.437,194.450,172.433,147.706
0.071,6.152,2.472,2.472,194.464,172.506,147.748
0.072,6.253,2.507,2.512,194.479,172.590,147.803
0.073,6.367,2.546,2.553,194.495,172.682,147.867
0.075,6.490,2.586,2.593,194.515,172.780,147.938
0.076,6.619,2.624,2.631,194.539,172.883,148.014
0.077,6.753,2.659,2.664,194.570,172.987,148.091
0.078,6.887,2.686,2.690,194.607,173.091,148.168
0.080,7.020,2.705,2.707,194.653,173.192,148.241
0.081,7.150,2.713,2.713,194.709,173.288,148.309
0.082,7.276,2.707,2.706,194.775,173.378,148.368
0.083,7.399,2.689,2.688,194.851,173.459,148.418
0.085,7.518,2.663,2.661,194.934,173.533,148.461
0.086,7.634,2.629,2.627,195.023,173.600,148.496
0.087,7.747,2.591,2.590,195.113,173.660,148.525
0.088,7.854,2.551,2.550,195.203,173.714,148.549
0.090,7.956,2.511,2.511,195.290,173.762,148.569
0.091,8.049,2.474,2.474,195.372,173.804,148.585
0.092,8.132,2.441,2.441,195.445,173.841,148.600
0.093,8.203,2.412,2.412,195.507,173.873,148.612
0.095,8.263,2.386,2.386,195.559,173.901,148.625
0.096,8.315,2.362,2.362,195.603,173.925,148.636
0.097,8.364,2.338,2.339,195.646,173.947,148.646
0.098,8.416,2.314,2.315,195.692,173.968,148.654
0.100,8.475,2.289,2.289,195.747,173.988,148.661
0.101,8.546,2.261,2.261,195.815,174.010,148.666
0.102,8.636,2.229,2.229,195.902,174.034,148.668
0.103,8.750,2.194,2.194,196.012,174.061,148.667
0.104,8.892,2.157,2.156,196.151,174.092,148.664
0.106,9.067,2.118,2.118,196.322,174.128,148.657
0.107,9.270,2.080,2.080,196.521,174.168,148.647
0.108,9.493,2.044,2.044,196.739,174.211,148.636
0.109,9.728,2.009,2.009,196.970,174.254,148.624
0.111,9.967,1.979,1.979,197.205,174.297,148.612
0.112,10.201,1.952,1.952,197.436,174.338,148.600
0.113,10.424,1.930,1.930,197.655,174.375,148.590
0.114,10.627,1.913,1.913,197.855,174.407,148.583
0.116,10.802,1.899,1.900,198.028,174.432,148.579
0.117,10.941,1.890,1.890,198.167,174.448,148.579
0.118,11.044,1.883,1.883,198.269,174.455,148.583
0.119,11.116,1.879,1.879,198.341,174.455,148.591
0.121,11.165,1.877,1.877,198.388,174.449,148.602
