"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.061,1.061,219.541,229.174,245.936
0.003,0.175,1.035,1.035,219.452,229.209,246.083
0.005,0.350,1.012,1.012,219.364,229.245,246.229
0.008,0.522,0.998,0.998,219.277,229.280,246.374
0.011,0.692,0.996,0.996,219.193,229.315,246.516
0.014,0.858,1.009,1.009,219.110,229.349,246.656
0.016,1.019,1.035,1.035,219.031,229.383,246.793
0.019,1.175,1.074,1.074,218.956,229.416,246.925
0.022,1.324,1.124,1.124,218.886,229.449,247.053
0.024,1.466,1.182,1.182,218.821,229.481,247.174
0.027,1.599,1.240,1.240,218.761,229.512,247.290
0.030,1.724,1.292,1.292,218.708,229.543,247.398
0.033,1.838,1.331,1.331,218.663,229.572,247.499
0.035,1.942,1.360,1.360,218.625,229.600,247.592
0.038,2.034,1.383,1.383,218.595,229.627,247.675
0.041,2.116,1.403,1.403,218.574,229.652,247.749
0.043,2.187,1.423,1.423,218.560,229.677,247.814
0.046,2.249,1.442,1.442,218.552,229.702,247.871
0.049,2.303,1.457,1.457,218.547,229.727,247.919
0.052,2.351,1.465,1.465,218.546,229.752,247.959
0.054,2.393,1.467,1.467,218.546,229.778,247.992
0.057,2.431,1.461,1.461,218.546,229.806,248.018
0.060,2.466,1.451,1.451,218.545,229.835,248.037
0.063,2.500,1.436,1.436,218.541,229.867,248.050
0.065,2.536,1.419,1.419,218.534,229.901,248.056
0.068,2.575,1.399,1.399,218.521,229.938,248.058
0.071,2.621,1.377,1.377,218.501,229.979,248.054
0.073,2.674,1.355,1.355,218.472,230.023,248.045
0.076,2.737,1.333,1.333,218.435,230.072,248.031
0.079,2.809,1.314,1.314,218.388,230.124,248.014
0.082,2.889,1.297,1.297,218.334,230.179,247.994
0.084,2.976,1.284,1.284,218.273,230.237,247.972
0.087,3.068,1.274,1.274,218.206,230.296,247.948
0.090,3.164,1.269,1.269,218.135,230.355,247.923
0.092,3.262,1.267,1.267,218.061,230.414,247.899
0.095,3.360,1.268,1.268,217.985,230.473,247.875
0.098,3.458,1.273,1.273,217.908,230.529,247.853
0.101,3.554,1.282,1.282,217.831,230.582,247.834
0.103,3.646,1.293,1.293,217.756,230.633,247.818
0.106,3.732,1.306,1.306,217.684,230.679,247.806
0.109,3.813,1.314,1.314,217.615,230.719,247.798
0.111,3.885,1.316,1.316,217.551,230.754,247.796
0.114,3.950,1.309,1.309,217.493,230.783,247.801
0.117,4.008,1.297,1.297,217.441,230.806,247.810
0.120,4.061,1.283,1.283,217.394,230.826,247.824
0.122,4.109,1.273,1.273,217.352,230.843,247.841
0.125,4.154,1.268,1.268,217.314,230.858,247.861
0.128,4.197,1.267,1.267,217.281,230.872,247.882
0.130,4.237,1.271,1.271,217.251,230.888,247.904
0.133,4.275,1.278,1.278,217.225,230.905,247.926
0.136,4.312,1.289,1.289,217.202,230.926,247.947
0.139,4.349,1.303,1.303,217.182,230.951,247.966
0.141,4.388,1.322,1.322,217.164,230.982,247.982
0.144,4.431,1.344,1.344,217.149,231.019,247.994
0.147,4.479,1.364,1.364,217.135,231.065,248.001
0.149,4.536,1.375,1.375,217.122,231.120,248.003
0.152,4.601,1.370,1.370,217.110,231.184,247.999
0.155,4.674,1.347,1.347,217.097,231.255,247.991
0.158,4.752,1.313,1.313,217.081,231.331,247.978
0.160,4.835,1.276,1.276,217.063,231.410,247.962
0.163,4.921,1.242,1.242,217.039,231.491,247.944
0.166,5.008,1.220,1.220,217.009,231.570,247.924
0.168,5.097,1.214,1.214,216.972,231.647,247.903
0.171,5.185,1.229,1.229,216.926,231.720,247.882
0.174,5.274,1.270,1.270,216.870,231.786,247.862
0.177,5.364,1.326,1.326,216.802,231.843,247.844
0.179,5.459,1.381,1.381,216.722,231.890,247.827
0.182,5.560,1.421,1.421,216.627,231.925,247.814
0.185,5.673,1.434,1.434,216.517,231.945,247.805
0.188,5.799,1.426,1.426,216.391,231.949,247.801
0.190,5.940,1.405,1.405,216.250,231.938,247.801
0.193,6.095,1.379,1.379,216.097,231.915,247.805
0.196,6.260,1.354,1.354,215.936,231.880,247.813
0.198,6.434,1.337,1.337,215.768,231.836,247.823
0.201,6.613,1.332,1.332,215.597,231.784,247.836
0.204,6.794,1.344,1.344,215.426,231.727,247.851
0.207,6.974,1.374,1.374,215.258,231.667,247.867
0.209,7.149,1.423,1.423,215.095,231.605,247.884
0.212,7.317,1.489,1.489,214.940,231.543,247.902
0.215,7.474,1.569,1.569,214.796,231.483,247.919
0.217,7.616,1.647,1.647,214.666,231.427,247.936
0.220,7.741,1.703,1.703,214.552,231.378,247.952
0.223,7.844,1.715,1.715,214.459,231.336,247.966
0.226,7.925,1.678,1.678,214.386,231.303,247.978
0.228,7.985,1.613,1.613,214.332,231.278,247.988
0.231,8.027,1.544,1.544,214.295,231.260,247.995
0.234,8.052,1.498,1.498,214.273,231.250,248.001
0.236,8.065,1.481,1.481,214.262,231.245,248.004
0.239,8.066,1.484,1.484,214.261,231.245,248.004
0.242,8.073,1.500,1.500,214.267,231.249,248.003
0.245,8.088,1.518,1.518,214.279,231.256,247.999
0.247,8.106,1.536,1.536,214.293,231.266,247.992
0.250,8.127,1.554,1.554,214.307,231.277,247.983
0.253,8.148,1.572,1.572,214.320,231.289,247.971
0.255,8.168,1.588,1.588,214.328,231.301,247.956
0.258,8.189,1.602,1.602,214.330,231.312,247.939
0.261,8.212,1.611,1.611,214.323,231.322,247.918
0.264,8.242,1.615,1.615,214.306,231.329,247.895
0.266,8.279,1.614,1.614,214.281,231.335,247.869
0.269,8.323,1.608,1.608,214.249,231.340,247.839
0.272,8.374,1.599,1.599,214.211,231.343,247.806
0.274,8.431,1.589,1.589,214.167,231.347,247.769
0.277,8.495,1.580,1.580,214.118,231.350,247.728
0.280,8.563,1.572,1.572,214.067,231.353,247.683
0.283,8.637,1.568,1.568,214.012,231.357,247.633
0.285,8.715,1.570,1.570,213.956,231.361,247.579
0.288,8.796,1.575,1.575,213.900,231.367,247.521
0.291,8.881,1.586,1.586,213.844,231.375,247.457
0.293,8.970,1.599,1.599,213.789,231.384,247.389
0.296,9.061,1.615,1.615,213.737,231.395,247.315
0.299,9.155,1.631,1.631,213.687,231.409,247.235
0.302,9.252,1.644,1.644,213.641,231.425,247.152
0.304,9.351,1.652,1.652,213.598,231.444,247.065
0.307,9.452,1.654,1.654,213.557,231.464,246.975
0.310,9.553,1.656,1.656,213.518,231.485,246.885
0.313,9.653,1.662,1.662,213.482,231.508,246.794
0.315,9.753,1.674,1.674,213.447,231.531,246.703
0.318,9.850,1.692,1.692,213.413,231.556,246.615
0.321,9.945,1.715,1.715,213.381,231.580,246.530
0.323,10.035,1.740,1.740,213.349,231.604,246.448
0.326,10.121,1.765,1.765,213.318,231.629,246.372
0.329,10.201,1.788,1.788,213.288,231.652,246.302
0.332,10.275,1.810,1.810,213.257,231.675,246.239
0.334,10.341,1.829,1.829,213.226,231.697,246.184
0.337,10.401,1.844,1.844,213.195,231.717,246.138
0.340,10.453,1.856,1.856,213.165,231.736,246.100
0.342,10.500,1.865,1.865,213.135,231.754,246.069
0.345,10.540,1.872,1.872,213.106,231.771,246.046
0.348,10.576,1.876,1.876,213.078,231.786,246.029
0.351,10.607,1.877,1.877,213.053,231.800,246.018
0.353,10.634,1.878,1.878,213.030,231.813,246.012
0.356,10.657,1.876,1.876,213.011,231.825,246.011
0.359,10.677,1.874,1.874,212.995,231.836,246.014
0.361,10.694,1.872,1.872,212.982,231.846,246.020
0.364,10.709,1.870,1.870,212.974,231.854,246.029
0.367,10.723,1.870,1.870,212.971,231.862,246.041
0.370,10.738,1.870,1.870,212.974,231.869,246.055
0.372,10.756,1.871,1.871,212.981,231.874,246.070
0.375,10.776,1.872,1.872,212.994,231.879,246.085
0.378,10.798,1.874,1.874,213.009,231.883,246.099
0.380,10.819,1.875,1.875,213.025,231.886,246.113
0.383,10.837,1.876,1.876,213.041,231.888,246.123
0.386,10.852,1.877,1.877,213.053,231.891,246.131
0.389,10.860,1.877,1.877,213.060,231.892,246.134
0.391,10.863,1.875,1.875,213.061,231.894,246.131
0.394,10.874,1.871,1.871,213.053,231.895,246.123
0.397,10.898,1.865,1.865,213.035,231.897,246.107
0.399,10.937,1.855,1.855,213.005,231.899,246.084
0.402,10.992,1.842,1.842,212.961,231.900,246.051
0.405,11.066,1.826,1.826,212.900,231.903,246.008
0.408,11.161,1.807,1.807,212.822,231.905,245.955
0.410,11.278,1.789,1.789,212.725,231.908,245.889
0.413,11.415,1.774,1.774,212.611,231.911,245.814
0.416,11.569,1.764,1.764,212.483,231.914,245.728
0.418,11.739,1.762,1.762,212.342,231.916,245.633
0.421,11.921,1.771,1.771,212.192,231.917,245.530
0.424,12.113,1.791,1.791,212.034,231.916,245.420
0.427,12.313,1.824,1.824,211.872,231.912,245.303
0.429,12.518,1.873,1.873,211.708,231.906,245.181
0.432,12.725,1.938,1.938,211.544,231.897,245.055
0.435,12.933,2.021,2.021,211.383,231.884,244.925
0.438,13.138,2.120,2.120,211.226,231.867,244.792
