"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.890,0.890,233.910,231.994,246.195
0.003,0.250,0.978,0.978,233.747,231.988,246.385
0.006,0.498,1.068,1.068,233.583,231.983,246.571
0.009,0.739,1.162,1.162,233.421,231.983,246.749
0.012,0.973,1.261,1.261,233.258,231.987,246.917
0.015,1.195,1.365,1.365,233.097,231.999,247.070
0.019,1.405,1.474,1.474,232.937,232.020,247.204
0.022,1.603,1.588,1.588,232.778,232.051,247.316
0.025,1.788,1.699,1.699,232.620,232.094,247.403
0.028,1.964,1.789,1.789,232.464,232.152,247.460
0.031,2.136,1.844,1.844,232.310,232.226,247.484
0.034,2.313,1.854,1.854,232.159,232.317,247.473
0.037,2.500,1.833,1.833,232.011,232.424,247.432
0.040,2.696,1.796,1.796,231.870,232.544,247.369
0.043,2.899,1.757,1.757,231.736,232.675,247.291
0.046,3.103,1.726,1.726,231.613,232.814,247.206
0.050,3.304,1.710,1.710,231.501,232.959,247.122
0.053,3.497,1.717,1.717,231.404,233.107,247.047
0.056,3.677,1.741,1.741,231.323,233.257,246.988
0.059,3.841,1.772,1.772,231.260,233.404,246.954
0.062,3.991,1.799,1.799,231.217,233.548,246.951
0.065,4.134,1.815,1.815,231.196,233.685,246.987
0.068,4.283,1.825,1.825,231.196,233.817,247.058
0.071,4.444,1.831,1.831,231.212,233.943,247.156
0.074,4.616,1.837,1.837,231.243,234.065,247.273
0.077,4.795,1.852,1.852,231.285,234.184,247.401
0.080,4.978,1.885,1.885,231.336,234.300,247.533
0.084,5.159,1.941,1.941,231.391,234.415,247.660
0.087,5.332,1.998,1.998,231.449,234.531,247.775
0.090,5.492,2.030,2.030,231.507,234.646,247.870
0.093,5.638,2.009,2.009,231.560,234.764,247.937
0.096,5.771,1.944,1.944,231.608,234.884,247.970
0.099,5.900,1.866,1.866,231.648,235.006,247.969
0.102,6.030,1.808,1.808,231.682,235.129,247.941
0.105,6.165,1.783,1.783,231.711,235.251,247.893
0.108,6.302,1.784,1.784,231.736,235.372,247.831
0.111,6.440,1.801,1.801,231.756,235.489,247.761
0.115,6.574,1.822,1.822,231.774,235.601,247.690
0.118,6.700,1.839,1.839,231.789,235.708,247.625
0.121,6.814,1.845,1.845,231.803,235.808,247.572
0.124,6.913,1.831,1.831,231.816,235.899,247.536
0.127,6.996,1.801,1.801,231.829,235.980,247.525
0.130,7.069,1.762,1.762,231.842,236.051,247.536
0.133,7.135,1.719,1.719,231.855,236.111,247.560
0.136,7.193,1.679,1.679,231.866,236.160,247.590
0.139,7.241,1.646,1.646,231.876,236.198,247.617
0.142,7.273,1.627,1.627,231.883,236.225,247.632
0.146,7.289,1.624,1.624,231.888,236.241,247.628
0.149,7.322,1.642,1.642,231.889,236.244,247.595
0.152,7.391,1.684,1.684,231.886,236.236,247.527
0.155,7.506,1.745,1.745,231.879,236.216,247.414
0.158,7.675,1.798,1.798,231.867,236.183,247.248
0.161,7.897,1.811,1.811,231.850,236.139,247.032
0.164,8.161,1.758,1.758,231.828,236.087,246.773
0.167,8.458,1.662,1.662,231.802,236.030,246.484
0.170,8.776,1.571,1.571,231.772,235.969,246.173
0.173,9.106,1.528,1.528,231.739,235.908,245.850
0.176,9.437,1.544,1.544,231.704,235.849,245.527
0.180,9.759,1.594,1.594,231.666,235.795,245.211
0.183,10.062,1.653,1.653,231.627,235.748,244.915
0.186,10.335,1.706,1.706,231.586,235.712,244.647
0.189,10.569,1.749,1.749,231.545,235.689,244.417
0.192,10.762,1.780,1.780,231.504,235.678,244.230
0.195,10.918,1.800,1.800,231.462,235.679,244.079
0.198,11.043,1.815,1.815,231.420,235.688,243.962
0.201,11.143,1.833,1.833,231.378,235.702,243.871
0.204,11.224,1.860,1.860,231.337,235.719,243.804
0.207,11.290,1.890,1.890,231.296,235.736,243.755
0.211,11.347,1.911,1.911,231.256,235.751,243.719
0.214,11.396,1.911,1.911,231.217,235.761,243.691
0.217,11.441,1.890,1.890,231.178,235.764,243.667
0.220,11.487,1.862,1.862,231.141,235.757,243.641
0.223,11.538,1.840,1.840,231.104,235.738,243.611
0.226,11.597,1.832,1.832,231.067,235.709,243.576
0.229,11.664,1.837,1.837,231.029,235.670,243.537
0.232,11.742,1.848,1.848,230.987,235.622,243.492
0.235,11.830,1.863,1.863,230.940,235.566,243.443
0.238,11.928,1.880,1.880,230.889,235.503,243.388
0.241,12.038,1.900,1.900,230.830,235.433,243.328
0.245,12.158,1.921,1.921,230.763,235.357,243.262
0.248,12.290,1.943,1.943,230.687,235.277,243.191
0.251,12.433,1.967,1.967,230.600,235.192,243.114
0.254,12.588,1.992,1.992,230.502,235.105,243.033
0.257,12.750,2.020,2.020,230.396,235.016,242.948
0.260,12.915,2.053,2.053,230.286,234.927,242.863
0.263,13.080,2.096,2.096,230.172,234.840,242.781
0.266,13.241,2.148,2.148,230.060,234.756,242.703
0.269,13.393,2.205,2.205,229.951,234.677,242.632
0.272,13.533,2.259,2.259,229.849,234.604,242.570
0.276,13.656,2.306,2.306,229.756,234.539,242.521
0.279,13.760,2.344,2.344,229.676,234.484,242.486
0.282,13.841,2.369,2.369,229.610,234.440,242.468
0.285,13.899,2.383,2.383,229.562,234.407,242.467
0.288,13.940,2.385,2.385,229.529,234.386,242.479
0.291,13.970,2.379,2.379,229.510,234.374,242.499
0.294,13.994,2.367,2.367,229.503,234.371,242.523
0.297,14.016,2.353,2.353,229.507,234.374,242.543
0.300,14.036,2.342,2.342,229.518,234.383,242.557
0.303,14.058,2.338,2.338,229.537,234.396,242.558
0.307,14.091,2.346,2.346,229.560,234.413,242.542
0.310,14.141,2.362,2.362,229.586,234.430,242.503
0.313,14.215,2.380,2.380,229.613,234.449,242.437
0.316,14.317,2.397,2.397,229.639,234.466,242.340
0.319,14.442,2.416,2.416,229.661,234.481,242.218
0.322,14.584,2.440,2.440,229.676,234.492,242.077
0.325,14.736,2.471,2.471,229.680,234.498,241.925
0.328,14.894,2.515,2.515,229.670,234.497,241.768
0.331,15.051,2.576,2.576,229.643,234.489,241.613
0.334,15.206,2.657,2.657,229.595,234.472,241.466
0.337,15.359,2.752,2.752,229.522,234.444,241.335
0.341,15.511,2.835,2.835,229.423,234.405,241.226
0.344,15.673,2.881,2.881,229.293,234.352,241.147
0.347,15.855,2.875,2.875,229.130,234.286,241.101
0.350,16.061,2.837,2.837,228.939,234.207,241.087
0.353,16.290,2.796,2.796,228.728,234.119,241.099
0.356,16.537,2.774,2.774,228.502,234.025,241.132
0.359,16.795,2.777,2.777,228.269,233.926,241.181
0.362,17.057,2.796,2.796,228.035,233.825,241.242
0.365,17.314,2.825,2.825,227.808,233.726,241.309
0.368,17.559,2.856,2.856,227.593,233.630,241.378
0.372,17.784,2.882,2.882,227.397,233.541,241.443
0.375,17.980,2.896,2.896,227.228,233.460,241.500
0.378,18.140,2.896,2.896,227.091,233.391,241.544
0.381,18.267,2.891,2.891,226.983,233.332,241.575
0.384,18.366,2.890,2.890,226.900,233.282,241.595
0.387,18.442,2.901,2.901,226.837,233.239,241.606
0.390,18.502,2.921,2.921,226.789,233.203,241.608
0.393,18.551,2.946,2.946,226.752,233.171,241.605
0.396,18.594,2.971,2.971,226.721,233.142,241.597
0.399,18.637,2.995,2.995,226.691,233.115,241.586
0.402,18.682,3.020,3.020,226.656,233.088,241.574
0.406,18.735,3.045,3.045,226.614,233.059,241.562
0.409,18.800,3.072,3.072,226.558,233.027,241.552
0.412,18.876,3.099,3.099,226.491,232.993,241.544
0.415,18.960,3.126,3.126,226.415,232.957,241.539
0.418,19.049,3.154,3.154,226.333,232.921,241.535
0.421,19.140,3.181,3.181,226.249,232.886,241.532
0.424,19.229,3.208,3.208,226.167,232.853,241.532
0.427,19.313,3.233,3.233,226.088,232.822,241.533
0.430,19.389,3.255,3.255,226.017,232.796,241.535
0.433,19.453,3.272,3.272,225.956,232.775,241.539
0.437,19.503,3.281,3.281,225.910,232.760,241.543
0.440,19.534,3.285,3.285,225.880,232.752,241.549
0.443,19.551,3.283,3.283,225.864,232.751,241.555
0.446,19.559,3.278,3.278,225.858,232.754,241.560
0.449,19.567,3.271,3.271,225.856,232.760,241.564
0.452,19.574,3.267,3.267,225.854,232.767,241.565
0.455,19.585,3.266,3.266,225.845,232.772,241.563
0.458,19.606,3.272,3.272,225.824,232.775,241.557
0.461,19.644,3.285,3.285,225.788,232.773,241.545
0.464,19.706,3.306,3.306,225.730,232.764,241.527
0.467,19.796,3.333,3.333,225.645,232.746,241.503
0.471,19.920,3.369,3.369,225.528,232.719,241.470
0.474,20.077,3.411,3.411,225.382,232.681,241.430
0.477,20.259,3.462,3.462,225.211,232.636,241.384
0.480,20.460,3.521,3.521,225.023,232.585,241.333
0.483,20.674,3.589,3.589,224.824,232.531,241.279
0.486,20.893,3.668,3.668,224.620,232.475,241.222
0.489,21.110,3.756,3.756,224.417,232.420,241.165
0.492,21.320,3.849,3.849,224.222,232.368,241.108
0.495,21.514,3.940,3.940,224.042,232.321,241.053
0.498,21.687,4.026,4.026,223.882,232.281,241.001
0.502,21.832,4.104,4.104,223.749,232.250,240.954
0.505,21.947,4.169,4.169,223.643,232.229,240.912
0.508,22.039,4.219,4.219,223.560,232.216,240.876
0.511,22.110,4.257,4.257,223.497,232.209,240.844
0.514,22.165,4.283,4.283,223.448,232.207,240.818
0.517,22.210,4.303,4.303,223.409,232.208,240.796
0.520,22.248,4.319,4.319,223.375,232.210,240.780
0.523,22.282,4.332,4.332,223.343,232.212,240.768
0.526,22.319,4.346,4.346,223.307,232.212,240.762
0.529,22.363,4.362,4.362,223.263,232.208,240.760
0.533,22.420,4.382,4.382,223.206,232.200,240.763
0.536,22.492,4.407,4.407,223.137,232.186,240.770
0.539,22.575,4.437,4.437,223.056,232.168,240.781
0.542,22.667,4.472,4.472,222.968,232.148,240.794
0.545,22.763,4.510,4.510,222.875,232.126,240.810
0.548,22.861,4.549,4.549,222.780,232.105,240.826
0.551,22.958,4.587,4.587,222.687,232.086,240.843
0.554,23.049,4.621,4.621,222.599,232.071,240.859
