"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.061,1.061,226.754,216.726,234.893
0.005,0.215,1.024,1.024,226.651,216.778,235.074
0.009,0.428,0.998,0.998,226.548,216.830,235.254
0.014,0.638,0.994,0.994,226.447,216.881,235.431
0.019,0.843,1.011,1.011,226.350,216.932,235.604
0.024,1.041,1.043,1.043,226.258,216.982,235.772
0.028,1.230,1.090,1.090,226.172,217.030,235.933
0.033,1.409,1.154,1.154,226.093,217.077,236.087
0.038,1.576,1.224,1.224,226.022,217.122,236.231
0.043,1.730,1.282,1.282,225.960,217.164,236.365
0.047,1.868,1.325,1.325,225.909,217.205,236.487
0.052,1.990,1.363,1.363,225.870,217.243,236.597
0.057,2.095,1.401,1.401,225.843,217.278,236.692
0.062,2.184,1.431,1.431,225.827,217.311,236.773
0.066,2.260,1.450,1.450,225.820,217.343,236.841
0.071,2.324,1.460,1.460,225.818,217.375,236.897
0.076,2.379,1.467,1.467,225.820,217.408,236.941
0.081,2.426,1.465,1.465,225.822,217.442,236.974
0.085,2.469,1.452,1.452,225.823,217.478,236.996
0.090,2.511,1.432,1.432,225.819,217.518,237.009
0.095,2.557,1.408,1.408,225.809,217.562,237.014
0.100,2.610,1.383,1.383,225.790,217.611,237.010
0.104,2.674,1.356,1.356,225.759,217.666,236.999
0.109,2.753,1.330,1.330,225.714,217.728,236.982
0.114,2.845,1.306,1.306,225.656,217.796,236.959
0.118,2.949,1.287,1.287,225.587,217.869,236.932
0.123,3.061,1.274,1.274,225.509,217.944,236.902
0.128,3.178,1.268,1.268,225.424,218.020,236.872
0.133,3.299,1.271,1.271,225.335,218.096,236.842
0.137,3.420,1.280,1.280,225.244,218.170,236.814
0.142,3.539,1.288,1.288,225.152,218.241,236.789
0.147,3.652,1.290,1.290,225.062,218.307,236.769
0.152,3.757,1.291,1.291,224.976,218.366,236.755
0.156,3.853,1.296,1.296,224.896,218.417,236.749
0.161,3.936,1.298,1.298,224.824,218.458,236.751
0.166,4.008,1.290,1.290,224.760,218.491,236.762
0.171,4.072,1.279,1.279,224.705,218.517,236.779
0.175,4.130,1.272,1.272,224.656,218.539,236.801
0.180,4.183,1.271,1.271,224.614,218.560,236.827
0.185,4.232,1.273,1.273,224.578,218.580,236.854
0.190,4.279,1.278,1.278,224.548,218.603,236.881
0.194,4.324,1.289,1.289,224.522,218.631,236.906
0.199,4.370,1.309,1.309,224.501,218.666,236.927
0.204,4.421,1.345,1.345,224.483,218.711,236.943
0.209,4.479,1.385,1.385,224.469,218.767,236.952
0.213,4.550,1.394,1.394,224.457,218.836,236.952
0.218,4.633,1.360,1.360,224.445,218.918,236.943
0.223,4.727,1.309,1.309,224.432,219.010,236.928
0.227,4.828,1.269,1.269,224.414,219.107,236.908
0.232,4.933,1.243,1.243,224.389,219.206,236.883
0.237,5.041,1.230,1.230,224.354,219.305,236.857
0.242,5.149,1.228,1.228,224.308,219.399,236.830
0.246,5.258,1.239,1.239,224.246,219.485,236.804
0.251,5.369,1.287,1.287,224.166,219.559,236.781
0.256,5.487,1.395,1.395,224.067,219.619,236.762
0.261,5.616,1.504,1.504,223.945,219.660,236.749
0.265,5.765,1.514,1.514,223.797,219.679,236.743
0.270,5.936,1.436,1.436,223.626,219.677,236.745
0.275,6.128,1.359,1.359,223.436,219.655,236.754
0.280,6.335,1.327,1.327,223.233,219.618,236.768
0.284,6.552,1.328,1.328,223.022,219.569,236.787
0.289,6.774,1.348,1.348,222.809,219.511,236.809
0.294,6.996,1.387,1.387,222.599,219.446,236.834
0.299,7.210,1.445,1.445,222.397,219.379,236.860
0.303,7.410,1.527,1.527,222.209,219.313,236.886
0.308,7.592,1.626,1.626,222.041,219.251,236.911
0.313,7.747,1.687,1.687,221.897,219.196,236.934
0.318,7.871,1.663,1.663,221.784,219.151,236.954
0.322,7.961,1.593,1.593,221.702,219.118,236.970
0.327,8.021,1.535,1.535,221.648,219.096,236.982
0.332,8.055,1.504,1.504,221.617,219.083,236.990
0.336,8.069,1.491,1.491,221.604,219.077,236.994
0.341,8.072,1.493,1.493,221.606,219.079,236.994
0.346,8.086,1.506,1.506,221.619,219.085,236.991
0.351,8.108,1.527,1.527,221.636,219.096,236.983
0.355,8.134,1.552,1.552,221.655,219.109,236.971
0.360,8.160,1.577,1.577,221.671,219.123,236.956
0.365,8.185,1.597,1.597,221.679,219.136,236.936
0.370,8.212,1.610,1.610,221.675,219.149,236.912
0.374,8.247,1.616,1.616,221.657,219.158,236.884
0.379,8.293,1.613,1.613,221.626,219.166,236.852
0.384,8.350,1.605,1.605,221.584,219.173,236.814
0.389,8.417,1.593,1.593,221.532,219.178,236.772
0.393,8.493,1.582,1.582,221.473,219.184,236.723
0.398,8.578,1.574,1.574,221.409,219.190,236.668
0.403,8.670,1.569,1.569,221.340,219.196,236.607
0.408,8.768,1.567,1.567,221.270,219.204,236.539
0.412,8.872,1.577,1.577,221.200,219.214,236.464
0.417,8.980,1.608,1.608,221.131,219.226,236.381
0.422,9.093,1.645,1.645,221.066,219.242,236.290
0.427,9.210,1.660,1.660,221.006,219.261,236.191
0.431,9.331,1.651,1.651,220.951,219.282,236.086
0.436,9.454,1.643,1.643,220.899,219.307,235.977
0.441,9.578,1.650,1.650,220.851,219.333,235.866
0.445,9.702,1.666,1.666,220.806,219.361,235.754
0.450,9.823,1.687,1.687,220.764,219.389,235.644
0.455,9.940,1.713,1.713,220.723,219.419,235.539
0.460,10.051,1.741,1.741,220.685,219.449,235.438
0.464,10.155,1.771,1.771,220.647,219.478,235.346
0.469,10.250,1.799,1.799,220.610,219.506,235.263
0.474,10.335,1.824,1.824,220.573,219.534,235.192
0.479,10.408,1.845,1.845,220.535,219.559,235.134
0.483,10.472,1.859,1.859,220.498,219.583,235.089
0.488,10.526,1.867,1.867,220.463,219.605,235.054
0.493,10.572,1.870,1.870,220.429,219.626,235.030
0.498,10.611,1.873,1.873,220.399,219.644,235.015
0.502,10.644,1.876,1.876,220.372,219.661,235.008
0.507,10.671,1.877,1.877,220.349,219.676,235.008
0.512,10.693,1.874,1.874,220.332,219.690,235.013
