"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,6.733,6.733,189.752,211.655,210.849
0.011,0.055,6.685,6.685,189.700,211.639,210.855
0.022,0.108,6.637,6.637,189.649,211.623,210.860
0.034,0.159,6.592,6.592,189.600,211.607,210.864
0.045,0.207,6.549,6.549,189.555,211.593,210.869
0.056,0.251,6.511,6.511,189.514,211.579,210.873
0.067,0.289,6.477,6.477,189.478,211.567,210.876
0.079,0.320,6.449,6.449,189.449,211.557,210.879
0.090,0.343,6.428,6.428,189.427,211.548,210.881
0.101,0.358,6.415,6.415,189.414,211.542,210.882
0.112,0.363,6.411,6.411,189.410,211.539,210.882
0.124,0.370,6.416,6.416,189.417,211.538,210.881
0.135,0.389,6.431,6.431,189.436,211.541,210.879
0.146,0.422,6.459,6.459,189.468,211.546,210.875
0.157,0.469,6.498,6.498,189.514,211.556,210.870
0.169,0.531,6.552,6.552,189.574,211.569,210.864
0.180,0.611,6.620,6.620,189.651,211.587,210.855
0.191,0.708,6.704,6.704,189.745,211.610,210.845
0.202,0.824,6.792,6.792,189.857,211.637,210.833
0.213,0.959,6.833,6.833,189.987,211.669,210.819
0.225,1.111,6.884,6.884,190.134,211.705,210.803
0.236,1.278,6.941,6.941,190.295,211.746,210.786
0.247,1.457,7.006,7.006,190.468,211.789,210.769
0.258,1.646,7.079,7.079,190.651,211.836,210.751
0.270,1.843,7.158,7.158,190.841,211.885,210.733
0.281,2.046,7.244,7.244,191.037,211.935,210.716
0.292,2.252,7.335,7.335,191.235,211.987,210.700
0.303,2.459,7.431,7.431,191.435,212.039,210.685
0.315,2.664,7.530,7.530,191.633,212.092,210.671
0.326,2.865,7.631,7.631,191.827,212.144,210.660
0.337,3.061,7.733,7.733,192.015,212.195,210.651
0.348,3.248,7.835,7.835,192.196,212.244,210.646
0.360,3.425,7.934,7.934,192.366,212.292,210.643
0.371,3.589,8.029,8.029,192.524,212.337,210.644
0.382,3.737,8.117,8.117,192.666,212.379,210.649
0.393,3.869,8.199,8.199,192.792,212.417,210.659
0.404,3.982,8.254,8.254,192.899,212.451,210.674
0.416,4.076,8.282,8.282,192.986,212.480,210.693
0.427,4.154,8.312,8.312,193.056,212.505,210.717
0.438,4.218,8.341,8.342,193.111,212.526,210.743
0.449,4.272,8.374,8.372,193.153,212.543,210.771
0.461,4.316,8.389,8.402,193.184,212.556,210.800
0.472,4.354,8.383,8.431,193.208,212.565,210.828
0.483,4.387,8.373,8.459,193.225,212.570,210.856
0.494,4.416,8.363,8.486,193.238,212.571,210.882
0.506,4.442,8.355,8.510,193.251,212.568,210.904
0.517,4.466,8.351,8.533,193.264,212.562,210.923
0.528,4.489,8.354,8.553,193.280,212.553,210.937
0.539,4.516,8.365,8.570,193.302,212.541,210.945
0.551,4.549,8.387,8.584,193.331,212.525,210.946
0.562,4.593,8.422,8.595,193.371,212.506,210.940
0.573,4.652,8.472,8.603,193.422,212.484,210.924
0.584,4.727,8.541,8.608,193.489,212.459,210.899
0.596,4.821,8.604,8.609,193.572,212.431,210.863
0.607,4.938,8.607,8.607,193.674,212.401,210.815
0.618,5.076,8.604,8.604,193.795,212.368,210.757
0.629,5.234,8.601,8.601,193.932,212.333,210.689
0.640,5.408,8.600,8.600,194.085,212.294,210.613
0.652,5.597,8.602,8.602,194.250,212.253,210.531
0.663,5.798,8.608,8.608,194.426,212.209,210.444
0.674,6.009,8.621,8.621,194.610,212.162,210.354
0.685,6.226,8.641,8.641,194.801,212.111,210.264
0.697,6.449,8.668,8.668,194.997,212.058,210.173
0.708,6.673,8.705,8.705,195.196,212.002,210.085
0.719,6.897,8.751,8.751,195.395,211.943,210.000
0.730,7.120,8.806,8.806,195.593,211.880,209.921
0.742,7.337,8.870,8.870,195.787,211.814,209.848
0.753,7.548,8.944,8.944,195.976,211.745,209.784
0.764,7.751,9.026,9.026,196.157,211.672,209.730
0.775,7.944,9.117,9.116,196.329,211.596,209.689
0.787,8.125,9.214,9.215,196.489,211.516,209.660
0.798,8.294,9.321,9.320,196.636,211.433,209.647
0.809,8.452,9.366,9.428,196.768,211.346,209.650
0.820,8.600,9.310,9.437,196.884,211.256,209.670
0.831,8.743,9.222,9.388,196.986,211.162,209.705
0.843,8.883,9.153,9.368,197.074,211.066,209.755
0.854,9.023,9.098,9.365,197.150,210.966,209.818
0.865,9.165,9.058,9.382,197.214,210.864,209.893
0.876,9.311,9.031,9.416,197.268,210.760,209.980
0.888,9.462,9.016,9.465,197.312,210.653,210.078
0.899,9.619,9.014,9.531,197.346,210.544,210.185
0.910,9.781,9.023,9.549,197.373,210.433,210.301
0.921,9.950,9.042,9.529,197.392,210.321,210.424
0.933,10.123,9.072,9.509,197.405,210.207,210.555
0.944,10.301,9.110,9.488,197.413,210.092,210.691
0.955,10.484,9.156,9.468,197.416,209.976,210.831
0.966,10.670,9.210,9.449,197.416,209.860,210.976
0.978,10.858,9.262,9.429,197.413,209.742,211.124
0.989,11.049,9.256,9.420,197.408,209.624,211.273
1.000,11.240,9.243,9.303,197.402,209.506,211.424
