"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.810,0.810,191.460,167.344,149.254
0.001,0.187,0.911,0.911,191.399,167.195,149.159
0.002,0.372,1.011,1.011,191.338,167.048,149.064
0.003,0.554,1.108,1.108,191.280,166.904,148.970
0.004,0.729,1.201,1.201,191.223,166.765,148.880
0.005,0.897,1.288,1.288,191.171,166.632,148.793
0.006,1.054,1.370,1.370,191.122,166.507,148.711
0.008,1.200,1.443,1.443,191.078,166.391,148.633
0.009,1.331,1.506,1.506,191.041,166.286,148.563
0.010,1.447,1.560,1.560,191.010,166.194,148.499
0.011,1.546,1.601,1.601,190.987,166.116,148.443
0.012,1.625,1.631,1.631,190.973,166.054,148.397
0.013,1.683,1.651,1.651,190.968,166.009,148.360
0.014,1.723,1.663,1.663,190.971,165.981,148.332
0.015,1.750,1.669,1.669,190.981,165.967,148.312
0.016,1.770,1.670,1.670,190.996,165.964,148.299
0.017,1.790,1.667,1.667,191.014,165.969,148.291
0.018,1.812,1.664,1.664,191.032,165.981,148.286
0.019,1.835,1.661,1.661,191.049,165.996,148.283
0.020,1.856,1.659,1.659,191.063,166.012,148.280
0.022,1.873,1.661,1.661,191.071,166.026,148.276
0.023,1.885,1.666,1.666,191.072,166.036,148.270
0.024,1.899,1.674,1.674,191.064,166.038,148.259
0.025,1.926,1.684,1.684,191.044,166.030,148.242
0.026,1.971,1.697,1.697,191.011,166.010,148.218
0.027,2.032,1.712,1.712,190.967,165.980,148.188
0.028,2.108,1.730,1.730,190.914,165.942,148.150
0.029,2.195,1.749,1.749,190.853,165.897,148.107
0.030,2.292,1.770,1.770,190.786,165.847,148.057
0.031,2.396,1.792,1.792,190.716,165.795,148.001
0.032,2.504,1.816,1.816,190.644,165.742,147.939
0.033,2.615,1.840,1.840,190.572,165.690,147.872
0.034,2.727,1.864,1.864,190.503,165.642,147.800
0.035,2.837,1.889,1.889,190.437,165.599,147.723
0.037,2.944,1.912,1.912,190.377,165.563,147.641
0.038,3.048,1.935,1.935,190.325,165.536,147.555
0.039,3.149,1.957,1.957,190.281,165.519,147.466
0.040,3.248,1.977,1.977,190.245,165.509,147.374
0.041,3.345,1.995,1.995,190.216,165.507,147.282
0.042,3.439,2.010,2.010,190.193,165.510,147.191
0.043,3.530,2.024,2.024,190.176,165.517,147.102
0.044,3.617,2.036,2.036,190.163,165.529,147.017
0.045,3.699,2.047,2.047,190.155,165.542,146.936
0.046,3.774,2.056,2.056,190.150,165.556,146.863
0.047,3.841,2.065,2.065,190.148,165.570,146.797
0.048,3.898,2.074,2.074,190.148,165.582,146.741
0.049,3.944,2.082,2.082,190.149,165.592,146.696
0.051,3.979,2.091,2.091,190.151,165.598,146.662
0.052,4.002,2.100,2.100,190.154,165.601,146.639
0.053,4.017,2.108,2.108,190.157,165.600,146.624
0.054,4.026,2.116,2.116,190.159,165.597,146.616
0.055,4.033,2.123,2.123,190.162,165.592,146.613
0.056,4.041,2.128,2.128,190.163,165.584,146.613
0.057,4.051,2.131,2.131,190.163,165.574,146.614
0.058,4.062,2.131,2.131,190.162,165.563,146.614
0.059,4.075,2.128,2.128,190.158,165.551,146.613
0.060,4.090,2.120,2.120,190.153,165.538,146.607
0.061,4.109,2.109,2.109,190.145,165.524,146.595
0.062,4.135,2.094,2.094,190.135,165.510,146.576
0.063,4.170,2.077,2.077,190.121,165.495,146.548
0.065,4.214,2.061,2.061,190.104,165.478,146.511
0.066,4.269,2.047,2.047,190.084,165.458,146.464
0.067,4.337,2.037,2.037,190.060,165.432,146.407
0.068,4.417,2.034,2.034,190.031,165.399,146.339
0.069,4.512,2.039,2.039,189.998,165.358,146.260
0.070,4.622,2.054,2.054,189.960,165.308,146.170
0.071,4.748,2.081,2.081,189.917,165.248,146.068
0.072,4.893,2.120,2.120,189.868,165.175,145.953
0.073,5.056,2.170,2.170,189.814,165.088,145.825
0.074,5.241,2.229,2.229,189.754,164.986,145.684
0.075,5.445,2.294,2.294,189.688,164.869,145.529
0.076,5.666,2.363,2.363,189.618,164.740,145.365
0.077,5.899,2.434,2.434,189.543,164.602,145.193
0.078,6.137,2.505,2.505,189.466,164.459,145.018
0.080,6.377,2.573,2.573,189.388,164.316,144.842
0.081,6.614,2.637,2.637,189.310,164.174,144.669
0.082,6.841,2.694,2.694,189.234,164.039,144.503
0.083,7.055,2.745,2.745,189.160,163.913,144.346
0.084,7.251,2.789,2.789,189.090,163.802,144.202
0.085,7.423,2.827,2.827,189.025,163.707,144.074
0.086,7.567,2.860,2.860,188.966,163.633,143.966
0.087,7.679,2.887,2.887,188.914,163.583,143.879
0.088,7.760,2.910,2.910,188.870,163.558,143.816
0.089,7.818,2.928,2.928,188.833,163.553,143.772
0.090,7.861,2.943,2.943,188.802,163.566,143.745
0.091,7.900,2.953,2.953,188.775,163.593,143.734
0.092,7.944,2.961,2.961,188.754,163.631,143.735
0.094,7.996,2.965,2.965,188.736,163.678,143.746
0.095,8.052,2.968,2.968,188.721,163.729,143.764
0.096,8.112,2.969,2.969,188.708,163.782,143.788
0.097,8.171,2.968,2.968,188.697,163.834,143.814
0.098,8.226,2.966,2.966,188.686,163.881,143.841
0.099,8.273,2.964,2.964,188.675,163.920,143.865
0.100,8.311,2.962,2.962,188.664,163.950,143.885
0.101,8.339,2.960,2.960,188.653,163.970,143.901
0.102,8.359,2.959,2.959,188.642,163.982,143.913
0.103,8.371,2.959,2.959,188.633,163.987,143.920
0.104,8.379,2.960,2.960,188.626,163.987,143.924
0.105,8.386,2.963,2.963,188.622,163.981,143.924
0.106,8.396,2.967,2.967,188.622,163.972,143.920
0.108,8.410,2.974,2.974,188.625,163.960,143.912
0.109,8.430,2.982,2.982,188.634,163.947,143.901
0.110,8.454,2.994,2.994,188.648,163.933,143.886
0.111,8.484,3.008,3.008,188.668,163.920,143.869
0.112,8.519,3.024,3.024,188.694,163.909,143.848
0.113,8.559,3.043,3.043,188.726,163.900,143.825
0.114,8.599,3.061,3.061,188.758,163.894,143.803
0.115,8.634,3.076,3.076,188.787,163.890,143.783
0.116,8.662,3.086,3.086,188.810,163.890,143.767
0.117,8.678,3.090,3.090,188.823,163.893,143.758
0.118,8.684,3.085,3.085,188.821,163.899,143.758
0.119,8.708,3.068,3.068,188.801,163.908,143.769
0.120,8.757,3.039,3.039,188.761,163.922,143.792
0.122,8.835,2.994,2.994,188.694,163.940,143.830
0.123,8.948,2.933,2.933,188.599,163.962,143.885
0.124,9.098,2.859,2.859,188.471,163.988,143.960
0.125,9.288,2.773,2.773,188.309,164.019,144.053
0.126,9.511,2.678,2.678,188.118,164.054,144.163
0.127,9.761,2.576,2.576,187.903,164.094,144.285
0.128,10.032,2.470,2.470,187.669,164.136,144.416
0.129,10.317,2.362,2.362,187.423,164.181,144.550
0.130,10.609,2.254,2.254,187.168,164.229,144.685
0.131,10.902,2.150,2.150,186.911,164.280,144.817
0.132,11.189,2.050,2.050,186.657,164.331,144.940
0.133,11.464,1.957,1.957,186.412,164.385,145.053
0.134,11.720,1.871,1.871,186.181,164.439,145.150
0.135,11.953,1.794,1.794,185.969,164.494,145.227
0.137,12.156,1.726,1.726,185.781,164.548,145.282
0.138,12.330,1.670,1.670,185.619,164.603,145.314
0.139,12.479,1.625,1.625,185.480,164.656,145.326
0.140,12.607,1.593,1.593,185.363,164.707,145.320
0.141,12.718,1.575,1.575,185.266,164.756,145.298
0.142,12.815,1.573,1.573,185.188,164.802,145.262
0.143,12.902,1.584,1.584,185.127,164.843,145.216
0.144,12.982,1.607,1.607,185.082,164.881,145.161
0.145,13.058,1.638,1.638,185.050,164.913,145.100
0.146,13.131,1.674,1.674,185.031,164.940,145.036
0.147,13.201,1.713,1.713,185.022,164.960,144.969
0.148,13.267,1.752,1.752,185.022,164.973,144.904
0.149,13.331,1.787,1.787,185.029,164.980,144.841
0.151,13.391,1.815,1.815,185.040,164.981,144.782
0.152,13.447,1.835,1.835,185.052,164.981,144.728
0.153,13.497,1.843,1.843,185.061,164.982,144.678
0.154,13.542,1.841,1.841,185.066,164.986,144.634
0.155,13.582,1.833,1.833,185.062,164.997,144.596
0.156,13.621,1.820,1.820,185.046,165.015,144.565
0.157,13.669,1.804,1.804,185.017,165.045,144.542
0.158,13.735,1.789,1.789,184.970,165.089,144.527
0.159,13.825,1.776,1.776,184.902,165.149,144.521
0.160,13.946,1.767,1.767,184.811,165.227,144.524
0.161,14.101,1.765,1.765,184.693,165.327,144.538
0.162,14.287,1.773,1.773,184.552,165.447,144.561
0.163,14.499,1.790,1.790,184.391,165.581,144.591
0.165,14.730,1.814,1.814,184.217,165.728,144.627
0.166,14.973,1.844,1.844,184.032,165.882,144.665
0.167,15.223,1.878,1.878,183.843,166.040,144.705
0.168,15.473,1.916,1.916,183.654,166.199,144.744
0.169,15.716,1.954,1.954,183.470,166.354,144.781
0.170,15.947,1.993,1.993,183.295,166.501,144.812
0.171,16.159,2.030,2.030,183.134,166.637,144.838
0.172,16.345,2.063,2.063,182.993,166.757,144.854
0.173,16.501,2.093,2.093,182.875,166.859,144.860
0.174,16.623,2.118,2.118,182.784,166.940,144.856
0.175,16.715,2.138,2.138,182.717,167.002,144.843
0.176,16.782,2.155,2.155,182.671,167.048,144.825
0.177,16.829,2.168,2.168,182.644,167.080,144.806
0.178,16.859,2.177,2.177,182.633,167.101,144.787
0.180,16.879,2.182,2.182,182.635,167.114,144.772
0.181,16.896,2.183,2.183,182.649,167.121,144.765
0.182,16.918,2.180,2.180,182.670,167.124,144.767
0.183,16.949,2.174,2.174,182.697,167.127,144.783
0.184,16.993,2.165,2.165,182.726,167.131,144.815
0.185,17.053,2.153,2.153,182.756,167.140,144.867
0.186,17.133,2.140,2.140,182.784,167.155,144.940
0.187,17.231,2.125,2.125,182.807,167.177,145.033
0.188,17.346,2.111,2.111,182.825,167.205,145.143
0.189,17.472,2.097,2.097,182.837,167.241,145.264
0.190,17.607,2.083,2.083,182.842,167.282,145.392
0.191,17.748,2.072,2.072,182.838,167.328,145.525
0.192,17.890,2.062,2.062,182.824,167.380,145.657
0.194,18.032,2.055,2.055,182.799,167.437,145.785
0.195,18.172,2.050,2.050,182.762,167.498,145.904
0.196,18.307,2.047,2.047,182.712,167.564,146.011
0.197,18.438,2.044,2.044,182.647,167.633,146.101
0.198,18.566,2.041,2.041,182.567,167.706,146.171
0.199,18.697,2.039,2.039,182.472,167.781,146.219
0.200,18.834,2.035,2.035,182.363,167.858,146.247
0.201,18.977,2.031,2.031,182.243,167.936,146.258
0.202,19.127,2.024,2.024,182.114,168.013,146.255
0.203,19.282,2.015,2.015,181.979,168.089,146.241
0.204,19.441,2.005,2.005,181.840,168.162,146.218
0.205,19.600,1.994,1.994,181.700,168.231,146.189
0.206,19.758,1.982,1.982,181.560,168.296,146.157
0.208,19.910,1.971,1.971,181.423,168.355,146.126
0.209,20.054,1.961,1.961,181.292,168.406,146.096
0.210,20.187,1.953,1.953,181.168,168.450,146.072
0.211,20.308,1.947,1.947,181.054,168.484,146.056
0.212,20.415,1.944,1.944,180.950,168.511,146.048
0.213,20.512,1.944,1.944,180.855,168.530,146.048
0.214,20.601,1.947,1.947,180.767,168.544,146.056
0.215,20.683,1.952,1.952,180.687,168.554,146.070
0.216,20.760,1.959,1.959,180.613,168.561,146.091
0.217,20.834,1.965,1.965,180.544,168.567,146.117
0.218,20.906,1.970,1.970,180.480,168.573,146.149
0.219,20.978,1.973,1.973,180.419,168.580,146.185
0.220,21.050,1.972,1.972,180.361,168.591,146.226
0.222,21.123,1.968,1.968,180.305,168.605,146.271
0.223,21.199,1.958,1.958,180.249,168.625,146.320
0.224,21.279,1.943,1.943,180.194,168.651,146.370
0.225,21.359,1.922,1.922,180.137,168.679,146.419
0.226,21.437,1.897,1.897,180.078,168.707,146.463
0.227,21.514,1.868,1.868,180.015,168.731,146.499
0.228,21.587,1.836,1.836,179.948,168.748,146.524
0.229,21.661,1.801,1.801,179.876,168.756,146.535
0.230,21.741,1.764,1.764,179.796,168.750,146.528
0.231,21.835,1.725,1.725,179.709,168.729,146.500
0.232,21.951,1.686,1.686,179.613,168.690,146.447
0.233,22.098,1.646,1.646,179.507,168.628,146.367
0.234,22.281,1.607,1.607,179.390,168.541,146.255
0.235,22.506,1.570,1.570,179.261,168.427,146.111
0.237,22.768,1.536,1.536,179.123,168.289,145.936
0.238,23.060,1.505,1.505,178.978,168.130,145.739
0.239,23.374,1.480,1.480,178.829,167.956,145.525
0.240,23.701,1.461,1.461,178.680,167.770,145.300
0.241,24.034,1.449,1.449,178.534,167.578,145.070
0.242,24.364,1.445,1.445,178.394,167.384,144.842
0.243,24.684,1.450,1.450,178.263,167.193,144.622
0.244,24.985,1.464,1.464,178.144,167.008,144.416
0.245,25.259,1.485,1.485,178.041,166.835,144.231
0.246,25.498,1.511,1.511,177.955,166.678,144.072
0.247,25.694,1.540,1.540,177.892,166.542,143.946
0.248,25.847,1.571,1.571,177.849,166.427,143.855
0.249,25.961,1.602,1.602,177.824,166.333,143.795
0.251,26.046,1.630,1.630,177.812,166.256,143.762
0.252,26.108,1.655,1.655,177.807,166.195,143.752
0.253,26.158,1.674,1.674,177.806,166.146,143.760
0.254,26.203,1.686,1.686,177.804,166.107,143.783
0.255,26.249,1.693,1.693,177.797,166.076,143.816
0.256,26.299,1.695,1.695,177.779,166.050,143.855
0.257,26.357,1.694,1.694,177.746,166.027,143.896
0.258,26.426,1.691,1.691,177.694,166.004,143.935
0.259,26.512,1.688,1.688,177.618,165.979,143.967
0.260,26.622,1.687,1.687,177.514,165.950,143.990
0.261,26.754,1.687,1.687,177.387,165.916,144.002
0.262,26.905,1.692,1.692,177.241,165.878,144.006
0.263,27.070,1.701,1.701,177.081,165.836,144.003
0.265,27.243,1.715,1.715,176.915,165.791,143.993
0.266,27.420,1.732,1.732,176.746,165.742,143.979
0.267,27.594,1.750,1.750,176.580,165.690,143.961
0.268,27.760,1.768,1.768,176.424,165.636,143.941
0.269,27.914,1.786,1.786,176.282,165.579,143.920
0.270,28.051,1.800,1.800,176.161,165.521,143.899
0.271,28.166,1.810,1.810,176.065,165.461,143.880
0.272,28.257,1.815,1.815,176.000,165.399,143.863
0.273,28.328,1.812,1.812,175.966,165.338,143.850
0.274,28.389,1.803,1.803,175.957,165.279,143.842
