"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.409,1.409,191.624,174.057,146.304
0.001,0.206,1.490,1.490,191.799,173.952,146.273
0.002,0.410,1.571,1.571,191.972,173.849,146.242
0.003,0.612,1.650,1.650,192.142,173.746,146.212
0.003,0.808,1.727,1.727,192.309,173.646,146.182
0.004,0.999,1.801,1.801,192.471,173.548,146.154
0.005,1.182,1.872,1.872,192.626,173.455,146.126
0.006,1.356,1.937,1.937,192.773,173.366,146.101
0.007,1.520,1.998,1.998,192.911,173.282,146.077
0.008,1.671,2.052,2.052,193.038,173.203,146.055
0.008,1.808,2.100,2.100,193.154,173.132,146.035
0.009,1.931,2.140,2.140,193.257,173.068,146.018
0.010,2.037,2.172,2.172,193.346,173.012,146.003
0.011,2.124,2.195,2.195,193.419,172.965,145.992
0.012,2.193,2.210,2.210,193.476,172.927,145.983
0.013,2.245,2.218,2.218,193.518,172.897,145.978
0.013,2.283,2.219,2.219,193.547,172.873,145.976
0.014,2.309,2.214,2.214,193.564,172.854,145.976
0.015,2.327,2.206,2.206,193.572,172.838,145.978
0.016,2.341,2.193,2.193,193.572,172.824,145.983
0.017,2.357,2.178,2.178,193.566,172.811,145.989
0.018,2.377,2.160,2.160,193.554,172.797,145.997
0.018,2.401,2.142,2.142,193.540,172.780,146.007
0.019,2.429,2.124,2.124,193.524,172.760,146.018
0.020,2.462,2.106,2.106,193.509,172.734,146.031
0.021,2.499,2.091,2.091,193.496,172.701,146.044
0.022,2.544,2.076,2.076,193.486,172.660,146.058
0.023,2.596,2.064,2.064,193.480,172.611,146.073
0.023,2.655,2.052,2.052,193.479,172.554,146.088
0.024,2.720,2.042,2.042,193.480,172.490,146.104
0.025,2.791,2.032,2.032,193.484,172.422,146.120
0.026,2.866,2.024,2.024,193.490,172.349,146.136
0.027,2.944,2.016,2.016,193.497,172.273,146.153
0.028,3.023,2.008,2.008,193.504,172.196,146.170
0.028,3.103,2.000,2.000,193.511,172.118,146.188
0.029,3.183,1.993,1.993,193.516,172.041,146.206
0.030,3.260,1.985,1.985,193.521,171.965,146.224
0.031,3.335,1.977,1.977,193.522,171.893,146.242
0.032,3.405,1.969,1.969,193.521,171.825,146.261
0.033,3.471,1.960,1.960,193.516,171.762,146.279
0.034,3.531,1.952,1.952,193.507,171.706,146.298
0.034,3.587,1.944,1.944,193.495,171.655,146.316
0.035,3.637,1.936,1.936,193.482,171.610,146.334
0.036,3.682,1.929,1.929,193.467,171.570,146.351
0.037,3.722,1.922,1.922,193.452,171.537,146.367
0.038,3.757,1.916,1.916,193.439,171.509,146.382
0.039,3.786,1.912,1.912,193.426,171.487,146.396
0.039,3.809,1.908,1.908,193.416,171.470,146.408
0.040,3.825,1.906,1.906,193.410,171.459,146.419
0.041,3.836,1.905,1.905,193.407,171.453,146.428
0.042,3.843,1.905,1.905,193.410,171.453,146.434
0.043,3.854,1.906,1.906,193.419,171.458,146.438
0.044,3.873,1.906,1.906,193.434,171.468,146.440
0.044,3.898,1.905,1.905,193.455,171.482,146.440
0.045,3.928,1.903,1.903,193.480,171.499,146.437
0.046,3.959,1.898,1.898,193.505,171.516,146.434
0.047,3.988,1.890,1.890,193.530,171.533,146.430
0.048,4.014,1.879,1.879,193.551,171.546,146.427
0.049,4.032,1.864,1.864,193.567,171.555,146.424
0.049,4.041,1.843,1.843,193.575,171.558,146.423
0.050,4.046,1.818,1.818,193.572,171.554,146.423
0.051,4.066,1.786,1.786,193.558,171.540,146.426
0.052,4.105,1.748,1.748,193.529,171.514,146.432
0.053,4.165,1.706,1.706,193.484,171.476,146.442
0.054,4.250,1.659,1.659,193.420,171.423,146.456
0.054,4.361,1.610,1.610,193.335,171.354,146.475
0.055,4.496,1.559,1.559,193.232,171.271,146.499
0.056,4.651,1.507,1.507,193.113,171.175,146.531
0.057,4.823,1.455,1.455,192.983,171.069,146.570
0.058,5.009,1.404,1.404,192.845,170.955,146.618
0.059,5.204,1.355,1.355,192.702,170.836,146.675
0.060,5.406,1.308,1.308,192.557,170.713,146.744
0.060,5.611,1.266,1.266,192.414,170.589,146.823
0.061,5.818,1.227,1.227,192.277,170.465,146.916
0.062,6.023,1.194,1.194,192.148,170.345,147.022
0.063,6.226,1.166,1.166,192.032,170.231,147.142
0.064,6.426,1.144,1.144,191.931,170.124,147.278
0.065,6.624,1.127,1.127,191.849,170.027,147.431
0.065,6.823,1.116,1.116,191.789,169.941,147.600
0.066,7.025,1.111,1.111,191.748,169.867,147.783
0.067,7.232,1.113,1.113,191.724,169.804,147.978
0.068,7.442,1.120,1.120,191.716,169.751,148.181
0.069,7.655,1.135,1.135,191.720,169.707,148.390
0.070,7.869,1.156,1.156,191.733,169.672,148.601
0.070,8.082,1.184,1.184,191.755,169.645,148.811
0.071,8.292,1.220,1.220,191.781,169.626,149.018
0.072,8.494,1.261,1.261,191.810,169.613,149.218
0.073,8.687,1.308,1.308,191.840,169.607,149.408
0.074,8.867,1.359,1.359,191.867,169.606,149.586
0.075,9.031,1.412,1.412,191.889,169.610,149.749
0.075,9.176,1.467,1.467,191.905,169.618,149.892
0.076,9.300,1.521,1.521,191.912,169.630,150.016
0.077,9.406,1.574,1.574,191.910,169.644,150.121
0.078,9.497,1.624,1.624,191.900,169.661,150.209
0.079,9.574,1.670,1.670,191.884,169.679,150.283
0.080,9.642,1.710,1.710,191.861,169.698,150.344
0.080,9.703,1.744,1.744,191.831,169.717,150.394
0.081,9.760,1.770,1.770,191.796,169.735,150.434
0.082,9.814,1.787,1.787,191.757,169.752,150.468
0.083,9.869,1.798,1.798,191.713,169.767,150.497
0.084,9.924,1.803,1.803,191.665,169.779,150.522
0.085,9.981,1.802,1.802,191.614,169.787,150.546
0.085,10.040,1.796,1.796,191.560,169.791,150.571
0.086,10.102,1.788,1.788,191.505,169.791,150.598
0.087,10.167,1.777,1.777,191.448,169.785,150.628
0.088,10.235,1.764,1.764,191.389,169.774,150.661
0.089,10.305,1.751,1.751,191.330,169.760,150.695
0.090,10.376,1.738,1.738,191.271,169.742,150.731
0.091,10.448,1.726,1.726,191.211,169.722,150.766
0.091,10.521,1.716,1.716,191.151,169.699,150.800
0.092,10.592,1.709,1.709,191.093,169.674,150.832
0.093,10.662,1.703,1.703,191.035,169.649,150.862
0.094,10.729,1.697,1.697,190.978,169.623,150.888
0.095,10.794,1.692,1.692,190.923,169.597,150.909
0.096,10.854,1.687,1.687,190.870,169.572,150.925
0.096,10.911,1.680,1.680,190.820,169.548,150.935
0.097,10.964,1.672,1.672,190.772,169.526,150.938
0.098,11.013,1.661,1.661,190.727,169.506,150.933
0.099,11.063,1.647,1.647,190.683,169.485,150.923
0.100,11.114,1.629,1.629,190.640,169.463,150.908
0.101,11.167,1.606,1.606,190.597,169.439,150.888
0.101,11.224,1.579,1.579,190.552,169.411,150.865
0.102,11.287,1.547,1.547,190.505,169.378,150.840
0.103,11.356,1.510,1.510,190.455,169.338,150.814
0.104,11.432,1.471,1.471,190.402,169.291,150.787
0.105,11.518,1.430,1.430,190.343,169.235,150.761
0.106,11.613,1.387,1.387,190.279,169.168,150.737
0.106,11.722,1.345,1.345,190.208,169.090,150.715
