"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.748,1.748,193.301,171.355,148.207
0.001,0.224,1.854,1.848,193.451,171.192,148.240
0.002,0.445,1.958,1.946,193.599,171.031,148.272
0.004,0.660,2.057,2.041,193.743,170.874,148.303
0.005,0.867,2.151,2.132,193.881,170.723,148.333
0.006,1.063,2.237,2.217,194.011,170.580,148.361
0.007,1.245,2.312,2.294,194.132,170.446,148.386
0.008,1.410,2.376,2.363,194.241,170.324,148.409
0.010,1.556,2.426,2.421,194.337,170.216,148.428
0.011,1.679,2.460,2.468,194.418,170.123,148.443
0.012,1.778,2.479,2.503,194.481,170.049,148.454
0.013,1.849,2.485,2.529,194.525,169.993,148.460
0.014,1.894,2.482,2.546,194.551,169.957,148.461
0.016,1.916,2.471,2.556,194.562,169.938,148.456
0.017,1.926,2.456,2.560,194.561,169.935,148.447
0.018,1.945,2.439,2.560,194.552,169.944,148.432
0.019,1.976,2.423,2.558,194.538,169.964,148.413
0.020,2.017,2.410,2.554,194.523,169.992,148.389
0.022,2.064,2.402,2.550,194.510,170.027,148.359
0.023,2.117,2.400,2.547,194.503,170.067,148.325
0.024,2.174,2.402,2.545,194.504,170.108,148.285
0.025,2.236,2.409,2.544,194.518,170.149,148.241
0.027,2.305,2.421,2.545,194.546,170.188,148.192
0.028,2.384,2.436,2.548,194.587,170.228,148.138
0.029,2.472,2.456,2.554,194.638,170.269,148.079
0.030,2.568,2.479,2.564,194.695,170.314,148.015
0.031,2.673,2.505,2.577,194.754,170.366,147.946
0.033,2.786,2.534,2.593,194.814,170.426,147.872
0.034,2.906,2.566,2.613,194.869,170.497,147.792
0.035,3.035,2.600,2.635,194.918,170.581,147.707
0.036,3.175,2.636,2.661,194.958,170.679,147.616
0.037,3.327,2.673,2.689,194.983,170.795,147.520
0.039,3.496,2.711,2.719,194.993,170.930,147.419
0.040,3.682,2.749,2.752,194.985,171.083,147.313
0.041,3.883,2.787,2.786,194.964,171.249,147.204
0.042,4.093,2.825,2.821,194.931,171.425,147.093
0.043,4.308,2.862,2.857,194.889,171.606,146.984
0.045,4.524,2.898,2.892,194.841,171.786,146.876
0.046,4.735,2.931,2.925,194.789,171.962,146.773
0.047,4.935,2.961,2.956,194.737,172.130,146.675
0.048,5.121,2.987,2.984,194.686,172.284,146.585
0.049,5.285,3.009,3.008,194.640,172.420,146.505
0.051,5.423,3.026,3.026,194.601,172.533,146.435
0.052,5.532,3.039,3.040,194.572,172.620,146.378
0.053,5.613,3.046,3.048,194.551,172.684,146.332
0.054,5.672,3.051,3.053,194.537,172.728,146.295
0.055,5.713,3.054,3.056,194.529,172.754,146.266
0.057,5.741,3.056,3.057,194.525,172.768,146.241
0.058,5.763,3.058,3.059,194.525,172.771,146.219
0.059,5.784,3.061,3.061,194.526,172.769,146.199
0.060,5.806,3.066,3.067,194.527,172.763,146.177
0.061,5.831,3.075,3.075,194.526,172.758,146.153
0.063,5.860,3.087,3.087,194.524,172.757,146.124
0.064,5.897,3.102,3.101,194.517,172.763,146.089
0.065,5.943,3.118,3.118,194.505,172.778,146.046
0.066,5.997,3.135,3.135,194.491,172.800,145.999
0.067,6.055,3.153,3.152,194.476,172.825,145.949
0.069,6.117,3.169,3.169,194.460,172.854,145.897
0.070,6.177,3.185,3.185,194.444,172.882,145.846
0.071,6.234,3.198,3.198,194.431,172.909,145.797
0.072,6.285,3.209,3.209,194.422,172.933,145.753
0.073,6.327,3.218,3.218,194.417,172.951,145.716
0.075,6.358,3.225,3.225,194.418,172.961,145.686
0.076,6.379,3.230,3.230,194.427,172.961,145.667
0.077,6.400,3.234,3.234,194.443,172.951,145.659
0.078,6.429,3.236,3.236,194.465,172.932,145.660
0.080,6.463,3.237,3.237,194.489,172.909,145.668
0.081,6.498,3.238,3.238,194.512,172.885,145.679
0.082,6.529,3.238,3.238,194.530,172.864,145.692
0.083,6.549,3.237,3.237,194.541,172.850,145.702
0.084,6.556,3.232,3.232,194.540,172.846,145.707
0.086,6.574,3.223,3.223,194.525,172.856,145.705
0.087,6.619,3.208,3.208,194.492,172.883,145.692
0.088,6.696,3.187,3.187,194.439,172.933,145.665
0.089,6.812,3.156,3.156,194.361,173.007,145.623
0.090,6.965,3.116,3.116,194.259,173.105,145.564
0.092,7.150,3.065,3.065,194.138,173.224,145.492
0.093,7.358,3.004,3.004,194.001,173.359,145.412
0.094,7.582,2.936,2.936,193.853,173.503,145.325
0.095,7.814,2.865,2.865,193.700,173.653,145.236
0.096,8.048,2.795,2.795,193.544,173.803,145.147
0.098,8.276,2.728,2.728,193.391,173.950,145.064
0.099,8.490,2.668,2.668,193.245,174.087,144.988
0.100,8.683,2.619,2.619,193.111,174.210,144.924
0.101,8.848,2.584,2.584,192.992,174.314,144.874
0.102,8.981,2.564,2.564,192.893,174.396,144.842
0.104,9.084,2.557,2.557,192.811,174.457,144.824
0.105,9.165,2.556,2.556,192.743,174.499,144.817
0.106,9.229,2.560,2.560,192.684,174.526,144.817
0.107,9.284,2.562,2.562,192.632,174.541,144.818
0.108,9.333,2.560,2.560,192.583,174.547,144.818
0.110,9.384,2.549,2.549,192.533,174.546,144.813
0.111,9.441,2.524,2.524,192.478,174.542,144.798
0.112,9.511,2.482,2.482,192.414,174.538,144.768
0.113,9.600,2.425,2.425,192.339,174.536,144.721
0.114,9.713,2.358,2.358,192.249,174.540,144.652
0.116,9.853,2.285,2.285,192.143,174.551,144.561
0.117,10.013,2.212,2.212,192.026,174.568,144.454
0.118,10.186,2.142,2.142,191.902,174.591,144.335
0.119,10.367,2.080,2.080,191.776,174.618,144.209
0.120,10.547,2.031,2.031,191.651,174.650,144.083
0.122,10.722,2.000,2.000,191.532,174.685,143.960
0.123,10.884,1.987,1.987,191.423,174.723,143.846
0.124,11.026,1.988,1.988,191.330,174.764,143.747
0.125,11.143,2.000,2.000,191.255,174.805,143.667
0.127,11.229,2.017,2.017,191.204,174.848,143.612
0.128,11.285,2.036,2.036,191.179,174.890,143.585
0.129,11.326,2.052,2.052,191.175,174.930,143.581
0.130,11.365,2.062,2.062,191.186,174.966,143.592
0.131,11.406,2.059,2.059,191.206,174.996,143.611
0.133,11.441,2.042,2.042,191.226,175.018,143.630
0.134,11.463,2.014,2.014,191.241,175.029,143.642
0.135,11.468,1.976,1.976,191.244,175.028,143.637
0.136,11.504,1.934,1.934,191.227,175.013,143.610
0.137,11.583,1.889,1.889,191.185,174.980,143.552
0.139,11.715,1.847,1.847,191.110,174.929,143.455
0.140,11.912,1.810,1.810,190.996,174.857,143.313
0.141,12.172,1.782,1.782,190.842,174.765,143.124
0.142,12.484,1.766,1.766,190.657,174.656,142.897
0.143,12.835,1.762,1.762,190.449,174.535,142.643
0.145,13.212,1.769,1.769,190.225,174.406,142.368
0.146,13.602,1.784,1.784,189.994,174.273,142.083
0.147,13.992,1.806,1.806,189.765,174.139,141.797
0.148,14.370,1.833,1.833,189.545,174.009,141.518
0.149,14.723,1.863,1.863,189.343,173.887,141.256
0.151,15.037,1.893,1.893,189.166,173.777,141.020
0.152,15.301,1.923,1.923,189.024,173.683,140.819
0.153,15.505,1.950,1.950,188.923,173.608,140.659
0.154,15.653,1.974,1.974,188.858,173.551,140.539
0.155,15.754,1.995,1.995,188.826,173.510,140.452
0.157,15.818,2.013,2.013,188.820,173.484,140.393
0.158,15.860,2.027,2.027,188.834,173.470,140.357
0.159,15.895,2.037,2.037,188.863,173.465,140.338
0.160,15.933,2.043,2.043,188.900,173.469,140.329
0.161,15.975,2.044,2.044,188.941,173.479,140.326
0.163,16.015,2.041,2.041,188.978,173.493,140.323
0.164,16.050,2.034,2.034,189.007,173.509,140.314
0.165,16.079,2.026,2.026,189.022,173.524,140.293
0.166,16.116,2.017,2.017,189.021,173.539,140.259
0.167,16.166,2.009,2.009,189.005,173.552,140.214
0.169,16.229,2.004,2.004,188.977,173.564,140.159
0.170,16.301,2.004,2.004,188.940,173.575,140.098
0.171,16.381,2.009,2.009,188.895,173.585,140.032
0.172,16.465,2.021,2.021,188.846,173.594,139.965
0.173,16.550,2.041,2.041,188.794,173.603,139.897
0.175,16.633,2.067,2.067,188.743,173.611,139.833
0.176,16.711,2.095,2.095,188.693,173.619,139.774
0.177,16.780,2.126,2.126,188.649,173.626,139.722
0.178,16.837,2.157,2.157,188.611,173.634,139.679
0.180,16.883,2.186,2.186,188.580,173.641,139.646
0.181,16.920,2.210,2.210,188.555,173.648,139.620
0.182,16.948,2.230,2.230,188.536,173.654,139.600
0.183,16.970,2.242,2.242,188.521,173.660,139.586
0.184,16.986,2.248,2.248,188.510,173.667,139.576
0.186,16.998,2.249,2.249,188.503,173.672,139.568
0.187,17.008,2.247,2.247,188.498,173.678,139.561
0.188,17.016,2.242,2.242,188.496,173.683,139.554
0.189,17.026,2.236,2.236,188.495,173.687,139.547
0.190,17.037,2.230,2.230,188.494,173.692,139.536
0.192,17.050,2.224,2.224,188.494,173.696,139.523
0.193,17.066,2.221,2.221,188.494,173.699,139.508
0.194,17.084,2.220,2.220,188.494,173.702,139.491
0.195,17.102,2.222,2.222,188.494,173.705,139.472
0.196,17.121,2.224,2.224,188.494,173.707,139.453
0.198,17.141,2.228,2.228,188.493,173.709,139.434
0.199,17.159,2.233,2.233,188.493,173.710,139.416
0.200,17.176,2.238,2.238,188.492,173.711,139.399
0.201,17.192,2.243,2.243,188.491,173.711,139.383
0.202,17.205,2.247,2.247,188.489,173.711,139.370
0.204,17.215,2.251,2.251,188.487,173.710,139.360
0.205,17.224,2.254,2.254,188.484,173.709,139.352
