"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.516,1.516,186.349,208.050,211.299
0.001,0.105,1.594,1.594,186.371,208.101,211.388
0.002,0.210,1.670,1.670,186.392,208.151,211.477
0.004,0.312,1.743,1.743,186.413,208.201,211.565
0.005,0.412,1.812,1.812,186.434,208.248,211.650
0.006,0.508,1.874,1.874,186.454,208.295,211.732
0.007,0.600,1.929,1.929,186.473,208.338,211.810
0.008,0.686,1.976,1.976,186.492,208.379,211.884
0.010,0.766,2.011,2.011,186.509,208.417,211.952
0.011,0.839,2.035,2.035,186.525,208.451,212.015
0.012,0.904,2.047,2.047,186.540,208.480,212.070
0.013,0.960,2.051,2.051,186.553,208.506,212.118
0.014,1.008,2.047,2.047,186.567,208.529,212.159
0.016,1.051,2.039,2.039,186.583,208.551,212.191
0.017,1.090,2.029,2.029,186.603,208.574,212.216
0.018,1.131,2.018,2.018,186.629,208.601,212.232
0.019,1.178,2.010,2.010,186.663,208.633,212.240
0.020,1.237,2.005,2.005,186.707,208.673,212.240
0.022,1.312,2.006,2.006,186.763,208.722,212.231
0.023,1.405,2.012,2.012,186.832,208.782,212.213
0.024,1.520,2.022,2.022,186.916,208.856,212.187
0.025,1.659,2.035,2.035,187.017,208.944,212.152
0.027,1.816,2.050,2.050,187.131,209.043,212.110
0.028,1.986,2.067,2.067,187.256,209.150,212.063
0.029,2.164,2.085,2.085,187.386,209.259,212.013
0.030,2.343,2.103,2.103,187.519,209.368,211.962
0.031,2.518,2.119,2.119,187.650,209.472,211.911
0.033,2.682,2.134,2.134,187.776,209.566,211.863
0.034,2.831,2.148,2.148,187.893,209.647,211.820
0.035,2.958,2.161,2.161,187.997,209.711,211.784
0.036,3.059,2.172,2.172,188.084,209.753,211.756
0.037,3.132,2.181,2.181,188.153,209.771,211.738
0.039,3.181,2.188,2.188,188.201,209.770,211.730
0.040,3.214,2.194,2.194,188.231,209.756,211.729
0.041,3.239,2.197,2.197,188.242,209.735,211.734
0.042,3.263,2.198,2.198,188.237,209.714,211.744
0.043,3.294,2.195,2.195,188.214,209.698,211.758
0.045,3.336,2.188,2.188,188.175,209.694,211.775
0.046,3.395,2.176,2.176,188.121,209.709,211.792
0.047,3.476,2.159,2.159,188.053,209.748,211.809
0.048,3.585,2.134,2.134,187.970,209.818,211.823
0.049,3.728,2.102,2.102,187.874,209.923,211.835
0.051,3.901,2.061,2.061,187.766,210.059,211.844
0.052,4.100,2.013,2.013,187.647,210.218,211.851
0.053,4.319,1.958,1.958,187.517,210.394,211.857
0.054,4.551,1.900,1.900,187.379,210.580,211.862
0.055,4.792,1.843,1.843,187.232,210.770,211.867
0.057,5.034,1.790,1.790,187.077,210.957,211.873
0.058,5.273,1.744,1.744,186.917,211.135,211.880
0.059,5.504,1.707,1.707,186.751,211.295,211.888
0.060,5.723,1.683,1.683,186.581,211.433,211.899
0.061,5.928,1.675,1.675,186.408,211.542,211.914
0.063,6.123,1.683,1.683,186.234,211.627,211.931
0.064,6.311,1.705,1.705,186.059,211.691,211.952
0.065,6.493,1.739,1.739,185.885,211.741,211.976
