"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.353,1.353,235.416,206.269,186.687
0.001,0.200,1.411,1.411,235.397,206.072,186.717
0.002,0.398,1.470,1.470,235.378,205.877,186.747
0.002,0.594,1.527,1.527,235.360,205.685,186.777
0.003,0.785,1.584,1.584,235.342,205.496,186.806
0.004,0.971,1.640,1.640,235.325,205.313,186.836
0.005,1.151,1.694,1.694,235.310,205.137,186.865
0.006,1.322,1.746,1.746,235.296,204.969,186.895
0.007,1.484,1.797,1.797,235.283,204.810,186.924
0.007,1.636,1.845,1.845,235.273,204.661,186.953
0.008,1.775,1.891,1.891,235.265,204.525,186.982
0.009,1.901,1.934,1.934,235.259,204.402,187.011
0.010,2.014,1.974,1.974,235.256,204.294,187.040
0.011,2.112,2.011,2.011,235.255,204.199,187.068
0.012,2.199,2.044,2.044,235.256,204.117,187.095
0.012,2.274,2.074,2.074,235.258,204.047,187.122
0.013,2.338,2.101,2.101,235.262,203.988,187.147
0.014,2.392,2.125,2.125,235.265,203.939,187.170
0.015,2.437,2.147,2.147,235.269,203.900,187.192
0.016,2.474,2.166,2.166,235.272,203.869,187.211
0.017,2.504,2.182,2.182,235.275,203.845,187.228
0.017,2.526,2.196,2.196,235.276,203.828,187.243
0.018,2.542,2.208,2.208,235.276,203.817,187.254
0.019,2.553,2.217,2.217,235.273,203.810,187.263
0.020,2.561,2.225,2.225,235.269,203.807,187.269
0.021,2.569,2.231,2.231,235.263,203.806,187.273
0.022,2.577,2.236,2.236,235.255,203.804,187.276
0.022,2.587,2.239,2.239,235.246,203.802,187.278
0.023,2.600,2.242,2.242,235.234,203.796,187.281
0.024,2.616,2.246,2.246,235.222,203.787,187.284
0.025,2.638,2.250,2.250,235.207,203.771,187.288
0.026,2.666,2.255,2.255,235.192,203.749,187.293
0.027,2.702,2.261,2.261,235.175,203.717,187.301
0.027,2.749,2.270,2.270,235.157,203.675,187.312
0.028,2.807,2.282,2.282,235.137,203.622,187.326
0.029,2.875,2.296,2.296,235.116,203.560,187.343
0.030,2.952,2.315,2.315,235.091,203.490,187.361
0.031,3.036,2.337,2.337,235.062,203.414,187.380
0.032,3.126,2.363,2.363,235.028,203.333,187.399
0.032,3.220,2.392,2.392,234.988,203.249,187.418
0.033,3.319,2.424,2.424,234.942,203.164,187.435
0.034,3.420,2.456,2.456,234.888,203.078,187.450
0.035,3.525,2.488,2.488,234.826,202.995,187.462
0.036,3.632,2.520,2.520,234.755,202.916,187.470
0.037,3.743,2.551,2.551,234.674,202.841,187.474
0.037,3.857,2.578,2.578,234.582,202.773,187.472
0.038,3.974,2.603,2.603,234.483,202.710,187.467
0.039,4.092,2.623,2.623,234.379,202.655,187.457
0.040,4.211,2.638,2.638,234.272,202.605,187.443
0.041,4.328,2.647,2.647,234.165,202.562,187.425
0.042,4.442,2.650,2.650,234.059,202.526,187.405
0.042,4.550,2.647,2.647,233.957,202.496,187.381
0.043,4.651,2.639,2.639,233.862,202.473,187.355
0.044,4.744,2.627,2.627,233.776,202.456,187.327
0.045,4.825,2.612,2.612,233.701,202.446,187.296
0.046,4.895,2.594,2.594,233.640,202.443,187.264
0.047,4.953,2.574,2.574,233.592,202.446,187.231
0.047,5.003,2.552,2.552,233.554,202.453,187.200
0.048,5.046,2.529,2.529,233.523,202.461,187.170
0.049,5.084,2.506,2.506,233.496,202.469,187.144
0.050,5.118,2.484,2.484,233.469,202.475,187.124
0.051,5.150,2.463,2.463,233.440,202.475,187.111
0.052,5.187,2.444,2.444,233.404,202.469,187.107
0.052,5.235,2.427,2.427,233.359,202.454,187.112
0.053,5.300,2.412,2.412,233.302,202.427,187.130
0.054,5.390,2.399,2.399,233.228,202.388,187.161
0.055,5.507,2.388,2.388,233.135,202.333,187.206
0.056,5.651,2.380,2.380,233.025,202.262,187.267
0.057,5.816,2.374,2.374,232.904,202.179,187.342
0.057,5.996,2.371,2.371,232.779,202.086,187.431
0.058,6.185,2.371,2.371,232.656,201.985,187.534
0.059,6.378,2.374,2.374,232.542,201.879,187.648
0.060,6.571,2.380,2.380,232.445,201.770,187.774
0.061,6.762,2.389,2.389,232.370,201.660,187.911
0.062,6.949,2.402,2.402,232.324,201.553,188.058
0.062,7.136,2.418,2.418,232.315,201.451,188.215
0.063,7.329,2.436,2.436,232.348,201.356,188.379
0.064,7.539,2.456,2.456,232.431,201.271,188.552
0.065,7.772,2.479,2.479,232.561,201.196,188.731
0.066,8.028,2.502,2.502,232.729,201.131,188.912
0.067,8.302,2.527,2.527,232.928,201.075,189.093
0.067,8.589,2.552,2.552,233.148,201.028,189.271
0.068,8.881,2.577,2.577,233.380,200.988,189.443
0.069,9.170,2.603,2.603,233.616,200.955,189.606
0.070,9.447,2.627,2.627,233.847,200.929,189.756
0.071,9.704,2.651,2.651,234.065,200.908,189.892
0.072,9.933,2.673,2.673,234.261,200.892,190.010
0.072,10.124,2.695,2.695,234.425,200.881,190.106
0.073,10.269,2.714,2.714,234.550,200.873,190.179
0.074,10.369,2.732,2.732,234.636,200.868,190.229
0.075,10.428,2.749,2.749,234.688,200.865,190.259
0.076,10.455,2.764,2.764,234.711,200.865,190.272
0.077,10.456,2.778,2.778,234.710,200.865,190.272
0.077,10.478,2.790,2.790,234.691,200.867,190.260
0.078,10.516,2.800,2.800,234.659,200.868,190.241
0.079,10.562,2.809,2.809,234.618,200.869,190.218
0.080,10.612,2.816,2.816,234.576,200.870,190.193
0.081,10.659,2.821,2.821,234.535,200.868,190.169
0.082,10.697,2.824,2.824,234.503,200.865,190.150
0.082,10.720,2.826,2.826,234.483,200.859,190.139
0.083,10.732,2.827,2.827,234.476,200.850,190.136
0.084,10.745,2.827,2.827,234.480,200.839,190.141
0.085,10.768,2.826,2.826,234.492,200.825,190.153
0.086,10.800,2.826,2.826,234.511,200.808,190.174
0.087,10.841,2.826,2.826,234.535,200.789,190.201
0.087,10.889,2.828,2.828,234.561,200.767,190.235
0.088,10.944,2.830,2.830,234.587,200.743,190.276
0.089,11.003,2.835,2.835,234.612,200.716,190.324
0.090,11.067,2.841,2.841,234.632,200.688,190.377
0.091,11.136,2.850,2.850,234.647,200.656,190.437
0.092,11.209,2.862,2.862,234.653,200.623,190.502
0.092,11.288,2.877,2.877,234.652,200.588,190.572
0.093,11.372,2.894,2.894,234.643,200.551,190.647
0.094,11.461,2.914,2.914,234.627,200.513,190.726
0.095,11.555,2.936,2.936,234.604,200.474,190.808
0.096,11.654,2.961,2.961,234.574,200.434,190.894
0.097,11.757,2.988,2.988,234.539,200.394,190.982
0.097,11.864,3.016,3.016,234.499,200.354,191.073
0.098,11.974,3.046,3.046,234.454,200.314,191.165
