"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.251,1.251,260.894,239.098,215.895
0.002,0.051,1.269,1.269,260.921,239.105,215.938
0.003,0.101,1.287,1.287,260.946,239.113,215.980
0.005,0.146,1.302,1.302,260.966,239.122,216.020
0.006,0.186,1.315,1.315,260.980,239.133,216.056
0.008,0.221,1.324,1.324,260.985,239.147,216.087
0.010,0.252,1.327,1.327,260.978,239.164,216.112
0.011,0.286,1.325,1.325,260.958,239.186,216.129
0.013,0.331,1.319,1.319,260.923,239.212,216.138
0.014,0.393,1.309,1.309,260.870,239.243,216.138
0.016,0.476,1.299,1.299,260.796,239.281,216.126
0.018,0.583,1.290,1.290,260.702,239.326,216.103
0.019,0.710,1.284,1.284,260.589,239.374,216.069
0.021,0.852,1.283,1.283,260.464,239.425,216.026
0.023,1.002,1.286,1.286,260.332,239.476,215.976
0.024,1.156,1.293,1.293,260.196,239.524,215.921
0.026,1.308,1.300,1.300,260.063,239.566,215.862
0.027,1.453,1.304,1.304,259.937,239.602,215.800
0.029,1.585,1.305,1.305,259.823,239.627,215.739
0.031,1.700,1.298,1.298,259.726,239.640,215.678
0.032,1.794,1.284,1.284,259.652,239.639,215.620
0.034,1.869,1.263,1.263,259.603,239.621,215.567
0.035,1.935,1.239,1.239,259.579,239.587,215.515
0.037,2.006,1.213,1.213,259.578,239.539,215.462
0.039,2.091,1.189,1.189,259.598,239.480,215.405
0.040,2.193,1.168,1.168,259.636,239.410,215.340
0.042,2.313,1.153,1.153,259.690,239.333,215.266
0.043,2.452,1.146,1.146,259.757,239.248,215.178
0.045,2.610,1.148,1.148,259.835,239.159,215.074
0.047,2.787,1.160,1.160,259.922,239.067,214.951
0.048,2.983,1.184,1.184,260.016,238.974,214.806
0.050,3.200,1.222,1.222,260.113,238.881,214.636
0.051,3.433,1.273,1.273,260.213,238.789,214.446
0.053,3.678,1.336,1.336,260.311,238.699,214.241
0.055,3.928,1.403,1.403,260.405,238.611,214.027
0.056,4.178,1.469,1.469,260.492,238.524,213.809
0.058,4.422,1.526,1.526,260.571,238.440,213.593
0.059,4.655,1.569,1.569,260.637,238.359,213.386
0.061,4.871,1.591,1.591,260.689,238.281,213.191
0.063,5.064,1.591,1.591,260.723,238.206,213.016
0.064,5.231,1.575,1.575,260.737,238.134,212.866
