"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.967,0.967,182.825,216.474,213.706
0.001,0.129,0.976,0.976,182.877,216.358,213.725
0.002,0.255,0.985,0.985,182.928,216.243,213.743
0.002,0.379,0.994,0.994,182.979,216.132,213.760
0.003,0.497,1.002,1.002,183.028,216.026,213.775
0.004,0.608,1.009,1.009,183.075,215.926,213.787
0.005,0.710,1.016,1.016,183.120,215.835,213.796
0.006,0.802,1.022,1.022,183.161,215.753,213.802
0.007,0.882,1.028,1.028,183.200,215.682,213.803
0.007,0.949,1.032,1.032,183.234,215.625,213.799
0.008,1.002,1.034,1.034,183.265,215.582,213.790
0.009,1.043,1.036,1.036,183.291,215.555,213.775
0.010,1.077,1.036,1.036,183.314,215.540,213.754
0.011,1.110,1.034,1.034,183.336,215.535,213.730
0.011,1.146,1.031,1.031,183.359,215.536,213.704
0.012,1.184,1.027,1.027,183.386,215.538,213.676
0.013,1.226,1.023,1.023,183.417,215.540,213.648
0.014,1.273,1.019,1.019,183.456,215.537,213.621
0.015,1.327,1.016,1.016,183.503,215.527,213.597
0.016,1.393,1.014,1.014,183.561,215.505,213.576
0.016,1.474,1.013,1.013,183.632,215.468,213.560
0.017,1.575,1.015,1.015,183.716,215.415,213.549
0.018,1.691,1.019,1.019,183.813,215.350,213.541
0.019,1.819,1.027,1.027,183.919,215.279,213.534
0.020,1.953,1.039,1.039,184.032,215.208,213.527
0.020,2.089,1.054,1.054,184.151,215.142,213.516
0.021,2.223,1.074,1.074,184.271,215.087,213.499
0.022,2.352,1.098,1.098,184.392,215.049,213.474
0.023,2.477,1.126,1.126,184.511,215.033,213.439
0.024,2.601,1.157,1.157,184.625,215.045,213.391
0.024,2.733,1.190,1.190,184.732,215.090,213.329
0.025,2.883,1.225,1.225,184.831,215.172,213.250
0.026,3.054,1.261,1.261,184.920,215.285,213.159
0.027,3.242,1.299,1.299,185.002,215.421,213.058
0.028,3.443,1.336,1.336,185.077,215.575,212.952
0.029,3.650,1.374,1.374,185.144,215.737,212.843
0.029,3.857,1.411,1.411,185.205,215.903,212.735
0.030,4.056,1.448,1.448,185.260,216.063,212.632
0.031,4.239,1.482,1.482,185.309,216.212,212.537
0.032,4.400,1.515,1.515,185.354,216.343,212.454
