"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.937,0.937,181.921,217.557,214.191
0.001,0.061,0.906,0.908,181.952,217.516,214.159
0.003,0.118,0.878,0.882,181.982,217.477,214.129
0.004,0.169,0.855,0.860,182.010,217.443,214.104
0.006,0.211,0.838,0.844,182.035,217.416,214.084
0.007,0.239,0.830,0.835,182.055,217.399,214.072
0.009,0.255,0.833,0.836,182.070,217.395,214.070
0.010,0.272,0.849,0.849,182.079,217.405,214.080
0.011,0.308,0.881,0.876,182.080,217.433,214.104
0.013,0.370,0.927,0.916,182.072,217.480,214.143
0.014,0.462,0.986,0.970,182.055,217.549,214.201
0.016,0.585,1.056,1.038,182.028,217.642,214.277
0.017,0.736,1.137,1.119,181.991,217.757,214.367
0.019,0.909,1.226,1.214,181.946,217.891,214.467
0.020,1.099,1.323,1.322,181.893,218.040,214.571
0.022,1.302,1.426,1.443,181.833,218.204,214.675
0.023,1.512,1.532,1.573,181.768,218.378,214.773
0.024,1.726,1.640,1.707,181.699,218.560,214.861
0.026,1.940,1.747,1.838,181.625,218.748,214.933
0.027,2.151,1.850,1.963,181.550,218.939,214.984
0.029,2.358,1.948,2.076,181.472,219.129,215.010
0.030,2.562,2.037,2.172,181.395,219.317,215.008
0.032,2.762,2.116,2.247,181.317,219.500,214.981
0.033,2.959,2.185,2.301,181.239,219.675,214.936
0.034,3.150,2.241,2.337,181.163,219.840,214.877
0.036,3.332,2.286,2.357,181.087,219.992,214.810
0.037,3.502,2.319,2.364,181.014,220.128,214.741
0.039,3.656,2.338,2.360,180.943,220.247,214.674
0.040,3.789,2.345,2.347,180.876,220.345,214.615
0.042,3.898,2.339,2.328,180.811,220.421,214.569
0.043,3.981,2.322,2.305,180.751,220.471,214.542
0.045,4.042,2.299,2.281,180.695,220.495,214.535
0.046,4.093,2.272,2.256,180.645,220.501,214.543
0.047,4.139,2.246,2.235,180.602,220.495,214.558
0.049,4.178,2.224,2.218,180.568,220.484,214.574
0.050,4.206,2.210,2.209,180.542,220.477,214.582
0.052,4.223,2.206,2.209,180.527,220.480,214.577
0.053,4.257,2.216,2.220,180.523,220.500,214.550
0.055,4.329,2.239,2.243,180.533,220.546,214.495
0.056,4.450,2.276,2.280,180.556,220.623,214.405
0.057,4.632,2.328,2.331,180.594,220.741,214.271
0.059,4.877,2.397,2.399,180.647,220.900,214.093
0.060,5.173,2.483,2.484,180.712,221.094,213.879
0.062,5.507,2.587,2.586,180.785,221.315,213.639
0.063,5.866,2.703,2.702,180.863,221.554,213.383
0.065,6.236,2.824,2.823,180.942,221.802,213.120
0.066,6.604,2.944,2.943,181.019,222.052,212.861
0.068,6.956,3.056,3.055,181.091,222.294,212.615
0.069,7.280,3.152,3.151,181.153,222.520,212.393
0.070,7.561,3.225,3.225,181.203,222.722,212.204
0.072,7.787,3.270,3.270,181.237,222.891,212.058
0.073,7.952,3.288,3.288,181.253,223.024,211.960
0.075,8.067,3.286,3.286,181.255,223.123,211.903
0.076,8.142,3.270,3.271,181.243,223.194,211.880
0.078,8.193,3.247,3.247,181.222,223.240,211.884
0.079,8.239,3.221,3.222,181.193,223.266,211.908
0.080,8.291,3.201,3.201,181.159,223.277,211.946
0.082,8.348,3.190,3.190,181.123,223.276,211.989
0.083,8.404,3.189,3.189,181.086,223.269,212.032
0.085,8.453,3.196,3.196,181.053,223.259,212.066
0.086,8.488,3.207,3.207,181.025,223.250,212.085
0.088,8.510,3.220,3.220,181.003,223.246,212.086
0.089,8.532,3.232,3.232,180.987,223.245,212.073
0.091,8.559,3.240,3.240,180.975,223.247,212.048
0.092,8.592,3.243,3.243,180.968,223.249,212.015
0.093,8.629,3.239,3.239,180.965,223.251,211.979
0.095,8.666,3.232,3.232,180.963,223.253,211.942
0.096,8.700,3.225,3.225,180.964,223.252,211.908
0.098,8.727,3.219,3.219,180.965,223.248,211.881
0.099,8.745,3.217,3.217,180.966,223.239,211.865
0.101,8.759,3.222,3.222,180.966,223.225,211.863
0.102,8.781,3.235,3.235,180.965,223.206,211.875
0.103,8.811,3.253,3.253,180.964,223.186,211.895
0.105,8.842,3.273,3.273,180.961,223.165,211.919
0.106,8.870,3.290,3.290,180.959,223.149,211.941
0.108,8.887,3.297,3.297,180.956,223.138,211.955
0.109,8.890,3.291,3.291,180.955,223.137,211.956
0.111,8.910,3.266,3.266,180.954,223.148,211.939
0.112,8.959,3.219,3.219,180.954,223.174,211.899
0.114,9.041,3.149,3.149,180.956,223.218,211.829
0.115,9.164,3.064,3.064,180.960,223.282,211.724
0.116,9.326,2.968,2.968,180.966,223.367,211.585
0.118,9.521,2.866,2.866,180.975,223.466,211.418
0.119,9.741,2.764,2.764,180.987,223.577,211.228
0.121,9.978,2.668,2.668,181.001,223.694,211.022
0.122,10.225,2.581,2.581,181.019,223.812,210.807
0.124,10.474,2.506,2.506,181.041,223.929,210.587
0.125,10.718,2.443,2.443,181.067,224.037,210.371
0.126,10.950,2.389,2.389,181.097,224.134,210.163
0.128,11.161,2.345,2.345,181.132,224.215,209.970
0.129,11.348,2.308,2.308,181.171,224.274,209.798
0.131,11.508,2.279,2.279,181.215,224.313,209.648
0.132,11.648,2.256,2.256,181.259,224.333,209.518
0.134,11.771,2.238,2.238,181.304,224.339,209.403
0.135,11.882,2.223,2.223,181.345,224.334,209.300
0.136,11.984,2.211,2.211,181.382,224.321,209.206
0.138,12.078,2.198,2.198,181.412,224.304,209.118
0.139,12.169,2.185,2.185,181.433,224.287,209.032
0.141,12.258,2.170,2.170,181.442,224.272,208.944
0.142,12.351,2.150,2.150,181.438,224.263,208.852
0.144,12.453,2.127,2.127,181.418,224.264,208.752
0.145,12.567,2.100,2.100,181.384,224.275,208.643
0.147,12.692,2.073,2.073,181.341,224.295,208.528
0.148,12.823,2.046,2.046,181.293,224.323,208.409
0.149,12.959,2.020,2.020,181.244,224.358,208.286
0.151,13.096,1.996,1.996,181.200,224.398,208.163
0.152,13.230,1.977,1.977,181.165,224.441,208.041
0.154,13.359,1.961,1.961,181.144,224.488,207.923
0.155,13.483,1.949,1.949,181.141,224.536,207.809
0.157,13.601,1.940,1.940,181.160,224.584,207.702
0.158,13.719,1.933,1.933,181.207,224.631,207.605
0.159,13.842,1.926,1.926,181.279,224.676,207.516
0.161,13.972,1.920,1.920,181.373,224.719,207.437
0.162,14.109,1.913,1.913,181.482,224.759,207.366
0.164,14.250,1.905,1.905,181.603,224.797,207.302
0.165,14.393,1.897,1.897,181.729,224.832,207.247
0.167,14.533,1.889,1.889,181.857,224.864,207.198
0.168,14.667,1.880,1.880,181.981,224.893,207.157
0.170,14.790,1.871,1.871,182.096,224.917,207.121
0.171,14.898,1.862,1.862,182.198,224.938,207.091
0.172,14.986,1.854,1.854,182.281,224.954,207.066
0.174,15.054,1.846,1.846,182.345,224.966,207.046
0.175,15.105,1.839,1.839,182.393,224.974,207.032
0.177,15.142,1.833,1.833,182.428,224.980,207.022
0.178,15.165,1.829,1.829,182.451,224.983,207.017
0.180,15.179,1.826,1.826,182.465,224.985,207.017
0.181,15.188,1.826,1.826,182.472,224.985,207.021
0.182,15.198,1.827,1.827,182.475,224.985,207.030
0.184,15.211,1.832,1.832,182.476,224.984,207.044
0.185,15.230,1.837,1.837,182.478,224.984,207.062
0.187,15.253,1.843,1.843,182.483,224.985,207.085
0.188,15.280,1.850,1.850,182.490,224.987,207.110
0.190,15.309,1.855,1.855,182.502,224.989,207.138
0.191,15.339,1.860,1.860,182.516,224.991,207.164
0.193,15.369,1.862,1.862,182.533,224.991,207.189
0.194,15.398,1.861,1.861,182.552,224.991,207.210
0.195,15.424,1.859,1.859,182.574,224.988,207.225
0.197,15.450,1.854,1.854,182.597,224.983,207.233
0.198,15.477,1.846,1.846,182.623,224.975,207.232
0.200,15.509,1.837,1.837,182.650,224.964,207.220
0.201,15.550,1.826,1.826,182.679,224.948,207.195
0.203,15.601,1.813,1.813,182.711,224.929,207.160
0.204,15.662,1.799,1.799,182.749,224.909,207.116
0.205,15.732,1.783,1.783,182.794,224.889,207.066
0.207,15.811,1.766,1.766,182.848,224.869,207.012
0.208,15.899,1.749,1.749,182.915,224.853,206.957
0.210,15.997,1.731,1.731,182.995,224.840,206.903
0.211,16.106,1.713,1.713,183.092,224.833,206.853
0.213,16.230,1.695,1.695,183.207,224.834,206.809
0.214,16.370,1.678,1.678,183.343,224.842,206.773
0.216,16.532,1.660,1.660,183.501,224.860,206.748
0.217,16.712,1.642,1.642,183.679,224.888,206.731
0.218,16.908,1.624,1.624,183.871,224.923,206.720
0.220,17.117,1.605,1.605,184.075,224.966,206.713
0.221,17.333,1.584,1.584,184.286,225.014,206.707
0.223,17.553,1.562,1.562,184.500,225.068,206.698
0.224,17.773,1.540,1.540,184.712,225.125,206.685
0.226,17.989,1.519,1.519,184.918,225.184,206.664
0.227,18.197,1.502,1.502,185.115,225.245,206.632
0.228,18.395,1.491,1.491,185.297,225.307,206.588
0.230,18.580,1.489,1.489,185.462,225.367,206.528
0.231,18.755,1.498,1.498,185.609,225.427,206.455
0.233,18.920,1.520,1.520,185.739,225.485,206.372
0.234,19.077,1.555,1.555,185.854,225.541,206.281
0.236,19.225,1.601,1.601,185.954,225.594,206.185
0.237,19.365,1.654,1.654,186.041,225.644,206.087
0.239,19.495,1.711,1.711,186.115,225.690,205.991
0.240,19.614,1.769,1.769,186.178,225.732,205.899
0.241,19.721,1.824,1.824,186.230,225.769,205.814
0.243,19.813,1.872,1.872,186.274,225.801,205.739
0.244,19.890,1.912,1.912,186.308,225.828,205.676
0.246,19.952,1.945,1.945,186.336,225.849,205.625
0.247,20.000,1.971,1.971,186.358,225.866,205.585
0.249,20.037,1.991,1.991,186.374,225.879,205.555
0.250,20.064,2.007,2.007,186.386,225.889,205.533
0.251,20.082,2.018,2.018,186.394,225.896,205.518
0.253,20.093,2.025,2.025,186.401,225.901,205.510
0.254,20.100,2.031,2.031,186.406,225.904,205.508
0.256,20.106,2.033,2.033,186.411,225.906,205.509
0.257,20.113,2.033,2.033,186.417,225.908,205.513
0.259,20.123,2.032,2.032,186.424,225.910,205.519
0.260,20.135,2.028,2.028,186.432,225.913,205.527
0.261,20.148,2.022,2.022,186.442,225.917,205.536
0.263,20.163,2.014,2.014,186.452,225.923,205.545
0.264,20.179,2.005,2.005,186.463,225.932,205.554
0.266,20.197,1.994,1.994,186.473,225.943,205.562
0.267,20.216,1.983,1.983,186.484,225.957,205.569
0.269,20.237,1.972,1.972,186.494,225.975,205.575
0.270,20.262,1.962,1.962,186.502,225.998,205.578
0.272,20.291,1.953,1.953,186.510,226.026,205.579
0.273,20.324,1.945,1.945,186.516,226.059,205.578
0.274,20.363,1.939,1.939,186.522,226.097,205.574
0.276,20.408,1.934,1.934,186.530,226.141,205.569
0.277,20.460,1.929,1.929,186.542,226.191,205.564
0.279,20.518,1.923,1.923,186.558,226.247,205.560
0.280,20.585,1.915,1.915,186.581,226.309,205.557
0.282,20.660,1.903,1.903,186.612,226.378,205.557
0.283,20.745,1.888,1.888,186.652,226.452,205.561
0.284,20.841,1.868,1.868,186.704,226.533,205.569
0.286,20.951,1.846,1.846,186.768,226.621,205.583
0.287,21.075,1.824,1.824,186.846,226.715,205.602
0.289,21.209,1.803,1.803,186.935,226.814,205.626
0.290,21.351,1.785,1.785,187.031,226.915,205.652
0.292,21.497,1.774,1.774,187.132,227.016,205.681
0.293,21.642,1.771,1.771,187.234,227.115,205.709
0.295,21.783,1.776,1.776,187.335,227.210,205.736
0.296,21.917,1.789,1.789,187.432,227.299,205.760
0.297,22.039,1.806,1.806,187.521,227.379,205.780
0.299,22.145,1.826,1.826,187.600,227.450,205.793
0.300,22.232,1.845,1.845,187.665,227.507,205.800
0.302,22.299,1.862,1.862,187.715,227.552,205.798
0.303,22.349,1.875,1.875,187.751,227.585,205.789
0.305,22.385,1.880,1.880,187.775,227.608,205.776
0.306,22.411,1.880,1.880,187.789,227.624,205.760
0.307,22.433,1.874,1.874,187.794,227.634,205.742
0.309,22.452,1.865,1.865,187.792,227.640,205.724
0.310,22.470,1.852,1.852,187.785,227.646,205.707
0.312,22.488,1.837,1.837,187.775,227.652,205.695
0.313,22.505,1.821,1.821,187.762,227.660,205.687
0.315,22.523,1.805,1.805,187.750,227.674,205.686
0.316,22.546,1.788,1.788,187.740,227.694,205.693
0.318,22.578,1.772,1.772,187.732,227.721,205.708
0.319,22.620,1.755,1.755,187.728,227.757,205.729
0.320,22.673,1.739,1.739,187.729,227.801,205.757
0.322,22.738,1.723,1.723,187.735,227.856,205.792
0.323,22.816,1.707,1.707,187.749,227.922,205.832
0.325,22.908,1.691,1.691,187.770,227.999,205.877
0.326,23.015,1.677,1.677,187.800,228.090,205.927
0.328,23.139,1.666,1.666,187.839,228.194,205.982
0.329,23.281,1.658,1.658,187.890,228.312,206.041
0.330,23.439,1.654,1.654,187.951,228.444,206.102
0.332,23.608,1.656,1.656,188.019,228.585,206.166
0.333,23.783,1.665,1.665,188.091,228.732,206.230
0.335,23.960,1.682,1.682,188.162,228.880,206.293
0.336,24.131,1.703,1.703,188.231,229.026,206.353
0.338,24.293,1.726,1.726,188.293,229.164,206.409
0.339,24.440,1.749,1.749,188.345,229.291,206.460
0.341,24.566,1.768,1.768,188.383,229.403,206.504
0.342,24.668,1.781,1.781,188.405,229.496,206.540
0.343,24.742,1.785,1.785,188.406,229.565,206.566
0.345,24.794,1.777,1.777,188.387,229.611,206.583
0.346,24.838,1.762,1.762,188.353,229.639,206.591
0.348,24.884,1.742,1.742,188.310,229.654,206.592
0.349,24.932,1.721,1.721,188.264,229.664,206.588
0.351,24.977,1.704,1.704,188.219,229.673,206.581
0.352,25.018,1.693,1.693,188.183,229.689,206.573
0.353,25.055,1.694,1.694,188.160,229.716,206.564
0.355,25.100,1.708,1.708,188.156,229.761,206.557
0.356,25.172,1.735,1.735,188.176,229.829,206.554
0.358,25.283,1.774,1.774,188.227,229.928,206.556
0.359,25.435,1.822,1.822,188.309,230.056,206.563
0.361,25.621,1.878,1.878,188.417,230.207,206.575
0.362,25.833,1.940,1.940,188.546,230.375,206.591
0.364,26.063,2.006,2.006,188.691,230.552,206.609
0.365,26.302,2.074,2.074,188.846,230.733,206.628
0.366,26.542,2.143,2.143,189.007,230.909,206.649
0.368,26.773,2.212,2.212,189.168,231.075,206.669
0.369,26.989,2.279,2.279,189.324,231.223,206.687
0.371,27.181,2.342,2.343,189.470,231.346,206.703
0.372,27.342,2.402,2.402,189.601,231.439,206.716
0.374,27.470,2.456,2.456,189.714,231.499,206.725
0.375,27.572,2.503,2.503,189.810,231.531,206.731
0.376,27.653,2.543,2.542,189.891,231.540,206.735
0.378,27.720,2.576,2.575,189.957,231.531,206.738
0.379,27.777,2.603,2.602,190.009,231.507,206.739
0.381,27.828,2.624,2.623,190.048,231.474,206.740
0.382,27.875,2.638,2.638,190.075,231.436,206.741
0.384,27.916,2.647,2.647,190.091,231.398,206.744
0.385,27.951,2.651,2.652,190.097,231.364,206.748
0.386,27.977,2.650,2.652,190.093,231.339,206.755
0.388,27.997,2.646,2.649,190.083,231.324,206.763
0.389,28.015,2.639,2.643,190.068,231.317,206.772
0.391,28.033,2.631,2.635,190.053,231.317,206.781
0.392,28.049,2.623,2.626,190.039,231.322,206.788
0.394,28.061,2.615,2.616,190.031,231.330,206.792
0.395,28.070,2.610,2.607,190.030,231.338,206.792
0.397,28.084,2.607,2.599,190.041,231.346,206.787
0.398,28.113,2.606,2.594,190.065,231.352,206.774
0.399,28.159,2.608,2.593,190.107,231.352,206.754
0.401,28.228,2.612,2.598,190.169,231.347,206.724
0.402,28.318,2.620,2.609,190.251,231.338,206.688
0.404,28.426,2.630,2.628,190.351,231.329,206.648
0.405,28.547,2.644,2.655,190.466,231.323,206.610
0.407,28.680,2.661,2.691,190.594,231.326,206.578
0.408,28.821,2.681,2.733,190.733,231.342,206.555
0.409,28.972,2.704,2.779,190.881,231.375,206.546
0.411,29.135,2.731,2.828,191.034,231.428,206.556
0.412,29.314,2.760,2.879,191.191,231.508,206.588
0.414,29.515,2.793,2.928,191.349,231.617,206.647
0.415,29.745,2.829,2.975,191.507,231.759,206.736
0.417,30.006,2.867,3.019,191.662,231.933,206.853
0.418,30.292,2.907,3.060,191.812,232.133,206.991
0.420,30.596,2.948,3.097,191.958,232.353,207.142
0.421,30.911,2.989,3.130,192.097,232.587,207.300
0.422,31.228,3.029,3.159,192.229,232.830,207.457
0.424,31.540,3.068,3.184,192.351,233.075,207.606
0.425,31.839,3.104,3.205,192.463,233.318,207.739
0.427,32.116,3.138,3.221,192.563,233.551,207.851
0.428,32.366,3.170,3.235,192.650,233.770,207.933
0.430,32.583,3.198,3.245,192.723,233.969,207.980
0.431,32.772,3.224,3.254,192.784,234.147,207.991
0.432,32.941,3.246,3.261,192.835,234.307,207.971
0.434,33.098,3.265,3.268,192.879,234.451,207.925
0.435,33.250,3.281,3.275,192.919,234.581,207.857
0.437,33.401,3.293,3.283,192.959,234.699,207.772
0.438,33.553,3.304,3.292,193.000,234.807,207.673
0.440,33.707,3.312,3.304,193.047,234.908,207.567
0.441,33.863,3.320,3.318,193.101,235.003,207.456
0.443,34.021,3.327,3.335,193.167,235.096,207.346
0.444,34.181,3.334,3.356,193.245,235.187,207.241
0.445,34.343,3.342,3.382,193.336,235.279,207.143
0.447,34.506,3.352,3.411,193.436,235.372,207.053
0.448,34.670,3.363,3.442,193.543,235.469,206.974
0.450,34.834,3.376,3.474,193.653,235.569,206.907
0.451,34.996,3.391,3.504,193.763,235.675,206.852
0.453,35.157,3.409,3.533,193.871,235.787,206.812
0.454,35.317,3.429,3.556,193.974,235.907,206.788
0.455,35.477,3.452,3.575,194.068,236.036,206.782
0.457,35.639,3.478,3.588,194.152,236.175,206.794
0.458,35.808,3.505,3.596,194.221,236.325,206.826
0.460,35.982,3.531,3.600,194.278,236.484,206.873
0.461,36.161,3.556,3.602,194.323,236.648,206.928
0.463,36.341,3.578,3.602,194.358,236.815,206.985
0.464,36.516,3.596,3.602,194.386,236.980,207.035
0.466,36.683,3.609,3.602,194.407,237.141,207.073
0.467,36.839,3.616,3.603,194.425,237.295,207.092
0.468,36.983,3.621,3.605,194.440,237.438,207.084
0.470,37.119,3.624,3.609,194.454,237.567,207.043
0.471,37.258,3.627,3.616,194.470,237.679,206.962
0.473,37.415,3.632,3.625,194.488,237.771,206.835
0.474,37.598,3.640,3.638,194.508,237.843,206.669
0.476,37.803,3.652,3.654,194.531,237.898,206.473
0.477,38.026,3.670,3.674,194.553,237.937,206.254
0.478,38.259,3.691,3.696,194.576,237.961,206.024
0.480,38.495,3.715,3.719,194.598,237.973,205.789
0.481,38.724,3.739,3.742,194.619,237.975,205.561
0.483,38.939,3.763,3.765,194.637,237.967,205.347
0.484,39.130,3.785,3.786,194.651,237.952,205.157
0.486,39.288,3.804,3.804,194.662,237.932,205.000
0.487,39.408,3.820,3.819,194.668,237.908,204.883
0.489,39.491,3.830,3.829,194.670,237.882,204.804
0.490,39.544,3.836,3.835,194.669,237.859,204.756
0.491,39.572,3.837,3.836,194.666,237.840,204.736
0.493,39.584,3.832,3.831,194.662,237.829,204.737
0.494,39.602,3.820,3.820,194.659,237.828,204.753
0.496,39.632,3.802,3.802,194.656,237.839,204.781
0.497,39.675,3.779,3.779,194.655,237.867,204.814
0.499,39.731,3.753,3.754,194.658,237.913,204.847
0.500,39.805,3.729,3.729,194.665,237.981,204.874
0.501,39.898,3.709,3.709,194.676,238.071,204.892
0.503,40.009,3.697,3.697,194.689,238.182,204.897
0.504,40.136,3.696,3.696,194.699,238.308,204.889
0.506,40.274,3.709,3.709,194.704,238.444,204.865
0.507,40.423,3.735,3.735,194.699,238.587,204.825
0.509,40.580,3.769,3.768,194.682,238.732,204.766
0.510,40.745,3.804,3.804,194.647,238.873,204.688
0.511,40.921,3.835,3.835,194.593,239.008,204.588
0.513,41.112,3.856,3.856,194.514,239.131,204.466
0.514,41.322,3.862,3.862,194.408,239.237,204.319
0.516,41.556,3.847,3.847,194.273,239.325,204.148
0.517,41.814,3.810,3.810,194.113,239.393,203.958
0.519,42.090,3.757,3.757,193.935,239.446,203.754
0.520,42.377,3.694,3.694,193.745,239.485,203.543
0.522,42.667,3.626,3.626,193.549,239.512,203.330
0.523,42.954,3.560,3.560,193.353,239.529,203.122
0.524,43.228,3.501,3.501,193.164,239.538,202.924
0.526,43.481,3.454,3.454,192.986,239.542,202.743
0.527,43.706,3.423,3.423,192.828,239.542,202.584
0.529,43.893,3.405,3.405,192.694,239.541,202.454
0.530,44.037,3.399,3.399,192.589,239.541,202.355
0.532,44.143,3.402,3.402,192.510,239.541,202.283
0.533,44.218,3.414,3.414,192.455,239.543,202.233
