"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.081,1.081,182.532,216.588,213.743
0.001,0.153,1.073,1.073,182.622,216.465,213.735
0.002,0.304,1.065,1.065,182.711,216.343,213.728
0.002,0.451,1.057,1.057,182.797,216.223,213.721
0.003,0.593,1.049,1.049,182.879,216.107,213.716
0.004,0.728,1.042,1.042,182.954,215.995,213.713
0.005,0.854,1.035,1.035,183.021,215.889,213.712
0.006,0.970,1.029,1.029,183.079,215.789,213.715
0.006,1.074,1.023,1.023,183.126,215.696,213.721
0.007,1.165,1.018,1.018,183.161,215.613,213.731
0.008,1.244,1.013,1.013,183.183,215.538,213.745
0.009,1.315,1.009,1.009,183.191,215.469,213.761
0.010,1.384,1.006,1.006,183.186,215.402,213.779
0.010,1.457,1.004,1.004,183.169,215.334,213.796
0.011,1.538,1.003,1.003,183.141,215.259,213.810
0.012,1.632,1.003,1.003,183.101,215.175,213.819
0.013,1.742,1.004,1.004,183.051,215.077,213.823
0.014,1.872,1.005,1.006,182.991,214.962,213.819
0.014,2.026,1.008,1.008,182.921,214.825,213.805
0.015,2.206,1.011,1.012,182.843,214.665,213.780
0.016,2.407,1.016,1.016,182.758,214.486,213.746
0.017,2.621,1.021,1.021,182.670,214.296,213.705
0.018,2.841,1.027,1.027,182.580,214.100,213.659
0.018,3.060,1.034,1.034,182.492,213.906,213.610
0.019,3.270,1.042,1.042,182.407,213.720,213.561
0.020,3.464,1.050,1.050,182.329,213.548,213.513
0.021,3.635,1.059,1.059,182.260,213.399,213.469
0.022,3.775,1.069,1.069,182.203,213.277,213.431
0.022,3.878,1.079,1.078,182.159,213.188,213.400
0.023,3.949,1.089,1.088,182.127,213.130,213.377
0.024,3.990,1.098,1.097,182.108,213.097,213.360
0.025,4.007,1.107,1.106,182.098,213.087,213.350
0.026,4.016,1.115,1.113,182.097,213.095,213.346
0.026,4.039,1.120,1.119,182.104,213.116,213.347
0.027,4.073,1.125,1.123,182.117,213.147,213.352
0.028,4.115,1.127,1.125,182.135,213.183,213.362
0.029,4.160,1.126,1.125,182.157,213.221,213.375
0.030,4.206,1.123,1.122,182.181,213.256,213.391
0.030,4.248,1.116,1.116,182.205,213.287,213.408
0.031,4.284,1.106,1.107,182.227,213.311,213.423
0.032,4.310,1.094,1.096,182.244,213.327,213.435
0.033,4.322,1.080,1.083,182.252,213.332,213.442
0.034,4.329,1.065,1.069,182.251,213.326,213.441
0.034,4.356,1.050,1.055,182.237,213.306,213.431
0.035,4.407,1.036,1.041,182.208,213.270,213.409
0.036,4.486,1.023,1.029,182.160,213.217,213.373
0.037,4.596,1.012,1.018,182.094,213.145,213.322
0.038,4.732,1.005,1.011,182.014,213.056,213.260
0.038,4.888,1.002,1.007,181.926,212.949,213.188
0.039,5.059,1.004,1.007,181.836,212.826,213.111
0.040,5.239,1.011,1.012,181.750,212.688,213.032
0.041,5.426,1.024,1.023,181.674,212.536,212.955
0.042,5.616,1.044,1.040,181.615,212.371,212.882
0.042,5.807,1.070,1.062,181.577,212.194,212.819
0.043,6.002,1.100,1.088,181.568,212.007,212.767
0.044,6.204,1.134,1.119,181.590,211.810,212.730
0.045,6.415,1.170,1.152,181.640,211.606,212.706
0.046,6.634,1.209,1.188,181.711,211.399,212.694
0.046,6.858,1.248,1.227,181.797,211.193,212.692
0.047,7.082,1.287,1.266,181.891,210.989,212.697
0.048,7.302,1.325,1.306,181.987,210.792,212.708
0.049,7.511,1.362,1.346,182.079,210.604,212.724
0.050,7.705,1.395,1.386,182.160,210.429,212.742
0.050,7.877,1.425,1.424,182.224,210.270,212.760
0.051,8.025,1.451,1.460,182.267,210.130,212.778
0.052,8.151,1.472,1.495,182.291,210.007,212.794
0.053,8.259,1.489,1.527,182.303,209.901,212.809
0.054,8.351,1.504,1.558,182.305,209.810,212.822
0.054,8.430,1.516,1.586,182.303,209.732,212.834
0.055,8.496,1.526,1.613,182.301,209.666,212.845
0.056,8.552,1.534,1.637,182.305,209.611,212.854
0.057,8.600,1.542,1.660,182.318,209.566,212.862
0.058,8.647,1.549,1.680,182.345,209.528,212.869
0.058,8.701,1.556,1.699,182.389,209.497,212.874
0.059,8.766,1.565,1.716,182.448,209.471,212.878
0.060,8.840,1.575,1.731,182.518,209.448,212.883
0.061,8.921,1.587,1.745,182.596,209.426,212.890
