"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.264,1.264,185.684,226.365,217.866
0.001,0.066,1.299,1.299,185.647,226.358,217.919
0.003,0.132,1.333,1.333,185.609,226.350,217.973
0.004,0.197,1.367,1.367,185.573,226.344,218.026
0.005,0.260,1.401,1.401,185.537,226.338,218.078
0.007,0.321,1.435,1.435,185.503,226.334,218.129
0.008,0.381,1.468,1.468,185.471,226.332,218.179
0.009,0.437,1.501,1.501,185.441,226.332,218.227
0.010,0.491,1.533,1.533,185.414,226.335,218.273
0.012,0.541,1.565,1.565,185.390,226.341,218.317
0.013,0.589,1.595,1.596,185.370,226.351,218.359
0.014,0.633,1.625,1.625,185.353,226.364,218.398
0.016,0.675,1.653,1.654,185.340,226.381,218.434
0.017,0.715,1.680,1.681,185.331,226.401,218.467
0.018,0.753,1.706,1.707,185.324,226.424,218.497
0.020,0.790,1.731,1.731,185.321,226.448,218.524
0.021,0.825,1.753,1.753,185.319,226.473,218.549
0.022,0.858,1.774,1.773,185.320,226.497,218.571
0.024,0.888,1.793,1.791,185.321,226.521,218.590
0.025,0.916,1.809,1.806,185.324,226.543,218.606
0.026,0.940,1.823,1.819,185.328,226.563,218.620
0.028,0.960,1.834,1.830,185.331,226.579,218.631
0.029,0.975,1.841,1.839,185.334,226.591,218.640
0.030,0.986,1.845,1.845,185.337,226.598,218.647
0.031,0.995,1.846,1.848,185.341,226.603,218.654
0.033,1.006,1.843,1.849,185.347,226.603,218.663
0.034,1.021,1.838,1.848,185.356,226.602,218.675
0.035,1.043,1.831,1.844,185.368,226.598,218.693
0.037,1.074,1.824,1.837,185.386,226.593,218.718
0.038,1.115,1.816,1.828,185.408,226.586,218.752
0.039,1.169,1.809,1.816,185.438,226.579,218.797
0.041,1.237,1.804,1.802,185.475,226.573,218.854
0.042,1.322,1.800,1.785,185.520,226.566,218.925
0.043,1.424,1.797,1.769,185.575,226.561,219.011
0.045,1.543,1.795,1.755,185.638,226.556,219.112
0.046,1.675,1.793,1.745,185.709,226.551,219.223
0.047,1.818,1.790,1.742,185.785,226.545,219.343
0.049,1.968,1.785,1.747,185.867,226.538,219.469
0.050,2.122,1.779,1.762,185.953,226.528,219.597
0.051,2.279,1.769,1.790,186.040,226.514,219.726
0.052,2.434,1.757,1.830,186.130,226.497,219.851
0.054,2.585,1.743,1.876,186.219,226.474,219.971
0.055,2.729,1.729,1.925,186.307,226.446,220.083
0.056,2.865,1.715,1.973,186.392,226.412,220.183
0.058,2.992,1.703,2.014,186.474,226.371,220.269
0.059,3.111,1.693,2.045,186.554,226.322,220.343
0.060,3.225,1.686,2.061,186.632,226.265,220.404
0.062,3.338,1.684,2.059,186.710,226.199,220.454
0.063,3.453,1.684,2.039,186.788,226.125,220.492
0.064,3.571,1.686,2.003,186.868,226.042,220.519
0.066,3.696,1.685,1.955,186.950,225.949,220.537
0.067,3.830,1.682,1.897,187.036,225.846,220.546
0.068,3.975,1.672,1.832,187.125,225.733,220.546
0.070,4.132,1.654,1.762,187.221,225.608,220.539
0.071,4.302,1.625,1.690,187.322,225.473,220.524
0.072,4.486,1.586,1.619,187.431,225.326,220.503
0.073,4.680,1.539,1.550,187.543,225.170,220.476
0.075,4.882,1.488,1.486,187.659,225.007,220.446
0.076,5.091,1.436,1.429,187.777,224.839,220.412
0.077,5.302,1.389,1.380,187.894,224.666,220.376
0.079,5.515,1.349,1.343,188.009,224.491,220.339
0.080,5.726,1.320,1.318,188.121,224.316,220.302
0.081,5.932,1.307,1.309,188.228,224.143,220.266
0.083,6.132,1.310,1.314,188.327,223.973,220.232
0.084,6.323,1.327,1.331,188.418,223.808,220.201
0.085,6.503,1.355,1.359,188.499,223.650,220.174
0.087,6.671,1.391,1.394,188.570,223.500,220.151
0.088,6.828,1.431,1.434,188.634,223.358,220.131
0.089,6.974,1.474,1.476,188.693,223.225,220.111
0.091,7.111,1.517,1.517,188.749,223.102,220.092
0.092,7.239,1.556,1.556,188.805,222.988,220.071
0.093,7.359,1.592,1.591,188.863,222.886,220.048
0.094,7.473,1.624,1.622,188.924,222.794,220.021
0.096,7.582,1.651,1.650,188.992,222.714,219.988
0.097,7.692,1.676,1.675,189.069,222.647,219.949
0.098,7.805,1.696,1.696,189.156,222.592,219.903
0.100,7.927,1.714,1.713,189.256,222.550,219.847
0.101,8.058,1.728,1.728,189.367,222.520,219.784
0.102,8.197,1.739,1.739,189.487,222.502,219.715
0.104,8.342,1.748,1.748,189.611,222.493,219.642
0.105,8.490,1.756,1.756,189.739,222.492,219.567
0.106,8.638,1.763,1.764,189.866,222.499,219.493
0.108,8.782,1.772,1.772,189.991,222.511,219.420
0.109,8.921,1.782,1.782,190.110,222.528,219.351
0.110,9.050,1.794,1.794,190.220,222.548,219.287
0.112,9.166,1.810,1.810,190.320,222.570,219.231
0.113,9.266,1.830,1.830,190.405,222.593,219.185
0.114,9.347,1.852,1.852,190.475,222.616,219.149
0.115,9.412,1.875,1.875,190.530,222.638,219.123
0.117,9.464,1.897,1.897,190.574,222.659,219.106
0.118,9.505,1.918,1.918,190.608,222.679,219.095
0.119,9.537,1.936,1.936,190.634,222.698,219.091
0.121,9.564,1.950,1.950,190.654,222.715,219.091
0.122,9.587,1.958,1.958,190.671,222.731,219.095
0.123,9.609,1.961,1.961,190.686,222.745,219.101
0.125,9.630,1.960,1.960,190.701,222.757,219.108
0.126,9.651,1.956,1.956,190.719,222.767,219.115
0.127,9.675,1.952,1.952,190.741,222.775,219.120
0.129,9.703,1.948,1.948,190.768,222.780,219.123
0.130,9.732,1.947,1.947,190.797,222.784,219.124
0.131,9.762,1.949,1.949,190.827,222.786,219.123
0.133,9.790,1.956,1.956,190.855,222.788,219.120
0.134,9.815,1.967,1.967,190.879,222.790,219.115
0.135,9.834,1.980,1.980,190.896,222.792,219.108
0.136,9.846,1.995,1.995,190.905,222.796,219.100
