"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.178,1.178,219.753,194.199,196.930
0.001,0.194,1.220,1.220,219.750,194.081,196.777
0.003,0.386,1.261,1.261,219.747,193.962,196.625
0.004,0.576,1.298,1.298,219.744,193.846,196.476
0.006,0.762,1.332,1.332,219.739,193.730,196.329
0.007,0.943,1.359,1.359,219.734,193.618,196.188
0.009,1.118,1.379,1.379,219.728,193.508,196.052
0.010,1.285,1.390,1.390,219.720,193.402,195.922
0.011,1.444,1.391,1.391,219.710,193.300,195.801
0.013,1.593,1.385,1.385,219.698,193.203,195.689
0.014,1.731,1.376,1.376,219.683,193.112,195.586
0.016,1.857,1.366,1.366,219.667,193.026,195.495
0.017,1.972,1.359,1.359,219.646,192.946,195.416
0.019,2.078,1.358,1.358,219.619,192.869,195.348
0.020,2.176,1.368,1.368,219.586,192.795,195.292
0.021,2.271,1.391,1.391,219.544,192.723,195.248
0.023,2.367,1.423,1.423,219.491,192.650,195.216
0.024,2.468,1.460,1.460,219.425,192.576,195.196
0.026,2.579,1.497,1.497,219.346,192.499,195.188
0.027,2.704,1.528,1.528,219.251,192.417,195.193
0.029,2.847,1.550,1.550,219.138,192.330,195.210
0.030,3.011,1.557,1.557,219.007,192.237,195.239
0.031,3.196,1.545,1.545,218.857,192.136,195.280
0.033,3.396,1.516,1.516,218.694,192.031,195.331
0.034,3.607,1.474,1.474,218.522,191.923,195.388
0.036,3.824,1.425,1.425,218.346,191.814,195.450
0.037,4.040,1.373,1.373,218.170,191.706,195.514
0.039,4.251,1.322,1.322,217.999,191.601,195.579
0.040,4.450,1.279,1.279,217.837,191.502,195.641
0.041,4.634,1.247,1.247,217.690,191.409,195.699
0.043,4.795,1.227,1.227,217.561,191.326,195.751
0.044,4.930,1.216,1.216,217.456,191.254,195.793
0.046,5.034,1.214,1.214,217.376,191.195,195.825
0.047,5.111,1.217,1.217,217.320,191.147,195.848
0.049,5.166,1.224,1.224,217.284,191.110,195.863
0.050,5.202,1.233,1.233,217.263,191.081,195.872
0.051,5.224,1.243,1.243,217.255,191.061,195.877
0.053,5.238,1.251,1.251,217.256,191.047,195.880
0.054,5.248,1.259,1.259,217.261,191.039,195.881
0.056,5.256,1.266,1.266,217.268,191.036,195.884
0.057,5.262,1.272,1.272,217.273,191.035,195.888
0.059,5.271,1.276,1.276,217.271,191.036,195.897
0.060,5.289,1.278,1.278,217.260,191.038,195.911
0.061,5.317,1.279,1.279,217.241,191.040,195.930
0.063,5.352,1.277,1.277,217.213,191.043,195.953
0.064,5.394,1.275,1.275,217.181,191.045,195.979
0.066,5.440,1.271,1.271,217.144,191.048,196.006
0.067,5.488,1.267,1.267,217.104,191.050,196.034
0.069,5.537,1.263,1.263,217.064,191.051,196.061
0.070,5.584,1.259,1.259,217.025,191.052,196.087
0.071,5.627,1.256,1.256,216.988,191.053,196.110
0.073,5.665,1.253,1.253,216.955,191.053,196.128
0.074,5.695,1.252,1.252,216.928,191.051,196.142
0.076,5.719,1.250,1.250,216.907,191.049,196.151
0.077,5.737,1.249,1.249,216.889,191.046,196.157
0.079,5.752,1.247,1.247,216.875,191.043,196.161
0.080,5.767,1.244,1.244,216.861,191.040,196.164
0.081,5.781,1.241,1.241,216.848,191.037,196.168
0.083,5.799,1.237,1.237,216.832,191.035,196.175
0.084,5.821,1.231,1.231,216.813,191.034,196.186
0.086,5.850,1.226,1.226,216.788,191.034,196.203
0.087,5.889,1.220,1.220,216.758,191.035,196.226
0.089,5.939,1.214,1.214,216.719,191.038,196.258
0.090,6.002,1.208,1.208,216.671,191.042,196.298
0.091,6.074,1.203,1.203,216.614,191.045,196.343
0.093,6.155,1.199,1.199,216.548,191.045,196.388
0.094,6.241,1.197,1.197,216.472,191.039,196.430
0.096,6.334,1.197,1.197,216.387,191.025,196.465
0.097,6.434,1.200,1.200,216.293,191.001,196.489
0.099,6.544,1.207,1.207,216.190,190.965,196.498
0.100,6.668,1.218,1.218,216.078,190.913,196.488
0.101,6.811,1.234,1.234,215.957,190.844,196.455
0.103,6.980,1.256,1.256,215.826,190.756,196.395
0.104,7.178,1.285,1.285,215.687,190.646,196.306
0.106,7.404,1.323,1.323,215.541,190.518,196.191
0.107,7.650,1.372,1.372,215.390,190.376,196.057
0.109,7.911,1.433,1.433,215.238,190.225,195.909
0.110,8.179,1.507,1.507,215.086,190.067,195.754
0.111,8.447,1.597,1.597,214.938,189.908,195.598
0.113,8.708,1.701,1.700,214.796,189.751,195.446
0.114,8.953,1.813,1.813,214.662,189.601,195.305
0.116,9.177,1.929,1.929,214.538,189.462,195.180
0.117,9.372,2.042,2.042,214.428,189.337,195.078
0.119,9.532,2.146,2.146,214.334,189.232,195.005
0.120,9.658,2.235,2.235,214.256,189.145,194.958
0.121,9.757,2.303,2.303,214.192,189.073,194.934
0.123,9.837,2.347,2.347,214.141,189.013,194.926
0.124,9.901,2.372,2.373,214.101,188.961,194.931
0.126,9.956,2.383,2.384,214.072,188.916,194.942
0.127,10.005,2.387,2.388,214.052,188.873,194.954
0.129,10.052,2.389,2.390,214.039,188.829,194.963
0.130,10.100,2.395,2.395,214.032,188.781,194.963
0.131,10.157,2.410,2.410,214.030,188.726,194.949
0.133,10.230,2.439,2.438,214.031,188.661,194.915
