"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,6.807,7.046,213.955,173.953,205.204
0.003,0.291,6.787,7.109,213.932,173.752,205.414
0.006,0.581,6.770,7.176,213.910,173.552,205.622
0.009,0.868,6.758,7.248,213.891,173.353,205.828
0.011,1.150,6.752,7.330,213.876,173.157,206.031
0.014,1.426,6.754,7.421,213.867,172.965,206.229
0.017,1.694,6.767,7.521,213.865,172.777,206.420
0.020,1.954,6.792,7.629,213.872,172.595,206.605
0.023,2.204,6.829,7.741,213.888,172.418,206.781
0.026,2.443,6.875,7.857,213.916,172.249,206.948
0.029,2.671,6.927,7.973,213.956,172.088,207.104
0.032,2.887,6.981,8.087,214.011,171.936,207.247
0.034,3.093,7.034,8.194,214.081,171.793,207.378
0.037,3.289,7.086,8.287,214.168,171.662,207.495
0.040,3.478,7.136,8.359,214.273,171.541,207.596
0.043,3.663,7.186,8.404,214.396,171.433,207.682
0.046,3.847,7.236,8.432,214.535,171.336,207.755
0.049,4.033,7.290,8.458,214.687,171.251,207.817
0.052,4.221,7.349,8.493,214.852,171.177,207.871
0.054,4.413,7.414,8.545,215.027,171.115,207.917
0.057,4.607,7.488,8.610,215.210,171.064,207.959
0.060,4.804,7.571,8.685,215.399,171.024,207.998
0.063,5.003,7.664,8.767,215.592,170.995,208.036
0.066,5.203,7.764,8.858,215.787,170.977,208.075
0.069,5.403,7.868,8.965,215.983,170.969,208.118
0.072,5.603,7.974,9.094,216.177,170.972,208.165
0.074,5.802,8.077,9.242,216.367,170.985,208.220
0.077,5.999,8.165,9.390,216.552,171.009,208.284
0.080,6.194,8.230,9.520,216.730,171.041,208.357
0.083,6.386,8.264,9.616,216.900,171.079,208.438
0.086,6.573,8.272,9.680,217.063,171.117,208.521
0.089,6.752,8.269,9.721,217.217,171.150,208.605
0.092,6.920,8.269,9.751,217.364,171.175,208.685
0.095,7.077,8.284,9.784,217.502,171.187,208.758
0.097,7.221,8.326,9.837,217.631,171.180,208.820
0.100,7.354,8.405,9.930,217.752,171.151,208.868
0.103,7.482,8.530,10.076,217.863,171.095,208.898
0.106,7.617,8.682,10.245,217.965,171.007,208.908
0.109,7.773,8.827,10.378,218.058,170.882,208.892
0.112,7.962,8.933,10.418,218.140,170.717,208.849
0.115,8.197,8.976,10.338,218.213,170.507,208.774
0.117,8.486,8.950,10.165,218.275,170.247,208.664
0.120,8.826,8.851,9.936,218.327,169.942,208.523
0.123,9.211,8.677,9.685,218.371,169.600,208.354
0.126,9.630,8.449,9.426,218.406,169.228,208.163
0.129,10.074,8.201,9.160,218.434,168.836,207.955
0.132,10.536,7.965,8.891,218.454,168.431,207.735
0.135,11.004,7.765,8.621,218.470,168.021,207.509
0.138,11.470,7.603,8.359,218.479,167.615,207.281
0.140,11.924,7.474,8.112,218.485,167.220,207.056
0.143,12.357,7.375,7.889,218.487,166.845,206.841
0.146,12.758,7.302,7.694,218.486,166.498,206.639
0.149,13.119,7.247,7.528,218.484,166.186,206.456
0.152,13.430,7.205,7.393,218.480,165.919,206.298
0.155,13.682,7.169,7.289,218.475,165.704,206.168
0.158,13.870,7.139,7.212,218.471,165.543,206.070
0.160,14.003,7.116,7.158,218.467,165.431,205.999
0.163,14.087,7.099,7.123,218.464,165.361,205.951
0.166,14.132,7.088,7.103,218.462,165.326,205.923
0.169,14.146,7.082,7.095,218.462,165.319,205.911
0.172,14.160,7.078,7.097,218.464,165.333,205.911
0.175,14.190,7.078,7.106,218.468,165.362,205.918
0.178,14.228,7.080,7.120,218.474,165.397,205.928
0.181,14.266,7.086,7.135,218.483,165.434,205.939
