"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.305,1.305,223.193,230.048,186.002
0.001,0.066,1.320,1.320,223.154,230.047,185.948
0.002,0.132,1.335,1.335,223.114,230.046,185.896
0.004,0.195,1.349,1.349,223.076,230.045,185.846
0.005,0.256,1.364,1.364,223.039,230.046,185.798
0.006,0.313,1.379,1.379,223.003,230.049,185.753
0.007,0.365,1.394,1.394,222.969,230.054,185.714
0.008,0.412,1.410,1.410,222.938,230.062,185.679
0.009,0.454,1.425,1.425,222.910,230.073,185.651
0.011,0.489,1.441,1.441,222.885,230.087,185.630
0.012,0.520,1.456,1.456,222.863,230.105,185.618
0.013,0.549,1.471,1.471,222.845,230.128,185.614
0.014,0.580,1.483,1.483,222.832,230.155,185.619
0.015,0.612,1.493,1.493,222.822,230.184,185.630
0.016,0.644,1.499,1.499,222.815,230.211,185.644
0.018,0.671,1.501,1.501,222.808,230.234,185.656
0.019,0.689,1.497,1.497,222.802,230.250,185.664
0.020,0.697,1.487,1.487,222.796,230.255,185.663
0.021,0.715,1.470,1.470,222.787,230.246,185.650
0.022,0.755,1.447,1.447,222.776,230.221,185.621
0.023,0.822,1.421,1.421,222.762,230.176,185.572
0.025,0.923,1.394,1.394,222.742,230.109,185.500
0.026,1.060,1.368,1.368,222.717,230.016,185.402
0.027,1.238,1.346,1.347,222.686,229.896,185.275
0.028,1.448,1.331,1.331,222.648,229.753,185.126
0.029,1.682,1.324,1.324,222.605,229.593,184.960
0.030,1.932,1.329,1.329,222.556,229.422,184.785
0.032,2.188,1.345,1.345,222.502,229.245,184.608
0.033,2.442,1.371,1.371,222.443,229.067,184.436
0.034,2.687,1.403,1.403,222.381,228.894,184.275
0.035,2.914,1.438,1.438,222.314,228.731,184.132
0.036,3.114,1.472,1.472,222.244,228.584,184.014
0.037,3.283,1.502,1.502,222.172,228.459,183.928
0.039,3.416,1.524,1.524,222.097,228.360,183.881
0.040,3.519,1.536,1.535,222.019,228.292,183.876
0.041,3.614,1.533,1.533,221.940,228.252,183.909
0.042,3.720,1.515,1.515,221.858,228.235,183.976
0.043,3.845,1.485,1.485,221.775,228.239,184.069
0.044,3.989,1.446,1.446,221.690,228.260,184.183
0.046,4.149,1.400,1.400,221.603,228.294,184.312
0.047,4.319,1.350,1.350,221.515,228.337,184.451
0.048,4.495,1.299,1.299,221.425,228.386,184.594
0.049,4.670,1.249,1.250,221.335,228.437,184.736
0.050,4.840,1.204,1.204,221.243,228.486,184.869
