"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.154,1.154,276.978,279.247,241.844
0.002,0.010,1.163,1.163,276.988,279.247,241.846
0.004,0.019,1.172,1.172,276.997,279.249,241.848
0.006,0.028,1.180,1.180,277.004,279.252,241.851
0.008,0.037,1.186,1.186,277.009,279.259,241.853
0.010,0.048,1.190,1.190,277.011,279.270,241.855
0.012,0.064,1.191,1.191,277.009,279.286,241.857
0.014,0.088,1.192,1.192,277.002,279.309,241.859
0.016,0.120,1.193,1.193,276.989,279.339,241.861
0.018,0.163,1.196,1.196,276.970,279.377,241.863
0.020,0.216,1.203,1.203,276.946,279.424,241.864
0.022,0.278,1.215,1.215,276.920,279.480,241.863
0.024,0.349,1.233,1.233,276.894,279.546,241.860
0.026,0.428,1.258,1.258,276.871,279.621,241.853
0.028,0.516,1.292,1.292,276.854,279.707,241.842
0.030,0.614,1.334,1.334,276.847,279.803,241.826
0.033,0.723,1.385,1.385,276.851,279.910,241.803
0.035,0.846,1.443,1.443,276.870,280.028,241.773
0.037,0.984,1.504,1.504,276.906,280.156,241.735
0.039,1.136,1.568,1.568,276.956,280.292,241.690
0.041,1.297,1.630,1.630,277.015,280.433,241.640
0.043,1.463,1.687,1.687,277.082,280.575,241.586
0.045,1.629,1.737,1.737,277.152,280.714,241.528
0.047,1.791,1.774,1.774,277.221,280.849,241.470
0.049,1.944,1.796,1.796,277.286,280.974,241.411
0.051,2.084,1.797,1.797,277.343,281.088,241.353
0.053,2.206,1.779,1.779,277.389,281.186,241.297
0.055,2.309,1.750,1.750,277.422,281.267,241.243
0.057,2.395,1.720,1.720,277.441,281.331,241.188
0.059,2.470,1.701,1.701,277.444,281.376,241.129
0.061,2.541,1.701,1.701,277.433,281.403,241.064
0.063,2.621,1.727,1.727,277.405,281.411,240.990
0.065,2.719,1.769,1.769,277.359,281.400,240.904
0.067,2.842,1.814,1.814,277.296,281.368,240.803
0.069,2.994,1.853,1.853,277.214,281.316,240.686
0.071,3.177,1.873,1.873,277.114,281.244,240.551
0.073,3.384,1.869,1.869,277.000,281.156,240.402
0.075,3.606,1.846,1.846,276.877,281.058,240.246
0.077,3.833,1.811,1.811,276.750,280.954,240.089
0.079,4.057,1.771,1.771,276.625,280.850,239.936
0.081,4.267,1.734,1.734,276.506,280.749,239.794
0.083,4.456,1.703,1.703,276.399,280.658,239.668
0.085,4.613,1.679,1.679,276.308,280.582,239.564
0.087,4.731,1.661,1.661,276.239,280.524,239.489
0.089,4.808,1.648,1.648,276.192,280.486,239.441
0.091,4.851,1.639,1.639,276.165,280.464,239.417
0.093,4.866,1.633,1.633,276.153,280.455,239.411
0.096,4.875,1.631,1.631,276.155,280.457,239.420
0.098,4.898,1.632,1.632,276.168,280.466,239.438
0.100,4.931,1.637,1.637,276.187,280.478,239.461
0.102,4.967,1.647,1.647,276.211,280.492,239.484
0.104,5.000,1.659,1.659,276.235,280.503,239.503
0.106,5.027,1.672,1.672,276.259,280.510,239.514
0.108,5.047,1.685,1.685,276.278,280.510,239.517
0.110,5.063,1.694,1.694,276.292,280.505,239.509
0.112,5.084,1.698,1.698,276.297,280.494,239.492
0.114,5.117,1.696,1.696,276.292,280.475,239.465
0.116,5.166,1.687,1.687,276.274,280.450,239.427
0.118,5.234,1.673,1.673,276.242,280.416,239.378
0.120,5.322,1.654,1.654,276.193,280.375,239.318
0.122,5.433,1.631,1.631,276.125,280.324,239.245
0.124,5.564,1.604,1.604,276.040,280.268,239.164
0.126,5.707,1.575,1.575,275.944,280.207,239.076
0.128,5.856,1.547,1.547,275.841,280.147,238.988
0.130,6.002,1.521,1.521,275.738,280.091,238.902
0.132,6.138,1.500,1.500,275.638,280.041,238.823
