"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.107,1.107,246.178,235.366,240.794
0.001,0.305,1.146,1.146,246.336,235.499,241.018
0.002,0.603,1.186,1.186,246.492,235.631,241.235
0.002,0.888,1.225,1.225,246.644,235.762,241.437
0.003,1.154,1.264,1.264,246.792,235.892,241.616
0.004,1.395,1.303,1.303,246.933,236.019,241.764
0.005,1.607,1.342,1.342,247.065,236.144,241.874
0.006,1.791,1.380,1.380,247.187,236.266,241.938
0.007,1.953,1.418,1.418,247.298,236.384,241.949
0.007,2.111,1.455,1.455,247.395,236.498,241.898
0.008,2.291,1.492,1.492,247.477,236.607,241.781
0.009,2.504,1.529,1.529,247.545,236.711,241.608
0.010,2.748,1.565,1.565,247.600,236.809,241.392
0.011,3.014,1.600,1.600,247.644,236.901,241.146
0.012,3.291,1.634,1.634,247.677,236.986,240.885
0.012,3.568,1.668,1.668,247.701,237.064,240.620
0.013,3.831,1.701,1.701,247.717,237.133,240.367
0.014,4.068,1.733,1.733,247.727,237.194,240.138
0.015,4.266,1.764,1.764,247.731,237.245,239.947
0.016,4.414,1.794,1.794,247.732,237.287,239.805
0.017,4.517,1.823,1.823,247.729,237.321,239.708
0.017,4.583,1.851,1.851,247.724,237.349,239.648
0.018,4.623,1.878,1.878,247.717,237.373,239.616
0.019,4.647,1.904,1.904,247.711,237.394,239.605
0.020,4.668,1.928,1.928,247.706,237.414,239.605
0.021,4.690,1.951,1.951,247.703,237.435,239.608
0.022,4.715,1.973,1.973,247.703,237.460,239.606
0.022,4.749,1.995,1.995,247.707,237.490,239.590
0.023,4.802,2.016,2.016,247.716,237.526,239.553
0.024,4.874,2.037,2.037,247.729,237.569,239.495
0.025,4.965,2.058,2.058,247.743,237.616,239.420
0.026,5.069,2.081,2.081,247.758,237.666,239.330
0.027,5.184,2.104,2.104,247.771,237.719,239.228
0.027,5.307,2.130,2.130,247.781,237.772,239.118
0.028,5.434,2.157,2.157,247.786,237.824,239.002
0.029,5.562,2.187,2.187,247.783,237.875,238.885
0.030,5.688,2.220,2.220,247.772,237.922,238.768
0.031,5.811,2.256,2.256,247.751,237.964,238.655
0.032,5.930,2.294,2.294,247.721,238.001,238.545
0.032,6.046,2.335,2.335,247.685,238.033,238.439
0.033,6.160,2.378,2.378,247.647,238.059,238.335
0.034,6.272,2.420,2.420,247.610,238.080,238.232
0.035,6.381,2.463,2.463,247.576,238.096,238.130
0.036,6.488,2.504,2.504,247.549,238.106,238.026
0.037,6.594,2.543,2.543,247.532,238.110,237.922
0.037,6.702,2.579,2.579,247.527,238.109,237.814
0.038,6.813,2.612,2.612,247.537,238.102,237.704
0.039,6.930,2.640,2.640,247.562,238.089,237.590
0.040,7.052,2.663,2.663,247.599,238.071,237.475
0.041,7.179,2.680,2.680,247.645,238.047,237.359
0.042,7.309,2.690,2.690,247.696,238.018,237.243
0.042,7.441,2.695,2.695,247.751,237.985,237.129
0.043,7.572,2.695,2.695,247.807,237.946,237.017
0.044,7.700,2.690,2.690,247.860,237.903,236.908
0.045,7.825,2.683,2.683,247.909,237.856,236.803
0.046,7.944,2.673,2.673,247.950,237.804,236.704
0.047,8.057,2.662,2.662,247.984,237.750,236.611
0.047,8.164,2.649,2.649,248.016,237.696,236.524
0.048,8.265,2.637,2.637,248.047,237.646,236.442
0.049,8.360,2.625,2.625,248.083,237.601,236.367
0.050,8.449,2.616,2.616,248.125,237.564,236.298
0.051,8.534,2.608,2.608,248.178,237.538,236.235
0.051,8.622,2.603,2.603,248.244,237.526,236.179
0.052,8.719,2.600,2.600,248.327,237.530,236.129
0.053,8.833,2.597,2.597,248.430,237.553,236.086
0.054,8.966,2.594,2.594,248.551,237.593,236.047
0.055,9.114,2.589,2.589,248.684,237.648,236.010
0.056,9.272,2.581,2.581,248.821,237.714,235.972
0.056,9.433,2.570,2.570,248.959,237.787,235.929
0.057,9.593,2.553,2.553,249.089,237.864,235.878
0.058,9.747,2.530,2.530,249.207,237.941,235.816
0.059,9.892,2.499,2.499,249.306,238.016,235.741
0.060,10.028,2.460,2.460,249.380,238.084,235.648
0.061,10.162,2.412,2.412,249.423,238.143,235.536
0.061,10.304,2.353,2.353,249.436,238.191,235.403
0.062,10.460,2.285,2.285,249.424,238.230,235.253
0.063,10.632,2.211,2.211,249.393,238.260,235.087
0.064,10.818,2.132,2.132,249.349,238.284,234.907
0.065,11.017,2.051,2.051,249.297,238.302,234.716
0.066,11.224,1.968,1.968,249.243,238.315,234.516
0.066,11.437,1.887,1.887,249.193,238.325,234.309
0.067,11.653,1.808,1.808,249.152,238.333,234.098
0.068,11.868,1.735,1.735,249.126,238.340,233.885
0.069,12.081,1.669,1.669,249.116,238.347,233.672
0.070,12.290,1.612,1.612,249.119,238.353,233.463
0.071,12.493,1.566,1.566,249.134,238.358,233.261
0.071,12.685,1.533,1.533,249.156,238.362,233.070
