"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.119,1.119,321.503,296.648,304.511
0.001,0.148,1.188,1.188,321.421,296.539,304.455
0.002,0.294,1.258,1.258,321.339,296.432,304.399
0.004,0.437,1.326,1.326,321.258,296.327,304.344
0.005,0.575,1.393,1.393,321.180,296.227,304.288
0.006,0.708,1.458,1.458,321.105,296.133,304.233
0.007,0.833,1.521,1.521,321.035,296.045,304.177
0.008,0.950,1.582,1.582,320.968,295.967,304.122
0.010,1.057,1.639,1.639,320.908,295.898,304.067
0.011,1.153,1.693,1.693,320.853,295.840,304.013
0.012,1.238,1.744,1.744,320.806,295.796,303.958
0.013,1.311,1.790,1.790,320.766,295.765,303.905
0.014,1.377,1.833,1.833,320.734,295.744,303.852
0.016,1.436,1.871,1.871,320.707,295.733,303.801
0.017,1.489,1.904,1.904,320.687,295.727,303.751
0.018,1.538,1.933,1.933,320.671,295.724,303.705
0.019,1.582,1.958,1.958,320.660,295.721,303.662
0.020,1.622,1.977,1.977,320.653,295.716,303.624
0.022,1.658,1.991,1.991,320.648,295.706,303.590
0.023,1.692,2.001,2.001,320.646,295.689,303.561
0.024,1.727,2.009,2.009,320.646,295.662,303.538
0.025,1.770,2.016,2.016,320.648,295.623,303.520
0.026,1.821,2.023,2.023,320.650,295.574,303.508
0.027,1.879,2.032,2.032,320.653,295.516,303.498
0.029,1.946,2.043,2.043,320.657,295.450,303.492
0.030,2.018,2.059,2.059,320.661,295.378,303.486
0.031,2.096,2.081,2.081,320.665,295.301,303.480
0.032,2.177,2.107,2.107,320.668,295.220,303.473
0.033,2.261,2.137,2.137,320.672,295.136,303.463
0.035,2.347,2.169,2.169,320.674,295.051,303.450
0.036,2.434,2.202,2.202,320.676,294.967,303.432
0.037,2.520,2.233,2.233,320.677,294.883,303.410
0.038,2.605,2.261,2.261,320.680,294.801,303.390
0.039,2.686,2.285,2.285,320.684,294.721,303.375
0.041,2.764,2.304,2.304,320.693,294.644,303.370
0.042,2.840,2.316,2.316,320.707,294.570,303.380
0.043,2.918,2.321,2.321,320.727,294.501,303.408
0.044,3.006,2.321,2.321,320.756,294.435,303.460
0.045,3.113,2.317,2.317,320.794,294.375,303.540
0.047,3.247,2.308,2.308,320.844,294.321,303.652
0.048,3.414,2.297,2.297,320.905,294.273,303.800
0.049,3.614,2.284,2.284,320.978,294.231,303.982
0.050,3.839,2.269,2.269,321.060,294.196,304.188
0.051,4.080,2.254,2.254,321.149,294.167,304.410
0.053,4.329,2.238,2.238,321.242,294.144,304.639
0.054,4.576,2.224,2.224,321.337,294.127,304.867
0.055,4.813,2.212,2.212,321.431,294.116,305.085
0.056,5.032,2.202,2.202,321.522,294.111,305.283
0.057,5.223,2.195,2.195,321.608,294.112,305.454
0.059,5.379,2.193,2.193,321.686,294.118,305.589
0.060,5.493,2.195,2.195,321.754,294.129,305.680
