"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.354,1.354,319.197,298.630,303.020
0.001,0.042,1.382,1.382,319.186,298.638,302.980
0.003,0.084,1.409,1.409,319.176,298.645,302.940
0.004,0.126,1.436,1.437,319.165,298.651,302.900
0.005,0.166,1.463,1.463,319.155,298.655,302.861
0.007,0.206,1.488,1.489,319.145,298.657,302.822
0.008,0.246,1.513,1.513,319.136,298.656,302.784
0.009,0.284,1.537,1.537,319.128,298.651,302.747
0.011,0.322,1.559,1.559,319.120,298.642,302.710
0.012,0.361,1.580,1.579,319.114,298.629,302.675
0.013,0.400,1.598,1.597,319.108,298.610,302.641
0.015,0.439,1.614,1.613,319.104,298.590,302.607
0.016,0.477,1.627,1.626,319.102,298.573,302.574
0.017,0.513,1.637,1.636,319.102,298.563,302.540
0.019,0.549,1.642,1.642,319.107,298.565,302.504
0.020,0.591,1.644,1.644,319.115,298.584,302.466
0.021,0.649,1.641,1.641,319.128,298.623,302.426
0.023,0.729,1.633,1.635,319.147,298.687,302.382
0.024,0.837,1.622,1.625,319.171,298.781,302.334
0.025,0.978,1.609,1.613,319.203,298.907,302.281
0.027,1.146,1.593,1.598,319.242,299.060,302.223
0.028,1.330,1.577,1.581,319.289,299.226,302.159
0.029,1.521,1.560,1.562,319.345,299.395,302.090
0.031,1.709,1.544,1.543,319.411,299.553,302.015
0.032,1.885,1.530,1.525,319.488,299.690,301.934
0.033,2.046,1.520,1.510,319.577,299.792,301.846
0.035,2.196,1.516,1.503,319.678,299.849,301.752
0.036,2.349,1.520,1.505,319.792,299.847,301.651
0.037,2.531,1.535,1.520,319.921,299.777,301.543
0.039,2.757,1.562,1.552,320.061,299.640,301.429
0.040,3.023,1.605,1.603,320.208,299.451,301.314
0.041,3.318,1.665,1.675,320.357,299.224,301.199
0.043,3.631,1.739,1.766,320.504,298.971,301.089
0.044,3.947,1.822,1.869,320.644,298.706,300.986
0.045,4.255,1.911,1.977,320.773,298.443,300.893
0.047,4.538,1.999,2.084,320.885,298.195,300.814
0.048,4.784,2.084,2.183,320.976,297.975,300.751
0.049,4.978,2.160,2.268,321.042,297.798,300.709
0.051,5.118,2.223,2.333,321.082,297.666,300.685
0.052,5.213,2.270,2.374,321.101,297.573,300.679
0.053,5.273,2.303,2.395,321.101,297.513,300.685
0.055,5.312,2.324,2.400,321.087,297.480,300.702
0.056,5.348,2.335,2.393,321.064,297.467,300.725
