"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.199,1.199,319.315,298.618,303.102
0.001,0.123,1.229,1.229,319.195,298.643,303.091
0.002,0.245,1.259,1.259,319.076,298.669,303.081
0.003,0.364,1.287,1.287,318.960,298.693,303.071
0.004,0.479,1.313,1.313,318.848,298.716,303.063
0.006,0.588,1.336,1.336,318.741,298.737,303.056
0.007,0.690,1.357,1.357,318.641,298.757,303.050
0.008,0.784,1.373,1.373,318.549,298.774,303.047
0.009,0.868,1.385,1.385,318.466,298.789,303.046
0.010,0.942,1.392,1.392,318.393,298.801,303.048
0.011,1.003,1.394,1.394,318.333,298.809,303.053
0.012,1.051,1.391,1.391,318.286,298.813,303.062
0.013,1.087,1.385,1.385,318.252,298.813,303.074
0.015,1.112,1.377,1.377,318.230,298.811,303.087
0.016,1.131,1.369,1.369,318.219,298.807,303.101
0.017,1.144,1.362,1.362,318.217,298.801,303.113
0.018,1.156,1.357,1.357,318.222,298.796,303.123
0.019,1.168,1.356,1.356,318.232,298.792,303.127
0.020,1.183,1.359,1.359,318.247,298.789,303.126
0.021,1.202,1.369,1.369,318.263,298.790,303.117
0.022,1.227,1.383,1.383,318.280,298.795,303.098
0.024,1.262,1.401,1.401,318.296,298.804,303.068
0.025,1.309,1.420,1.420,318.310,298.819,303.026
0.026,1.367,1.439,1.439,318.319,298.840,302.973
0.027,1.432,1.457,1.457,318.324,298.866,302.913
0.028,1.502,1.473,1.473,318.324,298.897,302.851
0.029,1.572,1.484,1.484,318.317,298.930,302.790
0.030,1.639,1.489,1.489,318.304,298.966,302.735
0.031,1.701,1.487,1.487,318.283,299.004,302.690
0.033,1.758,1.480,1.480,318.254,299.042,302.659
0.034,1.814,1.468,1.468,318.216,299.081,302.647
0.035,1.875,1.454,1.454,318.168,299.118,302.658
0.036,1.953,1.438,1.438,318.109,299.154,302.696
0.037,2.056,1.423,1.423,318.040,299.187,302.764
0.038,2.184,1.409,1.409,317.961,299.218,302.860
0.039,2.333,1.399,1.399,317.875,299.245,302.978
0.040,2.497,1.393,1.393,317.784,299.271,303.113
0.042,2.672,1.393,1.393,317.690,299.293,303.259
0.043,2.852,1.399,1.399,317.596,299.314,303.410
0.044,3.030,1.408,1.408,317.503,299.332,303.561
0.045,3.202,1.421,1.421,317.414,299.348,303.707
0.046,3.360,1.436,1.436,317.332,299.362,303.842
0.047,3.500,1.451,1.451,317.258,299.374,303.960
0.048,3.615,1.466,1.466,317.195,299.384,304.056
0.049,3.703,1.480,1.480,317.144,299.393,304.126
0.051,3.766,1.491,1.491,317.103,299.401,304.174
0.052,3.811,1.499,1.499,317.072,299.409,304.206
0.053,3.844,1.505,1.505,317.047,299.418,304.225
0.054,3.870,1.510,1.510,317.028,299.429,304.238
0.055,3.894,1.516,1.516,317.011,299.443,304.250
0.056,3.922,1.524,1.524,316.996,299.461,304.264
0.057,3.959,1.537,1.537,316.979,299.483,304.288
0.058,4.009,1.555,1.555,316.959,299.512,304.324
0.059,4.079,1.579,1.579,316.935,299.547,304.380
0.061,4.175,1.612,1.612,316.904,299.589,304.460
0.062,4.297,1.655,1.655,316.865,299.640,304.564
0.063,4.441,1.705,1.705,316.819,299.696,304.689
0.064,4.603,1.761,1.761,316.769,299.757,304.829
0.065,4.775,1.820,1.820,316.713,299.820,304.980
0.066,4.954,1.881,1.881,316.655,299.885,305.136
0.067,5.133,1.940,1.940,316.595,299.950,305.292
0.068,5.307,1.996,1.996,316.533,300.012,305.443
0.070,5.472,2.046,2.046,316.472,300.071,305.583
0.071,5.621,2.089,2.089,316.413,300.125,305.709
0.072,5.749,2.122,2.122,316.356,300.172,305.814
0.073,5.852,2.148,2.148,316.303,300.211,305.894
0.074,5.932,2.167,2.167,316.255,300.242,305.950
0.075,5.994,2.183,2.183,316.213,300.267,305.987
0.076,6.041,2.196,2.196,316.178,300.288,306.010
0.077,6.078,2.209,2.209,316.151,300.308,306.026
0.079,6.107,2.224,2.224,316.133,300.327,306.038
0.080,6.135,2.243,2.243,316.125,300.349,306.054
0.081,6.170,2.268,2.268,316.128,300.375,306.078
0.082,6.222,2.300,2.300,316.144,300.407,306.116
0.083,6.298,2.338,2.338,316.172,300.447,306.173
0.084,6.403,2.381,2.381,316.215,300.498,306.254
0.085,6.542,2.427,2.427,316.272,300.560,306.364
0.086,6.711,2.474,2.474,316.343,300.633,306.501
0.088,6.905,2.522,2.522,316.423,300.713,306.657
0.089,7.114,2.569,2.569,316.510,300.798,306.828
0.090,7.334,2.613,2.613,316.602,300.886,307.007
0.091,7.556,2.652,2.652,316.695,300.973,307.189
0.092,7.774,2.686,2.686,316.786,301.058,307.367
0.093,7.981,2.715,2.715,316.873,301.137,307.538
0.094,8.169,2.739,2.739,316.952,301.208,307.693
0.095,8.332,2.759,2.759,317.021,301.268,307.828
0.097,8.463,2.776,2.776,317.077,301.314,307.937
0.098,8.557,2.789,2.789,317.118,301.346,308.016
