"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.097,1.097,209.866,188.542,169.867
0.001,0.253,1.090,1.090,209.822,188.412,169.655
0.002,0.503,1.083,1.083,209.778,188.284,169.445
0.002,0.749,1.077,1.077,209.733,188.156,169.239
0.003,0.988,1.070,1.070,209.686,188.031,169.041
0.004,1.219,1.064,1.064,209.636,187.908,168.851
0.005,1.439,1.057,1.057,209.583,187.789,168.674
0.006,1.647,1.051,1.051,209.527,187.675,168.510
0.006,1.841,1.046,1.046,209.465,187.565,168.363
0.007,2.020,1.040,1.040,209.399,187.460,168.234
0.008,2.183,1.035,1.035,209.326,187.362,168.126
0.009,2.330,1.031,1.031,209.247,187.271,168.041
0.009,2.464,1.027,1.027,209.162,187.187,167.981
0.010,2.588,1.023,1.023,209.072,187.111,167.943
0.011,2.705,1.020,1.020,208.979,187.043,167.923
0.012,2.817,1.018,1.018,208.885,186.982,167.919
0.013,2.923,1.016,1.016,208.793,186.930,167.928
0.013,3.023,1.016,1.016,208.705,186.885,167.946
0.014,3.117,1.016,1.016,208.622,186.849,167.969
0.015,3.201,1.018,1.018,208.548,186.820,167.996
0.016,3.273,1.021,1.021,208.483,186.801,168.022
0.017,3.332,1.025,1.025,208.430,186.789,168.045
0.017,3.373,1.031,1.031,208.392,186.786,168.061
0.018,3.398,1.039,1.039,208.369,186.790,168.068
0.019,3.413,1.049,1.049,208.358,186.801,168.067
0.020,3.430,1.060,1.060,208.356,186.815,168.058
0.021,3.451,1.073,1.073,208.361,186.829,168.043
0.021,3.476,1.089,1.089,208.368,186.842,168.022
0.022,3.504,1.106,1.106,208.375,186.850,167.997
0.023,3.534,1.124,1.124,208.379,186.852,167.968
0.024,3.566,1.143,1.143,208.377,186.845,167.936
0.024,3.607,1.163,1.163,208.365,186.826,167.902
0.025,3.661,1.182,1.182,208.340,186.794,167.867
0.026,3.733,1.201,1.201,208.300,186.745,167.832
0.027,3.827,1.220,1.220,208.242,186.679,167.798
0.028,3.939,1.237,1.237,208.172,186.598,167.765
0.028,4.064,1.253,1.253,208.092,186.507,167.734
0.029,4.197,1.267,1.267,208.007,186.408,167.705
0.030,4.334,1.279,1.279,207.922,186.305,167.679
0.031,4.469,1.288,1.288,207.840,186.200,167.656
0.032,4.597,1.294,1.294,207.765,186.098,167.637
0.032,4.714,1.298,1.298,207.701,186.001,167.623
0.033,4.815,1.299,1.299,207.653,185.913,167.613
0.034,4.896,1.298,1.298,207.624,185.837,167.609
0.035,4.957,1.295,1.295,207.619,185.777,167.611
0.036,5.005,1.290,1.290,207.638,185.733,167.618
0.036,5.052,1.282,1.282,207.674,185.704,167.627
0.037,5.102,1.273,1.273,207.720,185.688,167.635
0.038,5.152,1.262,1.262,207.770,185.683,167.638
0.039,5.199,1.250,1.250,207.816,185.687,167.633
0.039,5.239,1.235,1.235,207.852,185.697,167.617
0.040,5.278,1.220,1.220,207.870,185.712,167.586
0.041,5.329,1.203,1.203,207.864,185.730,167.538
0.042,5.411,1.186,1.186,207.826,185.749,167.469
0.043,5.533,1.168,1.168,207.749,185.766,167.375
0.043,5.705,1.151,1.151,207.627,185.780,167.254
0.044,5.928,1.136,1.136,207.459,185.790,167.107
0.045,6.194,1.122,1.122,207.252,185.796,166.942
0.046,6.490,1.110,1.110,207.013,185.799,166.767
0.047,6.807,1.102,1.102,206.749,185.800,166.591
0.047,7.135,1.097,1.097,206.469,185.799,166.421
0.048,7.464,1.097,1.097,206.179,185.798,166.265
0.049,7.784,1.102,1.102,205.888,185.797,166.133
0.050,8.087,1.112,1.112,205.602,185.797,166.033
0.051,8.366,1.129,1.129,205.329,185.799,165.972
0.051,8.618,1.153,1.153,205.077,185.803,165.959
0.052,8.846,1.182,1.182,204.854,185.809,166.002
0.053,9.063,1.216,1.216,204.661,185.819,166.101
0.054,9.283,1.255,1.255,204.496,185.832,166.247
0.054,9.513,1.297,1.297,204.357,185.846,166.429
0.055,9.754,1.340,1.340,204.241,185.862,166.640
0.056,10.003,1.385,1.385,204.146,185.878,166.869
0.057,10.253,1.431,1.431,204.068,185.895,167.106
0.058,10.499,1.475,1.475,204.005,185.911,167.343
0.058,10.732,1.518,1.518,203.955,185.926,167.570
0.059,10.943,1.558,1.558,203.915,185.939,167.777
0.060,11.125,1.595,1.595,203.882,185.950,167.955
