"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.077,1.077,215.229,182.770,168.375
0.002,0.363,1.075,1.075,214.983,182.531,168.495
0.003,0.722,1.075,1.075,214.739,182.296,168.613
0.005,1.072,1.079,1.079,214.502,182.066,168.727
0.006,1.408,1.087,1.087,214.274,181.844,168.835
0.008,1.726,1.103,1.103,214.057,181.633,168.935
0.009,2.022,1.126,1.126,213.855,181.436,169.026
0.011,2.291,1.160,1.160,213.672,181.256,169.105
0.012,2.529,1.203,1.203,213.509,181.095,169.170
0.014,2.732,1.252,1.252,213.370,180.956,169.220
0.015,2.895,1.305,1.305,213.258,180.842,169.252
0.017,3.015,1.356,1.356,213.176,180.756,169.265
0.019,3.094,1.405,1.405,213.123,180.697,169.260
0.020,3.142,1.446,1.446,213.096,180.661,169.243
0.022,3.171,1.478,1.478,213.090,180.643,169.221
0.023,3.195,1.502,1.502,213.100,180.638,169.201
0.025,3.221,1.519,1.519,213.122,180.642,169.188
0.026,3.251,1.532,1.532,213.152,180.650,169.189
0.028,3.290,1.543,1.543,213.184,180.657,169.212
0.029,3.348,1.554,1.554,213.214,180.658,169.261
0.031,3.436,1.567,1.567,213.237,180.650,169.345
0.032,3.562,1.586,1.586,213.250,180.626,169.469
0.034,3.737,1.611,1.611,213.247,180.583,169.638
0.035,3.958,1.648,1.648,213.230,180.522,169.850
0.037,4.215,1.698,1.698,213.199,180.448,170.094
0.039,4.499,1.764,1.764,213.158,180.363,170.361
0.040,4.799,1.850,1.850,213.109,180.272,170.644
0.042,5.107,1.956,1.956,213.053,180.179,170.932
0.043,5.412,2.078,2.078,212.994,180.088,171.217
0.045,5.705,2.207,2.207,212.932,180.003,171.490
0.046,5.975,2.335,2.335,212.871,179.928,171.742
0.048,6.212,2.451,2.451,212.812,179.867,171.964
0.049,6.408,2.549,2.549,212.758,179.823,172.147
0.051,6.556,2.618,2.618,212.710,179.799,172.285
0.052,6.662,2.657,2.657,212.668,179.793,172.383
0.054,6.736,2.670,2.670,212.632,179.802,172.446
0.056,6.787,2.665,2.665,212.599,179.822,172.480
0.057,6.829,2.650,2.650,212.570,179.850,172.491
0.059,6.872,2.632,2.632,212.545,179.884,172.485
0.060,6.919,2.617,2.617,212.521,179.920,172.467
0.062,6.966,2.613,2.613,212.500,179.955,172.443
0.063,7.011,2.620,2.620,212.479,179.986,172.419
0.065,7.047,2.634,2.634,212.459,180.010,172.401
0.066,7.074,2.654,2.654,212.438,180.024,172.393
0.068,7.097,2.677,2.677,212.416,180.028,172.399
0.069,7.126,2.698,2.698,212.392,180.025,172.414
0.071,7.162,2.717,2.717,212.365,180.017,172.438
0.073,7.205,2.729,2.729,212.335,180.009,172.468
0.074,7.253,2.736,2.736,212.301,180.002,172.501
0.076,7.305,2.738,2.738,212.262,179.999,172.535
0.077,7.360,2.734,2.734,212.218,180.005,172.567
0.079,7.420,2.724,2.724,212.168,180.021,172.596
0.080,7.488,2.709,2.709,212.110,180.050,172.618
0.082,7.569,2.689,2.689,212.045,180.096,172.631
0.083,7.667,2.664,2.664,211.972,180.161,172.634
0.085,7.782,2.634,2.634,211.892,180.243,172.627
0.086,7.911,2.598,2.598,211.806,180.338,172.612
0.088,8.050,2.558,2.558,211.717,180.443,172.591
0.090,8.196,2.511,2.511,211.625,180.554,172.565
0.091,8.345,2.460,2.460,211.534,180.668,172.536
0.093,8.493,2.403,2.403,211.443,180.781,172.506
0.094,8.635,2.344,2.344,211.356,180.889,172.477
0.096,8.769,2.285,2.285,211.273,180.990,172.450
0.097,8.889,2.229,2.229,211.196,181.080,172.427
0.099,8.992,2.178,2.178,211.127,181.154,172.410
0.100,9.076,2.135,2.135,211.066,181.212,172.400
0.102,9.144,2.103,2.103,211.013,181.254,172.395
0.103,9.200,2.082,2.082,210.964,181.282,172.394
0.105,9.247,2.070,2.070,210.920,181.296,172.397
0.106,9.290,2.066,2.066,210.877,181.299,172.401
0.108,9.334,2.068,2.068,210.834,181.292,172.406
0.110,9.382,2.075,2.075,210.789,181.275,172.410
0.111,9.435,2.085,2.085,210.742,181.251,172.413
0.113,9.496,2.097,2.097,210.689,181.221,172.412
0.114,9.565,2.110,2.110,210.630,181.186,172.407
0.116,9.644,2.124,2.124,210.562,181.148,172.397
0.117,9.731,2.139,2.139,210.485,181.108,172.382
0.119,9.828,2.154,2.154,210.398,181.069,172.365
0.120,9.932,2.169,2.169,210.302,181.033,172.348
0.122,10.044,2.185,2.185,210.195,181.003,172.333
0.123,10.164,2.200,2.200,210.077,180.981,172.323
0.125,10.294,2.213,2.213,209.949,180.969,172.320
0.127,10.434,2.225,2.225,209.809,180.970,172.326
0.128,10.588,2.235,2.235,209.657,180.986,172.343
0.130,10.758,2.241,2.241,209.493,181.019,172.374
0.131,10.948,2.244,2.244,209.316,181.072,172.422
0.133,11.161,2.242,2.242,209.128,181.147,172.487
0.134,11.392,2.237,2.237,208.930,181.238,172.567
0.136,11.638,2.230,2.230,208.728,181.342,172.659
0.137,11.891,2.222,2.222,208.525,181.455,172.760
0.139,12.146,2.215,2.215,208.325,181.571,172.867
0.140,12.396,2.210,2.210,208.132,181.685,172.977
0.142,12.634,2.208,2.208,207.951,181.794,173.086
0.144,12.855,2.211,2.211,207.784,181.893,173.193
0.145,13.052,2.218,2.218,207.636,181.976,173.293
0.147,13.218,2.229,2.229,207.512,182.039,173.383
0.148,13.349,2.246,2.246,207.414,182.079,173.461
0.150,13.446,2.267,2.267,207.343,182.093,173.524
0.151,13.517,2.294,2.294,207.295,182.084,173.576
0.153,13.574,2.325,2.325,207.263,182.058,173.615
0.154,13.628,2.360,2.360,207.245,182.016,173.645
0.156,13.686,2.394,2.394,207.233,181.964,173.666
0.157,13.748,2.425,2.425,207.224,181.904,173.680
0.159,13.813,2.450,2.450,207.212,181.840,173.687
0.160,13.880,2.466,2.466,207.192,181.776,173.689
0.162,13.949,2.470,2.470,207.159,181.716,173.688
