"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.338,1.338,214.956,187.510,169.238
0.001,0.046,1.334,1.334,214.942,187.491,169.277
0.003,0.089,1.330,1.330,214.928,187.474,169.314
0.004,0.127,1.325,1.325,214.917,187.458,169.347
0.006,0.158,1.319,1.319,214.908,187.446,169.374
0.007,0.178,1.312,1.312,214.903,187.439,169.392
0.009,0.185,1.303,1.303,214.902,187.438,169.399
0.010,0.195,1.291,1.291,214.907,187.445,169.394
0.011,0.222,1.278,1.278,214.918,187.459,169.375
0.013,0.269,1.265,1.265,214.936,187.483,169.338
0.014,0.340,1.256,1.256,214.962,187.518,169.282
0.016,0.436,1.253,1.253,214.997,187.565,169.206
0.017,0.561,1.260,1.260,215.042,187.625,169.107
0.019,0.710,1.280,1.280,215.095,187.697,168.986
0.020,0.879,1.315,1.315,215.154,187.776,168.849
0.022,1.063,1.368,1.368,215.218,187.862,168.699
0.023,1.257,1.435,1.435,215.283,187.950,168.539
0.024,1.456,1.511,1.511,215.348,188.039,168.374
0.026,1.655,1.590,1.590,215.411,188.125,168.206
0.027,1.848,1.666,1.666,215.469,188.205,168.040
0.029,2.031,1.736,1.736,215.521,188.277,167.880
0.030,2.200,1.792,1.792,215.564,188.339,167.729
0.032,2.349,1.832,1.832,215.595,188.386,167.591
0.033,2.476,1.856,1.856,215.614,188.417,167.469
0.034,2.581,1.870,1.870,215.620,188.431,167.365
0.036,2.670,1.876,1.876,215.614,188.430,167.277
0.037,2.748,1.879,1.879,215.598,188.416,167.202
0.039,2.819,1.884,1.884,215.574,188.391,167.139
0.040,2.890,1.893,1.893,215.544,188.356,167.087
0.042,2.960,1.911,1.911,215.509,188.313,167.042
0.043,3.033,1.935,1.935,215.471,188.264,167.005
0.045,3.107,1.963,1.963,215.432,188.210,166.972
0.046,3.182,1.992,1.992,215.393,188.154,166.942
0.047,3.255,2.020,2.020,215.355,188.098,166.913
0.049,3.326,2.042,2.042,215.322,188.043,166.883
0.050,3.393,2.057,2.057,215.293,187.991,166.852
0.052,3.452,2.061,2.061,215.269,187.948,166.820
0.053,3.502,2.055,2.055,215.248,187.915,166.789
0.055,3.541,2.041,2.041,215.230,187.898,166.759
0.056,3.572,2.021,2.021,215.216,187.900,166.731
0.057,3.609,1.995,1.995,215.204,187.926,166.707
0.059,3.666,1.967,1.967,215.194,187.979,166.687
0.060,3.751,1.936,1.936,215.186,188.062,166.673
0.062,3.871,1.906,1.906,215.179,188.181,166.665
0.063,4.028,1.881,1.881,215.173,188.339,166.665
0.065,4.229,1.867,1.867,215.167,188.539,166.673
0.066,4.474,1.868,1.868,215.161,188.784,166.690
0.068,4.757,1.891,1.891,215.154,189.065,166.715
