"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.915,0.915,216.836,182.865,168.645
0.001,0.072,0.880,0.880,216.839,182.848,168.715
0.002,0.140,0.847,0.847,216.842,182.832,168.781
0.003,0.199,0.820,0.820,216.844,182.818,168.838
0.005,0.243,0.800,0.800,216.847,182.807,168.881
0.006,0.269,0.790,0.790,216.851,182.800,168.905
0.007,0.274,0.793,0.793,216.854,182.798,168.907
0.008,0.300,0.812,0.812,216.859,182.802,168.881
0.009,0.359,0.848,0.848,216.863,182.813,168.824
0.010,0.456,0.904,0.904,216.869,182.831,168.729
0.012,0.594,0.981,0.981,216.875,182.859,168.593
0.013,0.778,1.074,1.074,216.882,182.897,168.413
0.014,1.001,1.179,1.179,216.890,182.942,168.196
0.015,1.253,1.291,1.291,216.900,182.995,167.949
0.016,1.524,1.406,1.406,216.913,183.051,167.684
0.017,1.806,1.519,1.519,216.930,183.110,167.410
0.019,2.088,1.627,1.627,216.950,183.170,167.135
0.020,2.361,1.723,1.723,216.974,183.229,166.869
0.021,2.615,1.806,1.806,217.004,183.284,166.622
0.022,2.843,1.873,1.873,217.039,183.334,166.403
0.023,3.033,1.928,1.928,217.081,183.376,166.222
0.024,3.181,1.973,1.973,217.129,183.410,166.087
0.026,3.291,2.011,2.011,217.184,183.436,165.995
0.027,3.374,2.043,2.043,217.242,183.456,165.939
0.028,3.442,2.073,2.073,217.303,183.472,165.914
0.029,3.505,2.103,2.103,217.365,183.485,165.912
0.030,3.569,2.135,2.135,217.426,183.498,165.925
0.031,3.633,2.172,2.172,217.484,183.512,165.948
0.033,3.696,2.212,2.212,217.539,183.529,165.973
0.034,3.754,2.255,2.255,217.588,183.552,165.994
0.035,3.805,2.299,2.299,217.629,183.581,166.003
0.036,3.856,2.344,2.344,217.662,183.620,165.995
0.037,3.915,2.387,2.387,217.686,183.666,165.968
0.038,3.984,2.428,2.428,217.701,183.719,165.926
0.040,4.063,2.466,2.466,217.710,183.776,165.873
0.041,4.149,2.499,2.499,217.712,183.836,165.811
0.042,4.239,2.527,2.527,217.709,183.896,165.744
0.043,4.330,2.551,2.551,217.702,183.955,165.676
0.044,4.417,2.570,2.570,217.691,184.010,165.608
0.045,4.499,2.585,2.585,217.677,184.060,165.545
0.047,4.570,2.597,2.597,217.662,184.102,165.491
0.048,4.627,2.607,2.607,217.645,184.136,165.447
0.049,4.671,2.614,2.614,217.629,184.160,165.415
0.050,4.702,2.620,2.620,217.614,184.176,165.392
0.051,4.723,2.624,2.624,217.601,184.186,165.378
0.052,4.736,2.628,2.628,217.591,184.190,165.371
0.054,4.742,2.631,2.631,217.586,184.190,165.368
0.055,4.745,2.634,2.634,217.586,184.187,165.369
0.056,4.753,2.638,2.638,217.593,184.183,165.370
0.057,4.768,2.641,2.641,217.607,184.178,165.372
0.058,4.792,2.645,2.645,217.630,184.175,165.372
0.059,4.825,2.650,2.650,217.663,184.174,165.368
0.061,4.868,2.656,2.656,217.706,184.176,165.360
0.062,4.920,2.664,2.664,217.757,184.180,165.350
0.063,4.979,2.672,2.672,217.815,184.184,165.340
0.064,5.045,2.683,2.683,217.879,184.187,165.330
0.065,5.114,2.694,2.694,217.949,184.190,165.322
0.066,5.187,2.706,2.706,218.021,184.189,165.319
0.068,5.262,2.719,2.719,218.096,184.186,165.320
0.069,5.339,2.733,2.733,218.172,184.178,165.329
0.070,5.418,2.748,2.748,218.248,184.164,165.346
0.071,5.499,2.763,2.763,218.322,184.144,165.374
0.072,5.585,2.778,2.778,218.394,184.118,165.411
0.073,5.675,2.795,2.795,218.465,184.086,165.458
0.075,5.771,2.812,2.812,218.534,184.050,165.512
0.076,5.871,2.830,2.830,218.603,184.010,165.573
0.077,5.974,2.848,2.848,218.671,183.968,165.639
0.078,6.081,2.868,2.868,218.740,183.926,165.709
0.079,6.189,2.889,2.889,218.809,183.883,165.780
0.080,6.298,2.910,2.910,218.879,183.842,165.853
0.081,6.407,2.933,2.933,218.951,183.804,165.925
0.083,6.514,2.957,2.957,219.024,183.770,165.995
0.084,6.620,2.981,2.981,219.100,183.740,166.063
0.085,6.725,3.004,3.004,219.179,183.715,166.128
0.086,6.830,3.027,3.027,219.260,183.695,166.192
0.087,6.935,3.049,3.049,219.343,183.682,166.253
0.088,7.040,3.068,3.068,219.430,183.675,166.314
0.090,7.148,3.084,3.084,219.519,183.674,166.373
0.091,7.258,3.098,3.098,219.612,183.680,166.433
0.092,7.372,3.108,3.108,219.708,183.694,166.492
0.093,7.489,3.114,3.114,219.807,183.716,166.552
0.094,7.612,3.119,3.119,219.910,183.745,166.612
0.095,7.740,3.122,3.122,220.016,183.783,166.674
0.097,7.872,3.125,3.125,220.123,183.827,166.735
0.098,8.004,3.129,3.129,220.231,183.875,166.795
0.099,8.135,3.133,3.133,220.337,183.925,166.854
0.100,8.263,3.140,3.140,220.439,183.976,166.910
0.101,8.384,3.150,3.150,220.537,184.025,166.962
0.102,8.496,3.164,3.164,220.628,184.071,167.009
0.104,8.596,3.180,3.180,220.710,184.111,167.051
0.105,8.683,3.197,3.197,220.782,184.143,167.086
0.106,8.753,3.216,3.216,220.842,184.167,167.113
0.107,8.806,3.235,3.235,220.890,184.179,167.132
0.108,8.844,3.253,3.253,220.926,184.183,167.144
0.109,8.870,3.269,3.269,220.951,184.179,167.151
0.111,8.889,3.283,3.283,220.968,184.169,167.152
0.112,8.906,3.293,3.293,220.977,184.156,167.150
0.113,8.922,3.300,3.300,220.981,184.141,167.146
0.114,8.937,3.303,3.303,220.981,184.127,167.141
0.115,8.951,3.304,3.304,220.978,184.114,167.137
