"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.964,0.964,216.989,182.872,168.288
0.001,0.049,0.955,0.955,217.007,182.853,168.330
0.002,0.093,0.948,0.948,217.024,182.835,168.366
0.004,0.127,0.945,0.945,217.042,182.820,168.392
0.005,0.150,0.950,0.950,217.058,182.809,168.402
0.006,0.170,0.964,0.964,217.073,182.802,168.390
0.007,0.210,0.990,0.990,217.088,182.803,168.353
0.008,0.281,1.031,1.031,217.101,182.811,168.284
0.009,0.389,1.088,1.088,217.113,182.828,168.178
0.011,0.540,1.164,1.164,217.122,182.855,168.030
0.012,0.735,1.258,1.258,217.130,182.893,167.838
0.013,0.966,1.364,1.364,217.137,182.940,167.612
0.014,1.222,1.478,1.478,217.142,182.993,167.362
0.015,1.491,1.593,1.593,217.148,183.050,167.099
0.017,1.762,1.705,1.705,217.153,183.108,166.835
0.018,2.023,1.809,1.809,217.160,183.165,166.579
0.019,2.265,1.899,1.899,217.168,183.218,166.344
0.020,2.474,1.970,1.970,217.177,183.265,166.140
0.021,2.641,2.018,2.018,217.189,183.302,165.977
0.023,2.761,2.046,2.046,217.204,183.331,165.862
0.024,2.839,2.060,2.060,217.224,183.351,165.789
0.025,2.886,2.063,2.063,217.248,183.365,165.752
0.026,2.919,2.061,2.061,217.278,183.375,165.742
0.027,2.960,2.058,2.058,217.316,183.383,165.754
0.028,3.013,2.060,2.060,217.361,183.391,165.781
0.030,3.079,2.072,2.072,217.416,183.402,165.816
0.031,3.155,2.099,2.099,217.481,183.418,165.852
0.032,3.239,2.140,2.140,217.557,183.440,165.882
0.033,3.333,2.195,2.195,217.644,183.468,165.903
0.034,3.436,2.258,2.258,217.740,183.503,165.915
0.036,3.545,2.326,2.326,217.842,183.540,165.920
0.037,3.659,2.396,2.396,217.949,183.579,165.918
0.038,3.774,2.464,2.464,218.058,183.617,165.911
0.039,3.890,2.527,2.527,218.167,183.652,165.900
0.040,4.002,2.581,2.581,218.274,183.683,165.885
0.041,4.109,2.623,2.623,218.376,183.707,165.868
0.043,4.208,2.655,2.655,218.472,183.723,165.849
0.044,4.299,2.678,2.678,218.562,183.730,165.831
0.045,4.385,2.694,2.694,218.646,183.729,165.814
0.046,4.467,2.706,2.706,218.727,183.720,165.801
0.047,4.548,2.715,2.715,218.806,183.707,165.792
0.049,4.630,2.724,2.724,218.886,183.689,165.790
0.050,4.715,2.735,2.735,218.968,183.668,165.795
0.051,4.805,2.749,2.749,219.054,183.645,165.810
0.052,4.903,2.769,2.769,219.145,183.620,165.836
0.053,5.012,2.791,2.791,219.244,183.597,165.875
0.055,5.132,2.817,2.817,219.351,183.573,165.925
0.056,5.258,2.843,2.843,219.461,183.550,165.982
0.057,5.389,2.870,2.870,219.573,183.527,166.045
0.058,5.520,2.896,2.896,219.685,183.503,166.110
0.059,5.648,2.920,2.920,219.793,183.478,166.173
0.060,5.768,2.940,2.940,219.895,183.452,166.231
0.062,5.878,2.957,2.957,219.989,183.424,166.281
0.063,5.975,2.970,2.970,220.071,183.393,166.320
0.064,6.055,2.979,2.979,220.141,183.360,166.345
0.065,6.123,2.986,2.986,220.198,183.325,166.357
0.066,6.182,2.992,2.992,220.244,183.290,166.359
0.068,6.234,2.997,2.997,220.284,183.255,166.355
0.069,6.282,3.001,3.001,220.318,183.222,166.347
0.070,6.326,3.006,3.006,220.350,183.193,166.340
0.071,6.367,3.012,3.012,220.381,183.168,166.336
0.072,6.406,3.020,3.020,220.416,183.149,166.338
0.073,6.450,3.028,3.028,220.456,183.138,166.351
0.075,6.504,3.036,3.036,220.503,183.134,166.377
0.076,6.570,3.042,3.042,220.558,183.138,166.413
0.077,6.646,3.045,3.045,220.620,183.147,166.456
0.078,6.729,3.045,3.045,220.689,183.160,166.501
0.079,6.817,3.040,3.040,220.764,183.175,166.545
0.081,6.907,3.030,3.030,220.844,183.190,166.583
0.082,6.998,3.013,3.013,220.929,183.204,166.611
0.083,7.089,2.990,2.990,221.019,183.213,166.626
0.084,7.183,2.963,2.963,221.112,183.218,166.622
0.085,7.282,2.933,2.933,221.208,183.216,166.598
0.086,7.388,2.901,2.901,221.305,183.207,166.553
0.088,7.501,2.869,2.869,221.398,183.191,166.492
0.089,7.617,2.838,2.838,221.484,183.170,166.417
0.090,7.736,2.810,2.810,221.561,183.143,166.331
0.091,7.854,2.785,2.785,221.625,183.112,166.237
0.092,7.971,2.765,2.765,221.673,183.076,166.137
0.094,8.084,2.745,2.745,221.701,183.036,166.034
0.095,8.196,2.725,2.725,221.707,182.993,165.932
0.096,8.308,2.700,2.700,221.688,182.946,165.831
0.097,8.428,2.668,2.668,221.647,182.898,165.729
0.098,8.559,2.626,2.626,221.591,182.848,165.621
0.100,8.705,2.572,2.572,221.523,182.799,165.503
0.101,8.865,2.502,2.502,221.449,182.749,165.370
0.102,9.041,2.414,2.414,221.373,182.702,165.218
0.103,9.236,2.311,2.311,221.300,182.657,165.043
0.104,9.453,2.198,2.198,221.235,182.615,164.840
0.105,9.697,2.080,2.079,221.183,182.577,164.605
0.107,9.968,1.960,1.960,221.146,182.545,164.338
0.108,10.261,1.845,1.845,221.123,182.517,164.047
0.109,10.565,1.739,1.739,221.112,182.494,163.744
0.110,10.871,1.647,1.647,221.111,182.477,163.439
0.111,11.167,1.574,1.574,221.116,182.464,163.143
0.113,11.444,1.523,1.523,221.127,182.457,162.866
0.114,11.690,1.490,1.490,221.140,182.454,162.620
0.115,11.896,1.473,1.473,221.153,182.457,162.415
0.116,12.050,1.468,1.468,221.165,182.464,162.262
0.117,12.149,1.472,1.472,221.173,182.476,162.164
0.118,12.204,1.482,1.482,221.176,182.490,162.111
0.120,12.228,1.495,1.495,221.174,182.505,162.092
0.121,12.244,1.508,1.508,221.166,182.518,162.096
0.122,12.267,1.517,1.517,221.152,182.528,162.112
0.123,12.295,1.522,1.521,221.130,182.532,162.128
0.124,12.325,1.523,1.523,221.100,182.529,162.134
0.126,12.368,1.521,1.521,221.062,182.517,162.117
0.127,12.441,1.517,1.517,221.015,182.493,162.068
0.128,12.549,1.512,1.511,220.959,182.458,161.983
0.129,12.685,1.506,1.505,220.896,182.416,161.869
0.130,12.841,1.499,1.498,220.830,182.370,161.735
0.132,13.009,1.492,1.492,220.762,182.323,161.590
0.133,13.178,1.487,1.487,220.695,182.280,161.441
0.134,13.339,1.481,1.482,220.632,182.243,161.297
