"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.461,1.461,196.410,183.613,152.235
0.001,0.080,1.477,1.477,196.465,183.671,152.224
0.001,0.160,1.493,1.493,196.520,183.728,152.214
0.002,0.238,1.509,1.509,196.572,183.785,152.204
0.003,0.313,1.526,1.526,196.621,183.841,152.194
0.003,0.385,1.544,1.544,196.666,183.896,152.185
0.004,0.452,1.563,1.563,196.705,183.950,152.177
0.005,0.515,1.583,1.583,196.738,184.003,152.170
0.005,0.573,1.605,1.605,196.764,184.055,152.164
0.006,0.626,1.628,1.628,196.781,184.105,152.160
0.007,0.675,1.654,1.654,196.789,184.153,152.156
0.008,0.721,1.682,1.682,196.786,184.199,152.155
0.008,0.766,1.712,1.712,196.774,184.242,152.154
0.009,0.808,1.746,1.746,196.757,184.281,152.155
0.010,0.845,1.782,1.782,196.739,184.313,152.155
0.010,0.875,1.821,1.821,196.724,184.339,152.155
0.011,0.893,1.863,1.863,196.717,184.355,152.154
0.012,0.900,1.908,1.908,196.720,184.361,152.151
0.012,0.921,1.956,1.956,196.739,184.354,152.146
0.013,0.965,2.005,2.005,196.778,184.335,152.137
0.014,1.037,2.056,2.056,196.840,184.300,152.125
0.014,1.142,2.109,2.109,196.930,184.249,152.108
0.015,1.282,2.161,2.161,197.051,184.181,152.086
0.016,1.450,2.214,2.214,197.196,184.101,152.058
0.016,1.638,2.267,2.267,197.359,184.015,152.024
0.017,1.835,2.320,2.320,197.532,183.930,151.983
0.018,2.034,2.371,2.371,197.709,183.853,151.934
0.018,2.226,2.421,2.421,197.881,183.790,151.877
0.019,2.405,2.468,2.468,198.042,183.747,151.811
0.020,2.567,2.514,2.514,198.184,183.731,151.736
0.021,2.712,2.557,2.557,198.300,183.748,151.650
0.021,2.851,2.597,2.597,198.382,183.805,151.553
0.022,3.006,2.634,2.634,198.424,183.907,151.445
0.023,3.196,2.668,2.668,198.423,184.056,151.326
0.023,3.424,2.699,2.699,198.387,184.240,151.198
0.024,3.684,2.728,2.728,198.322,184.452,151.061
0.025,3.969,2.754,2.754,198.233,184.682,150.919
0.025,4.267,2.778,2.778,198.128,184.920,150.772
0.026,4.570,2.799,2.799,198.013,185.156,150.623
0.027,4.866,2.818,2.818,197.894,185.383,150.473
0.027,5.146,2.834,2.834,197.779,185.589,150.324
0.028,5.399,2.848,2.848,197.672,185.766,150.177
0.029,5.617,2.860,2.860,197.582,185.904,150.034
0.029,5.796,2.869,2.869,197.513,185.997,149.898
0.030,5.943,2.877,2.877,197.463,186.046,149.769
0.031,6.069,2.882,2.882,197.430,186.058,149.648
0.031,6.183,2.886,2.886,197.410,186.041,149.537
0.032,6.291,2.887,2.887,197.400,186.001,149.437
0.033,6.395,2.887,2.887,197.397,185.943,149.350
0.033,6.495,2.884,2.884,197.396,185.876,149.276
0.034,6.586,2.880,2.880,197.395,185.806,149.218
0.035,6.666,2.875,2.875,197.390,185.739,149.176
0.036,6.730,2.867,2.867,197.377,185.681,149.151
0.036,6.777,2.858,2.858,197.354,185.640,149.145
0.037,6.819,2.847,2.847,197.320,185.619,149.158
0.038,6.872,2.835,2.835,197.274,185.616,149.185
0.038,6.940,2.821,2.821,197.220,185.629,149.223
0.039,7.022,2.806,2.806,197.158,185.657,149.269
0.040,7.115,2.790,2.790,197.090,185.697,149.318
0.040,7.217,2.772,2.772,197.018,185.748,149.368
0.041,7.324,2.753,2.753,196.942,185.809,149.415
0.042,7.434,2.732,2.732,196.866,185.876,149.455
0.042,7.543,2.710,2.710,196.790,185.949,149.484
0.043,7.651,2.687,2.687,196.715,186.026,149.498
0.044,7.757,2.663,2.663,196.644,186.105,149.496
0.044,7.864,2.638,2.638,196.575,186.184,149.478
0.045,7.974,2.611,2.611,196.505,186.263,149.445
0.046,8.088,2.584,2.584,196.434,186.340,149.402
0.046,8.205,2.555,2.555,196.360,186.415,149.351
0.047,8.327,2.525,2.525,196.280,186.486,149.293
0.048,8.452,2.494,2.494,196.192,186.553,149.232
0.049,8.582,2.463,2.463,196.095,186.614,149.171
0.049,8.717,2.430,2.430,195.988,186.668,149.111
