"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.309,1.309,186.721,210.340,212.139
0.004,0.121,1.309,1.309,186.635,210.272,212.192
0.008,0.241,1.313,1.313,186.550,210.205,212.244
0.011,0.360,1.325,1.325,186.466,210.139,212.296
0.015,0.477,1.342,1.342,186.385,210.073,212.346
0.019,0.591,1.360,1.360,186.306,210.007,212.395
0.023,0.701,1.371,1.371,186.230,209.942,212.442
0.027,0.807,1.378,1.378,186.159,209.878,212.488
0.031,0.908,1.387,1.387,186.093,209.815,212.531
0.034,1.004,1.403,1.403,186.032,209.753,212.571
0.038,1.093,1.419,1.419,185.978,209.692,212.607
0.042,1.176,1.427,1.427,185.930,209.633,212.641
0.046,1.252,1.423,1.423,185.891,209.575,212.671
0.050,1.321,1.410,1.410,185.860,209.519,212.696
0.054,1.383,1.390,1.390,185.837,209.465,212.718
0.057,1.440,1.369,1.369,185.823,209.413,212.735
0.061,1.491,1.356,1.356,185.818,209.364,212.748
0.065,1.539,1.356,1.356,185.823,209.317,212.758
0.069,1.586,1.366,1.366,185.837,209.273,212.763
0.073,1.633,1.383,1.383,185.860,209.232,212.764
0.077,1.683,1.408,1.408,185.894,209.194,212.762
0.080,1.739,1.449,1.449,185.937,209.159,212.755
0.084,1.802,1.507,1.507,185.991,209.129,212.745
0.088,1.873,1.567,1.567,186.055,209.102,212.731
0.092,1.953,1.606,1.606,186.130,209.079,212.713
0.096,2.043,1.616,1.616,186.215,209.060,212.692
0.100,2.140,1.614,1.614,186.307,209.044,212.667
0.103,2.241,1.617,1.617,186.404,209.031,212.641
0.107,2.344,1.630,1.630,186.502,209.018,212.613
0.111,2.447,1.648,1.648,186.600,209.005,212.584
0.115,2.547,1.669,1.669,186.695,208.992,212.554
0.119,2.640,1.693,1.693,186.782,208.977,212.526
0.123,2.726,1.724,1.724,186.861,208.959,212.499
0.126,2.800,1.760,1.760,186.928,208.937,212.473
0.130,2.863,1.791,1.791,186.980,208.910,212.451
0.134,2.915,1.807,1.807,187.015,208.878,212.431
0.138,2.959,1.806,1.806,187.030,208.839,212.416
0.142,3.006,1.790,1.790,187.025,208.793,212.404
0.146,3.064,1.763,1.763,187.001,208.742,212.396
0.149,3.132,1.733,1.733,186.963,208.685,212.391
0.153,3.211,1.710,1.710,186.912,208.625,212.387
0.157,3.299,1.695,1.695,186.852,208.561,212.385
0.161,3.393,1.685,1.685,186.785,208.495,212.383
0.165,3.491,1.679,1.679,186.714,208.428,212.380
0.169,3.590,1.676,1.676,186.642,208.361,212.376
0.172,3.687,1.677,1.677,186.571,208.294,212.371
0.176,3.781,1.682,1.682,186.504,208.229,212.363
0.180,3.868,1.679,1.679,186.444,208.166,212.351
0.184,3.947,1.657,1.657,186.394,208.107,212.335
