"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.819,1.819,217.238,189.054,191.401
0.001,0.059,1.846,1.846,217.211,189.003,191.389
0.002,0.117,1.874,1.873,217.185,188.953,191.377
0.004,0.173,1.901,1.900,217.160,188.904,191.365
0.005,0.227,1.928,1.927,217.136,188.858,191.353
0.006,0.277,1.955,1.954,217.114,188.815,191.340
0.007,0.323,1.981,1.980,217.094,188.775,191.326
0.008,0.365,2.008,2.007,217.078,188.740,191.311
0.009,0.401,2.033,2.033,217.064,188.710,191.295
0.011,0.432,2.059,2.059,217.055,188.687,191.277
0.012,0.457,2.084,2.085,217.050,188.670,191.258
0.013,0.480,2.108,2.110,217.049,188.661,191.238
0.014,0.504,2.131,2.134,217.053,188.659,191.214
0.015,0.533,2.153,2.157,217.061,188.664,191.187
0.017,0.568,2.174,2.178,217.072,188.675,191.155
0.018,0.612,2.193,2.197,217.087,188.692,191.118
0.019,0.664,2.212,2.214,217.105,188.716,191.074
0.020,0.726,2.228,2.228,217.125,188.746,191.024
0.021,0.799,2.243,2.239,217.147,188.781,190.965
0.023,0.882,2.256,2.249,217.172,188.821,190.896
0.024,0.976,2.269,2.259,217.198,188.867,190.818
0.025,1.078,2.282,2.269,217.226,188.914,190.732
0.026,1.185,2.296,2.281,217.256,188.957,190.639
0.027,1.292,2.312,2.297,217.290,188.990,190.543
0.028,1.397,2.329,2.318,217.327,189.009,190.447
0.030,1.499,2.350,2.344,217.369,189.008,190.353
0.031,1.603,2.373,2.378,217.415,188.981,190.265
0.032,1.715,2.401,2.420,217.467,188.923,190.184
0.033,1.847,2.432,2.468,217.525,188.828,190.113
0.034,2.009,2.468,2.522,217.589,188.690,190.056
0.036,2.209,2.509,2.580,217.660,188.508,190.015
0.037,2.445,2.554,2.641,217.737,188.286,189.988
0.038,2.708,2.604,2.704,217.817,188.037,189.973
0.039,2.988,2.659,2.768,217.897,187.769,189.968
0.040,3.275,2.720,2.832,217.977,187.492,189.971
0.042,3.560,2.786,2.895,218.053,187.218,189.980
0.043,3.832,2.855,2.956,218.124,186.956,189.993
0.044,4.080,2.926,3.015,218.188,186.716,190.007
0.045,4.295,2.996,3.069,218.242,186.508,190.022
0.046,4.466,3.063,3.118,218.284,186.343,190.033
0.047,4.588,3.124,3.162,218.313,186.225,190.042
0.049,4.667,3.177,3.199,218.331,186.149,190.048
0.050,4.711,3.221,3.228,218.340,186.105,190.052
0.051,4.729,3.253,3.249,218.341,186.089,190.057
0.052,4.737,3.272,3.261,218.336,186.091,190.064
0.053,4.756,3.281,3.267,218.327,186.105,190.074
0.055,4.782,3.282,3.267,218.316,186.124,190.088
0.056,4.809,3.276,3.262,218.305,186.139,190.107
0.057,4.838,3.265,3.254,218.295,186.144,190.134
0.058,4.875,3.252,3.245,218.288,186.132,190.168
0.059,4.928,3.239,3.235,218.284,186.101,190.211
0.060,4.996,3.227,3.227,218.282,186.055,190.261
0.062,5.077,3.218,3.220,218.280,185.997,190.317
0.063,5.166,3.212,3.216,218.277,185.932,190.378
0.064,5.262,3.208,3.212,218.271,185.863,190.443
0.065,5.359,3.206,3.210,218.260,185.793,190.511
0.066,5.456,3.205,3.208,218.244,185.727,190.580
0.068,5.551,3.203,3.206,218.221,185.668,190.650
0.069,5.641,3.201,3.203,218.189,185.620,190.720
0.070,5.728,3.198,3.198,218.148,185.586,190.788
0.071,5.814,3.192,3.192,218.098,185.565,190.856
0.072,5.901,3.184,3.183,218.045,185.554,190.924
0.074,5.990,3.172,3.171,217.992,185.551,190.995
0.075,6.081,3.157,3.156,217.941,185.552,191.070
0.076,6.173,3.139,3.138,217.896,185.556,191.151
0.077,6.267,3.116,3.115,217.861,185.559,191.238
0.078,6.365,3.089,3.089,217.839,185.559,191.333
0.079,6.471,3.058,3.058,217.833,185.553,191.439
0.081,6.589,3.022,3.022,217.847,185.539,191.555
0.082,6.725,2.981,2.981,217.883,185.515,191.684
0.083,6.877,2.935,2.936,217.936,185.483,191.822
0.084,7.042,2.887,2.887,218.004,185.446,191.969
0.085,7.217,2.836,2.836,218.083,185.405,192.120
0.087,7.399,2.784,2.784,218.168,185.364,192.275
0.088,7.582,2.731,2.731,218.255,185.324,192.430
0.089,7.763,2.680,2.680,218.342,185.288,192.585
0.090,7.937,2.630,2.630,218.424,185.258,192.736
0.091,8.101,2.583,2.583,218.498,185.236,192.881
0.093,8.251,2.540,2.540,218.559,185.226,193.018
0.094,8.388,2.501,2.501,218.606,185.226,193.146
0.095,8.513,2.466,2.466,218.642,185.236,193.265
0.096,8.628,2.437,2.437,218.667,185.254,193.376
0.097,8.735,2.412,2.412,218.683,185.277,193.479
0.098,8.834,2.393,2.393,218.693,185.304,193.574
0.100,8.926,2.380,2.380,218.697,185.334,193.661
0.101,9.011,2.373,2.373,218.698,185.363,193.741
0.102,9.090,2.372,2.372,218.698,185.391,193.814
0.103,9.160,2.376,2.376,218.696,185.416,193.880
0.104,9.223,2.381,2.381,218.697,185.435,193.940
0.106,9.282,2.385,2.386,218.698,185.449,193.997
0.107,9.341,2.386,2.386,218.701,185.458,194.056
0.108,9.406,2.379,2.379,218.705,185.463,194.120
0.109,9.480,2.363,2.363,218.708,185.462,194.194
0.110,9.569,2.335,2.335,218.712,185.457,194.283
0.112,9.676,2.292,2.292,218.715,185.449,194.390
0.113,9.807,2.233,2.233,218.716,185.436,194.520
0.114,9.966,2.162,2.162,218.716,185.421,194.678
0.115,10.156,2.081,2.081,218.714,185.402,194.868
0.116,10.380,1.995,1.995,218.709,185.379,195.090
0.117,10.626,1.907,1.907,218.699,185.350,195.334
0.119,10.886,1.819,1.819,218.681,185.312,195.590
0.120,11.148,1.736,1.736,218.653,185.260,195.846
0.121,11.404,1.661,1.661,218.611,185.191,196.089
0.122,11.647,1.596,1.596,218.554,185.103,196.308
0.123,11.875,1.543,1.543,218.479,184.992,196.492
0.125,12.091,1.503,1.503,218.383,184.854,196.629
0.126,12.311,1.474,1.474,218.264,184.687,196.707
0.127,12.558,1.457,1.457,218.119,184.487,196.715
0.128,12.852,1.453,1.453,217.950,184.256,196.652
0.129,13.190,1.461,1.461,217.763,184.002,196.530
0.130,13.563,1.482,1.482,217.565,183.734,196.361
0.132,13.957,1.515,1.515,217.363,183.462,196.160
0.133,14.359,1.560,1.560,217.163,183.192,195.939
0.134,14.752,1.614,1.614,216.974,182.936,195.710
0.135,15.119,1.674,1.674,216.801,182.700,195.487
0.136,15.446,1.737,1.737,216.651,182.494,195.283
0.138,15.714,1.800,1.800,216.531,182.326,195.111
0.139,15.910,1.861,1.861,216.447,182.205,194.982
0.140,16.035,1.915,1.915,216.398,182.129,194.896
0.141,16.102,1.961,1.961,216.376,182.089,194.847
0.142,16.124,1.996,1.996,216.376,182.080,194.827
0.144,16.144,2.020,2.020,216.391,182.093,194.830
0.145,16.187,2.036,2.036,216.415,182.122,194.849
0.146,16.241,2.044,2.044,216.442,182.159,194.878
0.147,16.295,2.048,2.048,216.464,182.198,194.909
0.148,16.339,2.050,2.050,216.477,182.231,194.936
0.149,16.365,2.050,2.050,216.472,182.250,194.952
0.151,16.390,2.052,2.052,216.447,182.251,194.951
0.152,16.439,2.056,2.056,216.403,182.236,194.936
0.153,16.508,2.065,2.065,216.345,182.207,194.910
0.154,16.594,2.078,2.078,216.277,182.170,194.874
0.155,16.688,2.093,2.093,216.203,182.128,194.832
0.157,16.787,2.110,2.110,216.128,182.084,194.787
0.158,16.882,2.127,2.127,216.055,182.042,194.742
0.159,16.969,2.145,2.145,215.989,182.006,194.699
0.160,17.040,2.163,2.163,215.934,181.980,194.662
0.161,17.091,2.178,2.178,215.895,181.966,194.633
0.163,17.122,2.192,2.192,215.871,181.966,194.613
0.164,17.140,2.202,2.202,215.859,181.976,194.605
0.165,17.156,2.209,2.209,215.853,181.992,194.607
0.166,17.178,2.212,2.212,215.850,182.009,194.621
