"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.026,1.026,216.076,186.562,192.918
0.002,0.118,1.090,1.090,216.110,186.465,192.860
0.004,0.235,1.154,1.154,216.144,186.369,192.802
0.005,0.351,1.220,1.220,216.178,186.274,192.744
0.007,0.467,1.289,1.289,216.214,186.181,192.685
0.009,0.582,1.362,1.362,216.252,186.091,192.625
0.011,0.696,1.439,1.439,216.291,186.003,192.564
0.013,0.808,1.521,1.521,216.333,185.919,192.503
0.014,0.919,1.605,1.605,216.377,185.839,192.439
0.016,1.029,1.690,1.690,216.425,185.764,192.375
0.018,1.139,1.774,1.774,216.476,185.694,192.308
0.020,1.247,1.854,1.854,216.531,185.631,192.239
0.022,1.355,1.930,1.930,216.590,185.573,192.169
0.023,1.463,1.999,1.999,216.652,185.522,192.096
0.025,1.571,2.062,2.062,216.716,185.477,192.022
0.027,1.678,2.119,2.118,216.782,185.439,191.947
0.029,1.785,2.168,2.168,216.848,185.406,191.870
0.030,1.890,2.209,2.209,216.914,185.379,191.792
0.032,1.995,2.243,2.244,216.979,185.358,191.714
0.034,2.097,2.272,2.273,217.042,185.343,191.635
0.036,2.197,2.298,2.299,217.102,185.333,191.555
0.038,2.295,2.323,2.325,217.158,185.328,191.475
0.039,2.390,2.350,2.351,217.210,185.329,191.395
0.041,2.483,2.382,2.381,217.258,185.334,191.316
0.043,2.572,2.418,2.415,217.301,185.341,191.238
0.045,2.658,2.457,2.452,217.341,185.347,191.162
0.047,2.740,2.497,2.490,217.377,185.350,191.089
0.048,2.817,2.535,2.530,217.410,185.349,191.019
0.050,2.890,2.569,2.568,217.440,185.340,190.954
0.052,2.959,2.598,2.605,217.469,185.322,190.893
0.054,3.026,2.622,2.639,217.496,185.292,190.839
0.056,3.096,2.643,2.672,217.521,185.249,190.791
0.057,3.172,2.661,2.704,217.546,185.189,190.751
0.059,3.260,2.678,2.734,217.570,185.111,190.719
0.061,3.360,2.696,2.764,217.594,185.017,190.694
0.063,3.471,2.716,2.792,217.618,184.910,190.676
0.065,3.591,2.738,2.820,217.641,184.793,190.665
0.066,3.717,2.763,2.847,217.663,184.669,190.659
0.068,3.847,2.791,2.875,217.685,184.541,190.658
0.070,3.976,2.824,2.902,217.706,184.413,190.661
0.072,4.104,2.861,2.930,217.727,184.288,190.667
0.073,4.225,2.901,2.957,217.747,184.169,190.676
0.075,4.337,2.942,2.983,217.766,184.058,190.687
0.077,4.437,2.981,3.007,217.784,183.961,190.698
0.079,4.523,3.016,3.028,217.801,183.877,190.710
0.081,4.596,3.043,3.044,217.817,183.807,190.722
0.082,4.657,3.061,3.055,217.830,183.749,190.734
0.084,4.708,3.071,3.063,217.842,183.701,190.745
0.086,4.749,3.077,3.069,217.850,183.661,190.756
0.088,4.784,3.081,3.076,217.855,183.629,190.765
0.090,4.812,3.086,3.084,217.856,183.601,190.773
0.091,4.837,3.096,3.096,217.852,183.578,190.778
0.093,4.860,3.111,3.113,217.844,183.556,190.782
0.095,4.886,3.130,3.133,217.830,183.534,190.783
0.097,4.916,3.150,3.152,217.811,183.512,190.782
0.099,4.952,3.168,3.169,217.785,183.486,190.777
0.100,4.994,3.182,3.182,217.755,183.458,190.767
0.102,5.043,3.189,3.189,217.721,183.427,190.752
0.104,5.098,3.188,3.188,217.685,183.391,190.729
0.106,5.161,3.179,3.178,217.647,183.352,190.699
0.108,5.232,3.161,3.160,217.609,183.307,190.660
0.109,5.312,3.134,3.134,217.571,183.257,190.610
0.111,5.402,3.098,3.098,217.535,183.202,190.548
0.113,5.505,3.051,3.052,217.501,183.141,190.473
0.115,5.620,2.996,2.998,217.472,183.073,190.385
0.116,5.750,2.934,2.936,217.447,182.998,190.281
0.118,5.895,2.865,2.867,217.428,182.917,190.163
0.120,6.052,2.791,2.793,217.414,182.831,190.032
0.122,6.220,2.714,2.713,217.404,182.744,189.889
0.124,6.397,2.635,2.631,217.399,182.655,189.735
0.125,6.581,2.554,2.547,217.399,182.568,189.574
0.127,6.770,2.473,2.465,217.404,182.483,189.405
0.129,6.962,2.394,2.386,217.413,182.403,189.230
0.131,7.156,2.316,2.314,217.425,182.329,189.052
0.133,7.349,2.242,2.250,217.442,182.263,188.870
0.134,7.541,2.173,2.194,217.463,182.208,188.688
0.136,7.730,2.109,2.145,217.487,182.163,188.506
0.138,7.915,2.054,2.102,217.512,182.130,188.326
0.140,8.097,2.007,2.065,217.536,182.105,188.147
0.142,8.276,1.970,2.032,217.557,182.087,187.971
0.143,8.450,1.944,2.001,217.570,182.075,187.798
0.145,8.619,1.921,1.970,217.574,182.067,187.628
0.147,8.785,1.897,1.936,217.567,182.062,187.463
0.149,8.946,1.864,1.896,217.545,182.058,187.303
0.151,9.105,1.816,1.846,217.506,182.053,187.149
0.152,9.265,1.747,1.784,217.447,182.046,187.001
0.154,9.428,1.657,1.710,217.366,182.035,186.860
0.156,9.599,1.557,1.629,217.261,182.019,186.726
0.158,9.777,1.456,1.547,217.138,181.998,186.599
0.159,9.961,1.364,1.469,217.001,181.972,186.478
0.161,10.149,1.292,1.400,216.856,181.941,186.363
0.163,10.337,1.248,1.345,216.707,181.905,186.254
0.165,10.523,1.228,1.304,216.559,181.864,186.150
0.167,10.701,1.224,1.276,216.417,181.818,186.051
0.168,10.870,1.227,1.260,216.288,181.768,185.956
0.170,11.026,1.228,1.253,216.174,181.712,185.864
0.172,11.167,1.219,1.256,216.083,181.652,185.776
0.174,11.293,1.195,1.265,216.018,181.587,185.690
0.176,11.407,1.162,1.279,215.980,181.518,185.608
0.177,11.515,1.125,1.296,215.967,181.446,185.528
0.179,11.620,1.091,1.312,215.974,181.372,185.453
0.181,11.725,1.067,1.327,215.997,181.299,185.383
0.183,11.828,1.058,1.337,216.033,181.226,185.318
0.185,11.930,1.065,1.342,216.078,181.157,185.259
0.186,12.027,1.083,1.343,216.128,181.091,185.207
0.188,12.118,1.108,1.341,216.180,181.031,185.163
0.190,12.199,1.135,1.336,216.228,180.977,185.126
0.192,12.267,1.160,1.329,216.270,180.932,185.099
0.194,12.319,1.179,1.321,216.303,180.896,185.080
0.195,12.355,1.191,1.313,216.325,180.868,185.070
0.197,12.380,1.198,1.306,216.338,180.849,185.066
0.199,12.395,1.201,1.301,216.345,180.835,185.067
0.201,12.404,1.203,1.299,216.348,180.827,185.069
0.203,12.409,1.203,1.302,216.347,180.822,185.071
0.204,12.412,1.204,1.308,216.344,180.819,185.071
0.206,12.417,1.203,1.317,216.343,180.818,185.067
0.208,12.428,1.200,1.327,216.343,180.816,185.057
0.210,12.447,1.194,1.335,216.348,180.812,185.038
0.211,12.479,1.183,1.341,216.359,180.805,185.009
0.213,12.525,1.167,1.341,216.376,180.795,184.968
0.215,12.585,1.146,1.337,216.401,180.779,184.915
0.217,12.657,1.124,1.329,216.431,180.760,184.853
0.219,12.739,1.103,1.319,216.465,180.735,184.783
0.220,12.830,1.084,1.308,216.504,180.706,184.706
0.222,12.928,1.071,1.298,216.544,180.672,184.623
0.224,13.032,1.066,1.289,216.586,180.633,184.537
0.226,13.140,1.068,1.282,216.629,180.589,184.448
0.228,13.251,1.076,1.277,216.671,180.540,184.358
0.229,13.363,1.090,1.274,216.711,180.485,184.268
0.231,13.475,1.108,1.272,216.749,180.426,184.180
0.233,13.588,1.130,1.272,216.783,180.361,184.095
0.235,13.700,1.155,1.274,216.814,180.293,184.011
0.237,13.814,1.183,1.279,216.842,180.222,183.927
0.238,13.929,1.212,1.289,216.867,180.149,183.842
0.240,14.045,1.244,1.305,216.891,180.076,183.754
0.242,14.164,1.277,1.329,216.912,180.003,183.663
0.244,14.285,1.311,1.362,216.931,179.933,183.566
0.246,14.410,1.345,1.401,216.949,179.865,183.463
0.247,14.539,1.380,1.445,216.965,179.802,183.352
0.249,14.673,1.414,1.489,216.981,179.744,183.231
0.251,14.814,1.448,1.532,216.996,179.693,183.101
0.253,14.962,1.481,1.570,217.009,179.649,182.960
0.254,15.116,1.512,1.601,217.021,179.610,182.812
0.256,15.274,1.544,1.628,217.030,179.577,182.658
0.258,15.434,1.578,1.655,217.034,179.548,182.500
0.260,15.595,1.614,1.684,217.033,179.522,182.342
0.262,15.754,1.655,1.720,217.026,179.499,182.184
0.263,15.911,1.702,1.765,217.011,179.477,182.029
0.265,16.063,1.754,1.821,216.987,179.457,181.880
0.267,16.210,1.809,1.886,216.954,179.437,181.739
0.269,16.350,1.864,1.958,216.911,179.416,181.607
0.271,16.484,1.917,2.036,216.856,179.394,181.487
0.272,16.612,1.965,2.117,216.793,179.370,181.378
0.274,16.735,2.006,2.200,216.726,179.343,181.279
0.276,16.850,2.042,2.281,216.660,179.314,181.189
0.278,16.959,2.074,2.356,216.599,179.283,181.105
0.280,17.058,2.105,2.419,216.548,179.248,181.027
0.281,17.149,2.138,2.466,216.512,179.210,180.953
0.283,17.234,2.176,2.492,216.495,179.167,180.881
0.285,17.318,2.219,2.495,216.502,179.121,180.811
0.287,17.412,2.265,2.481,216.537,179.071,180.740
0.289,17.526,2.309,2.456,216.605,179.016,180.668
0.290,17.667,2.347,2.426,216.709,178.956,180.592
0.292,17.835,2.377,2.397,216.843,178.893,180.515
0.294,18.024,2.394,2.375,217.003,178.826,180.438
0.296,18.228,2.397,2.361,217.181,178.759,180.363
0.297,18.443,2.388,2.351,217.371,178.691,180.291
0.299,18.660,2.369,2.341,217.566,178.625,180.223
0.301,18.875,2.342,2.327,217.762,178.560,180.163
0.303,19.080,2.307,2.306,217.951,178.499,180.110
0.305,19.270,2.268,2.275,218.127,178.442,180.067
0.306,19.438,2.226,2.236,218.284,178.391,180.035
0.308,19.578,2.185,2.194,218.416,178.347,180.016
0.310,19.689,2.147,2.154,218.519,178.310,180.010
0.312,19.774,2.118,2.120,218.598,178.277,180.014
0.314,19.841,2.098,2.097,218.656,178.246,180.025
0.315,19.894,2.089,2.087,218.697,178.215,180.039
0.317,19.939,2.089,2.086,218.724,178.182,180.053
0.319,19.983,2.093,2.091,218.741,178.143,180.065
0.321,20.031,2.099,2.097,218.752,178.097,180.070
0.323,20.087,2.101,2.101,218.762,178.041,180.066
0.324,20.158,2.099,2.099,218.772,177.973,180.050
0.326,20.248,2.091,2.092,218.788,177.891,180.019
0.328,20.362,2.081,2.082,218.813,177.791,179.969
0.330,20.500,2.073,2.075,218.848,177.676,179.900
0.332,20.659,2.071,2.072,218.895,177.550,179.815
0.333,20.834,2.078,2.078,218.953,177.417,179.717
0.335,21.022,2.096,2.095,219.022,177.281,179.608
0.337,21.219,2.121,2.119,219.104,177.147,179.490
0.339,21.421,2.147,2.145,219.199,177.018,179.366
0.341,21.626,2.168,2.166,219.306,176.899,179.239
0.342,21.830,2.178,2.177,219.426,176.794,179.111
0.344,22.034,2.173,2.173,219.560,176.708,178.984
0.346,22.236,2.150,2.153,219.708,176.644,178.861
0.348,22.438,2.116,2.122,219.869,176.606,178.745
0.349,22.643,2.078,2.085,220.042,176.591,178.638
0.351,22.848,2.042,2.048,220.224,176.593,178.542
0.353,23.054,2.014,2.016,220.412,176.605,178.459
0.355,23.258,2.001,1.994,220.603,176.623,178.391
0.357,23.456,1.997,1.980,220.794,176.640,178.341
0.358,23.647,1.995,1.970,220.982,176.651,178.311
0.360,23.830,1.984,1.957,221.165,176.649,178.302
0.362,24.006,1.956,1.936,221.339,176.630,178.317
0.364,24.179,1.901,1.903,221.502,176.586,178.358
0.366,24.359,1.815,1.855,221.650,176.512,178.427
0.367,24.554,1.710,1.800,221.782,176.406,178.525
0.369,24.770,1.603,1.745,221.899,176.271,178.647
0.371,25.005,1.509,1.701,222.003,176.114,178.786
0.373,25.253,1.444,1.676,222.096,175.939,178.937
0.375,25.510,1.423,1.679,222.179,175.754,179.094
0.376,25.768,1.447,1.708,222.253,175.564,179.251
0.378,26.020,1.502,1.754,222.322,175.374,179.402
0.380,26.260,1.573,1.802,222.386,175.190,179.542
0.382,26.479,1.644,1.842,222.448,175.019,179.664
0.384,26.671,1.700,1.861,222.508,174.865,179.763
0.385,26.831,1.728,1.850,222.569,174.735,179.833
0.387,26.958,1.731,1.814,222.632,174.632,179.871
0.389,27.061,1.716,1.764,222.695,174.551,179.883
0.391,27.149,1.693,1.713,222.758,174.491,179.873
0.392,27.228,1.669,1.673,222.820,174.449,179.844
