"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.345,1.345,237.014,209.712,205.128
0.001,0.130,1.349,1.349,236.946,209.803,205.066
0.003,0.259,1.353,1.353,236.879,209.894,205.004
0.004,0.387,1.359,1.359,236.811,209.984,204.942
0.006,0.513,1.367,1.367,236.745,210.072,204.882
0.007,0.637,1.378,1.378,236.678,210.159,204.823
0.009,0.758,1.393,1.393,236.613,210.243,204.766
0.010,0.875,1.413,1.413,236.548,210.324,204.711
0.012,0.989,1.438,1.438,236.485,210.401,204.658
0.013,1.097,1.467,1.467,236.423,210.475,204.608
0.014,1.201,1.496,1.496,236.362,210.544,204.561
0.016,1.298,1.525,1.525,236.303,210.608,204.517
0.017,1.389,1.552,1.552,236.245,210.666,204.477
0.019,1.474,1.573,1.573,236.189,210.719,204.441
0.020,1.551,1.588,1.588,236.136,210.765,204.410
0.022,1.622,1.594,1.594,236.084,210.804,204.383
0.023,1.685,1.594,1.594,236.034,210.836,204.361
0.025,1.743,1.587,1.587,235.984,210.861,204.344
0.026,1.798,1.576,1.576,235.933,210.879,204.332
0.028,1.851,1.563,1.563,235.882,210.889,204.324
0.029,1.905,1.548,1.548,235.828,210.891,204.320
0.030,1.962,1.533,1.533,235.772,210.885,204.321
0.032,2.024,1.519,1.519,235.711,210.872,204.326
0.033,2.094,1.505,1.505,235.646,210.851,204.335
0.035,2.172,1.489,1.489,235.575,210.821,204.349
0.036,2.260,1.470,1.470,235.497,210.784,204.366
0.038,2.359,1.446,1.446,235.412,210.738,204.388
0.039,2.470,1.416,1.416,235.319,210.683,204.414
0.041,2.593,1.377,1.377,235.216,210.620,204.443
0.042,2.731,1.331,1.331,235.104,210.549,204.477
0.043,2.880,1.280,1.280,234.983,210.470,204.513
0.045,3.038,1.229,1.229,234.856,210.384,204.553
0.046,3.203,1.182,1.182,234.724,210.294,204.595
0.048,3.373,1.144,1.144,234.589,210.201,204.640
0.049,3.545,1.117,1.117,234.453,210.107,204.686
0.051,3.716,1.107,1.107,234.319,210.012,204.733
0.052,3.885,1.116,1.116,234.187,209.918,204.781
0.054,4.048,1.139,1.139,234.061,209.827,204.830
0.055,4.203,1.172,1.172,233.941,209.740,204.878
0.057,4.349,1.209,1.209,233.831,209.659,204.926
0.058,4.481,1.246,1.246,233.731,209.585,204.973
0.059,4.600,1.278,1.278,233.644,209.519,205.018
0.061,4.701,1.299,1.299,233.571,209.464,205.061
0.062,4.783,1.308,1.308,233.515,209.419,205.102
0.064,4.848,1.306,1.306,233.475,209.385,205.141
0.065,4.899,1.296,1.296,233.449,209.360,205.176
0.067,4.939,1.281,1.281,233.434,209.342,205.208
0.068,4.971,1.265,1.265,233.430,209.328,205.237
0.070,4.998,1.251,1.251,233.433,209.318,205.261
0.071,5.022,1.242,1.242,233.443,209.310,205.282
0.072,5.045,1.238,1.238,233.458,209.301,205.298
0.074,5.068,1.240,1.240,233.475,209.290,205.309
0.075,5.092,1.244,1.244,233.492,209.275,205.315
0.077,5.118,1.249,1.249,233.509,209.255,205.316
0.078,5.149,1.253,1.253,233.522,209.228,205.311
0.080,5.188,1.254,1.254,233.530,209.191,205.300
0.081,5.239,1.249,1.249,233.532,209.143,205.283
0.083,5.304,1.239,1.239,233.525,209.083,205.259
0.084,5.385,1.224,1.224,233.509,209.010,205.229
0.086,5.478,1.206,1.206,233.485,208.927,205.195
0.087,5.583,1.189,1.189,233.455,208.834,205.157
0.088,5.697,1.172,1.172,233.418,208.733,205.117
0.090,5.819,1.159,1.159,233.376,208.626,205.076
0.091,5.947,1.152,1.152,233.331,208.514,205.036
0.093,6.078,1.150,1.150,233.281,208.398,204.997
0.094,6.212,1.153,1.153,233.229,208.280,204.961
0.096,6.345,1.159,1.159,233.176,208.162,204.928
0.097,6.477,1.166,1.165,233.122,208.045,204.901
0.099,6.605,1.172,1.172,233.069,207.931,204.881
0.100,6.728,1.176,1.176,233.016,207.820,204.868
0.101,6.845,1.176,1.176,232.966,207.715,204.864
0.103,6.954,1.171,1.171,232.919,207.617,204.870
0.104,7.057,1.163,1.164,232.874,207.525,204.886
0.106,7.157,1.154,1.155,232.830,207.440,204.912
0.107,7.255,1.144,1.145,232.786,207.359,204.946
0.109,7.353,1.137,1.138,232.741,207.282,204.988
0.110,7.454,1.132,1.133,232.692,207.208,205.036
0.112,7.558,1.133,1.133,232.639,207.137,205.090
0.113,7.668,1.139,1.138,232.581,207.066,205.150
0.114,7.784,1.152,1.149,232.516,206.995,205.214
0.116,7.907,1.170,1.166,232.442,206.922,205.281
0.117,8.039,1.194,1.190,232.358,206.848,205.351
0.119,8.181,1.224,1.221,232.263,206.771,205.423
0.120,8.334,1.260,1.258,232.156,206.689,205.495
0.122,8.500,1.301,1.303,232.034,206.603,205.568
0.123,8.680,1.349,1.355,231.898,206.510,205.640
0.125,8.874,1.406,1.416,231.747,206.411,205.711
0.126,9.078,1.473,1.487,231.585,206.307,205.780
0.128,9.291,1.553,1.569,231.415,206.198,205.846
0.129,9.509,1.649,1.662,231.240,206.085,205.910
0.130,9.728,1.761,1.768,231.063,205.970,205.971
0.132,9.947,1.893,1.887,230.888,205.851,206.028
0.133,10.162,2.041,2.019,230.717,205.732,206.082
0.135,10.371,2.196,2.157,230.555,205.611,206.131
0.136,10.569,2.350,2.298,230.403,205.491,206.175
0.138,10.756,2.492,2.436,230.265,205.372,206.214
0.139,10.928,2.614,2.565,230.145,205.254,206.247
0.141,11.083,2.706,2.682,230.045,205.138,206.273
0.142,11.220,2.758,2.781,229.968,205.026,206.294
0.143,11.340,2.771,2.859,229.918,204.917,206.307
0.145,11.447,2.752,2.920,229.895,204.813,206.313
0.146,11.547,2.714,2.964,229.896,204.713,206.313
0.148,11.645,2.665,2.994,229.918,204.618,206.306
0.149,11.746,2.615,3.012,229.956,204.526,206.294
0.151,11.850,2.575,3.020,230.009,204.437,206.277
0.152,11.957,2.554,3.020,230.072,204.353,206.255
0.154,12.068,2.555,3.013,230.142,204.272,206.228
0.155,12.179,2.574,3.000,230.215,204.194,206.198
0.157,12.289,2.604,2.982,230.289,204.119,206.165
0.158,12.397,2.639,2.959,230.361,204.048,206.128
0.159,12.499,2.675,2.932,230.426,203.979,206.090
0.161,12.594,2.706,2.901,230.481,203.913,206.049
0.162,12.681,2.725,2.867,230.524,203.850,206.007
0.164,12.760,2.733,2.832,230.550,203.789,205.964
0.165,12.834,2.733,2.798,230.559,203.731,205.920
0.167,12.906,2.728,2.768,230.552,203.675,205.876
0.168,12.979,2.722,2.744,230.531,203.621,205.831
0.170,13.056,2.719,2.729,230.497,203.569,205.785
0.171,13.137,2.722,2.724,230.452,203.520,205.739
0.172,13.222,2.735,2.733,230.398,203.473,205.693
0.174,13.311,2.759,2.756,230.337,203.428,205.647
0.175,13.403,2.790,2.789,230.270,203.385,205.600
0.177,13.497,2.827,2.830,230.199,203.344,205.553
0.178,13.592,2.866,2.875,230.127,203.305,205.506
0.180,13.687,2.905,2.924,230.054,203.268,205.458
0.181,13.779,2.941,2.971,229.982,203.233,205.411
0.183,13.869,2.971,3.016,229.914,203.200,205.364
0.184,13.954,2.995,3.057,229.850,203.168,205.317
0.186,14.034,3.015,3.093,229.793,203.139,205.270
0.187,14.109,3.031,3.125,229.741,203.110,205.223
0.188,14.181,3.045,3.154,229.694,203.082,205.176
0.190,14.250,3.059,3.179,229.652,203.054,205.129
0.191,14.316,3.074,3.202,229.614,203.026,205.083
0.193,14.381,3.092,3.221,229.580,202.996,205.037
0.194,14.444,3.112,3.237,229.550,202.965,204.991
0.196,14.507,3.134,3.252,229.522,202.932,204.945
0.197,14.570,3.158,3.265,229.496,202.896,204.900
0.199,14.635,3.182,3.278,229.472,202.857,204.855
0.200,14.700,3.206,3.290,229.450,202.814,204.810
0.201,14.769,3.229,3.302,229.429,202.767,204.765
0.203,14.840,3.250,3.315,229.408,202.716,204.721
0.204,14.915,3.270,3.329,229.387,202.658,204.677
0.206,14.994,3.288,3.344,229.366,202.596,204.634
0.207,15.077,3.306,3.361,229.345,202.528,204.591
0.209,15.163,3.324,3.380,229.324,202.457,204.548
0.210,15.251,3.342,3.400,229.304,202.381,204.506
0.212,15.341,3.361,3.422,229.284,202.304,204.465
0.213,15.432,3.381,3.447,229.265,202.225,204.425
0.214,15.524,3.403,3.473,229.247,202.144,204.385
0.216,15.615,3.426,3.499,229.230,202.064,204.346
0.217,15.705,3.449,3.525,229.214,201.983,204.308
0.219,15.793,3.472,3.549,229.201,201.905,204.271
0.220,15.878,3.494,3.570,229.189,201.828,204.235
0.222,15.961,3.515,3.588,229.179,201.754,204.201
0.223,16.039,3.534,3.600,229.172,201.684,204.167
0.225,16.112,3.552,3.608,229.167,201.618,204.135
0.226,16.181,3.568,3.613,229.165,201.557,204.104
0.228,16.244,3.582,3.616,229.166,201.501,204.074
0.229,16.303,3.597,3.618,229.168,201.449,204.045
0.230,16.359,3.610,3.621,229.172,201.402,204.016
0.232,16.411,3.624,3.626,229.177,201.359,203.987
0.233,16.460,3.638,3.634,229.182,201.320,203.958
0.235,16.507,3.651,3.644,229.188,201.284,203.928
0.236,16.552,3.664,3.657,229.194,201.252,203.898
0.238,16.595,3.676,3.669,229.199,201.222,203.866
0.239,16.638,3.687,3.682,229.204,201.196,203.832
0.241,16.681,3.695,3.693,229.207,201.172,203.797
0.242,16.724,3.701,3.701,229.208,201.151,203.760
0.243,16.768,3.704,3.705,229.207,201.132,203.720
0.245,16.814,3.705,3.707,229.203,201.114,203.677
0.246,16.863,3.704,3.706,229.197,201.098,203.632
0.248,16.914,3.701,3.703,229.188,201.084,203.584
0.249,16.966,3.699,3.700,229.177,201.069,203.535
0.251,17.018,3.698,3.698,229.164,201.055,203.486
0.252,17.071,3.698,3.698,229.150,201.040,203.438
0.254,17.123,3.700,3.700,229.136,201.025,203.391
0.255,17.173,3.704,3.704,229.121,201.007,203.346
0.257,17.220,3.709,3.709,229.107,200.988,203.305
0.258,17.265,3.714,3.714,229.093,200.966,203.268
0.259,17.308,3.718,3.718,229.080,200.941,203.237
0.261,17.348,3.720,3.720,229.069,200.912,203.211
0.262,17.387,3.718,3.718,229.060,200.879,203.193
0.264,17.427,3.713,3.713,229.054,200.841,203.183
0.265,17.470,3.705,3.705,229.050,200.798,203.181
0.267,17.520,3.696,3.696,229.050,200.749,203.189
0.268,17.576,3.686,3.686,229.053,200.695,203.206
0.270,17.638,3.677,3.677,229.059,200.637,203.229
0.271,17.705,3.671,3.672,229.067,200.577,203.257
0.272,17.776,3.670,3.670,229.078,200.515,203.289
0.274,17.848,3.674,3.674,229.090,200.452,203.322
0.275,17.920,3.683,3.683,229.104,200.389,203.355
0.277,17.990,3.695,3.695,229.120,200.328,203.386
0.278,18.057,3.708,3.708,229.136,200.269,203.413
0.280,18.119,3.721,3.721,229.153,200.214,203.436
0.281,18.175,3.732,3.732,229.171,200.163,203.452
0.283,18.224,3.739,3.739,229.189,200.118,203.459
0.284,18.267,3.742,3.742,229.206,200.080,203.456
0.286,18.305,3.740,3.740,229.223,200.049,203.441
0.287,18.345,3.736,3.736,229.239,200.026,203.413
0.288,18.390,3.730,3.730,229.254,200.011,203.372
0.290,18.444,3.725,3.725,229.267,200.001,203.321
0.291,18.506,3.721,3.721,229.278,199.994,203.261
0.293,18.574,3.720,3.720,229.286,199.989,203.193
0.294,18.647,3.722,3.722,229.291,199.983,203.120
0.296,18.725,3.728,3.728,229.293,199.975,203.043
0.297,18.805,3.734,3.734,229.291,199.962,202.964
0.299,18.887,3.738,3.738,229.284,199.943,202.885
0.300,18.971,3.737,3.737,229.273,199.916,202.806
0.301,19.056,3.731,3.731,229.257,199.878,202.731
0.303,19.146,3.715,3.715,229.235,199.829,202.660
0.304,19.241,3.690,3.690,229.206,199.765,202.596
0.306,19.344,3.656,3.656,229.172,199.685,202.539
0.307,19.460,3.616,3.616,229.130,199.588,202.492
0.309,19.589,3.573,3.573,229.082,199.474,202.455
0.310,19.732,3.530,3.530,229.028,199.345,202.426
0.312,19.886,3.490,3.490,228.968,199.205,202.403
0.313,20.051,3.454,3.454,228.904,199.054,202.387
0.314,20.223,3.427,3.427,228.836,198.896,202.376
0.316,20.402,3.405,3.405,228.764,198.732,202.369
0.317,20.586,3.388,3.388,228.689,198.565,202.365
0.319,20.771,3.373,3.373,228.612,198.396,202.363
0.320,20.956,3.359,3.359,228.533,198.229,202.362
0.322,21.138,3.342,3.342,228.454,198.065,202.360
0.323,21.315,3.321,3.321,228.373,197.907,202.357
0.325,21.486,3.295,3.295,228.294,197.757,202.352
0.326,21.647,3.265,3.265,228.214,197.616,202.343
0.328,21.798,3.233,3.233,228.137,197.488,202.330
0.329,21.937,3.201,3.201,228.061,197.372,202.312
0.330,22.067,3.173,3.173,227.987,197.268,202.291
0.332,22.188,3.149,3.149,227.914,197.174,202.267
0.333,22.300,3.133,3.133,227.844,197.090,202.240
0.335,22.405,3.125,3.125,227.777,197.016,202.211
0.336,22.503,3.125,3.125,227.711,196.949,202.182
0.338,22.594,3.131,3.131,227.648,196.891,202.152
0.339,22.679,3.140,3.140,227.588,196.839,202.123
0.341,22.758,3.152,3.152,227.530,196.793,202.094
0.342,22.831,3.163,3.163,227.475,196.752,202.067
0.343,22.899,3.173,3.173,227.424,196.715,202.042
0.345,22.962,3.180,3.180,227.375,196.682,202.021
0.346,23.020,3.184,3.184,227.330,196.651,202.002
0.348,23.072,3.186,3.186,227.288,196.623,201.989
0.349,23.120,3.185,3.186,227.249,196.596,201.979
0.351,23.165,3.184,3.184,227.214,196.570,201.974
0.352,23.206,3.182,3.182,227.181,196.545,201.972
0.354,23.246,3.179,3.179,227.150,196.520,201.974
0.355,23.284,3.178,3.177,227.121,196.496,201.979
0.357,23.321,3.176,3.175,227.094,196.472,201.988
0.358,23.358,3.174,3.173,227.069,196.447,201.998
0.359,23.395,3.172,3.171,227.044,196.422,202.012
0.361,23.434,3.169,3.168,227.021,196.396,202.027
0.362,23.473,3.166,3.165,226.998,196.369,202.045
0.364,23.514,3.161,3.161,226.975,196.341,202.064
0.365,23.557,3.154,3.155,226.952,196.311,202.084
0.367,23.602,3.147,3.149,226.928,196.279,202.105
0.368,23.649,3.138,3.142,226.904,196.245,202.127
0.370,23.699,3.129,3.133,226.879,196.208,202.150
0.371,23.751,3.119,3.123,226.853,196.169,202.172
0.372,23.806,3.110,3.112,226.826,196.127,202.195
0.374,23.863,3.100,3.099,226.798,196.083,202.217
0.375,23.922,3.090,3.085,226.769,196.036,202.238
0.377,23.984,3.081,3.071,226.738,195.986,202.258
0.378,24.048,3.071,3.057,226.706,195.933,202.277
0.380,24.116,3.059,3.043,226.673,195.877,202.294
0.381,24.186,3.046,3.031,226.639,195.817,202.309
0.383,24.259,3.031,3.022,226.603,195.755,202.322
0.384,24.336,3.013,3.016,226.566,195.689,202.332
0.386,24.416,2.993,3.013,226.527,195.619,202.340
0.387,24.499,2.971,3.013,226.487,195.546,202.344
0.388,24.587,2.948,3.016,226.445,195.469,202.345
0.390,24.678,2.925,3.020,226.402,195.389,202.342
0.391,24.774,2.903,3.025,226.356,195.304,202.334
0.393,24.875,2.883,3.030,226.309,195.216,202.322
0.394,24.981,2.866,3.035,226.261,195.124,202.305
0.396,25.092,2.853,3.038,226.210,195.028,202.283
0.397,25.208,2.842,3.041,226.158,194.927,202.255
0.399,25.330,2.835,3.043,226.104,194.823,202.221
0.400,25.459,2.830,3.045,226.049,194.714,202.181
0.401,25.594,2.827,3.048,225.991,194.601,202.133
0.403,25.737,2.825,3.051,225.932,194.484,202.079
0.404,25.886,2.825,3.055,225.872,194.362,202.016
0.406,26.043,2.827,3.061,225.809,194.236,201.946
0.407,26.209,2.832,3.071,225.745,194.106,201.867
0.409,26.383,2.841,3.085,225.679,193.970,201.779
0.410,26.565,2.857,3.106,225.611,193.831,201.683
0.412,26.754,2.880,3.136,225.543,193.689,201.580
0.413,26.947,2.913,3.175,225.475,193.546,201.470
0.414,27.142,2.957,3.226,225.407,193.403,201.356
0.416,27.338,3.012,3.287,225.341,193.261,201.238
0.417,27.533,3.075,3.357,225.277,193.121,201.117
0.419,27.726,3.144,3.428,225.216,192.986,200.995
0.420,27.913,3.215,3.498,225.158,192.856,200.873
0.422,28.093,3.285,3.561,225.105,192.733,200.752
0.423,28.265,3.351,3.613,225.057,192.618,200.634
0.425,28.426,3.410,3.650,225.014,192.513,200.519
0.426,28.576,3.461,3.670,224.979,192.419,200.409
0.428,28.711,3.503,3.676,224.950,192.337,200.305
0.429,28.831,3.539,3.672,224.930,192.268,200.209
0.430,28.936,3.571,3.662,224.917,192.214,200.120
0.432,29.027,3.598,3.651,224.912,192.173,200.039
0.433,29.105,3.622,3.642,224.914,192.144,199.966
0.435,29.174,3.646,3.639,224.920,192.126,199.900
0.436,29.234,3.669,3.644,224.931,192.119,199.841
0.438,29.288,3.691,3.657,224.945,192.122,199.789
0.439,29.338,3.711,3.675,224.961,192.133,199.743
0.441,29.385,3.729,3.697,224.978,192.151,199.704
0.442,29.430,3.745,3.722,224.996,192.175,199.670
0.443,29.474,3.758,3.748,225.013,192.206,199.642
0.445,29.518,3.768,3.774,225.029,192.240,199.620
0.446,29.562,3.774,3.798,225.041,192.278,199.603
0.448,29.605,3.776,3.821,225.050,192.319,199.590
0.449,29.648,3.775,3.842,225.055,192.361,199.582
0.451,29.691,3.771,3.861,225.054,192.403,199.578
0.452,29.734,3.765,3.878,225.050,192.446,199.577
0.454,29.777,3.756,3.893,225.044,192.488,199.575
0.455,29.819,3.745,3.905,225.038,192.530,199.573
0.457,29.860,3.732,3.914,225.035,192.570,199.567
0.458,29.899,3.717,3.919,225.034,192.608,199.555
0.459,29.940,3.702,3.919,225.040,192.644,199.537
0.461,29.984,3.685,3.912,225.052,192.677,199.511
0.462,30.036,3.669,3.898,225.073,192.706,199.473
0.464,30.100,3.652,3.876,225.104,192.732,199.424
0.465,30.180,3.636,3.843,225.148,192.753,199.360
0.467,30.280,3.621,3.803,225.206,192.769,199.280
0.468,30.403,3.607,3.757,225.280,192.780,199.182
0.470,30.552,3.597,3.710,225.372,192.785,199.065
0.471,30.728,3.590,3.667,225.481,192.784,198.927
0.472,30.928,3.587,3.630,225.607,192.777,198.772
0.474,31.148,3.590,3.603,225.746,192.765,198.601
0.475,31.384,3.599,3.592,225.895,192.750,198.420
0.477,31.631,3.615,3.596,226.052,192.731,198.229
0.478,31.886,3.637,3.613,226.213,192.711,198.034
0.480,32.144,3.665,3.642,226.377,192.688,197.835
0.481,32.401,3.697,3.680,226.540,192.665,197.638
0.483,32.653,3.735,3.724,226.699,192.642,197.444
0.484,32.896,3.777,3.773,226.853,192.619,197.257
0.486,33.125,3.822,3.825,226.997,192.598,197.080
0.487,33.337,3.871,3.876,227.129,192.580,196.916
0.488,33.526,3.920,3.926,227.247,192.564,196.768
0.490,33.690,3.967,3.973,227.348,192.553,196.640
0.491,33.825,4.010,4.015,227.429,192.546,196.532
0.493,33.933,4.048,4.051,227.492,192.543,196.444
0.494,34.018,4.078,4.079,227.540,192.543,196.374
0.496,34.084,4.098,4.097,227.573,192.545,196.318
0.497,34.133,4.107,4.106,227.595,192.549,196.274
0.499,34.169,4.109,4.107,227.607,192.554,196.240
0.500,34.196,4.105,4.103,227.612,192.560,196.214
0.501,34.218,4.097,4.096,227.610,192.565,196.192
0.503,34.238,4.087,4.087,227.605,192.569,196.174
0.504,34.258,4.078,4.078,227.599,192.571,196.155
0.506,34.280,4.072,4.072,227.593,192.570,196.134
0.507,34.306,4.069,4.069,227.589,192.566,196.108
0.509,34.340,4.070,4.070,227.590,192.558,196.075
0.510,34.386,4.075,4.075,227.598,192.545,196.032
0.512,34.445,4.084,4.084,227.614,192.527,195.978
0.513,34.518,4.097,4.097,227.637,192.505,195.913
0.514,34.602,4.114,4.114,227.667,192.477,195.839
0.516,34.696,4.135,4.135,227.703,192.447,195.758
0.517,34.797,4.161,4.161,227.743,192.414,195.670
0.519,34.905,4.190,4.190,227.787,192.379,195.579
0.520,35.016,4.222,4.222,227.832,192.342,195.484
0.522,35.129,4.255,4.255,227.880,192.305,195.388
0.523,35.242,4.290,4.290,227.927,192.268,195.293
0.525,35.352,4.325,4.325,227.974,192.232,195.200
0.526,35.459,4.359,4.359,228.019,192.198,195.110
