"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.215,1.215,-79.591,-57.913,-3.179
0.001,0.231,1.264,1.264,-79.632,-58.137,-3.215
0.003,0.457,1.313,1.313,-79.671,-58.358,-3.246
0.004,0.674,1.359,1.359,-79.705,-58.571,-3.269
0.006,0.877,1.402,1.402,-79.730,-58.773,-3.278
0.007,1.066,1.440,1.440,-79.745,-58.960,-3.269
0.008,1.238,1.473,1.473,-79.747,-59.130,-3.239
0.010,1.396,1.499,1.499,-79.732,-59.277,-3.181
0.011,1.550,1.517,1.517,-79.699,-59.398,-3.093
0.013,1.714,1.529,1.529,-79.645,-59.491,-2.969
0.014,1.904,1.536,1.536,-79.568,-59.551,-2.807
0.015,2.124,1.541,1.541,-79.471,-59.582,-2.611
0.017,2.371,1.543,1.543,-79.359,-59.588,-2.391
0.018,2.636,1.547,1.547,-79.238,-59.575,-2.155
0.020,2.911,1.552,1.552,-79.114,-59.546,-1.912
0.021,3.184,1.562,1.562,-78.991,-59.508,-1.671
0.022,3.446,1.576,1.576,-78.875,-59.464,-1.440
0.024,3.687,1.594,1.594,-78.771,-59.420,-1.228
0.025,3.894,1.614,1.614,-78.685,-59.380,-1.044
0.027,4.059,1.635,1.635,-78.621,-59.349,-0.895
0.028,4.181,1.657,1.657,-78.579,-59.328,-0.782
0.029,4.267,1.678,1.678,-78.556,-59.316,-0.700
0.031,4.324,1.698,1.698,-78.549,-59.312,-0.644
0.032,4.360,1.716,1.716,-78.555,-59.314,-0.608
0.034,4.386,1.732,1.732,-78.569,-59.322,-0.588
0.035,4.411,1.746,1.746,-78.589,-59.335,-0.580
0.036,4.438,1.758,1.758,-78.612,-59.350,-0.577
0.038,4.467,1.768,1.768,-78.633,-59.368,-0.575
0.039,4.493,1.776,1.776,-78.651,-59.387,-0.570
0.041,4.519,1.783,1.783,-78.664,-59.406,-0.557
0.042,4.546,1.788,1.788,-78.671,-59.420,-0.535
0.043,4.580,1.794,1.794,-78.673,-59.429,-0.503
0.045,4.625,1.801,1.801,-78.670,-59.428,-0.458
0.046,4.685,1.812,1.812,-78.662,-59.417,-0.399
0.048,4.766,1.828,1.828,-78.650,-59.390,-0.323
0.049,4.870,1.851,1.851,-78.634,-59.347,-0.230
0.050,5.001,1.881,1.881,-78.613,-59.285,-0.117
0.052,5.161,1.922,1.922,-78.589,-59.200,0.017
0.053,5.351,1.970,1.970,-78.561,-59.093,0.171
0.055,5.563,2.026,2.026,-78.531,-58.966,0.338
0.056,5.789,2.087,2.087,-78.501,-58.825,0.513
0.057,6.025,2.151,2.151,-78.471,-58.671,0.688
0.059,6.261,2.217,2.217,-78.442,-58.510,0.858
0.060,6.492,2.283,2.283,-78.416,-58.343,1.016
0.062,6.710,2.347,2.347,-78.394,-58.176,1.156
0.063,6.912,2.409,2.409,-78.378,-58.011,1.270
0.064,7.091,2.467,2.467,-78.368,-57.853,1.354
0.066,7.250,2.520,2.520,-78.364,-57.702,1.403
0.067,7.393,2.568,2.568,-78.365,-57.561,1.425
0.069,7.526,2.608,2.608,-78.366,-57.428,1.425
0.070,7.651,2.641,2.641,-78.366,-57.304,1.409
