"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.830,0.830,-77.727,-53.827,-2.971
0.001,0.339,0.974,0.974,-77.976,-53.998,-2.817
0.002,0.674,1.116,1.116,-78.222,-54.166,-2.665
0.004,1.001,1.254,1.254,-78.462,-54.330,-2.516
0.005,1.314,1.384,1.384,-78.692,-54.488,-2.373
0.006,1.611,1.505,1.505,-78.910,-54.638,-2.238
0.007,1.886,1.614,1.614,-79.111,-54.777,-2.112
0.009,2.136,1.708,1.708,-79.293,-54.904,-1.997
0.010,2.355,1.786,1.786,-79.452,-55.016,-1.895
0.011,2.541,1.846,1.846,-79.585,-55.112,-1.808
0.012,2.688,1.889,1.889,-79.690,-55.188,-1.739
0.014,2.795,1.916,1.916,-79.764,-55.245,-1.687
0.015,2.866,1.930,1.930,-79.813,-55.282,-1.652
0.016,2.905,1.934,1.934,-79.842,-55.302,-1.634
0.017,2.919,1.929,1.929,-79.855,-55.304,-1.630
0.019,2.936,1.918,1.918,-79.859,-55.290,-1.640
0.020,2.973,1.903,1.903,-79.858,-55.262,-1.664
0.021,3.027,1.886,1.886,-79.858,-55.220,-1.698
0.022,3.098,1.868,1.868,-79.864,-55.166,-1.744
0.024,3.185,1.849,1.849,-79.881,-55.101,-1.799
0.025,3.290,1.831,1.831,-79.915,-55.025,-1.862
0.026,3.412,1.812,1.812,-79.967,-54.940,-1.933
0.027,3.552,1.793,1.793,-80.036,-54.846,-2.011
0.029,3.708,1.775,1.775,-80.117,-54.744,-2.095
0.030,3.878,1.757,1.757,-80.209,-54.633,-2.187
0.031,4.061,1.741,1.741,-80.308,-54.514,-2.284
0.032,4.254,1.726,1.726,-80.411,-54.388,-2.387
0.033,4.455,1.714,1.714,-80.516,-54.255,-2.496
0.035,4.663,1.705,1.705,-80.619,-54.115,-2.609
0.036,4.875,1.701,1.701,-80.717,-53.969,-2.728
0.037,5.091,1.701,1.701,-80.808,-53.816,-2.851
0.038,5.308,1.708,1.708,-80.890,-53.659,-2.976
0.040,5.522,1.722,1.722,-80.962,-53.502,-3.103
0.041,5.731,1.743,1.743,-81.026,-53.347,-3.228
0.042,5.930,1.771,1.771,-81.082,-53.199,-3.349
0.043,6.116,1.805,1.805,-81.130,-53.062,-3.464
0.045,6.284,1.840,1.840,-81.169,-52.937,-3.570
0.046,6.431,1.875,1.875,-81.200,-52.830,-3.665
0.047,6.552,1.907,1.907,-81.224,-52.744,-3.747
0.048,6.645,1.934,1.934,-81.241,-52.682,-3.813
0.050,6.705,1.953,1.953,-81.251,-52.647,-3.862
0.051,6.739,1.960,1.960,-81.255,-52.638,-3.894
0.052,6.763,1.957,1.957,-81.256,-52.649,-3.916
0.053,6.793,1.945,1.945,-81.256,-52.675,-3.930
0.055,6.830,1.928,1.928,-81.258,-52.710,-3.943
0.056,6.871,1.908,1.908,-81.264,-52.748,-3.957
0.057,6.916,1.890,1.890,-81.277,-52.784,-3.979
0.058,6.965,1.877,1.877,-81.298,-52.813,-4.012
0.059,7.026,1.871,1.871,-81.331,-52.829,-4.062
0.061,7.111,1.876,1.876,-81.378,-52.827,-4.132
0.062,7.227,1.894,1.894,-81.441,-52.801,-4.226
0.063,7.374,1.922,1.922,-81.517,-52.755,-4.344
0.064,7.547,1.957,1.957,-81.603,-52.694,-4.481
0.066,7.736,1.994,1.994,-81.694,-52.625,-4.632
0.067,7.937,2.030,2.030,-81.788,-52.553,-4.794
0.068,8.140,2.062,2.062,-81.879,-52.485,-4.962
0.069,8.339,2.085,2.085,-81.964,-52.426,-5.132
0.071,8.529,2.096,2.096,-82.039,-52.382,-5.301
0.072,8.705,2.093,2.093,-82.100,-52.360,-5.464
0.073,8.864,2.077,2.077,-82.143,-52.364,-5.617
0.074,9.010,2.053,2.053,-82.165,-52.400,-5.757
0.076,9.150,2.022,2.022,-82.169,-52.464,-5.882
0.077,9.292,1.989,1.989,-82.157,-52.549,-5.995
0.078,9.435,1.957,1.957,-82.133,-52.649,-6.094
0.079,9.578,1.930,1.930,-82.101,-52.759,-6.181
0.081,9.718,1.911,1.911,-82.065,-52.871,-6.256
0.082,9.850,1.903,1.903,-82.026,-52.980,-6.319
0.083,9.968,1.904,1.904,-81.990,-53.079,-6.372
0.084,10.067,1.911,1.911,-81.960,-53.163,-6.414
0.086,10.140,1.921,1.921,-81.938,-53.225,-6.446
0.087,10.184,1.931,1.931,-81.928,-53.262,-6.468
0.088,10.208,1.937,1.937,-81.928,-53.280,-6.485
0.089,10.224,1.936,1.936,-81.938,-53.284,-6.497
0.090,10.244,1.924,1.924,-81.955,-53.282,-6.508
0.092,10.271,1.899,1.899,-81.978,-53.280,-6.521
