"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.495,1.495,-45.534,115.057,168.056
0.001,0.047,1.466,1.466,-45.491,115.057,168.037
0.003,0.092,1.440,1.440,-45.450,115.056,168.019
0.004,0.133,1.416,1.416,-45.412,115.056,168.004
0.006,0.168,1.397,1.397,-45.379,115.054,167.992
0.007,0.196,1.383,1.383,-45.352,115.052,167.984
0.009,0.215,1.377,1.377,-45.333,115.049,167.981
0.010,0.226,1.379,1.379,-45.324,115.045,167.986
0.012,0.240,1.391,1.391,-45.326,115.040,167.998
0.013,0.266,1.413,1.413,-45.341,115.033,168.019
0.015,0.310,1.444,1.444,-45.370,115.024,168.050
0.016,0.372,1.484,1.484,-45.415,115.013,168.092
0.018,0.455,1.533,1.533,-45.477,115.000,168.145
0.019,0.555,1.591,1.591,-45.553,114.986,168.208
0.021,0.669,1.657,1.657,-45.641,114.969,168.278
0.022,0.792,1.730,1.730,-45.738,114.952,168.353
0.024,0.921,1.808,1.808,-45.840,114.934,168.431
0.025,1.053,1.887,1.887,-45.945,114.916,168.508
0.027,1.183,1.965,1.965,-46.049,114.897,168.583
0.028,1.308,2.040,2.040,-46.151,114.878,168.653
0.030,1.423,2.108,2.108,-46.246,114.860,168.715
0.031,1.526,2.167,2.167,-46.333,114.843,168.768
0.033,1.613,2.217,2.216,-46.407,114.827,168.809
0.034,1.681,2.258,2.257,-46.468,114.812,168.837
0.036,1.734,2.291,2.290,-46.516,114.799,168.853
0.037,1.774,2.317,2.316,-46.553,114.785,168.860
0.039,1.804,2.336,2.335,-46.580,114.771,168.862
0.040,1.829,2.349,2.349,-46.599,114.756,168.860
0.042,1.850,2.356,2.357,-46.612,114.739,168.857
0.043,1.870,2.359,2.361,-46.621,114.721,168.855
0.045,1.892,2.359,2.361,-46.626,114.700,168.858
0.046,1.919,2.356,2.358,-46.629,114.675,168.869
0.048,1.954,2.351,2.353,-46.633,114.647,168.888
0.049,2.000,2.345,2.346,-46.638,114.614,168.921
0.051,2.059,2.340,2.339,-46.646,114.577,168.967
0.052,2.132,2.335,2.332,-46.655,114.536,169.026
0.054,2.216,2.332,2.326,-46.664,114.493,169.097
0.055,2.310,2.331,2.323,-46.672,114.447,169.179
0.057,2.414,2.332,2.323,-46.676,114.400,169.271
0.058,2.525,2.337,2.329,-46.677,114.353,169.372
0.060,2.642,2.345,2.342,-46.671,114.308,169.480
0.061,2.765,2.358,2.362,-46.659,114.263,169.594
0.063,2.893,2.375,2.390,-46.637,114.222,169.714
0.064,3.026,2.395,2.424,-46.606,114.184,169.837
0.066,3.163,2.420,2.461,-46.563,114.151,169.963
0.067,3.305,2.448,2.501,-46.509,114.123,170.091
0.069,3.450,2.478,2.540,-46.445,114.100,170.218
0.070,3.596,2.512,2.578,-46.374,114.081,170.345
0.072,3.741,2.548,2.612,-46.299,114.066,170.469
0.073,3.884,2.586,2.641,-46.222,114.054,170.588
0.075,4.020,2.623,2.667,-46.147,114.045,170.702
0.076,4.149,2.657,2.690,-46.075,114.038,170.808
0.078,4.267,2.689,2.708,-46.010,114.034,170.906
0.079,4.371,2.714,2.722,-45.954,114.031,170.994
0.081,4.459,2.733,2.733,-45.909,114.028,171.070
0.082,4.529,2.744,2.741,-45.879,114.027,171.133
0.084,4.581,2.748,2.745,-45.865,114.025,171.183
0.085,4.620,2.747,2.747,-45.864,114.024,171.221
0.087,4.651,2.740,2.746,-45.875,114.025,171.251
0.088,4.681,2.731,2.743,-45.896,114.028,171.273
0.090,4.715,2.720,2.739,-45.925,114.033,171.290
0.091,4.754,2.709,2.733,-45.959,114.041,171.305
0.093,4.796,2.699,2.727,-45.997,114.053,171.319
0.094,4.842,2.689,2.720,-46.037,114.069,171.335
0.096,4.890,2.680,2.713,-46.076,114.090,171.355
0.097,4.943,2.672,2.704,-46.113,114.116,171.381
0.099,4.999,2.664,2.695,-46.146,114.147,171.415
0.100,5.063,2.656,2.686,-46.173,114.185,171.459
0.102,5.135,2.650,2.676,-46.196,114.227,171.512
0.103,5.215,2.642,2.665,-46.216,114.272,171.575
0.105,5.303,2.633,2.651,-46.233,114.319,171.648
0.106,5.399,2.621,2.634,-46.250,114.366,171.730
0.108,5.503,2.603,2.612,-46.267,114.413,171.821
0.109,5.614,2.579,2.583,-46.285,114.457,171.921
0.111,5.733,2.547,2.548,-46.305,114.498,172.031
0.112,5.859,2.506,2.504,-46.329,114.534,172.149
0.114,5.993,2.456,2.452,-46.358,114.564,172.276
0.115,6.135,2.401,2.397,-46.393,114.586,172.413
0.117,6.286,2.344,2.339,-46.434,114.600,172.557
0.118,6.443,2.286,2.283,-46.480,114.607,172.708
0.120,6.606,2.231,2.229,-46.530,114.606,172.863
0.121,6.773,2.181,2.181,-46.583,114.597,173.021
0.123,6.942,2.138,2.140,-46.638,114.582,173.180
0.124,7.111,2.101,2.106,-46.694,114.561,173.338
0.126,7.279,2.069,2.077,-46.749,114.533,173.493
0.127,7.442,2.042,2.050,-46.803,114.500,173.645
0.129,7.601,2.017,2.025,-46.855,114.462,173.790
0.130,7.753,1.994,1.998,-46.903,114.419,173.927
0.132,7.896,1.972,1.969,-46.946,114.371,174.054
0.133,8.029,1.949,1.937,-46.985,114.320,174.171
0.135,8.153,1.927,1.903,-47.019,114.267,174.277
0.136,8.267,1.905,1.867,-47.050,114.213,174.373
0.138,8.371,1.883,1.830,-47.077,114.160,174.459
0.139,8.466,1.863,1.795,-47.103,114.110,174.535
0.141,8.551,1.845,1.761,-47.128,114.063,174.602
0.142,8.625,1.828,1.729,-47.151,114.022,174.659
0.144,8.688,1.813,1.701,-47.175,113.989,174.706
0.145,8.740,1.800,1.678,-47.200,113.964,174.745
0.147,8.782,1.789,1.659,-47.227,113.949,174.774
0.148,8.818,1.778,1.645,-47.256,113.946,174.795
0.150,8.854,1.770,1.637,-47.288,113.954,174.809
0.151,8.895,1.762,1.635,-47.325,113.971,174.815
0.153,8.942,1.755,1.640,-47.366,113.993,174.817
0.154,8.995,1.748,1.650,-47.413,114.017,174.816
0.156,9.055,1.740,1.662,-47.467,114.042,174.813
0.157,9.120,1.729,1.673,-47.529,114.063,174.810
0.159,9.192,1.715,1.680,-47.600,114.078,174.809
0.160,9.273,1.695,1.680,-47.680,114.084,174.810
0.162,9.364,1.670,1.671,-47.771,114.078,174.815
0.163,9.469,1.638,1.650,-47.873,114.057,174.827
0.165,9.591,1.602,1.622,-47.987,114.018,174.846
0.166,9.730,1.564,1.589,-48.113,113.963,174.873
0.168,9.885,1.527,1.556,-48.247,113.896,174.907
0.169,10.049,1.494,1.527,-48.388,113.822,174.948
0.171,10.219,1.466,1.505,-48.533,113.745,174.995
0.172,10.391,1.448,1.496,-48.678,113.672,175.047
0.174,10.559,1.439,1.499,-48.823,113.605,175.105
0.175,10.722,1.436,1.511,-48.963,113.551,175.166
0.177,10.874,1.436,1.528,-49.096,113.514,175.231
0.178,11.017,1.434,1.544,-49.221,113.500,175.298
0.180,11.150,1.428,1.556,-49.333,113.512,175.368
