"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.056,1.056,-79.104,-58.015,-3.582
0.001,0.263,1.105,1.105,-79.102,-58.270,-3.513
0.003,0.523,1.154,1.154,-79.099,-58.519,-3.441
0.004,0.775,1.203,1.203,-79.094,-58.759,-3.363
0.005,1.017,1.252,1.252,-79.085,-58.985,-3.277
0.007,1.246,1.300,1.300,-79.072,-59.192,-3.180
0.008,1.461,1.349,1.349,-79.053,-59.375,-3.070
0.009,1.663,1.398,1.398,-79.026,-59.531,-2.943
0.010,1.857,1.447,1.447,-78.992,-59.653,-2.797
0.012,2.049,1.495,1.495,-78.949,-59.738,-2.630
0.013,2.252,1.542,1.542,-78.895,-59.782,-2.440
0.014,2.468,1.588,1.588,-78.834,-59.790,-2.232
0.016,2.696,1.632,1.632,-78.767,-59.768,-2.016
0.017,2.929,1.673,1.673,-78.697,-59.724,-1.798
0.018,3.161,1.711,1.711,-78.626,-59.663,-1.586
0.020,3.382,1.745,1.745,-78.557,-59.591,-1.388
0.021,3.584,1.774,1.774,-78.493,-59.517,-1.211
0.022,3.758,1.799,1.799,-78.436,-59.445,-1.064
0.023,3.894,1.820,1.820,-78.389,-59.382,-0.953
0.025,3.986,1.837,1.837,-78.352,-59.333,-0.884
0.026,4.043,1.851,1.851,-78.326,-59.296,-0.849
0.027,4.081,1.863,1.863,-78.308,-59.265,-0.838
0.029,4.112,1.872,1.872,-78.296,-59.236,-0.841
0.030,4.146,1.881,1.881,-78.289,-59.203,-0.846
0.031,4.187,1.888,1.888,-78.284,-59.162,-0.842
0.033,4.246,1.897,1.897,-78.279,-59.108,-0.821
0.034,4.334,1.910,1.910,-78.273,-59.037,-0.770
0.035,4.465,1.929,1.929,-78.263,-58.942,-0.679
0.037,4.649,1.956,1.956,-78.249,-58.822,-0.541
0.038,4.876,1.995,1.995,-78.231,-58.681,-0.363
0.039,5.135,2.047,2.047,-78.211,-58.525,-0.158
0.040,5.412,2.115,2.115,-78.192,-58.361,0.064
0.042,5.693,2.200,2.200,-78.174,-58.196,0.291
0.043,5.965,2.297,2.297,-78.161,-58.036,0.512
0.044,6.216,2.401,2.401,-78.154,-57.889,0.714
0.046,6.431,2.506,2.506,-78.154,-57.760,0.886
0.047,6.598,2.605,2.605,-78.164,-57.657,1.017
0.048,6.709,2.693,2.693,-78.185,-57.585,1.099
0.050,6.774,2.764,2.764,-78.213,-57.539,1.136
0.051,6.812,2.813,2.813,-78.242,-57.514,1.140
0.052,6.845,2.837,2.837,-78.267,-57.505,1.120
0.054,6.882,2.842,2.842,-78.282,-57.506,1.088
0.055,6.918,2.831,2.831,-78.283,-57.510,1.052
0.056,6.952,2.811,2.811,-78.265,-57.512,1.023
0.057,6.998,2.787,2.787,-78.221,-57.507,1.011
0.059,7.077,2.763,2.763,-78.146,-57.488,1.027
0.060,7.202,2.745,2.745,-78.038,-57.451,1.077
0.061,7.369,2.738,2.738,-77.901,-57.399,1.159
0.063,7.567,2.742,2.742,-77.745,-57.337,1.263
0.064,7.783,2.756,2.756,-77.578,-57.270,1.383
0.065,8.005,2.775,2.775,-77.409,-57.204,1.511
0.067,8.221,2.798,2.798,-77.245,-57.143,1.638
