"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.511,1.553,-29.701,113.952,173.719
0.001,0.029,1.518,1.552,-29.676,113.963,173.727
0.003,0.057,1.524,1.551,-29.651,113.974,173.736
0.004,0.085,1.530,1.551,-29.627,113.984,173.744
0.006,0.111,1.536,1.551,-29.603,113.994,173.751
0.007,0.137,1.542,1.551,-29.580,114.002,173.759
0.008,0.161,1.548,1.552,-29.557,114.008,173.765
0.010,0.184,1.553,1.554,-29.536,114.013,173.771
0.011,0.205,1.558,1.556,-29.516,114.015,173.776
0.013,0.225,1.563,1.559,-29.496,114.015,173.780
0.014,0.243,1.567,1.563,-29.479,114.012,173.782
0.015,0.260,1.570,1.565,-29.463,114.007,173.783
0.017,0.275,1.572,1.568,-29.449,114.000,173.784
0.018,0.288,1.571,1.569,-29.439,113.993,173.784
0.020,0.296,1.569,1.568,-29.432,113.988,173.784
0.021,0.298,1.564,1.565,-29.429,113.987,173.784
0.022,0.304,1.557,1.561,-29.432,113.992,173.786
0.024,0.317,1.548,1.553,-29.441,114.002,173.788
0.025,0.342,1.537,1.543,-29.456,114.022,173.792
0.027,0.379,1.524,1.531,-29.478,114.051,173.798
0.028,0.430,1.509,1.515,-29.508,114.091,173.806
0.029,0.495,1.494,1.497,-29.546,114.143,173.816
0.031,0.572,1.477,1.475,-29.592,114.203,173.828
0.032,0.658,1.459,1.451,-29.647,114.268,173.841
0.034,0.750,1.440,1.425,-29.709,114.335,173.853
0.035,0.848,1.421,1.400,-29.779,114.402,173.864
0.036,0.948,1.401,1.378,-29.858,114.464,173.873
0.038,1.051,1.381,1.359,-29.943,114.519,173.880
0.039,1.154,1.360,1.346,-30.037,114.565,173.882
0.041,1.260,1.339,1.341,-30.138,114.597,173.880
0.042,1.370,1.319,1.343,-30.246,114.613,173.873
0.043,1.486,1.299,1.352,-30.361,114.614,173.860
0.045,1.607,1.280,1.364,-30.481,114.605,173.843
0.046,1.734,1.262,1.377,-30.605,114.590,173.823
0.047,1.864,1.247,1.388,-30.731,114.572,173.799
0.049,1.994,1.235,1.395,-30.859,114.557,173.774
0.050,2.124,1.226,1.395,-30.985,114.548,173.747
0.052,2.252,1.221,1.385,-31.110,114.550,173.721
0.053,2.378,1.220,1.368,-31.232,114.568,173.694
0.054,2.503,1.223,1.346,-31.349,114.605,173.669
0.056,2.632,1.229,1.323,-31.460,114.666,173.646
0.057,2.767,1.238,1.301,-31.566,114.748,173.624
0.059,2.910,1.249,1.283,-31.667,114.846,173.600
0.060,3.060,1.264,1.272,-31.766,114.954,173.573
0.061,3.213,1.280,1.271,-31.863,115.069,173.539
0.063,3.370,1.299,1.279,-31.960,115.184,173.498
0.064,3.526,1.317,1.294,-32.058,115.295,173.446
0.066,3.682,1.334,1.312,-32.159,115.396,173.382
0.067,3.839,1.348,1.331,-32.263,115.482,173.303
0.068,3.999,1.359,1.349,-32.372,115.549,173.207
0.070,4.166,1.364,1.361,-32.486,115.592,173.093
0.071,4.342,1.363,1.365,-32.602,115.617,172.963
0.073,4.526,1.356,1.361,-32.717,115.631,172.820
0.074,4.714,1.345,1.351,-32.826,115.641,172.668
0.075,4.901,1.333,1.339,-32.926,115.654,172.509
0.077,5.085,1.323,1.328,-33.011,115.676,172.348
0.078,5.264,1.318,1.321,-33.079,115.716,172.187
0.080,5.440,1.319,1.321,-33.125,115.780,172.030
0.081,5.619,1.331,1.331,-33.145,115.875,171.880
0.082,5.812,1.354,1.353,-33.134,116.009,171.740
0.084,6.032,1.388,1.386,-33.093,116.184,171.613
0.085,6.280,1.431,1.429,-33.024,116.393,171.499
0.087,6.551,1.481,1.480,-32.935,116.627,171.397
0.088,6.838,1.538,1.537,-32.830,116.879,171.307
0.089,7.132,1.600,1.600,-32.717,117.138,171.229
0.091,7.423,1.666,1.666,-32.600,117.397,171.162
0.092,7.703,1.733,1.734,-32.486,117.647,171.106
0.094,7.962,1.802,1.802,-32.381,117.878,171.060
0.095,8.188,1.869,1.870,-32.290,118.082,171.024
0.096,8.373,1.934,1.935,-32.218,118.251,170.999
0.098,8.513,1.996,1.996,-32.170,118.381,170.981
0.099,8.615,2.052,2.052,-32.141,118.478,170.971
0.101,8.686,2.101,2.101,-32.128,118.548,170.965
0.102,8.735,2.141,2.141,-32.129,118.597,170.960
0.103,8.770,2.175,2.175,-32.139,118.630,170.956
0.105,8.801,2.203,2.203,-32.156,118.655,170.950
0.106,8.832,2.229,2.229,-32.176,118.676,170.939
0.108,8.868,2.255,2.255,-32.196,118.700,170.922
0.109,8.913,2.283,2.283,-32.213,118.733,170.896
0.110,8.975,2.315,2.315,-32.223,118.781,170.859
0.112,9.055,2.355,2.355,-32.226,118.845,170.810
0.113,9.150,2.401,2.401,-32.222,118.921,170.752
0.115,9.258,2.452,2.452,-32.214,119.005,170.685
0.116,9.374,2.507,2.507,-32.201,119.093,170.612
0.117,9.494,2.562,2.562,-32.186,119.182,170.532
0.119,9.615,2.616,2.616,-32.169,119.268,170.448
0.120,9.734,2.668,2.668,-32.151,119.347,170.361
0.122,9.846,2.713,2.713,-32.135,119.414,170.273
0.123,9.951,2.753,2.753,-32.121,119.468,170.184
0.124,10.045,2.786,2.786,-32.110,119.503,170.097
0.126,10.133,2.814,2.814,-32.101,119.521,170.012
0.127,10.216,2.837,2.837,-32.095,119.524,169.929
0.128,10.296,2.855,2.855,-32.089,119.517,169.850
0.130,10.373,2.870,2.870,-32.084,119.503,169.774
0.131,10.447,2.882,2.882,-32.078,119.483,169.703
0.133,10.517,2.891,2.891,-32.071,119.463,169.637
0.134,10.581,2.899,2.899,-32.061,119.444,169.576
0.135,10.639,2.904,2.904,-32.047,119.429,169.522
0.137,10.690,2.907,2.907,-32.029,119.424,169.474
0.138,10.737,2.908,2.908,-32.005,119.428,169.434
0.140,10.785,2.908,2.908,-31.975,119.443,169.399
0.141,10.838,2.906,2.906,-31.939,119.467,169.370
0.142,10.897,2.902,2.902,-31.895,119.499,169.346
0.144,10.966,2.897,2.897,-31.842,119.537,169.324
0.145,11.044,2.891,2.891,-31.780,119.580,169.304
0.147,11.132,2.883,2.883,-31.708,119.627,169.284
0.148,11.231,2.874,2.874,-31.625,119.676,169.264
0.149,11.340,2.864,2.864,-31.531,119.726,169.243
0.151,11.460,2.852,2.852,-31.424,119.776,169.219
0.152,11.592,2.839,2.839,-31.305,119.825,169.191
0.154,11.733,2.825,2.825,-31.175,119.872,169.160
0.155,11.881,2.811,2.811,-31.039,119.918,169.125
