"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.077,1.077,99.990,-51.377,0.897
0.002,0.035,1.085,1.085,100.000,-51.359,0.925
0.004,0.070,1.094,1.094,100.009,-51.341,0.953
0.006,0.104,1.102,1.102,100.018,-51.324,0.981
0.008,0.137,1.111,1.111,100.026,-51.308,1.009
0.010,0.169,1.121,1.121,100.033,-51.293,1.037
0.012,0.200,1.131,1.131,100.038,-51.281,1.065
0.015,0.231,1.141,1.141,100.042,-51.271,1.094
0.017,0.260,1.150,1.150,100.044,-51.263,1.122
0.019,0.289,1.159,1.159,100.043,-51.260,1.150
0.021,0.317,1.166,1.166,100.039,-51.259,1.179
0.023,0.347,1.171,1.171,100.033,-51.263,1.208
0.025,0.378,1.176,1.176,100.023,-51.271,1.237
0.027,0.413,1.181,1.181,100.010,-51.284,1.266
0.029,0.451,1.186,1.186,99.994,-51.302,1.295
0.031,0.493,1.192,1.192,99.974,-51.324,1.324
0.033,0.538,1.200,1.200,99.951,-51.349,1.354
0.035,0.587,1.210,1.210,99.926,-51.378,1.384
0.037,0.638,1.223,1.223,99.899,-51.410,1.415
0.039,0.692,1.238,1.238,99.870,-51.443,1.446
0.041,0.748,1.257,1.257,99.839,-51.477,1.477
0.044,0.805,1.278,1.278,99.808,-51.512,1.509
0.046,0.863,1.299,1.299,99.775,-51.547,1.542
0.048,0.920,1.317,1.317,99.743,-51.581,1.576
0.050,0.978,1.330,1.330,99.711,-51.614,1.610
0.052,1.035,1.336,1.336,99.679,-51.645,1.645
0.054,1.090,1.334,1.334,99.648,-51.674,1.681
0.056,1.145,1.328,1.328,99.617,-51.701,1.717
0.058,1.199,1.319,1.319,99.586,-51.727,1.752
0.060,1.252,1.310,1.310,99.555,-51.755,1.786
0.062,1.305,1.303,1.303,99.523,-51.785,1.816
0.064,1.359,1.302,1.302,99.490,-51.818,1.842
0.066,1.416,1.308,1.308,99.454,-51.857,1.863
0.068,1.477,1.325,1.325,99.415,-51.903,1.878
0.071,1.546,1.355,1.355,99.374,-51.956,1.885
0.073,1.623,1.401,1.401,99.328,-52.019,1.884
0.075,1.712,1.458,1.458,99.279,-52.092,1.873
0.077,1.816,1.518,1.518,99.224,-52.178,1.852
0.079,1.937,1.575,1.575,99.164,-52.277,1.819
0.081,2.076,1.622,1.622,99.098,-52.391,1.773
0.083,2.232,1.655,1.655,99.027,-52.517,1.716
0.085,2.401,1.681,1.681,98.951,-52.652,1.648
0.087,2.581,1.708,1.708,98.871,-52.794,1.571
0.089,2.769,1.744,1.744,98.788,-52.940,1.487
0.091,2.962,1.799,1.799,98.701,-53.086,1.396
0.093,3.157,1.876,1.876,98.612,-53.231,1.300
0.095,3.351,1.965,1.965,98.522,-53.370,1.200
0.098,3.541,2.057,2.057,98.430,-53.501,1.097
0.100,3.725,2.139,2.139,98.338,-53.622,0.993
0.102,3.900,2.202,2.202,98.246,-53.729,0.890
0.104,4.064,2.242,2.242,98.155,-53.820,0.787
0.106,4.216,2.267,2.267,98.065,-53.891,0.687
0.108,4.356,2.286,2.286,97.977,-53.942,0.591
0.110,4.485,2.306,2.306,97.891,-53.976,0.501
0.112,4.605,2.338,2.338,97.806,-53.996,0.419
0.114,4.717,2.383,2.383,97.722,-54.007,0.346
0.116,4.820,2.436,2.436,97.639,-54.011,0.285
0.118,4.915,2.492,2.492,97.557,-54.012,0.236
0.120,5.003,2.544,2.544,97.476,-54.014,0.203
0.122,5.086,2.588,2.588,97.395,-54.020,0.186
0.124,5.167,2.620,2.620,97.315,-54.035,0.188
0.127,5.255,2.638,2.638,97.235,-54.060,0.210
0.129,5.355,2.641,2.641,97.154,-54.101,0.254
0.131,5.476,2.627,2.627,97.074,-54.160,0.322
0.133,5.623,2.594,2.594,96.993,-54.241,0.415
0.135,5.799,2.546,2.546,96.912,-54.344,0.532
0.137,5.999,2.488,2.488,96.831,-54.463,0.670
0.139,6.217,2.426,2.426,96.751,-54.597,0.824
0.141,6.449,2.367,2.367,96.674,-54.740,0.990
0.143,6.690,2.315,2.315,96.598,-54.889,1.163
0.145,6.934,2.273,2.273,96.526,-55.039,1.341
0.147,7.176,2.242,2.242,96.457,-55.188,1.519
0.149,7.410,2.225,2.225,96.392,-55.331,1.693
0.151,7.631,2.223,2.223,96.333,-55.464,1.859
0.154,7.833,2.235,2.235,96.278,-55.584,2.012
0.156,8.011,2.258,2.258,96.230,-55.686,2.150
0.158,8.159,2.286,2.286,96.189,-55.766,2.267
0.160,8.274,2.313,2.313,96.154,-55.822,2.361
0.162,8.359,2.333,2.333,96.128,-55.856,2.433
0.164,8.418,2.341,2.341,96.109,-55.873,2.488
0.166,8.460,2.342,2.342,96.097,-55.876,2.527
0.168,8.489,2.337,2.337,96.094,-55.870,2.555
0.170,8.512,2.330,2.330,96.098,-55.859,2.576
0.172,8.536,2.326,2.326,96.111,-55.847,2.591
0.174,8.562,2.323,2.323,96.132,-55.839,2.606
0.176,8.596,2.319,2.319,96.162,-55.838,2.622
0.178,8.642,2.308,2.308,96.199,-55.850,2.645
0.180,8.704,2.285,2.285,96.246,-55.877,2.676
0.183,8.789,2.244,2.244,96.302,-55.925,2.719
0.185,8.903,2.185,2.185,96.366,-55.998,2.779
0.187,9.048,2.115,2.115,96.439,-56.097,2.855
0.189,9.220,2.040,2.040,96.518,-56.219,2.947
0.191,9.413,1.967,1.967,96.601,-56.360,3.050
0.193,9.623,1.903,1.903,96.687,-56.515,3.162
0.195,9.844,1.852,1.852,96.773,-56.680,3.280
0.197,10.070,1.817,1.817,96.857,-56.852,3.401
0.199,10.296,1.798,1.798,96.937,-57.026,3.522
0.201,10.516,1.797,1.797,97.011,-57.197,3.639
0.203,10.726,1.817,1.817,97.076,-57.361,3.751
0.205,10.919,1.853,1.853,97.131,-57.515,3.853
0.207,11.089,1.896,1.896,97.174,-57.654,3.943
0.210,11.233,1.938,1.938,97.202,-57.774,4.018
0.212,11.346,1.969,1.969,97.213,-57.871,4.075
0.214,11.429,1.983,1.983,97.209,-57.944,4.113
0.216,11.488,1.981,1.981,97.193,-57.996,4.137
0.218,11.532,1.971,1.971,97.170,-58.031,4.147
0.220,11.566,1.959,1.959,97.144,-58.052,4.147
0.222,11.594,1.951,1.951,97.118,-58.062,4.140
0.224,11.619,1.954,1.954,97.096,-58.064,4.128
0.226,11.638,1.965,1.965,97.083,-58.062,4.114
0.228,11.653,1.977,1.977,97.083,-58.057,4.100
0.230,11.673,1.985,1.985,97.100,-58.055,4.090
0.232,11.710,1.982,1.982,97.138,-58.057,4.085
0.234,11.774,1.964,1.964,97.200,-58.067,4.089
0.237,11.869,1.934,1.934,97.291,-58.088,4.104
