"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.088,1.088,100.127,-51.623,0.882
0.004,0.049,1.101,1.101,100.136,-51.603,0.925
0.007,0.097,1.114,1.114,100.145,-51.583,0.968
0.011,0.144,1.127,1.127,100.153,-51.564,1.011
0.015,0.191,1.141,1.141,100.160,-51.547,1.053
0.018,0.235,1.155,1.155,100.165,-51.532,1.095
0.022,0.277,1.170,1.170,100.168,-51.521,1.135
0.025,0.318,1.184,1.184,100.168,-51.513,1.175
0.029,0.357,1.197,1.197,100.165,-51.509,1.214
0.033,0.395,1.207,1.207,100.159,-51.511,1.252
0.036,0.433,1.214,1.214,100.149,-51.518,1.288
0.040,0.473,1.219,1.219,100.135,-51.531,1.323
0.044,0.516,1.223,1.223,100.116,-51.550,1.356
0.047,0.563,1.228,1.228,100.093,-51.575,1.389
0.051,0.614,1.236,1.236,100.067,-51.604,1.422
0.055,0.669,1.249,1.249,100.038,-51.637,1.455
0.058,0.729,1.267,1.267,100.005,-51.673,1.488
0.062,0.792,1.293,1.293,99.970,-51.713,1.524
0.065,0.860,1.322,1.322,99.932,-51.755,1.561
0.069,0.931,1.347,1.347,99.893,-51.799,1.600
0.073,1.006,1.360,1.360,99.851,-51.845,1.642
0.076,1.083,1.361,1.361,99.808,-51.891,1.687
0.080,1.164,1.355,1.355,99.762,-51.939,1.734
0.084,1.248,1.349,1.349,99.715,-51.990,1.781
0.087,1.335,1.347,1.347,99.664,-52.046,1.824
0.091,1.427,1.351,1.351,99.609,-52.108,1.862
0.095,1.524,1.365,1.365,99.550,-52.179,1.892
0.098,1.629,1.401,1.401,99.486,-52.260,1.912
0.102,1.745,1.468,1.468,99.416,-52.352,1.919
0.105,1.876,1.567,1.567,99.339,-52.458,1.911
0.109,2.025,1.669,1.669,99.255,-52.578,1.885
0.113,2.196,1.745,1.745,99.164,-52.716,1.838
0.116,2.390,1.788,1.788,99.065,-52.868,1.772
0.120,2.602,1.824,1.824,98.960,-53.032,1.689
0.124,2.827,1.876,1.876,98.851,-53.204,1.591
0.127,3.062,1.949,1.949,98.740,-53.380,1.483
0.131,3.300,2.038,2.038,98.628,-53.555,1.368
0.135,3.536,2.137,2.137,98.517,-53.726,1.248
0.138,3.766,2.242,2.242,98.408,-53.888,1.126
0.142,3.984,2.348,2.348,98.303,-54.038,1.006
0.145,4.186,2.454,2.454,98.205,-54.171,0.891
0.149,4.366,2.558,2.558,98.114,-54.283,0.784
0.153,4.522,2.663,2.663,98.031,-54.373,0.688
0.156,4.656,2.761,2.761,97.957,-54.445,0.602
0.160,4.770,2.835,2.835,97.890,-54.502,0.529
0.164,4.866,2.870,2.870,97.832,-54.549,0.469
0.167,4.946,2.871,2.871,97.780,-54.589,0.422
0.171,5.013,2.863,2.863,97.736,-54.627,0.389
0.175,5.070,2.868,2.868,97.698,-54.666,0.372
0.178,5.125,2.887,2.887,97.667,-54.711,0.370
0.182,5.186,2.905,2.905,97.642,-54.765,0.385
0.185,5.264,2.912,2.912,97.623,-54.833,0.417
