"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.074,1.074,217.533,230.861,247.314
0.001,0.073,1.101,1.101,217.484,230.904,247.345
0.003,0.144,1.127,1.127,217.436,230.947,247.375
0.004,0.214,1.151,1.151,217.387,230.989,247.403
0.006,0.282,1.172,1.172,217.338,231.030,247.427
0.007,0.347,1.190,1.190,217.289,231.067,247.446
0.009,0.408,1.204,1.204,217.240,231.103,247.459
0.010,0.467,1.212,1.212,217.191,231.134,247.464
0.011,0.523,1.214,1.214,217.142,231.162,247.461
0.013,0.579,1.210,1.210,217.093,231.185,247.448
0.014,0.637,1.202,1.202,217.044,231.204,247.424
0.016,0.696,1.190,1.190,216.997,231.222,247.394
0.017,0.756,1.176,1.176,216.951,231.243,247.361
0.019,0.814,1.159,1.159,216.910,231.271,247.331
0.020,0.872,1.142,1.142,216.873,231.310,247.309
0.021,0.936,1.124,1.124,216.842,231.365,247.299
0.023,1.015,1.108,1.108,216.820,231.441,247.307
0.024,1.120,1.093,1.093,216.806,231.540,247.336
0.026,1.259,1.081,1.081,216.802,231.668,247.393
0.027,1.441,1.073,1.073,216.809,231.827,247.480
0.029,1.661,1.069,1.069,216.828,232.013,247.595
0.030,1.910,1.071,1.071,216.858,232.218,247.733
0.031,2.179,1.079,1.079,216.898,232.435,247.888
0.033,2.460,1.093,1.093,216.947,232.656,248.055
0.034,2.744,1.113,1.113,217.006,232.872,248.228
0.036,3.022,1.139,1.139,217.074,233.078,248.403
0.037,3.286,1.169,1.169,217.151,233.264,248.575
0.039,3.528,1.204,1.204,217.235,233.423,248.736
0.040,3.743,1.243,1.243,217.326,233.548,248.884
0.041,3.931,1.286,1.286,217.423,233.640,249.017
0.043,4.097,1.330,1.330,217.522,233.701,249.135
0.044,4.246,1.373,1.373,217.620,233.736,249.242
0.046,4.380,1.412,1.412,217.715,233.748,249.336
0.047,4.503,1.445,1.445,217.803,233.740,249.421
0.049,4.615,1.469,1.469,217.883,233.716,249.496
0.050,4.717,1.481,1.481,217.950,233.679,249.564
0.052,4.809,1.480,1.480,218.002,233.633,249.624
0.053,4.892,1.467,1.467,218.036,233.581,249.679
0.054,4.965,1.444,1.444,218.054,233.528,249.727
0.056,5.027,1.415,1.415,218.060,233.480,249.765
0.057,5.074,1.382,1.382,218.056,233.442,249.792
0.059,5.102,1.351,1.351,218.047,233.419,249.806
0.060,5.114,1.322,1.322,218.036,233.417,249.804
0.062,5.147,1.301,1.301,218.027,233.441,249.783
0.063,5.217,1.287,1.287,218.023,233.497,249.742
0.064,5.330,1.280,1.280,218.027,233.590,249.678
0.066,5.492,1.280,1.280,218.045,233.725,249.590
0.067,5.700,1.287,1.287,218.074,233.899,249.479
0.069,5.942,1.300,1.300,218.112,234.101,249.351
0.070,6.206,1.319,1.319,218.158,234.321,249.213
0.072,6.481,1.343,1.343,218.207,234.550,249.070
0.073,6.754,1.372,1.372,218.258,234.778,248.927
0.074,7.014,1.403,1.403,218.307,234.993,248.791
0.076,7.248,1.435,1.435,218.352,235.187,248.667
0.077,7.445,1.467,1.467,218.390,235.349,248.561
0.079,7.593,1.495,1.495,218.418,235.469,248.478
0.080,7.692,1.519,1.519,218.437,235.547,248.421
0.082,7.748,1.538,1.538,218.447,235.588,248.385
0.083,7.769,1.549,1.549,218.453,235.600,248.369
0.084,7.780,1.555,1.555,218.455,235.589,248.368
0.086,7.809,1.554,1.554,218.455,235.563,248.380
0.087,7.851,1.548,1.548,218.457,235.527,248.402
0.089,7.899,1.537,1.537,218.462,235.489,248.432
0.090,7.948,1.521,1.521,218.473,235.455,248.465
0.092,7.993,1.501,1.501,218.491,235.432,248.499
0.093,8.035,1.477,1.477,218.517,235.423,248.530
0.094,8.076,1.450,1.450,218.551,235.426,248.553
0.096,8.120,1.420,1.420,218.593,235.438,248.563
0.097,8.172,1.389,1.389,218.640,235.457,248.554
