"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.883,0.883,244.300,205.934,196.461
0.001,0.213,1.020,1.020,244.479,205.906,196.350
0.002,0.422,1.155,1.155,244.654,205.880,196.239
0.004,0.624,1.285,1.285,244.825,205.860,196.132
0.005,0.815,1.408,1.408,244.987,205.847,196.031
0.006,0.994,1.523,1.523,245.138,205.844,195.936
0.007,1.157,1.626,1.626,245.275,205.855,195.849
0.008,1.302,1.716,1.716,245.396,205.880,195.773
0.010,1.430,1.790,1.790,245.498,205.924,195.708
0.011,1.545,1.847,1.847,245.578,205.988,195.657
0.012,1.653,1.887,1.887,245.637,206.069,195.618
0.013,1.758,1.915,1.915,245.679,206.161,195.587
0.014,1.861,1.933,1.933,245.707,206.257,195.562
0.016,1.958,1.946,1.946,245.726,206.349,195.537
0.017,2.045,1.957,1.957,245.738,206.430,195.510
0.018,2.117,1.970,1.970,245.748,206.494,195.477
0.019,2.177,1.989,1.989,245.759,206.533,195.434
0.021,2.236,2.017,2.017,245.776,206.540,195.377
0.022,2.318,2.055,2.055,245.800,206.511,195.305
0.023,2.428,2.101,2.101,245.831,206.450,195.219
0.024,2.561,2.153,2.153,245.868,206.365,195.123
0.025,2.714,2.205,2.205,245.909,206.259,195.021
0.027,2.878,2.257,2.257,245.953,206.141,194.915
0.028,3.048,2.304,2.304,245.999,206.016,194.810
0.029,3.216,2.343,2.343,246.045,205.890,194.709
0.030,3.375,2.372,2.372,246.090,205.770,194.615
0.031,3.519,2.387,2.387,246.132,205.661,194.530
0.033,3.643,2.392,2.392,246.174,205.569,194.458
0.034,3.745,2.391,2.391,246.217,205.501,194.396
0.035,3.824,2.387,2.387,246.263,205.463,194.344
0.036,3.891,2.385,2.385,246.315,205.461,194.302
0.037,3.970,2.389,2.389,246.376,205.501,194.270
0.039,4.086,2.401,2.401,246.448,205.588,194.246
0.040,4.252,2.428,2.428,246.532,205.730,194.231
0.041,4.477,2.472,2.472,246.633,205.932,194.224
0.042,4.763,2.532,2.532,246.750,206.192,194.225
0.043,5.093,2.603,2.603,246.884,206.494,194.231
0.045,5.449,2.680,2.680,247.032,206.817,194.244
0.046,5.812,2.757,2.757,247.192,207.143,194.260
0.047,6.165,2.828,2.828,247.364,207.450,194.280
0.048,6.492,2.889,2.889,247.547,207.720,194.302
0.050,6.779,2.934,2.934,247.738,207.933,194.326
0.051,7.020,2.957,2.957,247.936,208.070,194.351
0.052,7.229,2.956,2.956,248.139,208.112,194.374
0.053,7.440,2.935,2.935,248.344,208.068,194.398
0.054,7.673,2.899,2.899,248.546,207.956,194.421
0.056,7.926,2.852,2.852,248.740,207.794,194.444
0.057,8.190,2.800,2.800,248.921,207.603,194.467
0.058,8.451,2.747,2.747,249.085,207.401,194.490
0.059,8.692,2.698,2.698,249.226,207.207,194.514
0.060,8.896,2.659,2.659,249.339,207.041,194.539
0.062,9.044,2.633,2.633,249.421,206.920,194.565
0.063,9.131,2.619,2.619,249.470,206.853,194.592
0.064,9.172,2.614,2.614,249.495,206.832,194.618
0.065,9.201,2.615,2.615,249.502,206.847,194.641
0.066,9.245,2.619,2.619,249.500,206.887,194.660
0.068,9.301,2.622,2.622,249.498,206.941,194.674
0.069,9.360,2.621,2.621,249.502,207.000,194.679
0.070,9.416,2.613,2.613,249.522,207.053,194.675
0.071,9.475,2.595,2.595,249.565,207.089,194.660
0.072,9.553,2.566,2.566,249.638,207.100,194.632
0.074,9.661,2.528,2.528,249.738,207.087,194.594
0.075,9.796,2.482,2.482,249.859,207.052,194.548
0.076,9.951,2.431,2.431,249.997,207.001,194.497
0.077,10.120,2.377,2.377,250.144,206.936,194.443
0.079,10.297,2.321,2.321,250.295,206.863,194.390
0.080,10.473,2.266,2.266,250.445,206.784,194.340
0.081,10.642,2.213,2.213,250.587,206.705,194.296
0.082,10.796,2.163,2.163,250.716,206.628,194.260
0.083,10.933,2.119,2.119,250.828,206.555,194.232
0.085,11.054,2.079,2.079,250.925,206.488,194.208
0.086,11.161,2.045,2.045,251.008,206.424,194.183
0.087,11.257,2.016,2.016,251.078,206.365,194.151
0.088,11.347,1.994,1.994,251.135,206.310,194.109
0.089,11.438,1.978,1.978,251.180,206.257,194.052
0.091,11.536,1.969,1.969,251.216,206.208,193.974
0.092,11.652,1.967,1.967,251.242,206.162,193.871
0.093,11.791,1.971,1.971,251.260,206.117,193.741
0.094,11.945,1.976,1.976,251.276,206.070,193.595
0.095,12.103,1.979,1.979,251.296,206.017,193.448
0.097,12.254,1.977,1.977,251.326,205.953,193.314
0.098,12.394,1.967,1.967,251.371,205.873,193.208
0.099,12.531,1.944,1.944,251.438,205.773,193.145
0.100,12.688,1.907,1.907,251.533,205.648,193.139
0.101,12.900,1.851,1.851,251.663,205.493,193.205
0.103,13.195,1.776,1.776,251.832,205.305,193.356
0.104,13.576,1.688,1.688,252.038,205.086,193.590
0.105,14.023,1.592,1.592,252.273,204.847,193.886
0.106,14.512,1.494,1.494,252.525,204.597,194.222
0.107,15.019,1.399,1.399,252.785,204.347,194.578
0.109,15.518,1.312,1.312,253.043,204.107,194.932
0.110,15.985,1.239,1.239,253.288,203.888,195.264
0.111,16.395,1.185,1.185,253.510,203.698,195.551
0.112,16.722,1.155,1.155,253.700,203.550,195.774
0.114,16.953,1.146,1.146,253.850,203.449,195.917
0.115,17.100,1.153,1.153,253.963,203.389,195.990
0.116,17.187,1.173,1.173,254.043,203.361,196.007
0.117,17.245,1.201,1.201,254.095,203.356,195.981
0.118,17.307,1.233,1.233,254.125,203.364,195.928
0.120,17.377,1.265,1.265,254.136,203.378,195.860
0.121,17.446,1.293,1.293,254.133,203.388,195.792
0.122,17.502,1.314,1.314,254.121,203.385,195.738
0.123,17.542,1.325,1.325,254.104,203.360,195.710
0.124,17.593,1.330,1.330,254.086,203.313,195.712
0.126,17.666,1.329,1.329,254.065,203.248,195.739
0.127,17.760,1.325,1.325,254.043,203.169,195.784
0.128,17.869,1.318,1.318,254.020,203.080,195.844
0.129,17.986,1.312,1.312,253.996,202.987,195.911
0.130,18.106,1.306,1.306,253.972,202.894,195.982
0.132,18.221,1.304,1.304,253.949,202.805,196.050
0.133,18.324,1.305,1.305,253.926,202.724,196.110
0.134,18.411,1.309,1.309,253.904,202.655,196.159
0.135,18.482,1.315,1.315,253.883,202.599,196.197
0.136,18.537,1.321,1.321,253.864,202.555,196.224
0.138,18.578,1.328,1.328,253.846,202.523,196.243
0.139,18.605,1.333,1.333,253.831,202.504,196.254
0.140,18.620,1.336,1.336,253.818,202.497,196.257
0.141,18.633,1.335,1.335,253.807,202.503,196.255
0.143,18.653,1.330,1.330,253.799,202.520,196.249
0.144,18.685,1.322,1.322,253.793,202.550,196.238
0.145,18.724,1.312,1.312,253.791,202.587,196.226
0.146,18.762,1.301,1.301,253.793,202.623,196.216
0.147,18.792,1.291,1.291,253.798,202.652,196.209
0.149,18.808,1.284,1.284,253.807,202.665,196.209
0.150,18.827,1.279,1.279,253.821,202.655,196.218
0.151,18.876,1.280,1.280,253.840,202.615,196.239
0.152,18.965,1.286,1.286,253.863,202.537,196.275
0.153,19.102,1.298,1.298,253.892,202.414,196.329
0.155,19.289,1.316,1.316,253.926,202.245,196.400
0.156,19.514,1.336,1.336,253.964,202.040,196.485
0.157,19.764,1.359,1.359,254.004,201.811,196.579
0.158,20.027,1.382,1.382,254.044,201.571,196.676
0.159,20.288,1.405,1.405,254.082,201.330,196.772
0.161,20.537,1.427,1.427,254.117,201.102,196.863
0.162,20.758,1.445,1.445,254.148,200.897,196.942
0.163,20.941,1.460,1.460,254.173,200.729,197.007
0.164,21.072,1.471,1.471,254.189,200.606,197.052
0.165,21.155,1.478,1.478,254.199,200.528,197.078
0.167,21.197,1.483,1.483,254.201,200.488,197.089
0.168,21.206,1.486,1.486,254.198,200.479,197.087
0.169,21.227,1.487,1.487,254.191,200.495,197.077
0.170,21.267,1.486,1.486,254.180,200.530,197.061
0.171,21.319,1.483,1.483,254.167,200.577,197.042
0.173,21.376,1.480,1.480,254.152,200.629,197.023
0.174,21.431,1.478,1.478,254.136,200.679,197.008
0.175,21.478,1.476,1.476,254.122,200.723,197.001
0.176,21.512,1.477,1.477,254.110,200.755,197.005
0.178,21.539,1.481,1.481,254.104,200.771,197.026
0.179,21.582,1.489,1.489,254.107,200.766,197.069
0.180,21.658,1.503,1.503,254.119,200.734,197.137
0.181,21.778,1.523,1.523,254.144,200.672,197.236
0.182,21.948,1.550,1.550,254.185,200.575,197.370
0.184,22.178,1.585,1.585,254.243,200.437,197.544
0.185,22.469,1.626,1.626,254.320,200.257,197.760
0.186,22.812,1.673,1.673,254.412,200.041,198.010
0.187,23.188,1.723,1.723,254.514,199.802,198.281
0.188,23.581,1.775,1.775,254.621,199.549,198.562
0.190,23.973,1.830,1.830,254.727,199.293,198.840
0.191,24.348,1.884,1.884,254.828,199.047,199.104
0.192,24.689,1.938,1.938,254.917,198.819,199.341
0.193,24.977,1.989,1.989,254.991,198.622,199.539
0.194,25.198,2.039,2.039,255.043,198.466,199.687
0.196,25.349,2.085,2.085,255.074,198.354,199.782
0.197,25.441,2.128,2.128,255.088,198.280,199.834
0.198,25.487,2.168,2.168,255.091,198.236,199.851
0.199,25.508,2.204,2.204,255.088,198.218,199.844
0.200,25.531,2.236,2.236,255.085,198.217,199.820
0.202,25.564,2.263,2.263,255.087,198.229,199.790
0.203,25.598,2.285,2.285,255.100,198.246,199.763
0.204,25.634,2.303,2.303,255.127,198.263,199.748
0.205,25.682,2.318,2.318,255.175,198.273,199.752
0.207,25.750,2.330,2.330,255.239,198.277,199.774
0.208,25.836,2.341,2.341,255.317,198.276,199.810
0.209,25.935,2.352,2.352,255.405,198.270,199.855
0.210,26.043,2.364,2.364,255.500,198.261,199.906
0.211,26.155,2.378,2.378,255.597,198.249,199.960
0.213,26.265,2.395,2.395,255.693,198.235,200.013
0.214,26.369,2.416,2.416,255.784,198.221,200.061
0.215,26.462,2.438,2.438,255.867,198.207,200.100
0.216,26.543,2.462,2.462,255.941,198.194,200.129
0.217,26.612,2.485,2.485,256.006,198.181,200.150
0.219,26.672,2.508,2.508,256.063,198.169,200.164
0.220,26.723,2.529,2.529,256.112,198.158,200.173
0.221,26.767,2.546,2.546,256.155,198.148,200.177
0.222,26.804,2.560,2.560,256.191,198.139,200.178
0.223,26.835,2.569,2.569,256.221,198.132,200.177
0.225,26.861,2.573,2.573,256.246,198.126,200.177
0.226,26.882,2.574,2.574,256.267,198.121,200.177
0.227,26.899,2.573,2.573,256.283,198.118,200.177
0.228,26.910,2.570,2.570,256.294,198.116,200.178
0.229,26.916,2.566,2.566,256.300,198.116,200.179
0.231,26.917,2.562,2.562,256.300,198.116,200.180
0.232,26.922,2.560,2.560,256.295,198.117,200.180
