"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.202,1.202,298.776,278.532,260.592
0.001,0.037,1.222,1.222,298.745,278.539,260.612
0.003,0.072,1.242,1.242,298.717,278.546,260.632
0.004,0.103,1.261,1.261,298.694,278.555,260.650
0.006,0.128,1.277,1.277,298.680,278.566,260.668
0.007,0.149,1.289,1.289,298.677,278.580,260.684
0.008,0.175,1.297,1.297,298.689,278.597,260.698
0.010,0.212,1.301,1.301,298.717,278.619,260.711
0.011,0.268,1.299,1.299,298.764,278.646,260.720
0.012,0.345,1.291,1.291,298.834,278.679,260.727
0.014,0.449,1.280,1.280,298.930,278.718,260.730
0.015,0.579,1.266,1.266,299.052,278.765,260.730
0.017,0.733,1.251,1.251,299.195,278.819,260.726
0.018,0.902,1.236,1.236,299.352,278.884,260.719
0.019,1.082,1.223,1.223,299.516,278.958,260.708
0.021,1.267,1.213,1.213,299.678,279.044,260.695
0.022,1.450,1.207,1.207,299.832,279.142,260.678
0.023,1.629,1.205,1.205,299.970,279.254,260.659
0.025,1.801,1.209,1.209,300.085,279.381,260.637
0.026,1.968,1.220,1.220,300.169,279.523,260.613
0.028,2.135,1.239,1.239,300.215,279.681,260.586
0.029,2.313,1.266,1.266,300.217,279.857,260.558
0.030,2.509,1.301,1.301,300.180,280.047,260.528
0.032,2.723,1.347,1.347,300.109,280.246,260.497
0.033,2.951,1.399,1.399,300.012,280.451,260.467
0.035,3.189,1.455,1.455,299.895,280.657,260.438
0.036,3.431,1.512,1.512,299.767,280.859,260.412
0.037,3.668,1.567,1.567,299.634,281.054,260.388
0.039,3.894,1.616,1.616,299.502,281.237,260.368
0.040,4.102,1.658,1.658,299.379,281.404,260.353
0.041,4.283,1.690,1.690,299.272,281.550,260.344
0.043,4.432,1.711,1.711,299.187,281.673,260.342
0.044,4.550,1.723,1.723,299.124,281.771,260.345
0.046,4.639,1.728,1.728,299.081,281.849,260.353
0.047,4.706,1.729,1.729,299.053,281.909,260.365
0.048,4.755,1.726,1.726,299.041,281.954,260.380
0.050,4.791,1.721,1.721,299.039,281.986,260.397
0.051,4.820,1.716,1.716,299.047,282.007,260.415
0.052,4.846,1.712,1.712,299.061,282.020,260.432
0.054,4.872,1.709,1.709,299.079,282.029,260.449
0.055,4.896,1.708,1.708,299.098,282.035,260.463
0.057,4.918,1.709,1.709,299.116,282.041,260.474
0.058,4.937,1.711,1.711,299.131,282.048,260.483
0.059,4.952,1.716,1.716,299.143,282.056,260.489
0.061,4.964,1.724,1.724,299.150,282.064,260.492
0.062,4.973,1.734,1.734,299.151,282.073,260.494
0.064,4.984,1.746,1.746,299.146,282.082,260.494
0.065,5.000,1.759,1.759,299.133,282.092,260.494
0.066,5.024,1.774,1.774,299.112,282.103,260.493
0.068,5.056,1.789,1.789,299.082,282.114,260.492
0.069,5.099,1.803,1.803,299.040,282.126,260.491
0.070,5.153,1.817,1.817,298.988,282.138,260.491
0.072,5.217,1.829,1.829,298.925,282.151,260.493
0.073,5.290,1.840,1.840,298.853,282.165,260.495
0.075,5.370,1.852,1.852,298.775,282.179,260.498
0.076,5.454,1.865,1.865,298.693,282.194,260.502
0.077,5.541,1.880,1.880,298.607,282.210,260.507
0.079,5.629,1.899,1.899,298.521,282.226,260.514
0.080,5.717,1.922,1.922,298.435,282.244,260.522
0.081,5.802,1.949,1.949,298.352,282.262,260.531
0.083,5.883,1.982,1.982,298.275,282.282,260.541
0.084,5.958,2.017,2.017,298.203,282.302,260.553
0.086,6.027,2.053,2.053,298.139,282.324,260.567
0.087,6.091,2.087,2.087,298.082,282.347,260.582
0.088,6.151,2.118,2.118,298.030,282.373,260.600
0.090,6.208,2.143,2.143,297.985,282.401,260.620
0.091,6.262,2.161,2.161,297.946,282.431,260.642
0.093,6.316,2.169,2.169,297.912,282.465,260.668
0.094,6.371,2.172,2.172,297.883,282.502,260.696
0.095,6.428,2.169,2.169,297.859,282.543,260.728
0.097,6.488,2.164,2.164,297.839,282.587,260.763
0.098,6.553,2.159,2.159,297.824,282.636,260.802
0.099,6.622,2.155,2.155,297.812,282.689,260.845
0.101,6.693,2.155,2.155,297.803,282.744,260.889
0.102,6.766,2.161,2.161,297.797,282.800,260.935
0.104,6.838,2.173,2.173,297.794,282.855,260.982
0.105,6.908,2.188,2.188,297.793,282.909,261.027
0.106,6.974,2.205,2.205,297.794,282.958,261.071
0.108,7.035,2.224,2.224,297.797,283.003,261.111
0.109,7.088,2.242,2.242,297.800,283.042,261.148
0.110,7.133,2.258,2.258,297.804,283.072,261.180
0.112,7.167,2.271,2.271,297.809,283.094,261.206
0.113,7.191,2.281,2.281,297.813,283.107,261.226
0.115,7.207,2.288,2.288,297.817,283.113,261.241
0.116,7.217,2.292,2.292,297.820,283.115,261.250
0.117,7.222,2.293,2.293,297.822,283.114,261.255
0.119,7.224,2.293,2.293,297.822,283.112,261.255
0.120,7.228,2.291,2.291,297.820,283.112,261.252
0.122,7.236,2.288,2.288,297.815,283.116,261.246
0.123,7.251,2.283,2.283,297.807,283.125,261.237
0.124,7.274,2.277,2.277,297.796,283.142,261.226
0.126,7.307,2.268,2.268,297.781,283.168,261.214
0.127,7.351,2.256,2.256,297.762,283.206,261.200
0.128,7.408,2.240,2.240,297.737,283.254,261.182
0.130,7.478,2.219,2.219,297.707,283.313,261.160
0.131,7.561,2.192,2.192,297.671,283.382,261.132
0.133,7.659,2.159,2.159,297.627,283.463,261.098
0.134,7.773,2.122,2.122,297.575,283.555,261.055
0.135,7.902,2.084,2.084,297.515,283.657,261.003
0.137,8.049,2.047,2.047,297.446,283.771,260.941
0.138,8.215,2.015,2.015,297.367,283.895,260.867
0.140,8.399,1.990,1.990,297.278,284.031,260.779
0.141,8.601,1.975,1.975,297.179,284.176,260.679
0.142,8.816,1.972,1.972,297.073,284.327,260.569
0.144,9.039,1.981,1.981,296.963,284.479,260.449
0.145,9.264,1.998,1.998,296.852,284.630,260.323
0.146,9.489,2.021,2.021,296.742,284.775,260.191
0.148,9.707,2.047,2.047,296.637,284.911,260.057
0.149,9.914,2.071,2.071,296.540,285.034,259.921
0.151,10.107,2.092,2.092,296.452,285.140,259.786
0.152,10.281,2.105,2.105,296.377,285.225,259.655
0.153,10.434,2.111,2.111,296.317,285.286,259.528
0.155,10.568,2.110,2.110,296.273,285.322,259.406
0.156,10.692,2.105,2.105,296.241,285.337,259.288
0.157,10.811,2.100,2.100,296.215,285.334,259.171
0.159,10.930,2.096,2.096,296.191,285.318,259.055
0.160,11.054,2.097,2.097,296.166,285.292,258.937
0.162,11.183,2.103,2.103,296.135,285.260,258.816
0.163,11.320,2.119,2.119,296.094,285.226,258.690
0.164,11.469,2.144,2.144,296.037,285.193,258.556
0.166,11.632,2.179,2.179,295.961,285.167,258.415
0.167,11.814,2.223,2.223,295.862,285.150,258.262
0.169,12.018,2.278,2.278,295.739,285.144,258.100
0.170,12.241,2.343,2.343,295.595,285.148,257.930
0.171,12.476,2.418,2.418,295.436,285.160,257.757
0.173,12.719,2.503,2.503,295.267,285.179,257.583
0.174,12.965,2.597,2.597,295.093,285.203,257.411
0.175,13.207,2.696,2.696,294.918,285.231,257.246
0.177,13.441,2.797,2.797,294.747,285.260,257.090
0.178,13.659,2.896,2.896,294.585,285.289,256.947
0.180,13.856,2.989,2.989,294.437,285.316,256.820
0.181,14.026,3.074,3.074,294.308,285.341,256.712
0.182,14.166,3.146,3.146,294.200,285.361,256.624
