"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.269,1.369,88.769,-61.670,-1.904
0.001,0.048,1.268,1.352,88.789,-61.656,-1.945
0.002,0.095,1.267,1.337,88.809,-61.642,-1.986
0.004,0.141,1.267,1.322,88.830,-61.629,-2.025
0.005,0.186,1.268,1.309,88.851,-61.616,-2.062
0.006,0.228,1.270,1.299,88.872,-61.603,-2.097
0.007,0.269,1.273,1.291,88.895,-61.591,-2.129
0.009,0.307,1.278,1.286,88.918,-61.580,-2.156
0.010,0.342,1.284,1.285,88.943,-61.570,-2.180
0.011,0.375,1.293,1.289,88.969,-61.561,-2.198
0.012,0.407,1.303,1.296,88.996,-61.554,-2.211
0.014,0.437,1.313,1.305,89.025,-61.547,-2.217
0.015,0.468,1.323,1.316,89.056,-61.542,-2.217
0.016,0.501,1.332,1.326,89.088,-61.538,-2.213
0.017,0.534,1.338,1.334,89.120,-61.532,-2.207
0.018,0.566,1.342,1.339,89.151,-61.526,-2.203
0.020,0.598,1.341,1.340,89.181,-61.516,-2.204
0.021,0.629,1.335,1.336,89.208,-61.502,-2.213
0.022,0.665,1.325,1.327,89.232,-61.483,-2.232
0.023,0.711,1.313,1.315,89.252,-61.458,-2.265
0.025,0.772,1.302,1.304,89.267,-61.425,-2.314
0.026,0.853,1.293,1.295,89.275,-61.384,-2.384
0.027,0.959,1.289,1.290,89.277,-61.333,-2.476
0.028,1.091,1.291,1.292,89.271,-61.272,-2.593
0.030,1.248,1.303,1.303,89.258,-61.201,-2.733
0.031,1.425,1.325,1.325,89.239,-61.124,-2.890
0.032,1.615,1.358,1.358,89.214,-61.041,-3.060
0.033,1.815,1.399,1.398,89.186,-60.957,-3.238
0.035,2.017,1.443,1.442,89.155,-60.872,-3.420
0.036,2.218,1.487,1.486,89.121,-60.789,-3.599
0.037,2.411,1.527,1.527,89.087,-60.710,-3.772
0.038,2.591,1.561,1.561,89.053,-60.638,-3.934
0.039,2.753,1.583,1.583,89.020,-60.574,-4.079
0.041,2.890,1.592,1.592,88.989,-60.522,-4.202
0.042,3.000,1.585,1.585,88.961,-60.483,-4.300
0.043,3.080,1.565,1.566,88.936,-60.457,-4.372
0.044,3.136,1.538,1.538,88.915,-60.442,-4.421
0.046,3.171,1.506,1.506,88.896,-60.436,-4.451
0.047,3.192,1.473,1.473,88.879,-60.438,-4.463
0.048,3.209,1.444,1.444,88.864,-60.446,-4.460
0.049,3.231,1.423,1.423,88.851,-60.458,-4.447
0.051,3.261,1.412,1.412,88.839,-60.473,-4.424
0.052,3.294,1.416,1.416,88.828,-60.488,-4.397
0.053,3.329,1.431,1.431,88.818,-60.503,-4.366
0.054,3.364,1.455,1.455,88.808,-60.515,-4.336
0.055,3.394,1.483,1.483,88.798,-60.522,-4.308
0.057,3.418,1.513,1.513,88.788,-60.525,-4.286
0.058,3.438,1.541,1.541,88.778,-60.525,-4.269
0.059,3.452,1.564,1.564,88.768,-60.523,-4.260
0.060,3.462,1.579,1.579,88.758,-60.521,-4.258
0.062,3.474,1.582,1.582,88.749,-60.520,-4.266
0.063,3.493,1.575,1.575,88.740,-60.521,-4.283
0.064,3.523,1.559,1.559,88.733,-60.525,-4.312
0.065,3.566,1.537,1.537,88.726,-60.535,-4.353
0.067,3.623,1.511,1.511,88.721,-60.551,-4.407
0.068,3.695,1.483,1.483,88.716,-60.575,-4.475
0.069,3.785,1.455,1.455,88.713,-60.608,-4.559
0.070,3.892,1.430,1.430,88.712,-60.650,-4.657
0.072,4.012,1.409,1.409,88.711,-60.700,-4.767
0.073,4.144,1.394,1.394,88.711,-60.755,-4.886
0.074,4.283,1.383,1.383,88.711,-60.814,-5.013
0.075,4.427,1.376,1.376,88.711,-60.875,-5.143
0.076,4.573,1.373,1.373,88.710,-60.936,-5.276
0.078,4.718,1.374,1.373,88.707,-60.996,-5.407
0.079,4.857,1.377,1.377,88.703,-61.053,-5.534
0.080,4.990,1.382,1.382,88.697,-61.105,-5.656
0.081,5.111,1.389,1.389,88.689,-61.151,-5.768
0.083,5.220,1.398,1.398,88.677,-61.189,-5.870
0.084,5.314,1.407,1.407,88.663,-61.217,-5.958
0.085,5.395,1.417,1.417,88.647,-61.238,-6.035
0.086,5.466,1.427,1.427,88.629,-61.252,-6.102
0.088,5.526,1.437,1.437,88.611,-61.261,-6.159
0.089,5.579,1.446,1.446,88.594,-61.266,-6.208
0.090,5.624,1.454,1.454,88.577,-61.267,-6.250
0.091,5.663,1.460,1.460,88.563,-61.267,-6.287
0.092,5.697,1.464,1.464,88.552,-61.265,-6.319
0.094,5.726,1.467,1.467,88.545,-61.265,-6.347
0.095,5.753,1.469,1.469,88.542,-61.265,-6.373
0.096,5.778,1.471,1.471,88.545,-61.269,-6.399
0.097,5.806,1.472,1.472,88.553,-61.276,-6.423
0.099,5.835,1.474,1.474,88.567,-61.286,-6.448
0.100,5.868,1.476,1.476,88.584,-61.299,-6.473
0.101,5.903,1.480,1.480,88.604,-61.313,-6.497
0.102,5.939,1.485,1.485,88.626,-61.328,-6.522
0.104,5.976,1.491,1.491,88.650,-61.343,-6.546
0.105,6.013,1.498,1.498,88.673,-61.358,-6.571
0.106,6.049,1.506,1.506,88.695,-61.372,-6.595
0.107,6.083,1.513,1.513,88.715,-61.385,-6.620
0.109,6.115,1.519,1.519,88.733,-61.395,-6.644
0.110,6.144,1.525,1.525,88.746,-61.403,-6.669
