"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.948,0.948,-76.253,-54.312,-5.644
0.001,0.132,0.963,0.963,-76.264,-54.392,-5.748
0.003,0.261,0.977,0.977,-76.275,-54.469,-5.851
0.004,0.386,0.990,0.990,-76.286,-54.541,-5.953
0.006,0.504,1.003,1.003,-76.294,-54.606,-6.050
0.007,0.612,1.014,1.014,-76.301,-54.661,-6.144
0.009,0.710,1.023,1.023,-76.305,-54.703,-6.232
0.010,0.796,1.031,1.031,-76.306,-54.730,-6.314
0.012,0.871,1.036,1.036,-76.304,-54.739,-6.388
0.013,0.937,1.041,1.041,-76.297,-54.729,-6.453
0.015,1.003,1.045,1.045,-76.286,-54.696,-6.509
0.016,1.078,1.049,1.049,-76.270,-54.637,-6.553
0.018,1.172,1.056,1.056,-76.249,-54.552,-6.587
0.019,1.285,1.065,1.065,-76.223,-54.445,-6.610
0.021,1.415,1.077,1.077,-76.193,-54.319,-6.625
0.022,1.559,1.094,1.094,-76.160,-54.179,-6.633
0.024,1.713,1.113,1.113,-76.124,-54.030,-6.636
0.025,1.871,1.135,1.135,-76.087,-53.876,-6.635
0.027,2.029,1.159,1.159,-76.049,-53.722,-6.634
0.028,2.184,1.185,1.185,-76.010,-53.573,-6.632
0.030,2.329,1.212,1.212,-75.973,-53.432,-6.632
0.031,2.461,1.240,1.240,-75.936,-53.306,-6.635
0.033,2.575,1.268,1.268,-75.902,-53.197,-6.644
0.034,2.668,1.295,1.295,-75.871,-53.110,-6.659
0.036,2.744,1.321,1.321,-75.843,-53.043,-6.679
0.037,2.805,1.345,1.345,-75.817,-52.993,-6.703
0.039,2.854,1.367,1.367,-75.794,-52.958,-6.729
0.040,2.895,1.385,1.385,-75.773,-52.936,-6.756
0.042,2.929,1.400,1.400,-75.755,-52.922,-6.781
0.043,2.958,1.410,1.410,-75.739,-52.916,-6.804
0.045,2.981,1.417,1.417,-75.724,-52.914,-6.823
0.046,2.999,1.421,1.421,-75.712,-52.914,-6.835
0.048,3.011,1.420,1.420,-75.702,-52.913,-6.841
0.049,3.021,1.416,1.416,-75.693,-52.908,-6.837
0.051,3.040,1.409,1.409,-75.685,-52.898,-6.824
0.052,3.067,1.398,1.398,-75.677,-52.883,-6.803
0.054,3.102,1.384,1.384,-75.666,-52.863,-6.776
0.055,3.144,1.367,1.367,-75.651,-52.839,-6.745
