"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.971,0.971,-76.658,-54.389,-5.914
0.004,0.044,0.961,0.961,-76.666,-54.378,-5.957
0.008,0.089,0.952,0.952,-76.673,-54.369,-5.999
0.012,0.133,0.944,0.944,-76.680,-54.362,-6.043
0.016,0.177,0.939,0.939,-76.687,-54.359,-6.086
0.019,0.222,0.938,0.938,-76.692,-54.362,-6.131
0.023,0.269,0.942,0.942,-76.695,-54.370,-6.177
0.027,0.319,0.950,0.950,-76.697,-54.386,-6.224
0.031,0.374,0.961,0.961,-76.697,-54.412,-6.273
0.035,0.436,0.977,0.977,-76.695,-54.447,-6.323
0.039,0.506,1.006,1.006,-76.691,-54.494,-6.376
0.043,0.587,1.053,1.053,-76.683,-54.553,-6.430
0.047,0.680,1.108,1.108,-76.673,-54.626,-6.488
0.051,0.785,1.147,1.147,-76.660,-54.711,-6.546
0.054,0.898,1.154,1.154,-76.644,-54.806,-6.606
0.058,1.017,1.143,1.143,-76.626,-54.907,-6.667
0.062,1.139,1.135,1.135,-76.605,-55.012,-6.726
0.066,1.262,1.141,1.141,-76.583,-55.117,-6.785
0.070,1.383,1.158,1.158,-76.560,-55.222,-6.841
0.074,1.499,1.183,1.183,-76.535,-55.322,-6.895
0.078,1.608,1.209,1.209,-76.509,-55.415,-6.945
0.082,1.707,1.231,1.231,-76.482,-55.498,-6.991
0.086,1.793,1.243,1.243,-76.455,-55.569,-7.032
0.089,1.864,1.245,1.245,-76.427,-55.624,-7.066
0.093,1.922,1.239,1.239,-76.399,-55.666,-7.097
0.097,1.972,1.228,1.228,-76.371,-55.696,-7.125
0.101,2.017,1.222,1.222,-76.342,-55.717,-7.153
0.105,2.062,1.225,1.225,-76.313,-55.731,-7.183
0.109,2.110,1.239,1.239,-76.283,-55.742,-7.218
0.113,2.163,1.259,1.259,-76.252,-55.753,-7.261
0.117,2.226,1.283,1.283,-76.220,-55.765,-7.313
0.121,2.300,1.300,1.300,-76.187,-55.782,-7.377
0.125,2.388,1.305,1.305,-76.152,-55.806,-7.455
