"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.275,1.275,-76.840,-55.816,-6.896
0.001,0.097,1.263,1.263,-76.869,-55.743,-6.839
0.003,0.194,1.251,1.251,-76.897,-55.669,-6.783
0.004,0.290,1.238,1.238,-76.924,-55.595,-6.728
0.006,0.385,1.224,1.224,-76.950,-55.520,-6.675
0.007,0.479,1.208,1.208,-76.974,-55.444,-6.625
0.008,0.571,1.190,1.190,-76.994,-55.367,-6.578
0.010,0.663,1.169,1.169,-77.012,-55.289,-6.535
0.011,0.752,1.146,1.146,-77.026,-55.209,-6.497
0.013,0.841,1.121,1.121,-77.036,-55.127,-6.464
0.014,0.930,1.096,1.096,-77.041,-55.043,-6.437
0.015,1.019,1.073,1.073,-77.040,-54.957,-6.416
0.017,1.108,1.054,1.054,-77.035,-54.868,-6.402
0.018,1.199,1.040,1.040,-77.025,-54.778,-6.394
0.020,1.291,1.034,1.034,-77.010,-54.687,-6.391
0.021,1.384,1.036,1.036,-76.992,-54.596,-6.394
0.023,1.478,1.047,1.047,-76.970,-54.505,-6.401
0.024,1.572,1.064,1.064,-76.945,-54.416,-6.413
0.025,1.665,1.085,1.085,-76.918,-54.327,-6.428
0.027,1.758,1.109,1.109,-76.890,-54.241,-6.447
0.028,1.849,1.133,1.133,-76.859,-54.158,-6.468
0.030,1.938,1.156,1.156,-76.828,-54.079,-6.492
0.031,2.024,1.175,1.175,-76.797,-54.003,-6.517
0.032,2.106,1.191,1.191,-76.765,-53.931,-6.544
0.034,2.186,1.204,1.204,-76.733,-53.864,-6.572
0.035,2.263,1.216,1.216,-76.701,-53.800,-6.600
0.037,2.336,1.227,1.227,-76.669,-53.741,-6.629
0.038,2.405,1.239,1.239,-76.638,-53.686,-6.659
0.039,2.471,1.252,1.252,-76.608,-53.636,-6.688
0.041,2.532,1.269,1.269,-76.578,-53.590,-6.716
0.042,2.589,1.289,1.289,-76.550,-53.549,-6.744
0.044,2.642,1.312,1.312,-76.523,-53.513,-6.770
0.045,2.690,1.335,1.335,-76.497,-53.481,-6.795
0.046,2.733,1.357,1.357,-76.473,-53.453,-6.817
0.048,2.771,1.378,1.378,-76.451,-53.430,-6.838
0.049,2.803,1.396,1.396,-76.433,-53.410,-6.856
0.051,2.830,1.410,1.410,-76.417,-53.394,-6.870
0.052,2.851,1.419,1.419,-76.405,-53.381,-6.882
0.054,2.867,1.423,1.423,-76.397,-53.370,-6.890
0.055,2.876,1.423,1.423,-76.394,-53.362,-6.893
0.056,2.883,1.419,1.419,-76.395,-53.355,-6.893
0.058,2.894,1.414,1.414,-76.402,-53.350,-6.887
0.059,2.911,1.406,1.406,-76.416,-53.346,-6.877
0.061,2.935,1.397,1.397,-76.434,-53.343,-6.861
0.062,2.963,1.387,1.387,-76.454,-53.340,-6.843
0.063,2.990,1.376,1.376,-76.473,-53.335,-6.823
0.065,3.015,1.364,1.364,-76.486,-53.330,-6.803
0.066,3.035,1.351,1.351,-76.491,-53.321,-6.785
0.068,3.056,1.336,1.336,-76.483,-53.310,-6.770
0.069,3.085,1.319,1.319,-76.459,-53.294,-6.761
