"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.047,2.047,185.958,214.908,213.431
0.002,0.072,2.085,2.085,185.935,214.958,213.477
0.003,0.144,2.124,2.124,185.914,215.008,213.524
0.005,0.213,2.163,2.162,185.892,215.056,213.569
0.007,0.280,2.202,2.201,185.872,215.101,213.615
0.009,0.343,2.241,2.241,185.853,215.141,213.660
0.010,0.402,2.280,2.280,185.836,215.176,213.704
0.012,0.456,2.319,2.320,185.820,215.205,213.747
0.014,0.506,2.357,2.359,185.807,215.226,213.789
0.016,0.550,2.394,2.396,185.797,215.240,213.830
0.017,0.590,2.428,2.430,185.789,215.243,213.870
0.019,0.629,2.459,2.460,185.785,215.238,213.908
0.021,0.668,2.485,2.485,185.783,215.226,213.945
0.022,0.706,2.508,2.504,185.784,215.211,213.980
0.024,0.742,2.526,2.520,185.787,215.196,214.013
0.026,0.776,2.540,2.532,185.792,215.185,214.044
0.028,0.806,2.551,2.543,185.798,215.180,214.073
0.029,0.834,2.557,2.553,185.805,215.186,214.100
0.031,0.866,2.560,2.565,185.812,215.205,214.124
0.033,0.909,2.562,2.578,185.820,215.240,214.147
0.035,0.968,2.564,2.593,185.828,215.296,214.166
0.036,1.046,2.569,2.612,185.836,215.371,214.183
0.038,1.139,2.581,2.634,185.843,215.464,214.197
0.040,1.246,2.601,2.661,185.850,215.569,214.208
0.041,1.361,2.633,2.692,185.855,215.684,214.214
0.043,1.481,2.675,2.728,185.860,215.804,214.217
0.045,1.603,2.723,2.767,185.864,215.926,214.214
0.047,1.723,2.775,2.806,185.867,216.046,214.207
0.048,1.838,2.826,2.845,185.869,216.160,214.195
0.050,1.944,2.873,2.881,185.869,216.264,214.177
0.052,2.038,2.912,2.913,185.868,216.356,214.152
0.054,2.121,2.942,2.939,185.865,216.433,214.122
0.055,2.196,2.965,2.960,185.862,216.499,214.088
0.057,2.264,2.980,2.976,185.858,216.554,214.049
0.059,2.328,2.987,2.985,185.853,216.602,214.007
0.060,2.389,2.988,2.988,185.849,216.645,213.963
0.062,2.449,2.983,2.984,185.846,216.684,213.917
0.064,2.508,2.975,2.976,185.844,216.721,213.871
0.066,2.568,2.964,2.965,185.843,216.758,213.825
0.067,2.628,2.953,2.954,185.843,216.798,213.780
0.069,2.689,2.944,2.944,185.846,216.842,213.737
0.071,2.753,2.939,2.939,185.852,216.891,213.697
0.073,2.818,2.940,2.940,185.859,216.942,213.658
0.074,2.884,2.946,2.946,185.870,216.996,213.621
0.076,2.951,2.956,2.956,185.882,217.052,213.585
0.078,3.018,2.969,2.969,185.898,217.107,213.550
0.079,3.085,2.984,2.984,185.916,217.162,213.517
0.081,3.150,3.000,3.000,185.936,217.215,213.484
0.083,3.214,3.016,3.016,185.960,217.265,213.452
0.085,3.276,3.031,3.031,185.986,217.311,213.420
0.086,3.336,3.046,3.046,186.016,217.353,213.389
0.088,3.394,3.059,3.059,186.047,217.390,213.358
0.090,3.450,3.070,3.070,186.078,217.425,213.328
0.092,3.503,3.079,3.079,186.108,217.458,213.300
0.093,3.552,3.086,3.086,186.135,217.491,213.274
0.095,3.598,3.092,3.092,186.158,217.523,213.250
0.097,3.641,3.100,3.100,186.176,217.557,213.231
0.098,3.683,3.109,3.109,186.187,217.593,213.214
0.100,3.724,3.123,3.123,186.189,217.633,213.203
0.102,3.769,3.143,3.143,186.182,217.677,213.196
0.104,3.821,3.167,3.167,186.165,217.726,213.194
0.105,3.880,3.193,3.193,186.139,217.779,213.196
0.107,3.943,3.219,3.219,186.108,217.834,213.199
0.109,4.008,3.240,3.240,186.075,217.890,213.201
0.111,4.073,3.255,3.255,186.042,217.946,213.202
0.112,4.135,3.261,3.261,186.012,218.000,213.199
0.114,4.192,3.258,3.258,185.988,218.051,213.191
0.116,4.243,3.247,3.247,185.972,218.097,213.175
0.117,4.291,3.230,3.230,185.967,218.137,213.150
0.119,4.341,3.209,3.209,185.977,218.170,213.114
0.121,4.401,3.184,3.184,186.001,218.196,213.066
