"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.227,1.227,187.639,208.963,208.890
0.001,0.041,1.224,1.224,187.673,208.986,208.892
0.003,0.082,1.220,1.220,187.707,209.009,208.896
0.004,0.126,1.217,1.217,187.743,209.033,208.902
0.005,0.172,1.214,1.214,187.780,209.058,208.913
0.007,0.224,1.211,1.211,187.820,209.086,208.930
0.008,0.281,1.208,1.208,187.862,209.117,208.954
0.009,0.347,1.206,1.206,187.908,209.150,208.987
0.011,0.423,1.204,1.204,187.958,209.188,209.031
0.012,0.511,1.203,1.203,188.012,209.229,209.087
0.013,0.614,1.206,1.206,188.071,209.276,209.156
0.014,0.732,1.215,1.215,188.136,209.327,209.241
0.016,0.868,1.231,1.231,188.207,209.385,209.341
0.017,1.020,1.258,1.258,188.284,209.447,209.457
0.018,1.185,1.298,1.298,188.363,209.513,209.586
0.020,1.359,1.352,1.352,188.442,209.580,209.726
0.021,1.539,1.423,1.423,188.521,209.647,209.873
0.022,1.721,1.509,1.509,188.596,209.712,210.026
0.024,1.902,1.605,1.605,188.665,209.773,210.181
0.025,2.079,1.704,1.704,188.727,209.829,210.337
0.026,2.248,1.802,1.802,188.778,209.878,210.491
0.028,2.408,1.894,1.894,188.818,209.919,210.640
0.029,2.555,1.973,1.973,188.843,209.949,210.782
0.030,2.690,2.036,2.036,188.852,209.966,210.915
0.032,2.811,2.078,2.078,188.844,209.971,211.037
0.033,2.925,2.100,2.100,188.820,209.965,211.147
0.034,3.032,2.108,2.108,188.785,209.950,211.248
0.035,3.137,2.105,2.105,188.738,209.926,211.338
0.037,3.239,2.095,2.095,188.683,209.896,211.419
0.038,3.340,2.082,2.082,188.622,209.862,211.491
0.039,3.438,2.070,2.070,188.557,209.825,211.555
0.041,3.533,2.063,2.063,188.490,209.787,211.611
0.042,3.623,2.064,2.064,188.423,209.749,211.659
0.043,3.707,2.071,2.071,188.360,209.714,211.700
0.045,3.782,2.082,2.082,188.301,209.682,211.734
0.046,3.847,2.095,2.095,188.249,209.655,211.762
0.047,3.904,2.109,2.109,188.202,209.633,211.785
0.049,3.953,2.123,2.123,188.161,209.613,211.804
0.050,3.998,2.133,2.133,188.123,209.596,211.819
0.051,4.041,2.139,2.139,188.086,209.578,211.832
0.053,4.083,2.140,2.140,188.051,209.559,211.844
0.054,4.126,2.137,2.137,188.014,209.538,211.855
0.055,4.174,2.131,2.131,187.975,209.512,211.867
0.057,4.228,2.124,2.124,187.933,209.481,211.880
0.058,4.290,2.115,2.115,187.886,209.443,211.896
0.059,4.363,2.105,2.105,187.833,209.397,211.915
0.060,4.449,2.097,2.097,187.772,209.341,211.938
0.062,4.546,2.089,2.089,187.705,209.277,211.966
0.063,4.653,2.083,2.083,187.632,209.206,211.997
0.064,4.766,2.078,2.078,187.555,209.130,212.032
0.066,4.882,2.073,2.073,187.478,209.052,212.069
0.067,4.999,2.067,2.067,187.400,208.974,212.108
0.068,5.113,2.061,2.061,187.325,208.899,212.148
0.070,5.221,2.054,2.054,187.253,208.829,212.189
0.071,5.321,2.044,2.044,187.188,208.765,212.231
0.072,5.411,2.033,2.033,187.130,208.710,212.271
0.074,5.486,2.021,2.021,187.082,208.667,212.311
0.075,5.547,2.010,2.010,187.045,208.638,212.349
0.076,5.592,2.002,2.002,187.021,208.623,212.384
0.078,5.627,1.996,1.996,187.006,208.621,212.415
0.079,5.654,1.996,1.996,187.000,208.627,212.442
0.080,5.678,2.003,2.003,186.999,208.640,212.462
0.081,5.698,2.017,2.017,187.001,208.656,212.474
0.083,5.715,2.037,2.037,187.004,208.672,212.477
0.084,5.731,2.060,2.060,187.007,208.686,212.470
0.085,5.752,2.081,2.081,187.005,208.695,212.452
0.087,5.784,2.097,2.097,186.998,208.695,212.421
0.088,5.833,2.103,2.103,186.982,208.684,212.375
0.089,5.904,2.095,2.095,186.956,208.659,212.314
0.091,5.999,2.069,2.069,186.918,208.618,212.237
0.092,6.117,2.023,2.023,186.868,208.562,212.146
0.093,6.253,1.957,1.957,186.809,208.492,212.045
0.095,6.403,1.878,1.878,186.742,208.412,211.938
0.096,6.562,1.789,1.789,186.670,208.324,211.827
0.097,6.724,1.696,1.696,186.595,208.230,211.718
0.099,6.887,1.603,1.603,186.518,208.133,211.612
0.100,7.045,1.515,1.515,186.441,208.035,211.515
0.101,7.194,1.437,1.437,186.367,207.939,211.429
0.102,7.330,1.371,1.371,186.297,207.846,211.359
0.104,7.448,1.319,1.319,186.234,207.760,211.307
0.105,7.548,1.278,1.278,186.179,207.682,211.278
0.106,7.631,1.250,1.250,186.132,207.614,211.272
0.108,7.704,1.232,1.232,186.090,207.555,211.284
0.109,7.773,1.224,1.224,186.053,207.504,211.311
0.110,7.842,1.225,1.225,186.016,207.460,211.349
0.112,7.913,1.235,1.235,185.978,207.421,211.394
0.113,7.985,1.253,1.253,185.936,207.389,211.444
0.114,8.060,1.275,1.275,185.888,207.360,211.493
0.116,8.136,1.300,1.300,185.831,207.336,211.538
0.117,8.216,1.324,1.324,185.763,207.314,211.576
0.118,8.304,1.347,1.347,185.683,207.295,211.602
0.120,8.403,1.365,1.365,185.586,207.276,211.613
0.121,8.518,1.376,1.376,185.473,207.258,211.607
0.122,8.647,1.378,1.378,185.346,207.238,211.586
0.124,8.789,1.372,1.372,185.211,207.213,211.554
0.125,8.939,1.358,1.358,185.070,207.182,211.513
0.126,9.094,1.339,1.339,184.927,207.142,211.468
0.127,9.249,1.316,1.316,184.788,207.091,211.421
0.129,9.403,1.290,1.290,184.655,207.026,211.377
0.130,9.554,1.264,1.264,184.533,206.947,211.337
0.131,9.702,1.239,1.239,184.426,206.849,211.306
0.133,9.851,1.216,1.216,184.337,206.732,211.286
0.134,10.005,1.196,1.196,184.271,206.593,211.282
0.135,10.173,1.179,1.179,184.232,206.430,211.296
