"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.273,1.273,181.702,207.516,208.923
0.001,0.103,1.264,1.264,181.693,207.590,208.853
0.003,0.205,1.255,1.255,181.684,207.663,208.781
0.004,0.307,1.249,1.249,181.674,207.733,208.708
0.006,0.408,1.247,1.247,181.664,207.798,208.631
0.007,0.508,1.249,1.249,181.653,207.858,208.551
0.008,0.608,1.259,1.259,181.642,207.909,208.466
0.010,0.709,1.275,1.275,181.629,207.952,208.376
0.011,0.813,1.300,1.300,181.615,207.985,208.278
0.013,0.921,1.333,1.333,181.599,208.005,208.173
0.014,1.036,1.372,1.372,181.582,208.012,208.060
0.015,1.161,1.414,1.414,181.562,208.005,207.937
0.017,1.295,1.458,1.458,181.541,207.985,207.806
0.018,1.438,1.502,1.502,181.517,207.957,207.668
0.020,1.587,1.544,1.544,181.489,207.922,207.526
0.021,1.741,1.583,1.583,181.457,207.885,207.380
0.022,1.897,1.618,1.618,181.422,207.847,207.233
0.024,2.054,1.652,1.652,181.381,207.813,207.085
0.025,2.209,1.685,1.685,181.335,207.785,206.939
0.027,2.362,1.721,1.721,181.284,207.767,206.796
0.028,2.513,1.760,1.760,181.226,207.761,206.658
0.029,2.660,1.805,1.805,181.161,207.769,206.525
0.031,2.805,1.858,1.858,181.092,207.792,206.400
0.032,2.947,1.917,1.917,181.019,207.825,206.283
0.034,3.085,1.981,1.981,180.945,207.867,206.173
0.035,3.219,2.047,2.047,180.872,207.914,206.072
0.036,3.345,2.111,2.111,180.801,207.965,205.981
0.038,3.462,2.170,2.170,180.735,208.016,205.899
0.039,3.568,2.221,2.221,180.674,208.065,205.828
0.041,3.659,2.262,2.262,180.622,208.110,205.768
0.042,3.733,2.289,2.289,180.580,208.147,205.719
0.043,3.788,2.306,2.306,180.550,208.175,205.683
0.045,3.825,2.314,2.314,180.531,208.194,205.657
0.046,3.846,2.315,2.315,180.520,208.205,205.642
0.048,3.854,2.312,2.312,180.518,208.208,205.635
0.049,3.859,2.306,2.306,180.522,208.207,205.636
0.050,3.871,2.300,2.300,180.530,208.200,205.643
0.052,3.889,2.296,2.296,180.540,208.191,205.655
0.053,3.912,2.294,2.294,180.552,208.179,205.670
0.055,3.936,2.294,2.294,180.563,208.167,205.688
0.056,3.960,2.295,2.295,180.572,208.155,205.707
0.057,3.983,2.299,2.299,180.578,208.145,205.726
0.059,4.002,2.304,2.304,180.579,208.136,205.743
0.060,4.017,2.311,2.311,180.577,208.130,205.757
0.062,4.029,2.319,2.319,180.571,208.126,205.766
0.063,4.038,2.329,2.329,180.562,208.124,205.769
0.064,4.052,2.338,2.338,180.549,208.125,205.764
0.066,4.073,2.348,2.348,180.534,208.128,205.749
0.067,4.104,2.356,2.356,180.517,208.133,205.724
0.069,4.147,2.363,2.363,180.497,208.142,205.686
0.070,4.205,2.367,2.367,180.475,208.153,205.634
0.071,4.277,2.367,2.367,180.451,208.167,205.567
0.073,4.364,2.365,2.365,180.426,208.183,205.486
0.074,4.462,2.361,2.361,180.401,208.203,205.393
0.076,4.568,2.354,2.354,180.378,208.224,205.292
0.077,4.681,2.347,2.347,180.357,208.248,205.184
0.078,4.796,2.340,2.340,180.339,208.274,205.073
0.080,4.912,2.333,2.333,180.326,208.301,204.961
0.081,5.026,2.327,2.327,180.319,208.331,204.851
0.083,5.137,2.323,2.323,180.318,208.361,204.745
0.084,5.241,2.320,2.320,180.325,208.392,204.646
0.085,5.337,2.318,2.318,180.341,208.425,204.557
0.087,5.428,2.316,2.316,180.366,208.458,204.476
0.088,5.515,2.314,2.314,180.400,208.491,204.402
0.090,5.603,2.312,2.312,180.440,208.524,204.331
0.091,5.693,2.308,2.308,180.487,208.556,204.262
0.092,5.787,2.304,2.304,180.541,208.587,204.191
0.094,5.887,2.299,2.299,180.599,208.617,204.115
0.095,5.994,2.294,2.294,180.662,208.644,204.033
0.097,6.110,2.292,2.292,180.728,208.669,203.941
0.098,6.237,2.291,2.291,180.797,208.691,203.838
0.099,6.376,2.295,2.295,180.868,208.710,203.720
0.101,6.526,2.303,2.303,180.941,208.726,203.588
0.102,6.684,2.316,2.316,181.013,208.740,203.448
0.104,6.846,2.333,2.333,181.082,208.752,203.303
0.105,7.006,2.353,2.353,181.149,208.764,203.158
0.106,7.161,2.374,2.374,181.210,208.776,203.017
0.108,7.306,2.393,2.393,181.265,208.789,202.883
0.109,7.437,2.411,2.411,181.312,208.803,202.761
0.111,7.550,2.424,2.424,181.350,208.821,202.656
0.112,7.641,2.431,2.431,181.377,208.842,202.572
0.113,7.707,2.434,2.434,181.391,208.867,202.512
0.115,7.754,2.432,2.432,181.395,208.896,202.475
0.116,7.792,2.428,2.428,181.390,208.928,202.457
0.118,7.829,2.423,2.423,181.382,208.964,202.452
0.119,7.868,2.418,2.418,181.372,209.001,202.454
0.120,7.907,2.416,2.416,181.365,209.040,202.457
0.122,7.947,2.418,2.418,181.364,209.080,202.457
0.123,7.988,2.424,2.424,181.372,209.120,202.448
0.125,8.039,2.435,2.435,181.393,209.158,202.424
0.126,8.107,2.452,2.452,181.430,209.196,202.380
0.127,8.203,2.475,2.475,181.487,209.231,202.311
0.129,8.329,2.505,2.505,181.562,209.264,202.216
0.130,8.479,2.542,2.542,181.653,209.295,202.100
0.132,8.647,2.586,2.586,181.754,209.324,201.969
0.133,8.827,2.637,2.637,181.863,209.351,201.828
0.134,9.012,2.693,2.693,181.974,209.377,201.683
0.136,9.195,2.749,2.749,182.083,209.402,201.538
0.137,9.371,2.803,2.803,182.187,209.426,201.399
0.139,9.531,2.851,2.851,182.281,209.450,201.271
0.140,9.670,2.892,2.892,182.361,209.473,201.159
0.141,9.782,2.921,2.921,182.423,209.497,201.069
0.143,9.865,2.936,2.936,182.466,209.520,201.002
0.144,9.923,2.940,2.940,182.493,209.542,200.956
0.146,9.960,2.935,2.935,182.505,209.561,200.928
0.147,9.981,2.923,2.923,182.507,209.578,200.914
0.148,9.996,2.908,2.908,182.500,209.592,200.913
0.150,10.013,2.891,2.891,182.487,209.600,200.921
0.151,10.035,2.876,2.876,182.471,209.603,200.935
0.153,10.059,2.866,2.866,182.455,209.599,200.953
0.154,10.085,2.859,2.859,182.441,209.588,200.972
0.155,10.112,2.856,2.856,182.433,209.569,200.989
0.157,10.142,2.856,2.856,182.430,209.543,201.002
0.158,10.173,2.858,2.858,182.432,209.513,201.012
0.160,10.204,2.862,2.862,182.439,209.484,201.017
0.161,10.230,2.866,2.866,182.449,209.459,201.020
0.162,10.250,2.871,2.871,182.460,209.444,201.019
0.164,10.263,2.874,2.874,182.473,209.441,201.014
0.165,10.283,2.876,2.876,182.485,209.454,201.006
0.167,10.321,2.874,2.874,182.496,209.489,200.994
0.168,10.383,2.868,2.868,182.504,209.548,200.980
0.169,10.473,2.856,2.856,182.509,209.636,200.962
0.171,10.591,2.837,2.837,182.511,209.752,200.940
0.172,10.731,2.810,2.810,182.513,209.890,200.916
0.174,10.886,2.776,2.776,182.516,210.043,200.890
0.175,11.049,2.736,2.736,182.525,210.203,200.860
0.176,11.212,2.694,2.694,182.541,210.362,200.829
0.178,11.370,2.653,2.653,182.568,210.515,200.796
0.179,11.518,2.616,2.616,182.607,210.653,200.761
0.181,11.652,2.584,2.584,182.663,210.769,200.725
0.182,11.772,2.562,2.562,182.737,210.855,200.687
0.183,11.886,2.551,2.551,182.833,210.906,200.649
0.185,12.010,2.549,2.549,182.950,210.917,200.610
0.186,12.152,2.556,2.556,183.084,210.894,200.571
0.188,12.310,2.571,2.571,183.230,210.844,200.533
0.189,12.482,2.591,2.591,183.382,210.773,200.497
0.190,12.662,2.616,2.616,183.536,210.687,200.464
0.192,12.842,2.645,2.645,183.687,210.593,200.433
0.193,13.015,2.676,2.676,183.828,210.498,200.407
0.195,13.173,2.708,2.708,183.956,210.406,200.385
0.196,13.310,2.740,2.740,184.065,210.326,200.369
0.197,13.416,2.771,2.771,184.150,210.263,200.360
0.199,13.489,2.800,2.800,184.209,210.220,200.356
0.200,13.533,2.825,2.825,184.246,210.197,200.357
0.202,13.555,2.845,2.845,184.267,210.190,200.361
0.203,13.568,2.860,2.860,184.277,210.198,200.365
0.204,13.587,2.868,2.868,184.280,210.216,200.368
0.206,13.615,2.873,2.873,184.283,210.244,200.368
0.207,13.650,2.873,2.873,184.291,210.278,200.363
0.209,13.693,2.870,2.870,184.308,210.316,200.350
0.210,13.748,2.865,2.865,184.341,210.355,200.329
0.211,13.821,2.858,2.858,184.394,210.392,200.296
0.213,13.916,2.850,2.850,184.471,210.426,200.251
0.214,14.034,2.843,2.843,184.569,210.456,200.194
0.216,14.173,2.838,2.838,184.687,210.481,200.125
0.217,14.331,2.836,2.836,184.822,210.501,200.044
0.218,14.507,2.839,2.839,184.970,210.515,199.950
0.220,14.699,2.848,2.848,185.130,210.521,199.846
0.221,14.903,2.864,2.864,185.299,210.521,199.730
0.223,15.120,2.888,2.888,185.474,210.513,199.602
0.224,15.346,2.922,2.922,185.652,210.496,199.464
0.225,15.581,2.965,2.965,185.832,210.470,199.315
0.227,15.823,3.015,3.015,186.010,210.435,199.156
0.228,16.067,3.072,3.072,186.184,210.392,198.989
0.230,16.312,3.135,3.135,186.352,210.344,198.819
0.231,16.552,3.203,3.203,186.512,210.291,198.647
0.232,16.785,3.276,3.276,186.662,210.237,198.478
0.234,17.005,3.351,3.351,186.799,210.183,198.314
0.235,17.210,3.427,3.427,186.922,210.130,198.158
0.237,17.395,3.502,3.502,187.027,210.081,198.014
0.238,17.557,3.574,3.574,187.113,210.038,197.884
0.239,17.691,3.641,3.641,187.178,210.002,197.772
0.241,17.796,3.700,3.700,187.220,209.975,197.680
0.242,17.876,3.751,3.751,187.244,209.954,197.606
0.244,17.937,3.790,3.790,187.252,209.937,197.548
0.245,17.984,3.819,3.819,187.250,209.922,197.504
0.246,18.021,3.837,3.837,187.241,209.906,197.472
0.248,18.054,3.845,3.845,187.230,209.886,197.448
0.249,18.087,3.844,3.844,187.220,209.860,197.432
0.251,18.124,3.835,3.835,187.216,209.825,197.419
0.252,18.172,3.817,3.817,187.223,209.778,197.409
0.254,18.236,3.792,3.792,187.244,209.718,197.399
0.255,18.322,3.761,3.761,187.282,209.643,197.387
0.256,18.426,3.724,3.724,187.334,209.553,197.374
0.258,18.544,3.682,3.682,187.397,209.454,197.360
0.259,18.672,3.637,3.637,187.467,209.348,197.347
0.261,18.803,3.589,3.589,187.538,209.238,197.336
0.262,18.934,3.540,3.540,187.608,209.128,197.327
0.263,19.060,3.489,3.489,187.671,209.020,197.322
0.265,19.175,3.440,3.440,187.725,208.918,197.322
0.266,19.276,3.393,3.393,187.765,208.825,197.327
0.268,19.360,3.351,3.351,187.786,208.744,197.340
0.269,19.429,3.316,3.316,187.786,208.678,197.359
0.270,19.489,3.290,3.290,187.771,208.626,197.383
0.272,19.542,3.275,3.275,187.747,208.585,197.409
0.273,19.588,3.272,3.272,187.722,208.554,197.431
0.275,19.623,3.282,3.282,187.703,208.531,197.448
0.276,19.642,3.300,3.300,187.697,208.514,197.455
0.277,19.664,3.321,3.321,187.712,208.500,197.449
0.279,19.714,3.340,3.340,187.755,208.487,197.426
0.280,19.804,3.352,3.352,187.833,208.475,197.383
0.282,19.942,3.352,3.352,187.953,208.460,197.316
0.283,20.136,3.335,3.335,188.122,208.440,197.223
0.284,20.379,3.299,3.299,188.333,208.416,197.106
