"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.093,1.093,219.447,183.956,177.620
0.001,0.173,1.161,1.161,219.418,183.803,177.695
0.003,0.344,1.227,1.227,219.389,183.652,177.771
0.004,0.512,1.291,1.291,219.359,183.506,177.847
0.006,0.676,1.351,1.351,219.328,183.365,177.924
0.007,0.833,1.405,1.405,219.294,183.233,178.003
0.009,0.984,1.453,1.453,219.258,183.111,178.083
0.010,1.126,1.493,1.493,219.218,183.001,178.165
0.012,1.261,1.523,1.523,219.174,182.905,178.249
0.013,1.387,1.546,1.546,219.127,182.826,178.335
0.015,1.507,1.562,1.562,219.074,182.765,178.424
0.016,1.624,1.571,1.571,219.016,182.725,178.517
0.017,1.739,1.577,1.577,218.953,182.705,178.612
0.019,1.857,1.579,1.579,218.887,182.702,178.708
0.020,1.977,1.578,1.578,218.817,182.716,178.806
0.022,2.101,1.577,1.577,218.746,182.743,178.903
0.023,2.227,1.574,1.574,218.674,182.782,178.999
0.025,2.354,1.571,1.571,218.602,182.830,179.092
0.026,2.481,1.567,1.567,218.532,182.886,179.182
0.028,2.606,1.562,1.562,218.464,182.946,179.269
0.029,2.727,1.557,1.557,218.400,183.009,179.350
0.030,2.842,1.551,1.551,218.341,183.073,179.424
0.032,2.949,1.546,1.546,218.288,183.136,179.493
0.033,3.049,1.539,1.539,218.239,183.197,179.554
0.035,3.142,1.533,1.533,218.194,183.256,179.611
0.036,3.228,1.525,1.525,218.152,183.311,179.663
0.038,3.308,1.517,1.517,218.114,183.362,179.711
0.039,3.383,1.507,1.507,218.077,183.409,179.756
0.041,3.452,1.497,1.497,218.041,183.450,179.799
0.042,3.517,1.485,1.485,218.005,183.486,179.840
0.044,3.579,1.473,1.473,217.969,183.514,179.881
0.045,3.638,1.462,1.462,217.933,183.536,179.921
0.046,3.696,1.454,1.454,217.894,183.550,179.963
0.048,3.756,1.448,1.448,217.852,183.557,180.005
0.049,3.818,1.448,1.448,217.807,183.561,180.047
0.051,3.883,1.452,1.452,217.758,183.564,180.090
0.052,3.952,1.463,1.463,217.704,183.568,180.132
0.054,4.025,1.479,1.479,217.644,183.576,180.174
0.055,4.105,1.497,1.497,217.577,183.590,180.214
