"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.071,1.071,221.701,188.759,175.419
0.001,0.086,1.081,1.081,221.765,188.706,175.439
0.002,0.171,1.092,1.092,221.829,188.653,175.457
0.003,0.254,1.103,1.103,221.890,188.600,175.474
0.004,0.333,1.115,1.115,221.949,188.549,175.488
0.005,0.407,1.128,1.128,222.004,188.499,175.498
0.006,0.477,1.142,1.142,222.053,188.451,175.503
0.007,0.540,1.158,1.158,222.097,188.405,175.502
0.008,0.598,1.174,1.174,222.134,188.362,175.494
0.010,0.650,1.193,1.193,222.164,188.321,175.478
0.011,0.699,1.214,1.214,222.184,188.284,175.454
0.012,0.748,1.236,1.236,222.195,188.251,175.419
0.013,0.801,1.259,1.259,222.196,188.221,175.375
0.014,0.860,1.281,1.281,222.190,188.195,175.323
0.015,0.922,1.301,1.301,222.180,188.172,175.267
0.016,0.984,1.319,1.319,222.172,188.151,175.209
0.017,1.043,1.333,1.333,222.168,188.131,175.153
0.018,1.098,1.342,1.342,222.172,188.111,175.102
0.019,1.147,1.345,1.345,222.188,188.092,175.060
0.020,1.196,1.341,1.341,222.220,188.072,175.029
0.021,1.255,1.329,1.329,222.272,188.050,175.012
0.022,1.334,1.311,1.311,222.348,188.027,175.013
0.023,1.442,1.292,1.292,222.451,188.000,175.035
0.024,1.586,1.275,1.275,222.584,187.971,175.080
0.025,1.761,1.263,1.263,222.744,187.939,175.144
0.026,1.965,1.260,1.260,222.929,187.905,175.221
0.027,2.190,1.269,1.269,223.134,187.869,175.307
0.029,2.433,1.295,1.295,223.357,187.833,175.397
0.030,2.688,1.339,1.339,223.594,187.797,175.486
0.031,2.951,1.406,1.406,223.841,187.762,175.567
0.032,3.217,1.497,1.497,224.095,187.728,175.637
0.033,3.481,1.608,1.608,224.352,187.697,175.690
0.034,3.742,1.734,1.734,224.610,187.669,175.722
0.035,3.997,1.872,1.872,224.864,187.644,175.726
0.036,4.246,2.017,2.017,225.111,187.623,175.699
0.037,4.492,2.166,2.166,225.349,187.607,175.646
0.038,4.733,2.313,2.313,225.578,187.594,175.570
0.039,4.969,2.455,2.455,225.795,187.585,175.476
0.040,5.199,2.589,2.589,225.999,187.578,175.370
0.041,5.420,2.709,2.709,226.188,187.574,175.257
