"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.890,0.890,188.485,227.718,218.772
0.001,0.135,0.872,0.872,188.561,227.827,218.793
0.002,0.259,0.856,0.856,188.632,227.928,218.812
0.003,0.364,0.844,0.844,188.690,228.014,218.826
0.005,0.440,0.838,0.838,188.732,228.077,218.832
0.006,0.477,0.839,0.839,188.750,228.110,218.829
0.007,0.497,0.851,0.851,188.739,228.103,218.814
0.008,0.572,0.875,0.875,188.694,228.051,218.784
0.009,0.716,0.913,0.913,188.608,227.945,218.737
0.010,0.940,0.967,0.967,188.476,227.778,218.670
0.012,1.243,1.036,1.036,188.297,227.549,218.585
0.013,1.609,1.118,1.118,188.080,227.271,218.484
0.014,2.018,1.208,1.208,187.839,226.961,218.373
0.015,2.449,1.301,1.301,187.583,226.634,218.257
0.016,2.882,1.395,1.395,187.324,226.306,218.142
0.017,3.298,1.483,1.483,187.074,225.993,218.032
0.019,3.675,1.564,1.564,186.844,225.710,217.932
0.020,3.995,1.632,1.632,186.646,225.474,217.849
0.021,4.237,1.683,1.683,186.490,225.299,217.786
0.022,4.398,1.718,1.718,186.380,225.190,217.745
0.023,4.490,1.738,1.738,186.309,225.136,217.721
0.024,4.532,1.748,1.748,186.270,225.126,217.710
0.026,4.561,1.748,1.748,186.255,225.150,217.706
0.027,4.607,1.743,1.743,186.257,225.197,217.705
0.028,4.667,1.735,1.735,186.268,225.255,217.703
0.029,4.728,1.727,1.727,186.282,225.314,217.695
0.030,4.781,1.721,1.721,186.291,225.362,217.675
0.031,4.825,1.719,1.719,186.287,225.390,217.641
0.033,4.879,1.722,1.722,186.271,225.395,217.590
0.034,4.950,1.731,1.731,186.244,225.380,217.526
0.035,5.039,1.744,1.744,186.209,225.349,217.450
0.036,5.144,1.761,1.761,186.170,225.303,217.365
0.037,5.259,1.783,1.783,186.128,225.247,217.273
0.038,5.382,1.809,1.809,186.087,225.184,217.175
0.039,5.509,1.839,1.839,186.050,225.117,217.075
0.041,5.634,1.873,1.873,186.019,225.048,216.975
