"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.942,0.942,227.973,183.509,209.681
0.001,0.053,0.957,0.957,227.927,183.536,209.683
0.003,0.106,0.971,0.971,227.882,183.562,209.684
0.004,0.156,0.985,0.985,227.838,183.588,209.684
0.006,0.204,0.997,0.997,227.797,183.612,209.682
0.007,0.248,1.007,1.007,227.760,183.635,209.677
0.008,0.288,1.016,1.016,227.727,183.657,209.670
0.010,0.324,1.022,1.022,227.699,183.676,209.659
0.011,0.355,1.025,1.025,227.678,183.692,209.643
0.013,0.384,1.026,1.026,227.664,183.706,209.622
0.014,0.413,1.024,1.024,227.657,183.716,209.595
0.016,0.447,1.020,1.020,227.660,183.723,209.563
0.017,0.487,1.015,1.015,227.671,183.726,209.524
0.018,0.533,1.007,1.007,227.685,183.727,209.480
0.020,0.582,0.999,0.999,227.699,183.727,209.434
0.021,0.630,0.989,0.989,227.709,183.727,209.386
0.023,0.677,0.980,0.980,227.710,183.729,209.339
0.024,0.724,0.974,0.974,227.697,183.733,209.295
0.025,0.775,0.974,0.974,227.666,183.741,209.254
0.027,0.840,0.982,0.982,227.613,183.755,209.219
0.028,0.926,1.000,1.000,227.534,183.775,209.192
0.030,1.041,1.031,1.031,227.424,183.803,209.174
0.031,1.190,1.078,1.078,227.279,183.840,209.167
0.032,1.374,1.139,1.139,227.101,183.885,209.172
0.034,1.586,1.213,1.213,226.897,183.939,209.190
0.035,1.817,1.297,1.297,226.676,183.998,209.219
0.037,2.061,1.387,1.387,226.444,184.062,209.262
0.038,2.312,1.481,1.481,226.209,184.130,209.317
0.039,2.561,1.576,1.576,225.980,184.199,209.386
0.041,2.803,1.670,1.670,225.763,184.269,209.469
0.042,3.032,1.760,1.760,225.567,184.338,209.565
0.044,3.244,1.848,1.848,225.399,184.405,209.675
0.045,3.436,1.935,1.935,225.268,184.468,209.800
0.047,3.611,2.022,2.022,225.178,184.526,209.938
0.048,3.777,2.110,2.110,225.128,184.578,210.088
0.049,3.940,2.199,2.199,225.109,184.621,210.244
0.051,4.102,2.291,2.291,225.114,184.655,210.402
0.052,4.260,2.385,2.385,225.134,184.678,210.558
0.054,4.411,2.478,2.478,225.162,184.689,210.706
0.055,4.550,2.567,2.567,225.190,184.685,210.841
0.056,4.672,2.646,2.646,225.210,184.666,210.961
0.058,4.777,2.712,2.712,225.213,184.630,211.059
0.059,4.869,2.762,2.762,225.193,184.575,211.131
0.061,4.969,2.791,2.791,225.142,184.500,211.172
0.062,5.100,2.797,2.797,225.053,184.405,211.181
0.063,5.268,2.785,2.785,224.930,184.292,211.159
0.065,5.470,2.762,2.762,224.780,184.166,211.111
0.066,5.700,2.733,2.733,224.607,184.030,211.043
0.068,5.951,2.705,2.705,224.418,183.888,210.959
0.069,6.216,2.684,2.684,224.218,183.744,210.863
0.071,6.485,2.676,2.676,224.013,183.602,210.760
0.072,6.752,2.687,2.687,223.808,183.467,210.655
0.073,7.009,2.715,2.715,223.609,183.341,210.553
0.075,7.247,2.757,2.757,223.422,183.229,210.458
0.076,7.458,2.810,2.810,223.253,183.135,210.374
0.078,7.639,2.869,2.869,223.103,183.059,210.306
0.079,7.795,2.933,2.933,222.971,182.999,210.250
0.080,7.929,2.996,2.996,222.853,182.950,210.208
0.082,8.049,3.057,3.057,222.745,182.909,210.176
0.083,8.157,3.115,3.115,222.646,182.871,210.155
0.085,8.261,3.170,3.170,222.550,182.833,210.142
0.086,8.364,3.225,3.225,222.456,182.790,210.138
0.087,8.473,3.280,3.280,222.360,182.739,210.139
0.089,8.593,3.336,3.336,222.259,182.676,210.147
0.090,8.729,3.396,3.396,222.149,182.596,210.158
0.092,8.887,3.460,3.460,222.027,182.497,210.173
0.093,9.066,3.527,3.527,221.894,182.377,210.190
0.094,9.262,3.595,3.595,221.752,182.243,210.209
0.096,9.470,3.662,3.662,221.604,182.099,210.231
0.097,9.684,3.725,3.725,221.453,181.950,210.254
0.099,9.900,3.782,3.782,221.300,181.799,210.279
0.100,10.112,3.829,3.829,221.150,181.653,210.305
0.102,10.314,3.866,3.866,221.004,181.515,210.332
0.103,10.502,3.892,3.892,220.866,181.390,210.360
0.104,10.672,3.910,3.910,220.738,181.283,210.389
0.106,10.817,3.923,3.923,220.623,181.198,210.418
0.107,10.936,3.934,3.934,220.523,181.141,210.448
0.109,11.032,3.948,3.948,220.438,181.109,210.478
0.110,11.110,3.967,3.967,220.366,181.101,210.508
0.111,11.179,3.994,3.994,220.306,181.113,210.538
0.113,11.245,4.031,4.031,220.255,181.143,210.567
0.114,11.315,4.076,4.076,220.211,181.189,210.596
