"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.896,0.896,221.610,161.173,165.571
0.001,0.108,0.929,0.929,221.561,161.242,165.504
0.003,0.214,0.962,0.962,221.512,161.310,165.440
0.004,0.316,0.994,0.994,221.464,161.376,165.378
0.005,0.413,1.022,1.022,221.419,161.440,165.321
0.006,0.502,1.048,1.048,221.375,161.499,165.270
0.008,0.583,1.068,1.068,221.334,161.554,165.227
0.009,0.653,1.084,1.084,221.297,161.602,165.193
0.010,0.711,1.094,1.094,221.263,161.644,165.170
0.012,0.757,1.097,1.097,221.234,161.678,165.160
0.013,0.791,1.095,1.095,221.211,161.703,165.163
0.014,0.820,1.089,1.089,221.192,161.719,165.178
0.015,0.848,1.080,1.080,221.179,161.729,165.200
0.017,0.873,1.070,1.070,221.170,161.732,165.223
0.018,0.893,1.061,1.061,221.167,161.730,165.244
0.019,0.907,1.052,1.052,221.169,161.726,165.256
0.020,0.917,1.047,1.047,221.176,161.719,165.255
0.022,0.941,1.046,1.046,221.188,161.711,165.236
0.023,0.987,1.048,1.048,221.205,161.703,165.193
0.024,1.060,1.053,1.053,221.227,161.697,165.123
0.026,1.164,1.062,1.062,221.253,161.694,165.023
0.027,1.294,1.074,1.074,221.283,161.693,164.897
0.028,1.442,1.089,1.089,221.317,161.696,164.752
0.029,1.604,1.106,1.106,221.354,161.703,164.595
0.031,1.772,1.126,1.126,221.392,161.713,164.431
0.032,1.942,1.148,1.148,221.432,161.727,164.267
0.033,2.106,1.172,1.172,221.473,161.745,164.109
0.035,2.260,1.196,1.196,221.514,161.768,163.963
0.036,2.397,1.220,1.220,221.554,161.796,163.835
0.037,2.512,1.243,1.243,221.594,161.828,163.731
0.038,2.609,1.265,1.265,221.631,161.865,163.650
0.040,2.692,1.286,1.286,221.666,161.904,163.586
0.041,2.764,1.303,1.303,221.698,161.944,163.535
0.042,2.829,1.318,1.318,221.726,161.983,163.491
0.043,2.889,1.332,1.332,221.749,162.021,163.451
0.045,2.946,1.346,1.346,221.767,162.055,163.409
0.046,3.004,1.362,1.362,221.779,162.085,163.360
0.047,3.069,1.381,1.381,221.785,162.108,163.300
0.049,3.148,1.404,1.404,221.783,162.123,163.223
0.050,3.244,1.434,1.434,221.773,162.131,163.128
0.051,3.354,1.471,1.471,221.757,162.131,163.019
0.052,3.474,1.514,1.514,221.736,162.125,162.901
