"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.387,1.387,190.808,221.544,224.148
0.001,0.051,1.380,1.380,190.764,221.535,224.171
0.002,0.100,1.374,1.374,190.721,221.525,224.194
0.003,0.148,1.368,1.368,190.679,221.514,224.216
0.005,0.194,1.363,1.363,190.642,221.501,224.239
0.006,0.238,1.361,1.361,190.608,221.485,224.261
0.007,0.279,1.360,1.360,190.579,221.465,224.283
0.008,0.318,1.361,1.361,190.557,221.441,224.305
0.009,0.357,1.366,1.366,190.542,221.412,224.326
0.010,0.398,1.374,1.374,190.536,221.377,224.348
0.011,0.444,1.385,1.385,190.539,221.336,224.368
0.013,0.498,1.399,1.399,190.552,221.288,224.389
0.014,0.563,1.415,1.415,190.577,221.232,224.408
0.015,0.639,1.433,1.433,190.614,221.168,224.428
0.016,0.726,1.452,1.452,190.660,221.097,224.446
0.017,0.823,1.472,1.472,190.715,221.019,224.465
0.018,0.926,1.492,1.492,190.774,220.937,224.482
0.019,1.034,1.511,1.511,190.838,220.851,224.500
0.021,1.146,1.529,1.529,190.903,220.762,224.517
0.022,1.258,1.545,1.545,190.967,220.671,224.534
0.023,1.370,1.561,1.561,191.028,220.580,224.551
0.024,1.478,1.575,1.575,191.085,220.489,224.567
0.025,1.581,1.588,1.588,191.134,220.399,224.584
0.026,1.679,1.601,1.601,191.175,220.313,224.600
0.027,1.768,1.612,1.612,191.204,220.229,224.616
0.029,1.851,1.623,1.623,191.222,220.150,224.632
0.030,1.928,1.634,1.634,191.230,220.075,224.648
0.031,2.000,1.645,1.645,191.229,220.004,224.662
0.032,2.069,1.655,1.655,191.223,219.937,224.675
0.033,2.134,1.665,1.665,191.212,219.874,224.686
0.034,2.196,1.675,1.675,191.198,219.814,224.696
0.036,2.254,1.685,1.685,191.184,219.758,224.702
0.037,2.309,1.695,1.695,191.171,219.705,224.706
0.038,2.360,1.704,1.704,191.160,219.656,224.706
0.039,2.407,1.713,1.713,191.154,219.609,224.703
0.040,2.451,1.722,1.722,191.155,219.566,224.695
0.041,2.494,1.731,1.731,191.164,219.525,224.683
0.042,2.539,1.739,1.739,191.181,219.487,224.667
0.044,2.586,1.747,1.747,191.204,219.451,224.648
0.045,2.635,1.754,1.754,191.233,219.418,224.626
0.046,2.685,1.760,1.760,191.266,219.387,224.603
0.047,2.737,1.765,1.765,191.301,219.358,224.579
0.048,2.788,1.767,1.767,191.337,219.331,224.555
0.049,2.837,1.769,1.769,191.372,219.306,224.532
0.050,2.883,1.768,1.768,191.405,219.281,224.512
0.052,2.925,1.765,1.765,191.435,219.259,224.493
0.053,2.961,1.760,1.760,191.461,219.237,224.479
0.054,2.991,1.754,1.754,191.479,219.216,224.469
0.055,3.014,1.746,1.746,191.491,219.196,224.464
0.056,3.034,1.739,1.739,191.495,219.177,224.463
0.057,3.053,1.731,1.731,191.492,219.158,224.467
0.058,3.073,1.725,1.725,191.483,219.141,224.472
0.060,3.096,1.719,1.719,191.469,219.124,224.479
0.061,3.122,1.715,1.715,191.450,219.109,224.486
0.062,3.149,1.712,1.712,191.427,219.094,224.492
0.063,3.178,1.710,1.710,191.402,219.081,224.497
0.064,3.209,1.707,1.707,191.373,219.069,224.498
0.065,3.241,1.703,1.703,191.343,219.059,224.495
0.066,3.274,1.695,1.695,191.312,219.050,224.487
0.068,3.309,1.682,1.682,191.281,219.042,224.472
0.069,3.348,1.663,1.663,191.250,219.036,224.451
0.070,3.391,1.637,1.637,191.218,219.028,224.423
0.071,3.440,1.602,1.602,191.185,219.016,224.388
0.072,3.497,1.558,1.558,191.150,218.996,224.348
0.073,3.563,1.508,1.508,191.111,218.966,224.303
0.074,3.642,1.454,1.454,191.069,218.923,224.254
0.076,3.734,1.397,1.397,191.021,218.864,224.200
0.077,3.845,1.341,1.341,190.967,218.786,224.144
0.078,3.976,1.288,1.288,190.906,218.686,224.085
0.079,4.131,1.239,1.239,190.838,218.561,224.024
0.080,4.313,1.198,1.198,190.761,218.408,223.962
0.081,4.525,1.166,1.166,190.674,218.224,223.899
0.082,4.769,1.145,1.145,190.578,218.010,223.836
0.084,5.038,1.134,1.134,190.474,217.769,223.774
0.085,5.327,1.132,1.132,190.365,217.509,223.713
0.086,5.628,1.139,1.139,190.253,217.236,223.654
0.087,5.936,1.154,1.154,190.140,216.955,223.599
0.088,6.244,1.176,1.176,190.028,216.673,223.548
0.089,6.545,1.205,1.205,189.920,216.395,223.501
0.090,6.833,1.239,1.239,189.817,216.129,223.460
0.092,7.102,1.279,1.279,189.723,215.879,223.426
0.093,7.345,1.323,1.323,189.639,215.653,223.399
0.094,7.556,1.369,1.369,189.567,215.456,223.379
0.095,7.728,1.416,1.416,189.510,215.294,223.369
0.096,7.860,1.463,1.463,189.468,215.169,223.368
0.097,7.956,1.507,1.507,189.440,215.077,223.373
0.099,8.022,1.548,1.548,189.424,215.014,223.385
0.100,8.064,1.583,1.583,189.419,214.976,223.400
0.101,8.089,1.612,1.612,189.422,214.959,223.419
0.102,8.111,1.632,1.632,189.433,214.959,223.439
0.103,8.140,1.645,1.645,189.449,214.972,223.458
0.104,8.174,1.651,1.651,189.469,214.994,223.476
0.105,8.212,1.652,1.652,189.491,215.020,223.491
0.107,8.249,1.650,1.650,189.514,215.048,223.501
0.108,8.282,1.646,1.646,189.536,215.072,223.505
