"T"   ,"Distance" ,"Radius" ,"FreeRadius" ,"X"     ,"Y"     ,"Z"
0.000 ,0.000      ,0.832    ,0.832        ,186.197 ,223.142 ,217.286
0.002 ,0.186      ,0.899    ,0.899        ,186.221 ,223.301 ,217.378
0.003 ,0.371      ,0.965    ,0.965        ,186.245 ,223.461 ,217.469
0.005 ,0.555      ,1.030    ,1.031        ,186.268 ,223.620 ,217.557
0.007 ,0.737      ,1.094    ,1.094        ,186.290 ,223.779 ,217.642
0.008 ,0.915      ,1.156    ,1.156        ,186.310 ,223.938 ,217.722
0.010 ,1.090      ,1.215    ,1.215        ,186.327 ,224.096 ,217.796
0.012 ,1.262      ,1.272    ,1.272        ,186.342 ,224.253 ,217.862
0.014 ,1.429      ,1.327    ,1.326        ,186.354 ,224.410 ,217.920
0.015 ,1.592      ,1.380    ,1.378        ,186.362 ,224.565 ,217.967
0.017 ,1.750      ,1.432    ,1.430        ,186.366 ,224.720 ,218.004
0.019 ,1.905      ,1.484    ,1.482        ,186.366 ,224.873 ,218.029
0.020 ,2.057      ,1.535    ,1.535        ,186.362 ,225.023 ,218.044
0.022 ,2.205      ,1.587    ,1.590        ,186.356 ,225.171 ,218.049
0.024 ,2.350      ,1.638    ,1.645        ,186.348 ,225.316 ,218.046
0.025 ,2.491      ,1.688    ,1.700        ,186.338 ,225.456 ,218.035
0.027 ,2.627      ,1.735    ,1.754        ,186.328 ,225.591 ,218.018
0.029 ,2.759      ,1.779    ,1.807        ,186.317 ,225.720 ,217.996
0.030 ,2.885      ,1.819    ,1.856        ,186.307 ,225.843 ,217.968
0.032 ,3.004      ,1.854    ,1.903        ,186.299 ,225.958 ,217.938
0.034 ,3.117      ,1.885    ,1.945        ,186.292 ,226.066 ,217.904
0.035 ,3.225      ,1.913    ,1.984        ,186.286 ,226.167 ,217.869
0.037 ,3.327      ,1.941    ,2.019        ,186.280 ,226.263 ,217.833
0.039 ,3.426      ,1.969    ,2.049        ,186.274 ,226.355 ,217.797
0.041 ,3.524      ,1.998    ,2.075        ,186.265 ,226.445 ,217.762
0.042 ,3.620      ,2.031    ,2.097        ,186.254 ,226.534 ,217.728
0.044 ,3.716      ,2.066    ,2.118        ,186.238 ,226.624 ,217.696
0.046 ,3.815      ,2.104    ,2.139        ,186.218 ,226.717 ,217.668
0.047 ,3.918      ,2.145    ,2.164        ,186.192 ,226.813 ,217.644
0.049 ,4.026      ,2.190    ,2.196        ,186.159 ,226.915 ,217.624
0.051 ,4.142      ,2.237    ,2.237        ,186.119 ,227.022 ,217.610
0.052 ,4.263      ,2.287    ,2.288        ,186.073 ,227.133 ,217.598
0.054 ,4.388      ,2.340    ,2.347        ,186.021 ,227.247 ,217.588
0.056 ,4.516      ,2.395    ,2.413        ,185.966 ,227.362 ,217.578
0.057 ,4.646      ,2.453    ,2.481        ,185.907 ,227.477 ,217.565
0.059 ,4.774      ,2.513    ,2.550        ,185.847 ,227.589 ,217.550
0.061 ,4.901      ,2.575    ,2.617        ,185.785 ,227.698 ,217.529
0.063 ,5.025      ,2.638    ,2.679        ,185.723 ,227.802 ,217.501
0.064 ,5.145      ,2.701    ,2.736        ,185.663 ,227.899 ,217.464
0.066 ,5.261      ,2.762    ,2.787        ,185.604 ,227.988 ,217.417
0.068 ,5.375      ,2.818    ,2.834        ,185.548 ,228.069 ,217.362
0.069 ,5.485      ,2.869    ,2.875        ,185.495 ,228.143 ,217.298
0.071 ,5.594      ,2.911    ,2.911        ,185.447 ,228.210 ,217.229
0.073 ,5.700      ,2.945    ,2.940        ,185.402 ,228.272 ,217.155
0.074 ,5.803      ,2.971    ,2.965        ,185.364 ,228.329 ,217.079
0.076 ,5.902      ,2.991    ,2.985        ,185.330 ,228.383 ,217.001
0.078 ,5.998      ,3.005    ,3.001        ,185.304 ,228.433 ,216.925
0.079 ,6.088      ,3.015    ,3.013        ,185.284 ,228.481 ,216.851
0.081 ,6.173      ,3.023    ,3.023        ,185.272 ,228.528 ,216.780
0.083 ,6.253      ,3.029    ,3.030        ,185.268 ,228.574 ,216.715
0.084 ,6.330      ,3.034    ,3.036        ,185.269 ,228.620 ,216.654
0.086 ,6.405      ,3.039    ,3.040        ,185.275 ,228.668 ,216.597
0.088 ,6.480      ,3.043    ,3.044        ,185.282 ,228.719 ,216.543
0.090 ,6.555      ,3.048    ,3.049        ,185.290 ,228.774 ,216.491
0.091 ,6.633      ,3.054    ,3.053        ,185.297 ,228.833 ,216.441
0.093 ,6.715      ,3.060    ,3.060        ,185.300 ,228.899 ,216.392
0.095 ,6.802      ,3.068    ,3.067        ,185.297 ,228.971 ,216.344
0.096 ,6.897      ,3.077    ,3.077        ,185.288 ,229.052 ,216.295
0.098 ,7.001      ,3.089    ,3.089        ,185.270 ,229.142 ,216.245
0.100 ,7.114      ,3.102    ,3.102        ,185.245 ,229.239 ,216.196
0.101 ,7.231      ,3.118    ,3.118        ,185.214 ,229.341 ,216.147
0.103 ,7.349      ,3.137    ,3.137        ,185.180 ,229.444 ,216.101
0.105 ,7.464      ,3.157    ,3.157        ,185.145 ,229.546 ,216.059
0.106 ,7.573      ,3.179    ,3.179        ,185.112 ,229.642 ,216.022
0.108 ,7.671      ,3.201    ,3.202        ,185.083 ,229.731 ,215.991
0.110 ,7.755      ,3.224    ,3.224        ,185.060 ,229.809 ,215.969
0.111 ,7.822      ,3.246    ,3.246        ,185.045 ,229.873 ,215.955
0.113 ,7.870      ,3.267    ,3.267        ,185.042 ,229.920 ,215.953
0.115 ,7.901      ,3.285    ,3.285        ,185.050 ,229.949 ,215.960
0.117 ,7.927      ,3.301    ,3.301        ,185.069 ,229.962 ,215.974
0.118 ,7.959      ,3.313    ,3.313        ,185.097 ,229.963 ,215.989
0.120 ,7.995      ,3.320    ,3.320        ,185.130 ,229.955 ,216.000
0.122 ,8.036      ,3.321    ,3.321        ,185.169 ,229.942 ,216.003
0.123 ,8.080      ,3.316    ,3.316        ,185.209 ,229.927 ,215.992
0.125 ,8.132      ,3.304    ,3.304        ,185.250 ,229.913 ,215.964
0.127 ,8.197      ,3.283    ,3.283        ,185.289 ,229.904 ,215.912
0.128 ,8.284      ,3.254    ,3.254        ,185.324 ,229.904 ,215.833
0.130 ,8.400      ,3.213    ,3.213        ,185.354 ,229.914 ,215.722
0.132 ,8.545      ,3.162    ,3.162        ,185.377 ,229.937 ,215.580
0.133 ,8.714      ,3.100    ,3.100        ,185.395 ,229.969 ,215.415
0.135 ,8.901      ,3.032    ,3.032        ,185.409 ,230.007 ,215.233
0.137 ,9.099      ,2.962    ,2.962        ,185.418 ,230.052 ,215.040
0.139 ,9.300      ,2.894    ,2.894        ,185.425 ,230.098 ,214.844
0.140 ,9.499      ,2.832    ,2.832        ,185.429 ,230.146 ,214.652
0.142 ,9.687      ,2.781    ,2.781        ,185.432 ,230.192 ,214.469
0.144 ,9.859      ,2.742    ,2.742        ,185.434 ,230.234 ,214.303
0.145 ,10.006     ,2.715    ,2.715        ,185.436 ,230.270 ,214.160
0.147 ,10.124     ,2.696    ,2.696        ,185.440 ,230.299 ,214.045
0.149 ,10.216     ,2.684    ,2.684        ,185.444 ,230.321 ,213.957
0.150 ,10.283     ,2.676    ,2.676        ,185.448 ,230.338 ,213.891
0.152 ,10.331     ,2.670    ,2.670        ,185.454 ,230.350 ,213.845
0.154 ,10.362     ,2.665    ,2.665        ,185.460 ,230.360 ,213.816
0.155 ,10.381     ,2.661    ,2.661        ,185.466 ,230.368 ,213.800
0.157 ,10.393     ,2.657    ,2.657        ,185.473 ,230.375 ,213.795
0.159 ,10.404     ,2.654    ,2.654        ,185.481 ,230.382 ,213.796
0.160 ,10.417     ,2.652    ,2.652        ,185.489 ,230.392 ,213.801
0.162 ,10.433     ,2.651    ,2.651        ,185.497 ,230.405 ,213.806
0.164 ,10.451     ,2.650    ,2.650        ,185.506 ,230.421 ,213.809
0.166 ,10.472     ,2.649    ,2.649        ,185.512 ,230.440 ,213.805
0.167 ,10.499     ,2.645    ,2.644        ,185.517 ,230.462 ,213.790
0.169 ,10.536     ,2.636    ,2.635        ,185.517 ,230.486 ,213.761
0.171 ,10.589     ,2.621    ,2.620        ,185.513 ,230.512 ,213.715
0.172 ,10.663     ,2.597    ,2.598        ,185.504 ,230.539 ,213.647
0.174 ,10.762     ,2.567    ,2.567        ,185.487 ,230.567 ,213.554
0.176 ,10.890     ,2.531    ,2.532        ,185.462 ,230.595 ,213.431
0.177 ,11.051     ,2.493    ,2.494        ,185.428 ,230.624 ,213.277
0.179 ,11.247     ,2.457    ,2.458        ,185.385 ,230.652 ,213.088
0.181 ,11.472     ,2.425    ,2.425        ,185.336 ,230.680 ,212.869
0.182 ,11.719     ,2.400    ,2.399        ,185.284 ,230.708 ,212.630
0.184 ,11.977     ,2.383    ,2.381        ,185.234 ,230.735 ,212.378
0.186 ,12.239     ,2.372    ,2.369        ,185.189 ,230.762 ,212.121
0.188 ,12.498     ,2.363    ,2.359        ,185.154 ,230.789 ,211.867
0.189 ,12.744     ,2.354    ,2.351        ,185.133 ,230.816 ,211.623
0.191 ,12.971     ,2.342    ,2.340        ,185.130 ,230.843 ,211.398
0.193 ,13.172     ,2.324    ,2.326        ,185.149 ,230.869 ,211.199
0.194 ,13.345     ,2.299    ,2.307        ,185.193 ,230.896 ,211.034
0.196 ,13.493     ,2.269    ,2.283        ,185.264 ,230.922 ,210.906
0.198 ,13.627     ,2.236    ,2.256        ,185.354 ,230.947 ,210.811
0.199 ,13.754     ,2.201    ,2.227        ,185.460 ,230.972 ,210.744
0.201 ,13.879     ,2.166    ,2.196        ,185.575 ,230.994 ,210.702
0.203 ,14.001     ,2.133    ,2.164        ,185.693 ,231.015 ,210.680
0.204 ,14.120     ,2.103    ,2.132        ,185.811 ,231.034 ,210.673
0.206 ,14.232     ,2.077    ,2.101        ,185.921 ,231.050 ,210.678
0.208 ,14.332     ,2.055    ,2.073        ,186.019 ,231.062 ,210.691
0.209 ,14.413     ,2.037    ,2.048        ,186.099 ,231.071 ,210.706
0.211 ,14.473     ,2.023    ,2.027        ,186.157 ,231.077 ,210.721
