"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.832,0.832,186.197,223.142,217.286
0.001,0.185,0.912,0.912,186.354,223.045,217.285
0.003,0.368,0.990,0.990,186.511,222.950,217.285
0.004,0.550,1.066,1.066,186.666,222.857,217.284
0.005,0.728,1.138,1.138,186.820,222.767,217.283
0.007,0.901,1.206,1.206,186.972,222.683,217.282
0.008,1.069,1.267,1.267,187.121,222.605,217.280
0.009,1.230,1.321,1.321,187.266,222.535,217.277
0.011,1.384,1.367,1.367,187.407,222.473,217.274
0.012,1.530,1.404,1.404,187.543,222.421,217.269
0.013,1.667,1.434,1.434,187.674,222.381,217.264
0.015,1.796,1.460,1.460,187.800,222.353,217.258
0.016,1.917,1.481,1.481,187.920,222.336,217.249
0.017,2.033,1.501,1.501,188.034,222.329,217.239
0.019,2.143,1.520,1.520,188.144,222.330,217.227
0.020,2.249,1.541,1.541,188.249,222.337,217.211
0.021,2.353,1.565,1.565,188.350,222.349,217.192
0.023,2.453,1.591,1.591,188.446,222.364,217.170
0.024,2.552,1.618,1.618,188.539,222.381,217.143
0.025,2.648,1.646,1.646,188.629,222.398,217.111
0.027,2.744,1.674,1.674,188.716,222.413,217.075
0.028,2.839,1.700,1.700,188.801,222.426,217.032
0.029,2.934,1.724,1.724,188.882,222.435,216.985
0.031,3.028,1.746,1.746,188.962,222.443,216.935
0.032,3.121,1.763,1.763,189.038,222.449,216.882
0.033,3.213,1.779,1.779,189.112,222.455,216.828
0.035,3.303,1.794,1.794,189.184,222.461,216.775
0.036,3.390,1.810,1.810,189.253,222.469,216.722
0.037,3.473,1.827,1.827,189.319,222.479,216.673
0.039,3.553,1.847,1.847,189.383,222.492,216.627
0.040,3.628,1.872,1.872,189.445,222.508,216.586
0.041,3.700,1.902,1.902,189.504,222.529,216.552
0.043,3.768,1.935,1.935,189.560,222.554,216.523
0.044,3.832,1.970,1.970,189.612,222.583,216.500
0.045,3.893,2.004,2.004,189.660,222.615,216.481
0.047,3.950,2.035,2.035,189.704,222.649,216.466
0.048,4.004,2.060,2.060,189.743,222.684,216.453
0.049,4.054,2.076,2.076,189.776,222.719,216.443
0.051,4.099,2.082,2.082,189.803,222.755,216.433
0.052,4.140,2.075,2.075,189.824,222.789,216.424
