"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.460,1.460,231.935,195.210,205.088
0.001,0.154,1.513,1.513,232.048,195.155,205.000
0.003,0.306,1.565,1.565,232.160,195.101,204.912
0.004,0.455,1.618,1.618,232.270,195.049,204.825
0.006,0.601,1.671,1.671,232.376,195.001,204.739
0.007,0.741,1.724,1.724,232.478,194.956,204.653
0.009,0.875,1.777,1.777,232.574,194.917,204.568
0.010,1.002,1.830,1.830,232.664,194.885,204.485
0.012,1.120,1.883,1.883,232.746,194.860,204.404
0.013,1.229,1.935,1.935,232.818,194.843,204.324
0.014,1.329,1.985,1.985,232.881,194.836,204.247
0.016,1.420,2.031,2.031,232.934,194.838,204.172
0.017,1.504,2.072,2.072,232.977,194.848,204.100
0.019,1.582,2.107,2.108,233.013,194.865,204.034
0.020,1.652,2.136,2.136,233.041,194.885,203.973
0.022,1.715,2.156,2.156,233.064,194.909,203.919
0.023,1.771,2.169,2.169,233.083,194.934,203.872
0.025,1.819,2.178,2.178,233.097,194.959,203.834
0.026,1.858,2.185,2.184,233.109,194.982,203.806
0.027,1.886,2.190,2.190,233.120,195.002,203.789
0.029,1.905,2.197,2.196,233.130,195.017,203.782
0.030,1.919,2.206,2.206,233.141,195.026,203.785
0.032,1.935,2.220,2.220,233.152,195.027,203.796
0.033,1.957,2.238,2.239,233.166,195.019,203.811
0.035,1.989,2.259,2.261,233.183,195.000,203.830
0.036,2.030,2.283,2.286,233.203,194.970,203.850
0.038,2.084,2.310,2.313,233.227,194.926,203.869
0.039,2.151,2.338,2.342,233.257,194.867,203.886
0.040,2.235,2.368,2.372,233.292,194.793,203.897
0.042,2.336,2.398,2.402,233.335,194.701,203.900
0.043,2.454,2.429,2.432,233.383,194.594,203.897
0.045,2.584,2.459,2.462,233.436,194.475,203.888
0.046,2.723,2.489,2.491,233.491,194.349,203.874
0.048,2.865,2.518,2.519,233.547,194.219,203.858
0.049,3.006,2.547,2.547,233.603,194.091,203.839
0.051,3.141,2.574,2.574,233.655,193.968,203.820
0.052,3.265,2.600,2.599,233.703,193.854,203.803
0.053,3.374,2.623,2.623,233.745,193.754,203.787
0.055,3.464,2.645,2.644,233.778,193.672,203.776
0.056,3.530,2.663,2.663,233.803,193.611,203.769
0.058,3.576,2.679,2.679,233.819,193.568,203.767
0.059,3.604,2.691,2.691,233.828,193.542,203.768
0.061,3.619,2.699,2.699,233.832,193.528,203.772
0.062,3.626,2.702,2.702,233.830,193.525,203.778
0.064,3.636,2.702,2.703,233.826,193.530,203.786
0.065,3.650,2.700,2.700,233.819,193.540,203.794
0.066,3.667,2.696,2.696,233.812,193.552,203.802
0.068,3.682,2.691,2.692,233.805,193.564,203.810
0.069,3.694,2.687,2.687,233.800,193.573,203.816
0.071,3.701,2.684,2.684,233.797,193.578,203.820
0.072,3.705,2.682,2.682,233.795,193.579,203.823
0.074,3.706,2.682,2.682,233.795,193.579,203.824
0.075,3.709,2.683,2.683,233.796,193.576,203.824
0.077,3.713,2.685,2.685,233.798,193.573,203.824
0.078,3.718,2.687,2.687,233.800,193.569,203.822
0.079,3.722,2.689,2.689,233.802,193.565,203.820
0.081,3.726,2.690,2.690,233.803,193.563,203.818
0.082,3.729,2.691,2.691,233.804,193.562,203.816
0.084,3.731,2.691,2.691,233.804,193.562,203.813
0.085,3.734,2.690,2.690,233.803,193.564,203.812
0.087,3.736,2.689,2.689,233.802,193.565,203.810
0.088,3.737,2.688,2.688,233.800,193.565,203.810
0.090,3.740,2.687,2.687,233.799,193.563,203.810
0.091,3.747,2.686,2.686,233.798,193.556,203.812
0.092,3.759,2.686,2.686,233.798,193.545,203.815
0.094,3.778,2.686,2.686,233.799,193.527,203.821
0.095,3.804,2.688,2.688,233.800,193.502,203.828
0.097,3.839,2.690,2.690,233.803,193.468,203.837
0.098,3.882,2.694,2.694,233.807,193.427,203.849
0.100,3.932,2.701,2.701,233.812,193.378,203.861
0.101,3.988,2.709,2.709,233.816,193.325,203.875
0.103,4.048,2.720,2.720,233.819,193.267,203.889
0.104,4.110,2.731,2.731,233.820,193.206,203.903
0.105,4.173,2.744,2.744,233.819,193.144,203.916
0.107,4.236,2.756,2.756,233.815,193.082,203.928
0.108,4.298,2.766,2.766,233.807,193.022,203.938
0.110,4.358,2.773,2.773,233.795,192.964,203.946
0.111,4.415,2.777,2.777,233.778,192.910,203.951
0.113,4.470,2.778,2.778,233.760,192.858,203.955
0.114,4.524,2.775,2.775,233.743,192.807,203.957
0.116,4.576,2.773,2.773,233.732,192.755,203.959
0.117,4.629,2.771,2.771,233.728,192.703,203.961
0.118,4.685,2.772,2.772,233.735,192.647,203.965
0.120,4.748,2.777,2.777,233.757,192.588,203.971
0.121,4.824,2.790,2.790,233.795,192.524,203.979
0.123,4.917,2.809,2.809,233.854,192.452,203.992
0.124,5.032,2.833,2.833,233.936,192.374,204.009
