"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.320,1.320,235.298,206.446,186.459
0.002,0.054,1.311,1.311,235.320,206.397,186.469
0.003,0.107,1.302,1.302,235.340,206.349,186.478
0.005,0.160,1.293,1.293,235.361,206.301,186.488
0.006,0.213,1.284,1.284,235.380,206.253,186.498
0.008,0.264,1.275,1.275,235.398,206.206,186.509
0.009,0.315,1.266,1.266,235.415,206.159,186.520
0.011,0.366,1.257,1.257,235.429,206.112,186.532
0.012,0.415,1.248,1.248,235.441,206.066,186.545
0.014,0.463,1.240,1.240,235.451,206.021,186.559
0.015,0.511,1.234,1.234,235.458,205.977,186.574
0.017,0.557,1.229,1.229,235.462,205.933,186.590
0.018,0.603,1.227,1.227,235.463,205.891,186.607
0.020,0.649,1.228,1.228,235.462,205.848,186.625
0.021,0.695,1.232,1.232,235.459,205.806,186.643
0.023,0.741,1.239,1.239,235.455,205.764,186.660
0.024,0.787,1.248,1.248,235.451,205.721,186.676
0.026,0.832,1.257,1.257,235.449,205.678,186.689
0.027,0.878,1.266,1.266,235.447,205.633,186.700
0.029,0.925,1.272,1.272,235.448,205.587,186.708
0.030,0.973,1.275,1.275,235.453,205.539,186.711
0.032,1.024,1.274,1.274,235.461,205.489,186.710
0.033,1.078,1.270,1.270,235.474,205.436,186.704
0.035,1.137,1.264,1.264,235.491,205.381,186.693
0.036,1.201,1.259,1.259,235.511,205.323,186.678
0.038,1.269,1.255,1.255,235.533,205.261,186.660
0.039,1.341,1.254,1.254,235.555,205.196,186.640
0.041,1.417,1.258,1.258,235.578,205.126,186.618
0.042,1.497,1.268,1.268,235.599,205.052,186.595
0.044,1.581,1.282,1.282,235.618,204.974,186.573
0.045,1.668,1.301,1.301,235.633,204.890,186.552
0.047,1.760,1.324,1.324,235.644,204.802,186.533
0.048,1.856,1.349,1.349,235.648,204.707,186.516
0.050,1.957,1.377,1.377,235.647,204.607,186.503
0.052,2.062,1.407,1.407,235.640,204.502,186.493
0.053,2.171,1.439,1.439,235.628,204.394,186.486
0.055,2.283,1.472,1.472,235.612,204.283,186.482
0.056,2.396,1.505,1.505,235.593,204.172,186.480
0.058,2.510,1.539,1.539,235.572,204.060,186.480
0.059,2.623,1.574,1.574,235.551,203.949,186.482
0.061,2.733,1.608,1.608,235.529,203.841,186.485
0.062,2.840,1.643,1.643,235.508,203.737,186.489
0.064,2.941,1.676,1.676,235.490,203.637,186.494
0.065,3.037,1.710,1.710,235.474,203.543,186.500
0.067,3.125,1.743,1.743,235.461,203.456,186.506
0.068,3.207,1.776,1.776,235.450,203.375,186.512
0.070,3.281,1.808,1.808,235.440,203.302,186.518
0.071,3.348,1.840,1.840,235.430,203.236,186.524
0.073,3.408,1.871,1.871,235.418,203.177,186.530
0.074,3.461,1.901,1.901,235.404,203.126,186.535
0.076,3.508,1.930,1.930,235.387,203.083,186.539
0.077,3.550,1.957,1.957,235.365,203.047,186.542
0.079,3.588,1.982,1.982,235.338,203.020,186.545
0.080,3.627,2.004,2.004,235.304,203.001,186.546
0.082,3.669,2.023,2.023,235.263,202.991,186.546
0.083,3.717,2.039,2.039,235.216,202.987,186.545
0.085,3.768,2.052,2.052,235.164,202.987,186.546
0.086,3.822,2.062,2.062,235.111,202.989,186.550
0.088,3.876,2.068,2.068,235.058,202.989,186.559
0.089,3.929,2.070,2.070,235.007,202.987,186.574
0.091,3.981,2.069,2.069,234.961,202.978,186.597
0.092,4.035,2.064,2.064,234.921,202.961,186.629
0.094,4.095,2.057,2.057,234.890,202.933,186.672
0.095,4.168,2.047,2.047,234.870,202.892,186.728
0.097,4.258,2.036,2.036,234.863,202.835,186.799
0.098,4.372,2.025,2.025,234.870,202.761,186.884
0.100,4.506,2.015,2.015,234.891,202.671,186.982
0.102,4.659,2.005,2.005,234.923,202.570,187.092
0.103,4.826,1.998,1.998,234.966,202.460,187.211
0.105,5.005,1.993,1.993,235.018,202.344,187.336
0.106,5.192,1.991,1.991,235.077,202.224,187.467
0.108,5.382,1.992,1.992,235.142,202.104,187.599
0.109,5.573,1.995,1.995,235.212,201.987,187.733
0.111,5.761,2.002,2.002,235.284,201.875,187.865
0.112,5.941,2.012,2.012,235.359,201.771,187.993
0.114,6.112,2.026,2.026,235.433,201.678,188.115
0.115,6.271,2.042,2.042,235.506,201.598,188.231
0.117,6.418,2.060,2.060,235.576,201.527,188.340
0.118,6.556,2.079,2.079,235.641,201.465,188.444
0.120,6.684,2.099,2.099,235.699,201.410,188.544
0.121,6.802,2.119,2.119,235.749,201.361,188.639
0.123,6.913,2.138,2.138,235.790,201.316,188.731
0.124,7.016,2.156,2.156,235.819,201.273,188.821
0.126,7.114,2.174,2.174,235.835,201.230,188.908
0.127,7.210,2.191,2.191,235.836,201.187,188.994
0.129,7.308,2.208,2.208,235.820,201.141,189.079
0.130,7.412,2.224,2.224,235.787,201.091,189.164
0.132,7.524,2.241,2.241,235.738,201.037,189.248
0.133,7.642,2.257,2.257,235.675,200.981,189.332
0.135,7.767,2.274,2.274,235.603,200.922,189.414
0.136,7.894,2.290,2.290,235.524,200.863,189.495
0.138,8.023,2.306,2.306,235.441,200.803,189.574
0.139,8.151,2.322,2.322,235.358,200.744,189.650
0.141,8.275,2.337,2.337,235.276,200.686,189.724
0.142,8.393,2.353,2.353,235.199,200.631,189.794
0.144,8.502,2.367,2.367,235.131,200.579,189.860
0.145,8.599,2.382,2.382,235.073,200.531,189.923
0.147,8.685,2.397,2.397,235.029,200.488,189.981
0.148,8.762,2.411,2.411,234.994,200.448,190.039
0.150,8.837,2.426,2.426,234.966,200.411,190.097
