"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.266,1.266,220.492,192.756,176.052
0.001,0.048,1.248,1.248,220.515,192.796,176.064
0.002,0.096,1.232,1.232,220.538,192.838,176.073
0.003,0.146,1.217,1.217,220.562,192.880,176.078
0.005,0.197,1.206,1.206,220.587,192.925,176.076
0.006,0.252,1.200,1.200,220.614,192.972,176.064
0.007,0.315,1.199,1.199,220.643,193.022,176.041
0.008,0.388,1.206,1.206,220.675,193.076,176.003
0.009,0.474,1.220,1.220,220.710,193.134,175.950
0.010,0.577,1.243,1.243,220.749,193.197,175.878
0.011,0.700,1.275,1.275,220.792,193.265,175.785
0.013,0.846,1.316,1.316,220.839,193.340,175.668
0.014,1.017,1.363,1.363,220.891,193.421,175.527
0.015,1.209,1.415,1.415,220.947,193.508,175.366
0.016,1.417,1.472,1.472,221.006,193.598,175.188
0.017,1.637,1.530,1.530,221.067,193.692,174.999
0.018,1.862,1.589,1.589,221.129,193.788,174.804
0.019,2.089,1.647,1.647,221.192,193.884,174.608
0.021,2.313,1.703,1.703,221.254,193.979,174.416
0.022,2.527,1.755,1.755,221.315,194.072,174.233
0.023,2.727,1.804,1.804,221.373,194.161,174.063
0.024,2.909,1.849,1.849,221.427,194.246,173.912
0.025,3.067,1.889,1.889,221.478,194.324,173.785
0.026,3.198,1.924,1.924,221.523,194.396,173.685
0.028,3.301,1.955,1.955,221.561,194.457,173.610
0.029,3.380,1.980,1.980,221.591,194.505,173.556
0.030,3.433,1.999,1.999,221.612,194.539,173.520
0.031,3.463,2.013,2.013,221.622,194.554,173.497
0.032,3.478,2.020,2.020,221.620,194.549,173.484
0.033,3.511,2.022,2.022,221.605,194.521,173.475
0.034,3.574,2.020,2.020,221.574,194.467,173.468
0.036,3.669,2.015,2.015,221.527,194.384,173.459
0.037,3.801,2.006,2.006,221.463,194.270,173.442
0.038,3.974,1.996,1.996,221.379,194.121,173.415
0.039,4.188,1.984,1.984,221.276,193.938,173.374
0.040,4.440,1.971,1.971,221.156,193.724,173.320
0.041,4.719,1.958,1.958,221.023,193.486,173.256
0.042,5.019,1.946,1.946,220.881,193.233,173.185
0.044,5.328,1.933,1.933,220.735,192.970,173.108
0.045,5.641,1.921,1.921,220.589,192.706,173.028
0.046,5.946,1.910,1.910,220.446,192.448,172.949
0.047,6.236,1.898,1.898,220.311,192.203,172.872
0.048,6.503,1.887,1.887,220.189,191.977,172.801
0.049,6.736,1.877,1.877,220.082,191.779,172.737
0.050,6.929,1.866,1.866,219.996,191.616,172.683
0.052,7.072,1.857,1.857,219.934,191.493,172.642
0.053,7.170,1.847,1.847,219.893,191.409,172.614
0.054,7.228,1.837,1.837,219.872,191.358,172.597
0.055,7.254,1.827,1.827,219.864,191.334,172.590
0.056,7.259,1.817,1.817,219.868,191.332,172.593
0.057,7.282,1.805,1.805,219.880,191.347,172.604
0.058,7.317,1.793,1.793,219.895,191.373,172.623
0.060,7.361,1.780,1.780,219.911,191.405,172.649
0.061,7.408,1.766,1.766,219.923,191.438,172.680
0.062,7.453,1.750,1.750,219.928,191.466,172.716
0.063,7.497,1.733,1.733,219.922,191.483,172.755
0.064,7.543,1.715,1.715,219.902,191.485,172.797
0.065,7.600,1.697,1.697,219.868,191.472,172.841
0.067,7.669,1.679,1.679,219.823,191.446,172.886
0.068,7.750,1.662,1.662,219.768,191.408,172.932
0.069,7.841,1.644,1.644,219.705,191.361,172.978
0.070,7.941,1.628,1.628,219.636,191.305,173.023
0.071,8.046,1.613,1.613,219.562,191.244,173.066
0.072,8.155,1.600,1.600,219.486,191.179,173.108
0.073,8.264,1.587,1.587,219.409,191.111,173.146
0.075,8.372,1.574,1.574,219.333,191.043,173.182
0.076,8.475,1.560,1.560,219.260,190.977,173.213
0.077,8.572,1.544,1.544,219.192,190.914,173.239
0.078,8.661,1.526,1.526,219.129,190.854,173.262
0.079,8.746,1.505,1.505,219.071,190.796,173.281
0.080,8.826,1.481,1.481,219.017,190.740,173.298
0.081,8.902,1.452,1.452,218.967,190.684,173.314
0.083,8.977,1.419,1.419,218.921,190.628,173.330
0.084,9.051,1.383,1.383,218.878,190.570,173.346
0.085,9.125,1.347,1.347,218.838,190.510,173.364
0.086,9.201,1.311,1.311,218.800,190.448,173.385
0.087,9.280,1.277,1.277,218.765,190.381,173.410
0.088,9.364,1.247,1.247,218.732,190.310,173.439
0.089,9.454,1.222,1.222,218.700,190.233,173.473
0.091,9.549,1.204,1.204,218.667,190.152,173.512
0.092,9.648,1.194,1.194,218.631,190.069,173.551
0.093,9.750,1.191,1.191,218.588,189.985,173.588
0.094,9.853,1.195,1.195,218.535,189.902,173.621
0.095,9.958,1.203,1.203,218.469,189.824,173.646
0.096,10.069,1.215,1.215,218.387,189.750,173.661
0.097,10.190,1.228,1.228,218.287,189.684,173.662
0.099,10.325,1.242,1.242,218.164,189.628,173.647
0.100,10.483,1.254,1.254,218.017,189.583,173.613
0.101,10.670,1.264,1.264,217.841,189.551,173.558
0.102,10.892,1.270,1.270,217.635,189.534,173.478
0.103,11.146,1.272,1.272,217.402,189.532,173.376
0.104,11.427,1.271,1.271,217.148,189.541,173.256
0.106,11.727,1.266,1.266,216.881,189.560,173.123
0.107,12.037,1.259,1.259,216.606,189.585,172.982
0.108,12.349,1.250,1.250,216.330,189.615,172.837
0.109,12.657,1.239,1.239,216.061,189.646,172.693
0.110,12.950,1.227,1.227,215.804,189.677,172.554
0.111,13.221,1.214,1.214,215.567,189.705,172.426
