"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.402,1.402,219.341,190.348,173.172
0.001,0.039,1.377,1.378,219.348,190.370,173.203
0.002,0.076,1.355,1.355,219.356,190.393,173.231
0.003,0.108,1.335,1.336,219.366,190.416,173.252
0.004,0.137,1.321,1.321,219.378,190.441,173.260
0.005,0.170,1.312,1.313,219.395,190.468,173.254
0.007,0.214,1.311,1.312,219.417,190.497,173.229
0.008,0.279,1.320,1.320,219.444,190.530,173.180
0.009,0.369,1.339,1.340,219.479,190.566,173.105
0.010,0.490,1.371,1.371,219.521,190.607,173.000
0.011,0.645,1.417,1.416,219.573,190.652,172.861
0.012,0.832,1.474,1.473,219.632,190.702,172.690
0.013,1.044,1.540,1.539,219.697,190.756,172.496
0.014,1.269,1.611,1.609,219.763,190.815,172.289
0.015,1.499,1.684,1.682,219.829,190.878,172.077
0.016,1.726,1.755,1.753,219.892,190.944,171.870
0.018,1.939,1.822,1.820,219.948,191.015,171.677
0.019,2.131,1.881,1.879,219.994,191.089,171.506
0.020,2.294,1.928,1.927,220.029,191.166,171.367
0.021,2.423,1.961,1.962,220.048,191.247,171.269
0.022,2.520,1.979,1.982,220.050,191.329,171.217
0.023,2.599,1.985,1.989,220.043,191.407,171.204
0.024,2.668,1.981,1.987,220.032,191.474,171.217
0.025,2.723,1.970,1.977,220.025,191.521,171.245
0.026,2.761,1.954,1.961,220.031,191.543,171.275
0.027,2.796,1.935,1.942,220.057,191.531,171.296
0.028,2.871,1.916,1.922,220.110,191.479,171.296
0.030,3.008,1.899,1.902,220.198,191.379,171.262
0.031,3.226,1.887,1.885,220.329,191.224,171.183
0.032,3.539,1.881,1.873,220.510,191.007,171.048
0.033,3.946,1.880,1.866,220.739,190.732,170.855
0.034,4.425,1.883,1.863,221.006,190.413,170.617
0.035,4.953,1.889,1.864,221.297,190.064,170.347
0.036,5.509,1.898,1.870,221.602,189.702,170.057
0.037,6.068,1.908,1.881,221.908,189.341,169.760
0.038,6.608,1.919,1.897,222.205,188.997,169.468
0.039,7.106,1.930,1.917,222.478,188.683,169.193
0.041,7.540,1.939,1.941,222.718,188.416,168.949
0.042,7.887,1.947,1.971,222.912,188.211,168.748
0.043,8.130,1.954,2.004,223.051,188.078,168.599
0.044,8.280,1.960,2.039,223.142,188.010,168.501
0.045,8.357,1.967,2.076,223.192,187.993,168.446
0.046,8.391,1.975,2.113,223.213,188.014,168.429
0.047,8.439,1.985,2.149,223.213,188.061,168.443
0.048,8.510,1.999,2.184,223.201,188.119,168.482
0.049,8.592,2.016,2.215,223.188,188.175,168.539
0.050,8.674,2.038,2.243,223.183,188.217,168.610
0.051,8.752,2.065,2.267,223.195,188.231,168.686
0.053,8.842,2.096,2.285,223.233,188.204,168.763
0.054,8.964,2.130,2.299,223.300,188.134,168.835
0.055,9.118,2.166,2.309,223.390,188.028,168.904
0.056,9.299,2.200,2.316,223.495,187.895,168.967
0.057,9.497,2.233,2.319,223.610,187.745,169.025
0.058,9.703,2.263,2.319,223.728,187.585,169.077
0.059,9.904,2.288,2.317,223.842,187.425,169.121
0.060,10.091,2.306,2.312,223.946,187.273,169.158
0.061,10.254,2.316,2.306,224.033,187.139,169.186
0.062,10.381,2.319,2.298,224.097,187.031,169.206
0.064,10.464,2.317,2.291,224.133,186.956,169.216
0.065,10.511,2.312,2.284,224.144,186.912,169.219
0.066,10.531,2.305,2.279,224.139,186.892,169.217
0.067,10.548,2.299,2.278,224.123,186.892,169.211
0.068,10.573,2.296,2.280,224.103,186.907,169.204
0.069,10.603,2.297,2.288,224.086,186.930,169.199
0.070,10.630,2.305,2.302,224.078,186.956,169.197
0.071,10.656,2.320,2.322,224.086,186.980,169.201
0.072,10.693,2.345,2.350,224.118,186.996,169.213
0.073,10.758,2.376,2.383,224.179,187.000,169.235
0.074,10.855,2.411,2.419,224.270,186.989,169.267
0.076,10.978,2.450,2.457,224.383,186.965,169.307
0.077,11.118,2.489,2.495,224.513,186.933,169.351
0.078,11.269,2.526,2.531,224.651,186.893,169.397
0.079,11.421,2.561,2.563,224.789,186.851,169.442
0.080,11.567,2.590,2.591,224.922,186.807,169.483
0.081,11.698,2.611,2.611,225.041,186.765,169.518
0.082,11.806,2.625,2.624,225.140,186.728,169.542
0.083,11.883,2.632,2.630,225.210,186.698,169.555
0.084,11.924,2.634,2.632,225.246,186.678,169.553
0.085,11.943,2.632,2.630,225.254,186.667,169.540
0.087,11.967,2.629,2.627,225.242,186.663,169.521
0.088,11.999,2.626,2.625,225.217,186.664,169.500
0.089,12.033,2.625,2.624,225.188,186.668,169.482
0.090,12.061,2.627,2.626,225.164,186.675,169.472
0.091,12.075,2.634,2.634,225.151,186.681,169.474
0.092,12.096,2.647,2.648,225.159,186.685,169.493
0.093,12.151,2.667,2.667,225.195,186.686,169.535
0.094,12.251,2.691,2.692,225.268,186.681,169.603
0.095,12.397,2.720,2.721,225.379,186.670,169.697
0.096,12.581,2.752,2.752,225.520,186.654,169.814
0.097,12.794,2.785,2.786,225.686,186.636,169.946
0.099,13.025,2.820,2.821,225.867,186.616,170.089
0.100,13.267,2.856,2.856,226.056,186.597,170.237
0.101,13.508,2.891,2.891,226.247,186.579,170.385
0.102,13.741,2.924,2.924,226.430,186.564,170.526
0.103,13.955,2.955,2.955,226.600,186.554,170.657
0.104,14.141,2.984,2.984,226.748,186.550,170.770
0.105,14.292,3.011,3.011,226.869,186.554,170.861
0.106,14.410,3.036,3.036,226.962,186.565,170.932
0.107,14.499,3.058,3.058,227.032,186.580,170.984
0.108,14.564,3.078,3.078,227.082,186.599,171.021
0.110,14.609,3.094,3.094,227.114,186.621,171.045
0.111,14.642,3.108,3.108,227.134,186.643,171.058
0.112,14.666,3.119,3.119,227.143,186.664,171.064
0.113,14.685,3.126,3.127,227.145,186.683,171.064
0.114,14.700,3.132,3.132,227.144,186.698,171.062
0.115,14.710,3.135,3.135,227.143,186.708,171.059
0.116,14.715,3.137,3.137,227.144,186.713,171.058
0.117,14.717,3.137,3.137,227.145,186.713,171.058
0.118,14.721,3.137,3.137,227.148,186.710,171.059
0.119,14.726,3.136,3.136,227.150,186.705,171.060
0.120,14.732,3.136,3.136,227.152,186.701,171.062
0.122,14.736,3.137,3.137,227.154,186.697,171.064
0.123,14.738,3.138,3.138,227.153,186.695,171.066
0.124,14.742,3.139,3.139,227.151,186.698,171.067
0.125,14.751,3.139,3.139,227.146,186.705,171.068
0.126,14.767,3.137,3.137,227.138,186.719,171.068
0.127,14.788,3.133,3.133,227.129,186.739,171.070
0.128,14.814,3.124,3.124,227.122,186.763,171.077
0.129,14.847,3.112,3.112,227.119,186.790,171.094
0.130,14.889,3.094,3.094,227.122,186.820,171.124
0.131,14.945,3.070,3.070,227.134,186.851,171.169
0.133,15.021,3.039,3.039,227.158,186.882,171.234
0.134,15.122,3.003,3.003,227.196,186.913,171.323
0.135,15.252,2.963,2.963,227.251,186.942,171.437
0.136,15.417,2.921,2.921,227.325,186.967,171.582
0.137,15.615,2.877,2.877,227.418,186.989,171.756
0.138,15.840,2.834,2.834,227.526,187.006,171.953
0.139,16.084,2.793,2.793,227.644,187.019,172.165
0.140,16.337,2.755,2.755,227.769,187.027,172.385
0.141,16.593,2.721,2.721,227.897,187.029,172.607
0.142,16.843,2.693,2.693,228.023,187.026,172.823
0.143,17.078,2.671,2.671,228.143,187.016,173.025
0.145,17.292,2.654,2.654,228.253,187.000,173.207
0.146,17.475,2.641,2.641,228.348,186.976,173.362
0.147,17.622,2.631,2.631,228.426,186.946,173.483
0.148,17.736,2.624,2.624,228.486,186.909,173.572
0.149,17.823,2.618,2.618,228.532,186.868,173.635
0.150,17.891,2.614,2.614,228.565,186.824,173.674
0.151,17.946,2.610,2.610,228.589,186.779,173.695
0.152,17.993,2.606,2.606,228.605,186.735,173.702
0.153,18.037,2.601,2.601,228.615,186.693,173.700
0.154,18.076,2.595,2.595,228.623,186.655,173.693
0.156,18.110,2.588,2.588,228.631,186.623,173.686
0.157,18.137,2.579,2.579,228.640,186.597,173.683
0.158,18.160,2.568,2.568,228.654,186.579,173.686
0.159,18.185,2.555,2.555,228.672,186.566,173.696
0.160,18.215,2.540,2.540,228.695,186.554,173.711
0.161,18.254,2.521,2.521,228.725,186.540,173.731
0.162,18.302,2.499,2.499,228.762,186.521,173.756
0.163,18.361,2.475,2.475,228.807,186.495,173.783
0.164,18.432,2.447,2.447,228.861,186.458,173.813
0.165,18.519,2.417,2.417,228.924,186.408,173.845
0.166,18.624,2.386,2.386,228.998,186.341,173.879
0.168,18.749,2.352,2.352,229.082,186.255,173.913
0.169,18.892,2.318,2.318,229.176,186.153,173.946
0.170,19.046,2.283,2.283,229.274,186.039,173.976
0.171,19.207,2.248,2.248,229.376,185.916,174.001
0.172,19.370,2.213,2.213,229.477,185.790,174.020
0.173,19.530,2.178,2.178,229.575,185.664,174.031
0.174,19.681,2.145,2.145,229.665,185.543,174.032
0.175,19.820,2.112,2.112,229.746,185.431,174.021
0.176,19.942,2.080,2.080,229.815,185.332,173.996
0.177,20.047,2.049,2.049,229.867,185.251,173.956
0.179,20.138,2.019,2.019,229.903,185.188,173.901
0.180,20.222,1.991,1.991,229.925,185.138,173.837
0.181,20.302,1.965,1.965,229.937,185.097,173.770
0.182,20.377,1.940,1.940,229.942,185.058,173.705
0.183,20.447,1.917,1.917,229.944,185.016,173.649
0.184,20.512,1.896,1.896,229.945,184.967,173.607
0.185,20.578,1.877,1.877,229.949,184.904,173.585
0.186,20.660,1.859,1.859,229.960,184.823,173.589
0.187,20.773,1.844,1.844,229.981,184.718,173.624
