"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.820,0.820,220.465,189.348,175.099
0.001,0.151,0.855,0.855,220.350,189.443,175.121
0.002,0.301,0.889,0.889,220.236,189.538,175.143
0.003,0.450,0.922,0.922,220.122,189.632,175.163
0.004,0.597,0.954,0.954,220.010,189.726,175.182
0.005,0.743,0.984,0.984,219.899,189.820,175.197
0.006,0.887,1.012,1.012,219.791,189.912,175.209
0.008,1.028,1.038,1.038,219.684,190.005,175.217
0.009,1.166,1.060,1.060,219.581,190.096,175.221
0.010,1.300,1.079,1.079,219.480,190.186,175.219
0.011,1.432,1.094,1.094,219.384,190.275,175.210
0.012,1.560,1.105,1.105,219.291,190.362,175.195
0.013,1.685,1.113,1.113,219.204,190.448,175.172
0.014,1.804,1.120,1.120,219.122,190.530,175.142
0.015,1.919,1.124,1.124,219.048,190.608,175.102
0.016,2.029,1.129,1.129,218.982,190.680,175.052
0.017,2.134,1.133,1.133,218.926,190.746,174.992
0.018,2.238,1.138,1.138,218.881,190.805,174.920
0.019,2.341,1.146,1.146,218.847,190.855,174.837
0.020,2.447,1.155,1.155,218.826,190.896,174.740
0.021,2.561,1.167,1.167,218.819,190.926,174.631
0.023,2.687,1.182,1.182,218.827,190.945,174.507
0.024,2.824,1.197,1.197,218.850,190.952,174.371
0.025,2.972,1.212,1.212,218.885,190.951,174.228
0.026,3.125,1.226,1.226,218.928,190.942,174.082
0.027,3.279,1.237,1.237,218.979,190.928,173.937
0.028,3.429,1.245,1.245,219.035,190.910,173.799
0.029,3.570,1.250,1.250,219.092,190.891,173.671
0.030,3.698,1.248,1.248,219.149,190.873,173.558
0.031,3.806,1.241,1.241,219.203,190.857,173.466
0.032,3.891,1.228,1.228,219.252,190.846,173.397
0.033,3.948,1.211,1.211,219.293,190.840,173.358
0.034,3.982,1.191,1.191,219.324,190.842,173.347
0.035,4.008,1.170,1.170,219.348,190.850,173.357
0.037,4.039,1.148,1.148,219.364,190.862,173.380
0.038,4.071,1.127,1.127,219.374,190.878,173.407
0.039,4.099,1.108,1.108,219.378,190.894,173.429
0.040,4.119,1.093,1.093,219.378,190.911,173.439
0.041,4.139,1.083,1.083,219.374,190.927,173.427
0.042,4.183,1.079,1.079,219.367,190.940,173.385
0.043,4.264,1.079,1.079,219.359,190.949,173.305
0.044,4.391,1.086,1.086,219.351,190.952,173.178
0.045,4.569,1.097,1.097,219.342,190.949,173.000
0.046,4.791,1.114,1.114,219.333,190.939,172.779
0.047,5.047,1.136,1.136,219.324,190.923,172.524
0.048,5.325,1.162,1.162,219.314,190.900,172.247
0.049,5.616,1.194,1.194,219.302,190.872,171.958
0.050,5.909,1.230,1.230,219.288,190.838,171.667
0.052,6.195,1.271,1.271,219.272,190.798,171.384
0.053,6.462,1.315,1.315,219.254,190.754,171.121
0.054,6.702,1.362,1.362,219.232,190.704,170.887
0.055,6.905,1.411,1.411,219.207,190.650,170.693
0.056,7.065,1.461,1.461,219.179,190.591,170.548
0.057,7.186,1.511,1.511,219.147,190.529,170.449
0.058,7.280,1.560,1.560,219.113,190.465,170.389
0.059,7.358,1.608,1.608,219.077,190.401,170.361
0.060,7.431,1.652,1.652,219.040,190.338,170.359
0.061,7.504,1.694,1.694,219.004,190.277,170.376
0.062,7.577,1.731,1.731,218.968,190.221,170.404
0.063,7.646,1.765,1.765,218.934,190.170,170.437
0.064,7.709,1.794,1.794,218.902,190.125,170.468
0.066,7.760,1.820,1.820,218.873,190.089,170.490
0.067,7.797,1.841,1.841,218.848,190.063,170.497
0.068,7.826,1.858,1.858,218.827,190.045,170.488
0.069,7.858,1.870,1.870,218.807,190.035,170.467
